"Rank","Brewery","Beer","Style","ABV","Rating","Ratings","Reviews"
1,"Tree House Brewing Company","Good Morning","American Double / Imperial Stout","8.40%",4.72,1008,65
2,"Toppling Goliath Brewing Company","Kentucky Brunch Brand Stout","American Double / Imperial Stout","12.00%",4.72,538,180
3,"Voodoo Brewing Company","ManBearPig","American Double / Imperial Stout","14.10%",4.67,186,145
4,"Tree House Brewing Company","King Julius","American Double / Imperial IPA","8.30%",4.67,722,26
5,"Tree House Brewing Company","Very Hazy","American Double / Imperial IPA","8.60%",4.66,521,169
6,"Russian River Brewing Company","Pliny The Younger","American Double / Imperial IPA","10.25%",4.66,2989,179
7,"Toppling Goliath Brewing Company","Mornin' Delight","American Double / Imperial Stout","12.00%",4.65,1054,50
8,"Cigar City Brewing","Hunahpu's Imperial Stout - Double Barrel Aged","American Double / Imperial Stout","11.00%",4.65,1362,28
9,"The Alchemist","Heady Topper","American Double / Imperial IPA","8.00%",4.65,13001,57
10,"Three Floyds Brewing Company","Marshmallow Handjee (Bourbon Barrel Aged Vanilla Bean Dark Lord)","Russian Imperial Stout","15.00%",4.64,1453,95
11,"Tree House Brewing Company","King JJJuliusss","American Double / Imperial IPA","8.40%",4.64,366,157
12,"Maine Beer Company","Dinner","American Double / Imperial IPA","8.20%",4.63,1884,71
13,"Tree House Brewing Company","Julius","American IPA","6.80%",4.62,3278,135
14,"Founders Brewing Company","Founders CBS Imperial Stout","American Double / Imperial Stout","10.60%",4.62,4272,184
15,"Tree House Brewing Company","Juice Machine","American Double / Imperial IPA","8.20%",4.61,511,14
16,"Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)","Trappist Westvleteren 12 (XII)","Quadrupel (Quad)","10.20%",4.61,6194,12
17,"Bottle Logic Brewing","Fundamental Observation","American Double / Imperial Stout","14.30%",4.6,720,33
18,"Russian River Brewing Company","Pliny The Elder","American Double / Imperial IPA","8.00%",4.6,14159,98
19,"Perennial Artisan Ales","Barrel-Aged Abraxas","American Double / Imperial Stout","11.00%",4.6,1263,21
20,"Tree House Brewing Company","Very Green","American Double / Imperial IPA","8.60%",4.59,551,170
21,"Goose Island Beer Company","Bourbon County Brand Coffee Stout","American Double / Imperial Stout","13.40%",4.57,6934,3
22,"Toppling Goliath Brewing Company","King Sue","American Double / Imperial IPA","8.00%",4.57,1673,67
23,"Tree House Brewing Company","JJJuliusss","American IPA","6.80%",4.57,336,139
24,"Hill Farmstead Brewery","Abner","American Double / Imperial IPA","8.20%",4.56,2523,117
25,"AleSmith Brewing Company","AleSmith Speedway Stout - Vietnamese Coffee (Bourbon Barrel Aged)","American Double / Imperial Stout","12.00%",4.56,640,157
26,"Hill Farmstead Brewery","Ann","Saison / Farmhouse Ale","6.50%",4.56,339,162
27,"Founders Brewing Company","Founders KBS (Kentucky Breakfast Stout)","American Double / Imperial Stout","12.40%",4.56,12055,96
28,"Lawson's Finest Liquids","Sip Of Sunshine","American Double / Imperial IPA","8.00%",4.55,4347,137
29,"Tree House Brewing Company","Green","American IPA","7.60%",4.55,2092,93
30,"Funky Buddha Brewery","Morning Wood","American Porter","12.00%",4.55,670,14
31,"The Alchemist","Focal Banger","American IPA","7.00%",4.55,2779,107
32,"Tree House Brewing Company","Doppelganger","American Double / Imperial IPA","8.20%",4.55,890,25
33,"Funky Buddha Brewery","Snowed In - Bourbon Barrel Aged","American Double / Imperial Stout","11.00%",4.54,342,145
34,"Trillium Brewing Company","Double Dry Hopped Congress Street","American IPA","7.20%",4.54,943,19
35,"Kern River Brewing Company","Citra","American Double / Imperial IPA","8.00%",4.54,1716,120
36,"Lawson's Finest Liquids","Triple Sunshine IPA","American Double / Imperial IPA","10.50%",4.54,587,143
37,"Lawson's Finest Liquids","Double Sunshine IPA","American Double / Imperial IPA","8.00%",4.54,2107,108
38,"Tree House Brewing Company","Alter Ego","American IPA","6.80%",4.54,1652,75
39,"Firestone Walker Brewing Company","Parabola","Russian Imperial Stout","14.00%",4.53,6270,4
40,"Hill Farmstead Brewery","Society & Solitude #4","American Double / Imperial IPA","8.00%",4.53,1085,35
41,"Three Floyds Brewing Company","Zombie Dust","American Pale Ale (APA)","6.20%",4.52,9861,8
42,"Kane Brewing Company","Sunday Brunch","American Porter","9.20%",4.52,496,145
43,"Hill Farmstead Brewery","Double Galaxy","American Double / Imperial IPA","8.00%",4.52,1304,65
44,"Tree House Brewing Company","Haze","American Double / Imperial IPA","8.20%",4.52,1788,80
45,"Bissell Brothers Brewing Company","Swish","American Double / Imperial IPA","8.00%",4.52,1007,36
46,"Brasserie Cantillon","Cantillon Fou' Foune","Lambic - Fruit","5.00%",4.52,2808,137
47,"Toppling Goliath Brewing Company","Double Dry Hopped PseudoSue (Citra)","American Pale Ale (APA)","5.80%",4.51,310,145
48,"The Lost Abbey","Duck Duck Gooze","Gueuze","7.00%",4.5,1731,87
49,"Trillium Brewing Company","Headroom","American Double / Imperial IPA","8.00%",4.5,423,151
50,"Tree House Brewing Company","In Perpetuity","American IPA","6.70%",4.5,455,168
51,"Cigar City Brewing","Hunahpu's Imperial Stout","American Double / Imperial Stout","11.00%",4.5,4023,160
52,"Goose Island Beer Company","Bourbon County Brand Stout","American Double / Imperial Stout","13.80%",4.5,12025,62
53,"Aslin Beer Company","Master Of Karate","American Double / Imperial IPA","8.40%",4.5,187,143
54,"Russian River Brewing Company","Supplication","American Wild Ale","7.00%",4.49,6221,7
55,"Trillium Brewing Company","Galaxy Dry Hopped Fort Point Pale Ale","American Pale Ale (APA)","6.60%",4.49,1421,40
56,"Hill Farmstead Brewery","Double Citra","American Double / Imperial IPA","8.00%",4.49,1697,65
57,"Toppling Goliath Brewing Company","Assassin Imperial Stout","American Double / Imperial Stout","12.00%",4.49,1076,183
58,"Tree House Brewing Company","Double Shot","American Stout","7.60%",4.49,804,159
59,"Side Project Brewing","Fuzzy","American Wild Ale","8.00%",4.49,705,159
60,"Brasserie Cantillon","Cantillon Blåbær Lambik","Lambic - Fruit","5.00%",4.49,773,82
61,"Brouwerij Drie Fonteinen","Drie Fonteinen Zenne Y Frontera","Lambic - Unblended","7.00%",4.49,129,113
62,"Bell's Brewery, Inc.","Bell's Black Note Stout","American Double / Imperial Stout","11.40%",4.49,4153,150
63,"Toppling Goliath Brewing Company","PseudoSue","American Pale Ale (APA)","5.80%",4.49,4044,146
64,"Jester King Brewery","Atrial Rubicite","American Wild Ale","5.80%",4.48,1683,39
65,"Fremont Brewing Company","Bourbon Barrel Aged Abominable: Coffee And Cinnamon","American Strong Ale","14.00%",4.48,738,182
66,"Three Floyds Brewing Company","Bourbon Barrel Aged Dark Lord Imperial Stout","Russian Imperial Stout","15.00%",4.48,806,55
67,"Kuhnhenn Brewing Company","Kuhnhenn Bourbon Barrel Fourth Dementia","Old Ale","13.50%",4.48,1888,124
68,"Trillium Brewing Company","Double Dry Hopped Fort Point Pale Ale","American Pale Ale (APA)","6.60%",4.48,1161,23
69,"Deschutes Brewery","The Abyss","American Double / Imperial Stout","12.20%",4.48,6907,13
70,"Fremont Brewing Company","The Rusty Nail","American Double / Imperial Stout","13.20%",4.47,178,119
71,"Trillium Brewing Company","Scaled Way Up","American Double / Imperial IPA","8.00%",4.47,331,133
72,"Boneyard Beer Company","Notorious Triple IPA","American Double / Imperial IPA","12.00%",4.47,730,178
73,"Prairie Artisan Ales","BOMB!","American Double / Imperial Stout","13.00%",4.47,5685,171
74,"Trillium Brewing Company","Cutting Tiles (Mosaic)","American Double / Imperial IPA","8.50%",4.47,1040,37
75,"Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)","Trappist Westvleteren 8 (VIII)","Dubbel","8.00%",4.47,2107,165
76,"Firestone Walker Brewing Company","Parabajava","Russian Imperial Stout","14.00%",4.47,630,162
77,"Hill Farmstead Brewery","Ephraim","American Double / Imperial IPA","10.00%",4.47,1009,74
78,"Founders Brewing Company","Founders Breakfast Stout","American Double / Imperial Stout","8.30%",4.47,16280,99
79,"New England Brewing Company","Fuzzy Baby Ducks IPA","American IPA","6.20%",4.47,738,173
80,"Brasserie de Rochefort","Trappistes Rochefort 10","Quadrupel (Quad)","11.30%",4.47,9072,61
