"Rank","Brewery","Beer","Style","ABV","Rating","Ratings","Reviews"
1,"Toppling Goliath Brewing Company","Kentucky Brunch Brand Stout","American Double / Imperial Stout","12.00%",4.73,563,16
2,"Tree House Brewing Company","Good Morning","American Double / Imperial Stout","8.40%",4.72,1011,68
3,"Voodoo Brewing Company","ManBearPig","American Double / Imperial Stout","14.10%",4.67,198,150
4,"Tree House Brewing Company","King Julius","American Double / Imperial IPA","8.30%",4.67,734,26
5,"Tree House Brewing Company","Very Hazy","American Double / Imperial IPA","8.60%",4.67,529,178
6,"Russian River Brewing Company","Pliny The Younger","American Double / Imperial IPA","10.25%",4.66,3005,186
7,"Toppling Goliath Brewing Company","Mornin' Delight","American Double / Imperial Stout","12.00%",4.65,1071,55
8,"Cigar City Brewing","Hunahpu's Imperial Stout - Double Barrel Aged","American Double / Imperial Stout","11.00%",4.65,1382,31
9,"The Alchemist","Heady Topper","American Double / Imperial IPA","8.00%",4.65,13070,61
10,"Three Floyds Brewing Company","Marshmallow Handjee (Bourbon Barrel Aged Vanilla Bean Dark Lord)","Russian Imperial Stout","15.00%",4.64,1461,103
11,"Tree House Brewing Company","King JJJuliusss","American Double / Imperial IPA","8.40%",4.64,372,165
12,"Maine Beer Company","Dinner","American Double / Imperial IPA","8.20%",4.63,1903,77
13,"Tree House Brewing Company","Julius","American IPA","6.80%",4.62,3328,141
14,"Founders Brewing Company","Founders CBS Imperial Stout","American Double / Imperial Stout","10.60%",4.62,4287,192
15,"Tree House Brewing Company","Juice Machine","American Double / Imperial IPA","8.20%",4.61,520,14
16,"Bottle Logic Brewing","Fundamental Observation","American Double / Imperial Stout","14.30%",4.61,733,34
17,"Perennial Artisan Ales","Barrel-Aged Abraxas","American Double / Imperial Stout","11.00%",4.61,1270,24
18,"Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)","Trappist Westvleteren 12 (XII)","Quadrupel (Quad)","10.20%",4.61,6218,12
19,"Russian River Brewing Company","Pliny The Elder","American Double / Imperial IPA","8.00%",4.6,14216,100
20,"Tree House Brewing Company","Very Green","American Double / Imperial IPA","8.60%",4.6,584,183
21,"Goose Island Beer Company","Bourbon County Brand Coffee Stout","American Double / Imperial Stout","13.40%",4.57,6955,3
22,"Toppling Goliath Brewing Company","King Sue","American Double / Imperial IPA","8.00%",4.57,1701,73
23,"AleSmith Brewing Company","AleSmith Speedway Stout - Vietnamese Coffee (Bourbon Barrel Aged)","American Double / Imperial Stout","12.00%",4.57,657,166
24,"Tree House Brewing Company","JJJuliusss","American IPA","6.80%",4.57,338,146
25,"Funky Buddha Brewery","Morning Wood","American Porter","12.00%",4.56,717,17
26,"Hill Farmstead Brewery","Ann","Saison / Farmhouse Ale","6.50%",4.56,344,172
27,"Hill Farmstead Brewery","Abner","American Double / Imperial IPA","8.20%",4.56,2539,119
28,"Founders Brewing Company","Founders KBS (Kentucky Breakfast Stout)","American Double / Imperial Stout","12.40%",4.56,12087,98
29,"Tree House Brewing Company","Green","American IPA","7.60%",4.55,2141,104
30,"Lawson's Finest Liquids","Triple Sunshine IPA","American Double / Imperial IPA","10.50%",4.55,593,150
31,"The Alchemist","Focal Banger","American IPA","7.00%",4.55,2848,113
32,"Lawson's Finest Liquids","Sip Of Sunshine","American Double / Imperial IPA","8.00%",4.55,4397,145
33,"Toppling Goliath Brewing Company","Double Dry Hopped PseudoSue (Citra)","American Pale Ale (APA)","5.80%",4.55,385,162
34,"Funky Buddha Brewery","Snowed In - Bourbon Barrel Aged","American Double / Imperial Stout","11.00%",4.54,358,152
35,"Trillium Brewing Company","Double Dry Hopped Congress Street","American IPA","7.20%",4.54,960,21
36,"Kern River Brewing Company","Citra","American Double / Imperial IPA","8.00%",4.54,1727,123
37,"Kane Brewing Company","Sunday Brunch","American Porter","9.20%",4.54,516,154
38,"Tree House Brewing Company","Doppelganger","American Double / Imperial IPA","8.20%",4.54,928,28
39,"Tree House Brewing Company","Alter Ego","American IPA","6.80%",4.54,1686,82
40,"Lawson's Finest Liquids","Double Sunshine IPA","American Double / Imperial IPA","8.00%",4.54,2108,111
41,"Firestone Walker Brewing Company","Parabola","Russian Imperial Stout","14.00%",4.53,6289,4
42,"Hill Farmstead Brewery","Society & Solitude #4","American Double / Imperial IPA","8.00%",4.53,1097,37
43,"Three Floyds Brewing Company","Zombie Dust","American Pale Ale (APA)","6.20%",4.52,9898,8
44,"Hill Farmstead Brewery","Double Galaxy","American Double / Imperial IPA","8.00%",4.52,1309,69
45,"Tree House Brewing Company","Haze","American Double / Imperial IPA","8.20%",4.52,1830,85
46,"Brasserie Cantillon","Cantillon Fou' Foune","Lambic - Fruit","5.00%",4.52,2824,143
47,"The Lost Abbey","Duck Duck Gooze","Gueuze","7.00%",4.51,1737,91
48,"Bissell Brothers Brewing Company","Swish","American Double / Imperial IPA","8.00%",4.51,1051,41
49,"Toppling Goliath Brewing Company","Assassin Imperial Stout","American Double / Imperial Stout","12.00%",4.51,1100,16
50,"Trillium Brewing Company","Headroom","American Double / Imperial IPA","8.00%",4.5,425,158
51,"Aslin Beer Company","Master Of Karate","American Double / Imperial IPA","8.40%",4.5,197,152
52,"Tree House Brewing Company","In Perpetuity","American IPA","6.70%",4.5,459,176
53,"Cigar City Brewing","Hunahpu's Imperial Stout","American Double / Imperial Stout","11.00%",4.5,4038,169
54,"Goose Island Beer Company","Bourbon County Brand Stout","American Double / Imperial Stout","13.80%",4.5,12062,66
55,"Trillium Brewing Company","Galaxy Dry Hopped Fort Point Pale Ale","American Pale Ale (APA)","6.60%",4.5,1447,44
56,"Russian River Brewing Company","Supplication","American Wild Ale","7.00%",4.49,6246,7
57,"Tree House Brewing Company","Double Shot","American Stout","7.60%",4.49,816,168
58,"Hill Farmstead Brewery","Double Citra","American Double / Imperial IPA","8.00%",4.49,1699,68
59,"Side Project Brewing","Fuzzy","American Wild Ale","8.00%",4.49,712,167
60,"Tree House Brewing Company","Doubleganger","American Double / Imperial IPA","8.20%",4.49,163,105
61,"Brasserie Cantillon","Cantillon Blåbær Lambik","Lambic - Fruit","5.00%",4.49,776,86
62,"Trillium Brewing Company","Double Dry Hopped Fort Point Pale Ale","American Pale Ale (APA)","6.60%",4.49,1194,25
63,"Brouwerij Drie Fonteinen","Drie Fonteinen Zenne Y Frontera","Lambic - Unblended","7.00%",4.49,134,116
64,"Bell's Brewery, Inc.","Bell's Black Note Stout","American Double / Imperial Stout","11.40%",4.49,4208,159
65,"Jester King Brewery","Atrial Rubicite","American Wild Ale","5.80%",4.48,1687,42
66,"Fremont Brewing Company","Bourbon Barrel Aged Abominable: Coffee And Cinnamon","American Strong Ale","14.00%",4.48,753,189
67,"Three Floyds Brewing Company","Bourbon Barrel Aged Dark Lord Imperial Stout","Russian Imperial Stout","15.00%",4.48,810,60
68,"Kuhnhenn Brewing Company","Kuhnhenn Bourbon Barrel Fourth Dementia","Old Ale","13.50%",4.48,1890,127
69,"Fremont Brewing Company","The Rusty Nail","American Double / Imperial Stout","13.20%",4.48,186,124
70,"Toppling Goliath Brewing Company","PseudoSue","American Pale Ale (APA)","5.80%",4.48,4102,153
71,"Goose Island Beer Company","Bourbon County Brand Barleywine Ale","English Barleywine","12.10%",4.48,5049,151
72,"Deschutes Brewery","The Abyss","American Double / Imperial Stout","12.20%",4.48,6935,13
73,"Mikkeller ApS","Beer Geek Vanilla Shake (Bourbon Edition)","American Double / Imperial Stout","13.00%",4.48,343,139
74,"Ozark Beer Company","BDCS","American Double / Imperial Stout","10.20%",4.47,314,150
75,"Trillium Brewing Company","Scaled Way Up","American Double / Imperial IPA","8.00%",4.47,331,138
76,"Trillium Brewing Company","Cutting Tiles (Mosaic)","American Double / Imperial IPA","8.50%",4.47,1068,39
77,"Boneyard Beer Company","Notorious Triple IPA","American Double / Imperial IPA","12.00%",4.47,737,185
78,"Prairie Artisan Ales","BOMB!","American Double / Imperial Stout","13.00%",4.47,5732,181
79,"Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)","Trappist Westvleteren 8 (VIII)","Dubbel","8.00%",4.47,2117,173
80,"Firestone Walker Brewing Company","Parabajava","Russian Imperial Stout","14.00%",4.47,653,171
81,"Hill Farmstead Brewery","Ephraim","American Double / Imperial IPA","10.00%",4.47,1010,80
82,"The Lost Abbey","Cable Car","American Wild Ale","7.00%",4.47,971,78
83,"Founders Brewing Company","Founders Breakfast Stout","American Double / Imperial Stout","8.30%",4.47,16334,101
84,"New England Brewing Company","Fuzzy Baby Ducks IPA","American IPA","6.20%",4.47,740,178
85,"Brasserie de Rochefort","Trappistes Rochefort 10","Quadrupel (Quad)","11.30%",4.47,9102,65
86,"Evil Twin Brewing","Evil Twin Double Barrel Jesus","American Double / Imperial Stout","12.00%",4.47,608,167
87,"Dark Horse Brewing Company","Dark Horse Bourbon Barrel Aged Plead The 5th","Russian Imperial Stout","12.00%",4.46,3084,130
88,"Oskar Blues Grill & Brew","Ten FIDY Bourbon Barrel Aged","Russian Imperial Stout","12.90%",4.46,1068,54
89,"The Alchemist","Crusher","American Double / Imperial IPA","9.60%",4.46,1513,53
90,"Brasserie Cantillon","Cantillon Lou Pepe - Kriek","Lambic - Fruit","5.00%",4.46,1697,115
91,"The Bruery","Black Tuesday","American Double / Imperial Stout","19.20%",4.46,3817,161
92,"Heist Brewery","Citraquench'l","American IPA","6.70%",4.46,127,118
93,"Russian River Brewing Company","Beatification","American Wild Ale","5.50%",4.46,2596,149
94,"Hill Farmstead Brewery","Society & Solitude #5","American Double / Imperial IPA","8.10%",4.46,1380,43
95,"Prairie Artisan Ales","Pirate Bomb!","American Double / Imperial Stout","14.00%",4.46,1942,70
96,"Brouwerij Drie Fonteinen","Drie Fonteinen Oude Geuze Vintage","Gueuze","6.00%",4.45,711,27
97,"Hill Farmstead Brewery","Susan","American IPA","6.20%",4.45,1779,56
98,"Toppling Goliath Brewing Company","Sosus","American Double / Imperial IPA","8.00%",4.45,1295,38
99,"Cigar City Brewing","Caffè Americano","American Double / Imperial Stout","11.00%",4.45,980,25
100,"Surly Brewing Company","Abrasive Ale","American Double / Imperial IPA","9.00%",4.45,4498,188
