Rank,Brewery,Beer,Style,ABV,Rating,Ratings,Reviews
1,Tree House Brewing Company,Good Morning,American Double / Imperial Stout,8.40%,4.72,999,68
2,Toppling Goliath Brewing Company,Kentucky Brunch Brand Stout,American Double / Imperial Stout,12.00%,4.7,527,178
3,Tree House Brewing Company,King Julius,American Double / Imperial IPA,8.30%,4.66,692,27
4,Russian River Brewing Company,Pliny The Younger,American Double / Imperial IPA,10.25%,4.66,2976,181
5,Toppling Goliath Brewing Company,Mornin' Delight,American Double / Imperial Stout,12.00%,4.66,999,53
6,Tree House Brewing Company,Very Hazy,American Double / Imperial IPA,8.60%,4.66,486,167
7,The Alchemist,Heady Topper,American Double / Imperial IPA,8.00%,4.66,12839,61
8,Cigar City Brewing,Hunahpu's Imperial Stout - Double Barrel Aged,American Double / Imperial Stout,11.00%,4.65,1310,27
9,Tree House Brewing Company,King JJJuliusss,American Double / Imperial IPA,8.40%,4.63,345,159
10,Maine Beer Company,Dinner,American Double / Imperial IPA,8.20%,4.63,1831,75
11,Three Floyds Brewing Company,Marshmallow Handjee (Bourbon Barrel Aged Vanilla Bean Dark Lord),Russian Imperial Stout,15.00%,4.63,1433,96
12,Tree House Brewing Company,Julius,American IPA,6.80%,4.62,3137,133
13,Founders Brewing Company,Founders CBS Imperial Stout,American Double / Imperial Stout,10.60%,4.62,4247,184
14,Tree House Brewing Company,Juice Machine,American Double / Imperial IPA,8.20%,4.61,486,182
15,Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Trappist Westvleteren 12 (XII),Quadrupel (Quad),10.20%,4.61,6142,12
16,Bottle Logic Brewing,Fundamental Observation,American Double / Imperial Stout,14.30%,4.6,658,30
17,Russian River Brewing Company,Pliny The Elder,American Double / Imperial IPA,8.00%,4.6,14052,100
18,Perennial Artisan Ales,Barrel-Aged Abraxas,American Double / Imperial Stout,11.00%,4.59,1242,22
19,Tree House Brewing Company,Very Green,American Double / Imperial IPA,8.60%,4.59,416,153
20,Toppling Goliath Brewing Company,King Sue,American Double / Imperial IPA,8.00%,4.58,1592,58
21,Goose Island Beer Company,Bourbon County Brand Coffee Stout,American Double / Imperial Stout,13.40%,4.57,6850,3
22,The Alchemist,Focal Banger,American IPA,7.00%,4.56,2548,97
23,Funky Buddha Brewery,Morning Wood,American Porter,12.00%,4.56,507,167
24,Hill Farmstead Brewery,Abner,American Double / Imperial IPA,8.20%,4.56,2497,115
25,Founders Brewing Company,Founders KBS (Kentucky Breakfast Stout),American Double / Imperial Stout,12.40%,4.56,11967,98
26,Tree House Brewing Company,JJJuliusss,American IPA,6.80%,4.56,323,140
27,Lawson's Finest Liquids,Sip Of Sunshine,American Double / Imperial IPA,8.00%,4.55,4242,136
28,Tree House Brewing Company,Green,American IPA,7.60%,4.55,1974,87
29,AleSmith Brewing Company,AleSmith Speedway Stout - Vietnamese Coffee (Bourbon Barrel Aged),American Double / Imperial Stout,12.00%,4.55,567,150
30,Hill Farmstead Brewery,Ann,Saison / Farmhouse Ale,6.50%,4.55,332,165
31,Trillium Brewing Company,Double Dry Hopped Congress Street,American IPA,7.20%,4.54,874,15
32,Kern River Brewing Company,Citra,American Double / Imperial IPA,8.00%,4.54,1649,118
33,Lawson's Finest Liquids,Double Sunshine IPA,American Double / Imperial IPA,8.00%,4.54,2100,108
34,Tree House Brewing Company,Doppelganger,American Double / Imperial IPA,8.20%,4.54,764,19
35,Tree House Brewing Company,Alter Ego,American IPA,6.80%,4.53,1543,73
36,Lawson's Finest Liquids,Triple Sunshine IPA,American Double / Imperial IPA,10.50%,4.53,569,142
37,Firestone Walker Brewing Company,Parabola,Russian Imperial Stout,14.00%,4.53,6208,4
38,Three Floyds Brewing Company,Zombie Dust,American Pale Ale (APA),6.20%,4.52,9759,8
39,Hill Farmstead Brewery,Double Galaxy,American Double / Imperial IPA,8.00%,4.52,1281,69
40,Brasserie Cantillon,Cantillon Fou' Foune,Lambic - Fruit,5.00%,4.52,2772,139
41,Hill Farmstead Brewery,Society & Solitude #4,American Double / Imperial IPA,8.00%,4.51,1058,36
42,Kane Brewing Company,Sunday Brunch,American Porter,9.20%,4.51,443,135
43,Tree House Brewing Company,Haze,American Double / Imperial IPA,8.20%,4.51,1669,76
44,Aslin Beer Company,Master Of Karate,American Double / Imperial IPA,8.40%,4.5,149,138
45,Side Project Brewing,Fuzzy,American Wild Ale,8.00%,4.5,663,159
46,The Lost Abbey,Duck Duck Gooze,Gueuze,7.00%,4.5,1687,88
47,Bissell Brothers Brewing Company,Swish,American Double / Imperial IPA,8.00%,4.5,917,32
48,Cigar City Brewing,Hunahpu's Imperial Stout,American Double / Imperial Stout,11.00%,4.5,3968,163
49,Tree House Brewing Company,In Perpetuity,American IPA,6.70%,4.5,431,171
50,Trillium Brewing Company,Headroom,American Double / Imperial IPA,8.00%,4.5,401,151
51,Goose Island Beer Company,Bourbon County Brand Stout,American Double / Imperial Stout,13.80%,4.5,11836,67
52,Russian River Brewing Company,Supplication,American Wild Ale,7.00%,4.49,6185,7
53,Hill Farmstead Brewery,Double Citra,American Double / Imperial IPA,8.00%,4.49,1692,69
54,Funky Buddha Brewery,Snowed In - Bourbon Barrel Aged,American Double / Imperial Stout,11.00%,4.49,271,122
55,Trillium Brewing Company,Galaxy Dry Hopped Fort Point Pale Ale,American Pale Ale (APA),6.60%,4.49,1360,43
56,Tree House Brewing Company,Double Shot,American Stout,7.60%,4.49,764,161
57,Toppling Goliath Brewing Company,Assassin Imperial Stout,American Double / Imperial Stout,12.00%,4.49,1050,180
58,Brasserie Cantillon,Cantillon Bl†b‘r Lambik,Lambic - Fruit,5.00%,4.49,760,82
59,"Bell's Brewery, Inc.",Bell's Black Note Stout,American Double / Imperial Stout,11.40%,4.49,4004,148
60,Toppling Goliath Brewing Company,PseudoSue,American Pale Ale (APA),5.80%,4.49,3956,146
61,Kuhnhenn Brewing Company,Kuhnhenn Bourbon Barrel Fourth Dementia,Old Ale,13.50%,4.48,1875,123
62,Three Floyds Brewing Company,Bourbon Barrel Aged Dark Lord Imperial Stout,Russian Imperial Stout,15.00%,4.48,796,60
63,Trillium Brewing Company,Double Dry Hopped Fort Point Pale Ale,American Pale Ale (APA),6.60%,4.48,1062,20
64,Fremont Brewing Company,Bourbon Barrel Aged Abominable: Coffee And Cinnamon,American Strong Ale,14.00%,4.48,706,179
65,Trillium Brewing Company,Cutting Tiles,American Double / Imperial IPA,8.50%,4.48,970,37
66,Brouwerij Drie Fonteinen,Drie Fonteinen Zenne Y Frontera,Lambic - Unblended,7.00%,4.48,108,94
67,Goose Island Beer Company,Bourbon County Brand Barleywine Ale,English Barleywine,12.10%,4.48,4926,143
