Rank,Brewery,Beer,Style,ABV,Rating,Ratings,Reviews
1,Tree House Brewing Company,Good Morning,American Double / Imperial Stout,8.40%,4.72,1001,70
2,Toppling Goliath Brewing Company,Kentucky Brunch Brand Stout,American Double / Imperial Stout,12.00%,4.7,529,180
3,Tree House Brewing Company,King Julius,American Double / Imperial IPA,8.30%,4.66,702,28
4,Russian River Brewing Company,Pliny The Younger,American Double / Imperial IPA,10.25%,4.66,2978,182
5,Toppling Goliath Brewing Company,Mornin' Delight,American Double / Imperial Stout,12.00%,4.66,1010,55
6,Tree House Brewing Company,Very Hazy,American Double / Imperial IPA,8.60%,4.66,498,169
7,The Alchemist,Heady Topper,American Double / Imperial IPA,8.00%,4.66,12878,63
8,Cigar City Brewing,Hunahpu's Imperial Stout - Double Barrel Aged,American Double / Imperial Stout,11.00%,4.66,1323,28
9,Tree House Brewing Company,King JJJuliusss,American Double / Imperial IPA,8.40%,4.64,352,160
10,Maine Beer Company,Dinner,American Double / Imperial IPA,8.20%,4.63,1853,78
11,Three Floyds Brewing Company,Marshmallow Handjee (Bourbon Barrel Aged Vanilla Bean Dark Lord),Russian Imperial Stout,15.00%,4.63,1439,96
12,Tree House Brewing Company,Julius,American IPA,6.80%,4.62,3168,135
13,Founders Brewing Company,Founders CBS Imperial Stout,American Double / Imperial Stout,10.60%,4.62,4255,185
14,Tree House Brewing Company,Juice Machine,American Double / Imperial IPA,8.20%,4.61,500,186
15,Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Trappist Westvleteren 12 (XII),Quadrupel (Quad),10.20%,4.61,6153,12
16,Russian River Brewing Company,Pliny The Elder,American Double / Imperial IPA,8.00%,4.6,14094,99
17,Perennial Artisan Ales,Barrel-Aged Abraxas,American Double / Imperial Stout,11.00%,4.6,1246,22
18,Bottle Logic Brewing,Fundamental Observation,American Double / Imperial Stout,14.30%,4.59,674,32
19,Tree House Brewing Company,Very Green,American Double / Imperial IPA,8.60%,4.59,460,154
20,Toppling Goliath Brewing Company,King Sue,American Double / Imperial IPA,8.00%,4.58,1611,59
21,Tree House Brewing Company,JJJuliusss,American IPA,6.80%,4.57,328,142
22,Funky Buddha Brewery,Morning Wood,American Porter,12.00%,4.57,545,176
23,Goose Island Beer Company,Bourbon County Brand Coffee Stout,American Double / Imperial Stout,13.40%,4.56,6872,3
24,The Alchemist,Focal Banger,American IPA,7.00%,4.56,2604,102
25,Hill Farmstead Brewery,Abner,American Double / Imperial IPA,8.20%,4.56,2515,116
26,Founders Brewing Company,Founders KBS (Kentucky Breakfast Stout),American Double / Imperial Stout,12.40%,4.56,11988,97
27,Lawson's Finest Liquids,Sip Of Sunshine,American Double / Imperial IPA,8.00%,4.55,4273,137
28,AleSmith Brewing Company,AleSmith Speedway Stout - Vietnamese Coffee (Bourbon Barrel Aged),American Double / Imperial Stout,12.00%,4.55,583,153
29,Tree House Brewing Company,Green,American IPA,7.60%,4.55,2004,92
30,Kern River Brewing Company,Citra,American Double / Imperial IPA,8.00%,4.55,1667,119
