Rank,Brewery,Beer,Style,ABV,Rating,Ratings,Reviews
1,Tree House Brewing Company,Good Morning,American Double / Imperial Stout,8.40% ABV,4.72,871,58
2,Toppling Goliath Brewing Company,Kentucky Brunch Brand Stout,American Double / Imperial Stout,12.00% ABV,4.69,484,170
3,Toppling Goliath Brewing Company,Mornin' Delight,American Double / Imperial Stout,12.00% ABV,4.68,748,33
4,Russian River Brewing Company,Pliny The Younger,American Double / Imperial IPA,11.00% ABV,4.66,2775,182
5,The Alchemist,Heady Topper,American Double / Imperial IPA,8.00% ABV,4.66,11744,61
6,Maine Beer Company,Dinner,American Double / Imperial IPA,8.20% ABV,4.63,1434,49
7,Founders Brewing Company,Founders CBS Imperial Stout,American Double / Imperial Stout,10.60% ABV,4.62,4006,188
8,3 Floyds Brewing Co.,Bourbon Barrel Aged Vanilla Bean Dark Lord,Russian Imperial Stout,15.00% ABV,4.61,1316,92
9,Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Trappist Westvleteren 12 (XII),Quadrupel (Quad),10.20% ABV,4.6,5777,15
10,Tree House Brewing Company,Julius,American IPA,6.80% ABV,4.6,2199,105
11,Russian River Brewing Company,Pliny The Elder,American Double / Imperial IPA,8.00% ABV,4.6,13251,99
12,Goose Island Beer Co.,Bourbon County Brand Coffee Stout,American Double / Imperial Stout,13.40% ABV,4.59,6501,1
13,Tree House Brewing Company,King Julius,American Double / Imperial IPA,8.30% ABV,4.57,233,142
14,Bottle Logic Brewing,Fundamental Observation,American Double / Imperial Stout,14.30% ABV,4.57,307,163
15,Perennial Artisan Ales,Barrel-Aged Abraxas,American Double / Imperial Stout,11.00% ABV,4.56,1108,190
16,Lawson's Finest Liquids,Sip Of Sunshine,American IPA,8.00% ABV,4.56,3346,115
17,Founders Brewing Company,Founders KBS (Kentucky Breakfast Stout),American Double / Imperial Stout,11.20% ABV,4.56,10948,71
18,Goose Island Beer Co.,Rare Bourbon County Brand Stout (2015),American Double / Imperial Stout,14.50% ABV,4.56,353,152
19,Hill Farmstead Brewery,Abner,American Double / Imperial IPA,8.20% ABV,4.56,2340,109
