Rank,Beer,Brewery,Style,ABV,Rating,Ratings,Reviews
58,Assassin Imperial Stout,Toppling Goliath Brewing Company,American Double / Imperial Stout,12.00%,4.49,1053,184
59,Cantillon Bl†b‘r Lambik,Brasserie Cantillon,Lambic - Fruit,5.00%,4.49,764,83
60,Bell's Black Note Stout,"Bell's Brewery, Inc.",American Double / Imperial Stout,11.40%,4.49,4024,151
61,PseudoSue,Toppling Goliath Brewing Company,American Pale Ale (APA),5.80%,4.49,3972,146
62,Double Dry Hopped Fort Point Pale Ale,Trillium Brewing Company,American Pale Ale (APA),6.60%,4.48,1095,20
63,Atrial Rubicite,Jester King Brewery,American Wild Ale,5.80%,4.48,1657,42
64,Kuhnhenn Bourbon Barrel Fourth Dementia,Kuhnhenn Brewing Company,Old Ale,13.50%,4.48,1879,121
65,Bourbon Barrel Aged Dark Lord Imperial Stout,Three Floyds Brewing Company,Russian Imperial Stout,15.00%,4.48,799,61
66,Bourbon Barrel Aged Abominable: Coffee And Cinnamon,Fremont Brewing Company,American Strong Ale,14.00%,4.48,713,184
67,Grande Negro Voodoo Papi - Bourbon Barrel Aged,Voodoo Brewing Company,American Double / Imperial Stout,12.50%,4.48,232,126
68,Cutting Tiles,Trillium Brewing Company,American Double / Imperial IPA,8.50%,4.48,982,37
69,The Abyss,Deschutes Brewery,American Double / Imperial Stout,12.20%,4.48,6843,13
70,Scaled Way Up,Trillium Brewing Company,American Double / Imperial IPA,8.00%,4.47,325,135
71,BOMB!,Prairie Artisan Ales,American Double / Imperial Stout,13.00%,4.47,5605,175
72,Trappist Westvleteren 8 (VIII),Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Dubbel,8.00%,4.47,2093,170
73,Notorious Triple IPA,Boneyard Beer Company,American Double / Imperial IPA,12.00%,4.47,712,182
74,Drie Fonteinen Zenne Y Frontera,Brouwerij Drie Fonteinen,Lambic - Unblended,7.00%,4.47,116,100
75,Ephraim,Hill Farmstead Brewery,American Double / Imperial IPA,10.00%,4.47,1008,80
76,Founders Breakfast Stout,Founders Brewing Company,American Double / Imperial Stout,8.30%,4.47,16166,99
77,Trappistes Rochefort 10,Brasserie de Rochefort,Quadrupel (Quad),11.30%,4.47,9038,67
78,Bourbon County Brand Barleywine Ale,Goose Island Beer Company,English Barleywine,12.10%,4.47,4941,143
79,BDCS,Ozark Beer Company,American Double / Imperial Stout,10.20%,4.47,301,142
80,Dark Horse Bourbon Barrel Aged Plead The 5th,Dark Horse Brewing Company,Russian Imperial Stout,12.00%,4.46,3045,125
81,Abrasive Ale,Surly Brewing Company,American Double / Imperial IPA,9.00%,4.46,4434,186
82,Cantillon Lou Pepe - Kriek,Brasserie Cantillon,Lambic - Fruit,5.00%,4.46,1686,113
83,Todd The Axe Man,Surly Brewing Company,American IPA,7.20%,4.46,2105,111
84,Black Tuesday,The Bruery,American Double / Imperial Stout,19.20%,4.46,3759,157
85,Evil Twin Double Barrel Jesus,Evil Twin Brewing,American Double / Imperial Stout,12.00%,4.46,579,161
86,Cable Car,The Lost Abbey,American Wild Ale,7.00%,4.46,958,78
87,Beatification,Russian River Brewing Company,American Wild Ale,5.50%,4.46,2581,145
88,Wide Awake It's Morning,Funky Buddha Brewery,American Double / Imperial Stout,10.00%,4.46,616,20
89,Fuzzy Baby Ducks IPA,New England Brewing Company,American IPA,6.20%,4.46,724,174
90,Society & Solitude #5,Hill Farmstead Brewery,American Double / Imperial IPA,8.10%,4.46,1353,45
91,Crusher,The Alchemist,American Double / Imperial IPA,9.60%,4.45,1351,41
92,Prairie Pirate Bomb!,Prairie Artisan Ales,American Double / Imperial Stout,14.00%,4.45,1866,62
