Rank,Brewery,Beer,Style,ABV,Rating,Ratings,Reviews
53,Prairie Artisan Ales,BOMB!,American Double / Imperial Stout,13.00% ABV,4.47,4788,161
54,Founders Brewing Company,Founders Breakfast Stout,American Double / Imperial Stout,8.30% ABV,4.47,15285,100
55,Brasserie de Rochefort,Trappistes Rochefort 10,Quadrupel (Quad),11.30% ABV,4.47,8566,67
56,Tree House Brewing Company,Haze,American Double / Imperial IPA,8.20% ABV,4.47,935,28
57,Jester King Brewery,Atrial Rubicite,American Wild Ale,5.80% ABV,4.47,1511,33
58,Trillium Brewing Company,Double Dry Hopped Fort Point Pale Ale,American Pale Ale (APA),6.60% ABV,4.46,616,141
59,Surly Brewing Company,Abrasive Ale,American Double / Imperial IPA,9.00% ABV,4.46,4147,188
60,New England Brewing Co.,Fuzzy Baby Ducks IPA,American IPA,6.20% ABV,4.46,603,164
61,Dark Horse Brewing Company,Dark Horse Bourbon Barrel Aged Plead The 5th,Russian Imperial Stout,12.00% ABV,4.46,2805,121
62,The Bruery,Black Tuesday,American Double / Imperial Stout,19.20% ABV,4.46,3476,157
63,Russian River Brewing Company,Beatification,American Wild Ale,5.50% ABV,4.46,2437,145
64,The Lost Abbey,Cable Car,American Wild Ale,7.00% ABV,4.46,852,75
65,Hill Farmstead Brewery,Susan,American IPA,6.20% ABV,4.45,1397,37
66,Evil Twin Brewing,Imperial Biscotti Break Bourbon Barrel Aged,American Double / Imperial Stout,11.50% ABV,4.45,1299,19
67,Hill Farmstead Brewery,Everett Porter,American Porter,7.50% ABV,4.45,2279,110
68,Brasserie Cantillon,Cantillon Lou Pepe - Kriek,Lambic - Fruit,5.00% ABV,4.45,1570,109
69,"Bell's Brewery, Inc.",Hopslam Ale,American Double / Imperial IPA,10.00% ABV,4.45,11798,98
70,Tree House Brewing Company,Curiosity Twenty Two,American IPA,7.00% ABV,4.45,176,108
71,AleSmith Brewing Company,AleSmith Speedway Stout - Bourbon Barrel Aged,American Double / Imperial Stout,12.00% ABV,4.45,1810,107
72,Brouwerij Drie Fonteinen,Drie Fonteinen Oude Geuze Golden Blend,Gueuze,7.50% ABV,4.45,834,48
73,Toppling Goliath Brewing Company,Assassin Imperial Stout,American Double / Imperial Stout,12.00% ABV,4.44,972,182
74,Toppling Goliath Brewing Company,Sosus,American Double / Imperial IPA,8.00% ABV,4.44,1039,21
75,Firestone Walker Brewing Co.,?ucaba,English Barleywine,12.50% ABV,4.44,4587,178
76,Hill Farmstead Brewery,Society & Solitude #5,American Double / Imperial IPA,8.10% ABV,4.44,1219,34
77,Brouwerij Drie Fonteinen,Drie Fonteinen Oude Geuze Vintage,Gueuze,6.00% ABV,4.44,624,28
78,Trillium Brewing Company,Upper Case,American Double / Imperial IPA,9.00% ABV,4.44,379,130
79,3 Floyds Brewing Co.,Permanent Funeral,American Double / Imperial IPA,10.50% ABV,4.43,2555,94
80,Columbus Brewing Company,Columbus Bodhi DIPA,American Double / Imperial IPA,8.50% ABV,4.43,1235,42
81,Hair of the Dog Brewing Company / Brewery and Tasting Room,Adam From The Wood,Old Ale,12.00% ABV,4.43,855,41
82,Boneyard Beer Company,Notorious Triple IPA,American Double / Imperial IPA,12.00% ABV,4.43,534,162
83,Central Waters Brewing Co.,Black Gold (2015),American Double / Imperial Stout,11.00% ABV,4.43,265,132
84,Fremont Brewing Company,Bourbon Barrel Aged Abominable: Coffee And Cinnamon,American Strong Ale,14.00% ABV,4.43,501,159
85,Trillium Brewing Company,Fort Point Pale Ale,American Pale Ale (APA),6.60% ABV,4.43,1243,27
86,Perrin Brewery,No Rules,American Porter,15.00% ABV,4.43,507,26
87,Trillium Brewing Company,Double Dry Hopped Congress Street,American IPA,7.20% ABV,4.43,443,115
88,Funky Buddha Brewery,Maple Bacon Coffee Porter,American Porter,6.40% ABV,4.42,1352,54
89,Trillium Brewing Company,Congress Street IPA,American IPA,7.20% ABV,4.42,1181,28
90,Bissell Brothers Brewing Co.,Swish,American Double / Imperial IPA,8.00% ABV,4.42,515,158
91,Brothers Craft Brewing,Resolute - Coconut,American Double / Imperial Stout,13.50% ABV,4.42,46,77
92,Trillium Brewing Company,Headroom Double IPA,American Double / Imperial IPA,8.00% ABV,4.42,173,112
93,Jackie O's Pub & Brewery,Bourbon Barrel Champion Ground,American Double / Imperial Stout,11.00% ABV,4.42,186,125
94,Funky Buddha Brewery,Last Snow,American Porter,6.50% ABV,4.42,1223,48
95,Brouwerij St. Bernardus NV,St. Bernardus Abt 12,Quadrupel (Quad),10.00% ABV,4.42,8835,65
96,Firestone Walker Brewing Co.,Stickee Monkee,Quadrupel (Quad),12.00% ABV,4.42,1994,72
97,Brasserie Cantillon,Cantillon Saint Lamvinus,Lambic - Fruit,5.00% ABV,4.41,1872,134
98,Stone Brewing Co.,Imperial Russian Stout - Bourbon Barrel Aged,Russian Imperial Stout,11.50% ABV,4.41,1043,39
99,Brouwerij Drie Fonteinen,Drie Fonteinen Framboos,Lambic - Fruit,5.00% ABV,4.41,500,189
100,Alpine Beer Company,Keene Idea,American Double / Imperial IPA,8.88% ABV,4.41,415,147
101,Surly Brewing Company,Darkness,Russian Imperial Stout,10.30% ABV,4.41,3406,180
102,Tree House Brewing Company,Double Shot - Sumatra Mandheling,American Stout,7.80% ABV,4.41,341,125
103,Tree House Brewing Company,Juice Machine,American Double / Imperial IPA,8.20% ABV,4.41,71,80
104,Side Project Brewing,Fuzzy,American Wild Ale,8.00% ABV,4.41,416,114
105,Brasserie Cantillon,Cantillon Lou Pepe - Framboise,Lambic - Fruit,5.00% ABV,4.4,1113,92
106,Pelican Pub & Brewery,Mother Of All Storms,English Barleywine,14.00% ABV,4.4,1777,129
107,FiftyFifty Brewing Co.,Imperial Eclipse Stout - Elijah Craig (12 Year),American Double / Imperial Stout,11.90% ABV,4.4,1689,90
108,Russian River Brewing Company,Consecration,American Wild Ale,10.00% ABV,4.4,4890,2
109,Peg's Cantina & Brew Pub,Peg's G.O.O.D. RareR D.O.S.,American Double / Imperial Stout,10.00% ABV,4.4,677,18
110,Alpine Beer Company,Bad Boy,American Double / Imperial IPA,9.00% ABV,4.4,507,30
