Rank,Beer,Brewery,Style,ABV,Rating,Ratings,Reviews
1,Good Morning,Tree House Brewing Company,American Double / Imperial Stout,8.40%,4.72,1002,71
2,Kentucky Brunch Brand Stout,Toppling Goliath Brewing Company,American Double / Imperial Stout,12.00%,4.7,529,182
3,King Julius,Tree House Brewing Company,American Double / Imperial IPA,8.30%,4.67,704,27
4,Pliny The Younger,Russian River Brewing Company,American Double / Imperial IPA,10.25%,4.66,2978,184
5,Mornin' Delight,Toppling Goliath Brewing Company,American Double / Imperial Stout,12.00%,4.66,1010,56
6,Very Hazy,Tree House Brewing Company,American Double / Imperial IPA,8.60%,4.66,499,171
7,Hunahpu's Imperial Stout - Double Barrel Aged,Cigar City Brewing,American Double / Imperial Stout,11.00%,4.66,1326,28
8,Heady Topper,The Alchemist,American Double / Imperial IPA,8.00%,4.66,12883,64
9,King JJJuliusss,Tree House Brewing Company,American Double / Imperial IPA,8.40%,4.64,354,161
10,Dinner,Maine Beer Company,American Double / Imperial IPA,8.20%,4.63,1854,77
11,Marshmallow Handjee (Bourbon Barrel Aged Vanilla Bean Dark Lord),Three Floyds Brewing Company,Russian Imperial Stout,15.00%,4.63,1440,96
12,Julius,Tree House Brewing Company,American IPA,6.80%,4.62,3175,136
13,Founders CBS Imperial Stout,Founders Brewing Company,American Double / Imperial Stout,10.60%,4.62,4256,188
14,Juice Machine,Tree House Brewing Company,American Double / Imperial IPA,8.20%,4.61,501,189
15,Trappist Westvleteren 12 (XII),Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Quadrupel (Quad),10.20%,4.61,6156,12
16,Pliny The Elder,Russian River Brewing Company,American Double / Imperial IPA,8.00%,4.6,14099,99
17,Very Green,Tree House Brewing Company,American Double / Imperial IPA,8.60%,4.6,470,159
18,Barrel-Aged Abraxas,Perennial Artisan Ales,American Double / Imperial Stout,11.00%,4.6,1247,22
19,Fundamental Observation,Bottle Logic Brewing,American Double / Imperial Stout,14.30%,4.59,676,32
20,King Sue,Toppling Goliath Brewing Company,American Double / Imperial IPA,8.00%,4.58,1613,61
21,Bourbon County Brand Coffee Stout,Goose Island Beer Company,American Double / Imperial Stout,13.40%,4.57,6878,3
22,JJJuliusss,Tree House Brewing Company,American IPA,6.80%,4.57,331,142
23,Morning Wood,Funky Buddha Brewery,American Porter,12.00%,4.57,547,178
24,Focal Banger,The Alchemist,American IPA,7.00%,4.56,2609,102
25,Abner,Hill Farmstead Brewery,American Double / Imperial IPA,8.20%,4.56,2515,116
26,Founders KBS (Kentucky Breakfast Stout),Founders Brewing Company,American Double / Imperial Stout,12.40%,4.56,11991,97
27,AleSmith Speedway Stout - Vietnamese Coffee (Bourbon Barrel Aged),AleSmith Brewing Company,American Double / Imperial Stout,12.00%,4.56,586,156
28,Sip Of Sunshine,Lawson's Finest Liquids,American Double / Imperial IPA,8.00%,4.55,4279,137
29,Green,Tree House Brewing Company,American IPA,7.60%,4.55,2011,92
30,Citra,Kern River Brewing Company,American Double / Imperial IPA,8.00%,4.55,1672,119
31,Ann,Hill Farmstead Brewery,Saison / Farmhouse Ale,6.50%,4.55,333,167
32,Double Dry Hopped Congress Street,Trillium Brewing Company,American IPA,7.20%,4.54,883,16
33,Doppelganger,Tree House Brewing Company,American Double / Imperial IPA,8.20%,4.54,808,21
34,Double Sunshine IPA,Lawson's Finest Liquids,American Double / Imperial IPA,8.00%,4.54,2105,109
35,Alter Ego,Tree House Brewing Company,American IPA,6.80%,4.53,1567,78
36,Triple Sunshine IPA,Lawson's Finest Liquids,American Double / Imperial IPA,10.50%,4.53,571,142
37,Parabola,Firestone Walker Brewing Company,Russian Imperial Stout,14.00%,4.53,6228,4
38,Zombie Dust,Three Floyds Brewing Company,American Pale Ale (APA),6.20%,4.52,9786,8
39,Double Galaxy,Hill Farmstead Brewery,American Double / Imperial IPA,8.00%,4.52,1287,72
40,Resolute - Coconut,Brothers Craft Brewing,American Double / Imperial Stout,13.50%,4.52,182,135
41,Cantillon Fou' Foune,Brasserie Cantillon,Lambic - Fruit,5.00%,4.52,2781,139
42,Society & Solitude #4,Hill Farmstead Brewery,American Double / Imperial IPA,8.00%,4.51,1067,37
43,Master Of Karate,Aslin Beer Company,American Double / Imperial IPA,8.40%,4.51,160,138
44,Headroom,Trillium Brewing Company,American Double / Imperial IPA,8.00%,4.51,408,155
45,Haze,Tree House Brewing Company,American Double / Imperial IPA,8.20%,4.51,1699,81
46,Sunday Brunch,Kane Brewing Company,American Porter,9.20%,4.5,457,138
47,Swish,Bissell Brothers Brewing Company,American Double / Imperial IPA,8.00%,4.5,947,34
48,Duck Duck Gooze,The Lost Abbey,Gueuze,7.00%,4.5,1704,89
49,Hunahpu's Imperial Stout,Cigar City Brewing,American Double / Imperial Stout,11.00%,4.5,3986,165
50,In Perpetuity,Tree House Brewing Company,American IPA,6.70%,4.5,441,173
51,Bourbon County Brand Stout,Goose Island Beer Company,American Double / Imperial Stout,13.80%,4.5,11897,69
52,Fuzzy,Side Project Brewing,American Wild Ale,8.00%,4.5,674,162
53,Snowed In - Bourbon Barrel Aged,Funky Buddha Brewery,American Double / Imperial Stout,11.00%,4.5,274,123
54,Supplication,Russian River Brewing Company,American Wild Ale,7.00%,4.49,6193,7
55,Double Citra,Hill Farmstead Brewery,American Double / Imperial IPA,8.00%,4.49,1694,72
56,Galaxy Dry Hopped Fort Point Pale Ale,Trillium Brewing Company,American Pale Ale (APA),6.60%,4.49,1387,44
57,Double Shot,Tree House Brewing Company,American Stout,7.60%,4.49,776,163
58,Assassin Imperial Stout,Toppling Goliath Brewing Company,American Double / Imperial Stout,12.00%,4.49,1054,183
59,Cantillon Bl†b‘r Lambik,Brasserie Cantillon,Lambic - Fruit,5.00%,4.49,764,84
60,Bell's Black Note Stout,"Bell's Brewery, Inc.",American Double / Imperial Stout,11.40%,4.49,4025,150
61,PseudoSue,Toppling Goliath Brewing Company,American Pale Ale (APA),5.80%,4.49,3973,146
62,Double Dry Hopped Fort Point Pale Ale,Trillium Brewing Company,American Pale Ale (APA),6.60%,4.48,1095,20
63,Atrial Rubicite,Jester King Brewery,American Wild Ale,5.80%,4.48,1658,43
64,Kuhnhenn Bourbon Barrel Fourth Dementia,Kuhnhenn Brewing Company,Old Ale,13.50%,4.48,1879,122
65,Bourbon Barrel Aged Dark Lord Imperial Stout,Three Floyds Brewing Company,Russian Imperial Stout,15.00%,4.48,799,62
66,Bourbon Barrel Aged Abominable: Coffee And Cinnamon,Fremont Brewing Company,American Strong Ale,14.00%,4.48,713,183
67,Grande Negro Voodoo Papi - Bourbon Barrel Aged,Voodoo Brewing Company,American Double / Imperial Stout,12.50%,4.48,232,127
68,Cutting Tiles,Trillium Brewing Company,American Double / Imperial IPA,8.50%,4.48,982,38
69,The Abyss,Deschutes Brewery,American Double / Imperial Stout,12.20%,4.48,6843,13
70,Scaled Way Up,Trillium Brewing Company,American Double / Imperial IPA,8.00%,4.47,325,135
71,BOMB!,Prairie Artisan Ales,American Double / Imperial Stout,13.00%,4.47,5606,174
72,Trappist Westvleteren 8 (VIII),Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Dubbel,8.00%,4.47,2093,169
73,Notorious Triple IPA,Boneyard Beer Company,American Double / Imperial IPA,12.00%,4.47,712,181
74,Drie Fonteinen Zenne Y Frontera,Brouwerij Drie Fonteinen,Lambic - Unblended,7.00%,4.47,116,101
75,Ephraim,Hill Farmstead Brewery,American Double / Imperial IPA,10.00%,4.47,1008,81
76,Founders Breakfast Stout,Founders Brewing Company,American Double / Imperial Stout,8.30%,4.47,16166,100
77,Trappistes Rochefort 10,Brasserie de Rochefort,Quadrupel (Quad),11.30%,4.47,9038,68
78,Bourbon County Brand Barleywine Ale,Goose Island Beer Company,English Barleywine,12.10%,4.47,4942,143
79,BDCS,Ozark Beer Company,American Double / Imperial Stout,10.20%,4.47,301,142
80,Dark Horse Bourbon Barrel Aged Plead The 5th,Dark Horse Brewing Company,Russian Imperial Stout,12.00%,4.46,3045,126
81,Abrasive Ale,Surly Brewing Company,American Double / Imperial IPA,9.00%,4.46,4435,185
82,Cantillon Lou Pepe - Kriek,Brasserie Cantillon,Lambic - Fruit,5.00%,4.46,1686,114
83,Todd The Axe Man,Surly Brewing Company,American IPA,7.20%,4.46,2105,112
84,Evil Twin Double Barrel Jesus,Evil Twin Brewing,American Double / Imperial Stout,12.00%,4.46,579,160
85,Black Tuesday,The Bruery,American Double / Imperial Stout,19.20%,4.46,3759,157
86,Cable Car,The Lost Abbey,American Wild Ale,7.00%,4.46,958,79
87,Beatification,Russian River Brewing Company,American Wild Ale,5.50%,4.46,2581,145
88,Wide Awake It's Morning,Funky Buddha Brewery,American Double / Imperial Stout,10.00%,4.46,616,20
89,Fuzzy Baby Ducks IPA,New England Brewing Company,American IPA,6.20%,4.46,724,173
90,Society & Solitude #5,Hill Farmstead Brewery,American Double / Imperial IPA,8.10%,4.46,1353,46
