Rank,Beer,Brewery,Style,ABV,Rating,Ratings,Reviews
91,Double Dry Hopped PseudoSue (Citra),Toppling Goliath Brewing Company,American Pale Ale (APA),5.80%,4.45,216,127
92,Crusher,The Alchemist,American Double / Imperial IPA,9.60%,4.45,1351,42
93,Prairie Pirate Bomb!,Prairie Artisan Ales,American Double / Imperial Stout,14.00%,4.45,1866,63
94,Parabajava,Firestone Walker Brewing Company,Russian Imperial Stout,14.00%,4.45,577,162
95,The Rusty Nail,Fremont Brewing Company,American Double / Imperial Stout,13.20%,4.45,158,110
96,?ucaba,Firestone Walker Brewing Company,English Barleywine,12.50%,4.45,4917,177
97,Susan,Hill Farmstead Brewery,American IPA,6.20%,4.45,1744,59
98,Everett Porter,Hill Farmstead Brewery,American Porter,7.50%,4.45,2561,118
99,Fort Point Pale Ale,Trillium Brewing Company,American Pale Ale (APA),6.60%,4.45,1732,57
100,CaffŠ Americano,Cigar City Brewing,American Double / Imperial Stout,11.00%,4.45,940,25
101,Drie Fonteinen Oude Geuze Golden Blend,Brouwerij Drie Fonteinen,Gueuze,7.50%,4.45,995,54
102,AleSmith Speedway Stout - Bourbon Barrel Aged,AleSmith Brewing Company,American Double / Imperial Stout,12.00%,4.45,2050,111
103,Congress Street IPA,Trillium Brewing Company,American IPA,7.20%,4.45,1815,75
104,Drie Fonteinen Oude Geuze Vintage,Brouwerij Drie Fonteinen,Gueuze,6.00%,4.44,696,28
105,No Rules,Perrin Brewery,American Porter,15.00%,4.44,916,57
106,Decoherence,Cigar City Brewing,American Double / Imperial Stout,12.90%,4.44,158,90
107,Mosaic Dry Hopped Fort Point,Trillium Brewing Company,American Pale Ale (APA),6.60%,4.44,888,14
108,Sosus,Toppling Goliath Brewing Company,American Double / Imperial IPA,8.00%,4.44,1238,37
109,Keene Idea,Alpine Beer Company,American Double / Imperial IPA,8.88%,4.44,445,153
110,Beer Geek Vanilla Shake (Bourbon Edition),Mikkeller ApS,American Double / Imperial Stout,13.00%,4.44,287,127
111,Adam From The Wood,Hair of the Dog Brewing Company / Brewery and Tasting Room,Old Ale,12.00%,4.44,940,50
112,Hopslam Ale,"Bell's Brewery, Inc.",American Double / Imperial IPA,10.00%,4.44,12640,98
113,Permanent Funeral,Three Floyds Brewing Company,American Double / Imperial IPA,10.50%,4.44,2772,104
114,Brew 1000 - Bourbon Barrel Aged,Fremont Brewing Company,English Barleywine,13.10%,4.43,157,106
115,Bourbon Barrel Champion Ground,Jackie O's Pub & Brewery,American Double / Imperial Stout,11.00%,4.43,382,161
116,Imperial Biscotti Break Bourbon Barrel Aged,Evil Twin Brewing,American Double / Imperial Stout,11.50%,4.43,1535,35
117,Imperial Russian Stout - Bourbon Barrel Aged,Stone Brewing,Russian Imperial Stout,13.50%,4.43,1134,49
118,Upper Case,Trillium Brewing Company,American Double / Imperial IPA,9.00%,4.43,758,187
119,Nectarine Premiere,de Garde Brewing,Saison / Farmhouse Ale,7.10%,4.43,180,86
120,A Deal With The Devil,Anchorage Brewing Company,American Barleywine,17.30%,4.43,945,29
121,Heavy Mettle,Trillium Brewing Company,American Double / Imperial IPA,9.30%,4.42,764,168
122,Barrel Aged Bomb!,Prairie Artisan Ales,American Double / Imperial Stout,11.20%,4.42,920,41
123,The Broken Truck,de Garde Brewing,Gueuze,5.00%,4.42,136,80
124,Columbus Bodhi DIPA,Columbus Brewing Company,American Double / Imperial IPA,8.50%,4.42,1399,60
125,Stickee Monkee,Firestone Walker Brewing Company,Quadrupel (Quad),12.00%,4.42,2294,85
126,Bourbon Barrel Aged Dark Star Oatmeal Stout,Fremont Brewing Company,Oatmeal Stout,14.50%,4.42,404,147
127,Maple Bacon Coffee Porter,Funky Buddha Brewery,American Porter,6.40%,4.42,1689,82
128,Last Snow,Funky Buddha Brewery,American Porter,6.40%,4.42,1664,78
129,Miami Madness,J. Wakefield Brewing,Berliner Weissbier,3.50%,4.42,275,125
130,St. Bernardus Abt 12,Brouwerij St. Bernardus NV,Quadrupel (Quad),10.00%,4.42,9291,67
131,Imperial Eclipse Stout - Elijah Craig (12 Year),FiftyFifty Brewing Company,American Double / Imperial Stout,11.90%,4.42,1842,95
132,Cantillon Lou Pepe - Framboise,Brasserie Cantillon,Lambic - Fruit,5.00%,4.42,1244,94
133,Peg's G.O.O.D. RareR D.O.S.,Peg's Cantina & Brew Pub,American Double / Imperial Stout,10.00%,4.42,725,18
134,Drie Fonteinen Framboos,Brouwerij Drie Fonteinen,Lambic - Fruit,5.00%,4.42,633,17
135,Cantillon Saint Lamvinus,Brasserie Cantillon,Lambic - Fruit,5.00%,4.42,2006,134
136,Trademark Dispute: Hazelnut,Peg's Cantina & Brew Pub,American Double / Imperial Stout,Imperial,4.42,124,76
137,Afterimage,Grimm Artisanal Ales,American Double / Imperial IPA,8.00%,4.41,425,166
138,Temptation,Russian River Brewing Company,American Wild Ale,7.50%,4.41,3615,1
139,Juicy,Hill Farmstead Brewery,Saison / Farmhouse Ale,7.40%,4.41,455,164
140,Prairie Apple Brandy Noir,Prairie Artisan Ales,American Double / Imperial Stout,12.00%,4.41,1378,55
141,Darkness,Surly Brewing Company,Russian Imperial Stout,10.30%,4.41,3686,176
142,Hop JuJu Imperial IPA,Fat Head's Brewery & Saloon,American Double / Imperial IPA,9.00%,4.41,1965,83
143,Chocolate Rain,The Bruery,American Double / Imperial Stout,18.50%,4.41,2583,108
144,Triple Shot,Tree House Brewing Company,American Double / Imperial Stout,9.00%,4.41,254,101
145,Bad Boy,Alpine Beer Company,American Double / Imperial IPA,9.00%,4.41,549,30
146,Abraxas,Perennial Artisan Ales,American Double / Imperial Stout,10.00%,4.41,2315,91
147,Dragon Fruit Passion Fruit Berliner,J. Wakefield Brewing,Berliner Weissbier,3.50%,4.41,282,127
148,Citraquench'l,Heist Brewery,American IPA,6.70%,4.41,90,86
149,Mother Of All Storms,Pelican Pub & Brewery,English Barleywine,14.00%,4.41,1901,130
150,Orange Starfish,Aslin Beer Company,American IPA,5.70%,4.41,124,88
151,Coriolis,New England Brewing Company,American Double / Imperial IPA,8.20%,4.41,530,153
152,Oro Negro,Jackie O's Pub & Brewery,American Double / Imperial Stout,10.00%,4.4,612,15
153,Saison Bernice,Sante Adairius Rustic Ales,Saison / Farmhouse Ale,6.50%,4.4,823,164
154,Consecration,Russian River Brewing Company,American Wild Ale,10.00%,4.4,5170,2
155,Born Yesterday Pale Ale,Lagunitas Brewing Company,American Pale Ale (APA),7.00%,4.4,2159,124
156,Second Fiddle,Fiddlehead Brewing Company,American Double / Imperial IPA,8.20%,4.4,1667,58
157,Ten Fidy Bourbon Barrel Aged,Oskar Blues Grill & Brew,Russian Imperial Stout,12.90%,4.4,465,151
158,Ghost In The Machine,Parish Brewing Company,American Double / Imperial IPA,8.00%,4.4,520,173
159,Westly,Sante Adairius Rustic Ales,American Wild Ale,8.50%,4.4,226,101
160,Double Dry Hopped Sleeper Street,Trillium Brewing Company,American IPA,7.20%,4.4,639,162
161,Montmorency Vs Balaton,Jester King Brewery,American Wild Ale,6.70%,4.4,675,142
162,Samuel Adams Utopias,Boston Beer Company (Samuel Adams),American Strong Ale,29.00%,4.4,2458,141
163,Weihenstephaner Hefeweissbier,Bayerische Staatsbrauerei Weihenstephan,Hefeweizen,5.40%,4.4,8112,66
164,Epiphany,Foundation Brewing Company,American Double / Imperial IPA,8.00%,4.4,828,28
165,Bourbon Barrel Aged Dark Star: Coffee Edition,Fremont Brewing Company,Oatmeal Stout,14.50%,4.4,521,140
166,Rodenbach CaractŠre Rouge,Brouwerij Rodenbach N.V.,Flanders Red Ale,7.00%,4.4,1348,63
167,Dreadnaught IPA,Three Floyds Brewing Company,American Double / Imperial IPA,9.50%,4.4,5930,10
168,Softly Spoken Magic Spells,SingleCut Beersmiths,American Double / Imperial IPA,8.60%,4.4,521,26
169,AleSmith Speedway Stout - Vietnamese Coffee,AleSmith Brewing Company,American Double / Imperial Stout,12.00%,4.4,1649,39
170,West Ashley,Sante Adairius Rustic Ales,American Wild Ale,7.30%,4.4,931,179
171,Rare Scooop,Peg's Cantina & Brew Pub,American Double / Imperial Stout,Imperial,4.39,93,70
172,Matt,Hair of the Dog Brewing Company / Brewery and Tasting Room,American Strong Ale,11.50%,4.39,826,83
173,Dusk Trill Dawn,Trillium Brewing Company,American Double / Imperial Stout,11.50%,4.39,335,144
174,Ground State - 2nd Anniversary Beer,Bottle Logic Brewing,American Double / Imperial Stout,12.50%,4.39,361,149
175,Society & Solitude #6,Hill Farmstead Brewery,American Double / Imperial IPA,8.10%,4.39,668,161
176,Double Dry Hopped Scaled,Trillium Brewing Company,American IPA,7.00%,4.39,555,161
177,Vicinity,Trillium Brewing Company,American Double / Imperial IPA,8.00%,4.39,1241,48
178,Leche Borracho,Bottle Logic Brewing,American Double / Imperial Stout,11.00%,4.39,243,132
179,Great,Alpine Beer Company,American Barleywine,14.00%,4.39,648,45
180,Nut Smasher,Willoughby Brewing,American Double / Imperial Stout,11.00%,4.39,288,148
181,Citra Showers,Noble Ale Works,American Double / Imperial IPA,8.80%,4.39,477,159
182,P‚ch‚ Mortel,Brasserie Dieu du Ciel!,American Double / Imperial Stout,9.50%,4.39,4999,11
183,Tweak,Avery Brewing Company,American Double / Imperial Stout,17.81%,4.39,2070,87
184,Stone Enjoy By IPA,Stone Brewing,American Double / Imperial IPA,9.40%,4.39,10504,6
185,Scaled Up,Trillium Brewing Company,American Double / Imperial IPA,8.00%,4.38,595,175
186,Saison Du Fermier,Side Project Brewing,Saison / Farmhouse Ale,7.00%,4.38,611,128
187,Trademark Dispute: Pallet 1,Peg's Cantina & Brew Pub,American Double / Imperial Stout,10.40%,4.38,258,128
188,Spotted Puffer,Pipeworks Brewing Company,American Double / Imperial IPA,9.50%,4.38,292,128
189,Edward,Hill Farmstead Brewery,American Pale Ale (APA),5.20%,4.38,2550,113
190,XHOPS (Gold Label),Toppling Goliath Brewing Company,American Pale Ale (APA),5.30%,4.38,383,161
191,Curiosity Twenty Seven,Tree House Brewing Company,American Double / Imperial IPA,8.00%,4.38,92,70
192,Mexican Brunch,Kane Brewing Company,American Porter,9.20%,4.38,165,70
193,Winter Ale / 5th Anniversary Ale,Kern River Brewing Company,American Double / Imperial IPA,8.00%,4.38,272,181
194,Yellow Rose,The Lone Pint Brewery,American IPA,6.80%,4.38,1564,73
195,Cascade Sang Noir,Cascade Brewing / Raccoon Lodge & Brewpub,American Wild Ale,9.50%,4.38,1592,72
196,Sure Bet,Pipeworks Brewing Company,American Double / Imperial IPA,9.50%,4.38,507,152
197,Sculpin IPA,Ballast Point Brewing Company,American IPA,7.00%,4.38,13520,65
198,Madagascar,4 Hands Brewing Company,Milk / Sweet Stout,9.30%,4.38,617,158
199,Exponential Hoppiness,Alpine Beer Company,American Double / Imperial IPA,11.00%,4.37,1292,120
200,French Vanilla Militia,Three Floyds Brewing Company,Russian Imperial Stout,Imperial,4.37,107,76
201,Double Dry Hopped Melcher Street,Trillium Brewing Company,American IPA,7.30%,4.37,720,170
202,Peche 'n Brett,Logsdon Farmhouse Ales,Saison / Farmhouse Ale,10.00%,4.37,1240,50
203,Nelson,Alpine Beer Company,American IPA,7.00%,4.37,4031,172
204,Aaron,Hill Farmstead Brewery,English Barleywine,BreweryEnglish,4.37,319,101
205,Damon (Bourbon Barrel Aged),Hill Farmstead Brewery,Russian Imperial Stout,10.50%,4.37,655,181
206,Stone Enjoy By Unfiltered IPA,Stone Brewing,American Double / Imperial IPA,9.40%,4.37,1123,74
207,Cantillon Gueuze 100% Lambic,Brasserie Cantillon,Gueuze,5.00%,4.37,3095,154
208,P‚ch‚ Mortel En F–t De Bourbon Am‚ricain,Brasserie Dieu du Ciel!,American Double / Imperial Stout,9.50%,4.37,441,180
209,Pugachev Royale,Hangar 24 Brewery,Russian Imperial Stout,14.80%,4.37,169,80
210,All Green Everything,Other Half Brewing Company,American Double / Imperial IPA,10.50%,4.37,946,23
211,Dragonsaddle,Hoof Hearted Brewing,American Double / Imperial IPA,11.20%,4.37,173,117
212,Kuhnhenn Raspberry Eisbock,Kuhnhenn Brewing Company,Eisbock,15.50%,4.37,1225,131
213,AleSmith Speedway Stout,AleSmith Brewing Company,American Double / Imperial Stout,12.00%,4.37,6605,9
214,Barrel-Aged Silhouette,Lift Bridge Brewery,Russian Imperial Stout,10.00%,4.36,338,121
215,Lumen,Grimm Artisanal Ales,American IPA,6.40%,4.36,248,121
216,Mosaic IPA,Other Half Brewing Company,American IPA,7.20%,4.36,341,121
217,Drie Fonteinen Hommage,Brouwerij Drie Fonteinen,Lambic - Fruit,6.00%,4.36,838,53
218,Grey Monday,The Bruery,American Double / Imperial Stout,19.50%,4.36,1655,36
219,"Derivation #6 (Cinnamon, Cocoa Nibs And Ugandan Vanilla)",Side Project Brewing,American Double / Imperial Stout,15.00%,4.36,39,31
220,The Pupil,Societe Brewing Company,American IPA,7.80%,4.36,870,183
221,Dialed In (w/ Sauvignon Blanc Juice),Trillium Brewing Company,American Double / Imperial IPA,8.50%,4.36,396,140
222,Box Set Track #10 - Bat Out Of Hell,The Lost Abbey,American Double / Imperial Stout,13.50%,4.36,965,33
223,Bourbon Barrel Oro Negro,Jackie O's Pub & Brewery,American Double / Imperial Stout,11.00%,4.36,212,107
224,Breakfast Exorcism,Clown Shoes,American Double / Imperial Stout,11.00%,4.36,319,138
225,Bourbon Barrel Black Maple,Jackie O's Pub & Brewery,American Porter,11.00%,4.36,871,180
226,Mexican Cake,Westbrook Brewing Company,American Double / Imperial Stout,10.50%,4.36,2619,105
227,Callipygian,Avery Brewing Company,American Double / Imperial Stout,17.10%,4.36,355,159
228,Tesseract,Grimm Artisanal Ales,American Double / Imperial IPA,8.00%,4.36,459,164
229,Cantillon Lou Pepe - Gueuze,Brasserie Cantillon,Gueuze,5.00%,4.36,1100,72
230,Buxton / Omnipollo Yellow Belly,Buxton Brewery,American Double / Imperial Stout,11.00%,4.36,228,133
231,ScareCity #3: High West-ified Imperial Coffee Stout,Lagunitas Brewing Company,American Double / Imperial Stout,12.10%,4.36,1330,60
232,Last Buffalo In The Park,Funky Buddha Brewery,American Double / Imperial Stout,11.50%,4.36,142,47
233,Genealogy Of Morals (Bourbon Barrel Aged),Hill Farmstead Brewery,American Double / Imperial Stout,10.70%,4.36,500,135
234,Lambo Door,Grimm Artisanal Ales,American Double / Imperial IPA,8.00%,4.36,481,186
235,Birth Of Tragedy,Hill Farmstead Brewery,American Porter,9.00%,4.35,1130,52
236,Wisconsin Belgian Red,New Glarus Brewing Company,Fruit / Vegetable Beer,4.00%,4.35,3496,190
237,Bourbon Abominable Winter Ale,Fremont Brewing Company,American Strong Ale,14.00%,4.35,1017,51
238,Locust Reign,New England Brewing Company,American Double / Imperial IPA,8.50%,4.35,284,115
239,Magnetic Compass,Grimm Artisanal Ales,American IPA,6.40%,4.35,157,106
240,Mastermind,Fiddlehead Brewing Company,American Double / Imperial IPA,8.10%,4.35,1305,40
241,Serendipity,New Glarus Brewing Company,Fruit / Vegetable Beer,4.00%,4.35,2779,93
242,Hop Venom Double IPA,Boneyard Beer Company,American Double / Imperial IPA,8.90%,4.35,901,24
243,Mind The Hop,Aslin Beer Company,American Double / Imperial IPA,9.50%,4.35,83,86
244,Live Oak HefeWeizen,Live Oak Brewing Company,Hefeweizen,5.20%,4.35,1562,129
245,Trademark Dispute: &+,Peg's Cantina & Brew Pub,American Double / Imperial Stout,10.50%,4.35,214,103
246,Victory At Sea Coffee Vanilla Imperial Porter,Ballast Point Brewing Company,American Porter,10.00%,4.35,6672,5
247,Mocha Wednesday,The Bruery,American Double / Imperial Stout,19.20%,4.35,1243,20
248,Trademark Dispute: Nooner 10,Peg's Cantina & Brew Pub,American Double / Imperial Stout,12.00%,4.35,204,90
249,What Is Enlightenment?,Hill Farmstead Brewery,American Pale Ale (APA),5.40%,4.34,872,19
250,Uncle Jacob's Stout,Avery Brewing Company,American Double / Imperial Stout,17.10%,4.34,2542,119
