"Rank","Beer","Brewery","Style","ABV","Rating","Ratings","Reviews"
53,"Hunahpu's Imperial Stout","Cigar City Brewing","American Double / Imperial Stout","11.00%",4.5,4032,171
54,"Bourbon County Brand Stout","Goose Island Beer Company","American Double / Imperial Stout","13.80%",4.5,12041,66
55,"Galaxy Dry Hopped Fort Point Pale Ale","Trillium Brewing Company","American Pale Ale (APA)","6.60%",4.49,1442,44
56,"Supplication","Russian River Brewing Company","American Wild Ale","7.00%",4.49,6232,7
57,"Double Citra","Hill Farmstead Brewery","American Double / Imperial IPA","8.00%",4.49,1698,69
58,"Double Shot","Tree House Brewing Company","American Stout","7.60%",4.49,809,169
59,"Fuzzy","Side Project Brewing","American Wild Ale","8.00%",4.49,708,169
60,"Doubleganger","Tree House Brewing Company","American Double / Imperial IPA","8.20%",4.49,153,107
61,"Cantillon Blåbær Lambik","Brasserie Cantillon","Lambic - Fruit","5.00%",4.49,774,87
62,"Drie Fonteinen Zenne Y Frontera","Brouwerij Drie Fonteinen","Lambic - Unblended","7.00%",4.49,131,117
63,"Bell's Black Note Stout","Bell's Brewery, Inc.","American Double / Imperial Stout","11.40%",4.49,4179,160
64,"PseudoSue","Toppling Goliath Brewing Company","American Pale Ale (APA)","5.80%",4.49,4065,153
65,"Atrial Rubicite","Jester King Brewery","American Wild Ale","5.80%",4.48,1684,41
66,"Bourbon Barrel Aged Abominable: Coffee And Cinnamon","Fremont Brewing Company","American Strong Ale","14.00%",4.48,747,192
67,"Bourbon Barrel Aged Dark Lord Imperial Stout","Three Floyds Brewing Company","Russian Imperial Stout","15.00%",4.48,808,60
68,"Kuhnhenn Bourbon Barrel Fourth Dementia","Kuhnhenn Brewing Company","Old Ale","13.50%",4.48,1890,129
69,"Double Dry Hopped Fort Point Pale Ale","Trillium Brewing Company","American Pale Ale (APA)","6.60%",4.48,1179,24
70,"The Rusty Nail","Fremont Brewing Company","American Double / Imperial Stout","13.20%",4.48,181,126
71,"The Abyss","Deschutes Brewery","American Double / Imperial Stout","12.20%",4.48,6921,13
72,"Scaled Way Up","Trillium Brewing Company","American Double / Imperial IPA","8.00%",4.47,331,139
73,"Cutting Tiles (Mosaic)","Trillium Brewing Company","American Double / Imperial IPA","8.50%",4.47,1058,39
74,"Notorious Triple IPA","Boneyard Beer Company","American Double / Imperial IPA","12.00%",4.47,736,188
75,"BOMB!","Prairie Artisan Ales","American Double / Imperial Stout","13.00%",4.47,5706,182
76,"Trappist Westvleteren 8 (VIII)","Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)","Dubbel","8.00%",4.47,2114,175
77,"Parabajava","Firestone Walker Brewing Company","Russian Imperial Stout","14.00%",4.47,642,173
78,"Ephraim","Hill Farmstead Brewery","American Double / Imperial IPA","10.00%",4.47,1010,79
79,"Cable Car","The Lost Abbey","American Wild Ale","7.00%",4.47,969,77
80,"Founders Breakfast Stout","Founders Brewing Company","American Double / Imperial Stout","8.30%",4.47,16305,103
81,"Fuzzy Baby Ducks IPA","New England Brewing Company","American IPA","6.20%",4.47,739,184
82,"Trappistes Rochefort 10","Brasserie de Rochefort","Quadrupel (Quad)","11.30%",4.47,9091,65
83,"Bourbon County Brand Barleywine Ale","Goose Island Beer Company","English Barleywine","12.10%",4.47,5036,150
84,"Evil Twin Double Barrel Jesus","Evil Twin Brewing","American Double / Imperial Stout","12.00%",4.46,602,168
85,"Beer Geek Vanilla Shake (Bourbon Edition)","Mikkeller ApS","American Double / Imperial Stout","13.00%",4.46,326,139
86,"Dark Horse Bourbon Barrel Aged Plead The 5th","Dark Horse Brewing Company","Russian Imperial Stout","12.00%",4.46,3074,132
87,"BDCS","Ozark Beer Company","American Double / Imperial Stout","10.20%",4.46,310,148
88,"Crusher","The Alchemist","American Double / Imperial IPA","9.60%",4.46,1490,53
89,"Cantillon Lou Pepe - Kriek","Brasserie Cantillon","Lambic - Fruit","5.00%",4.46,1695,116
90,"Black Tuesday","The Bruery","American Double / Imperial Stout","19.20%",4.46,3810,162
91,"Wide Awake It's Morning","Funky Buddha Brewery","American Porter","10.00%",4.46,660,21
92,"Beatification","Russian River Brewing Company","American Wild Ale","5.50%",4.46,2594,149
93,"Society & Solitude #5","Hill Farmstead Brewery","American Double / Imperial IPA","8.10%",4.46,1378,43
94,"Pirate Bomb!","Prairie Artisan Ales","American Double / Imperial Stout","14.00%",4.46,1931,69
95,"Decoherence","Cigar City Brewing","American Double / Imperial Stout","12.90%",4.46,181,104
96,"Drie Fonteinen Oude Geuze Vintage","Brouwerij Drie Fonteinen","Gueuze","6.00%",4.45,709,27
97,"Susan","Hill Farmstead Brewery","American IPA","6.20%",4.45,1774,57
98,"Caffè Americano","Cigar City Brewing","American Double / Imperial Stout","11.00%",4.45,974,25
99,"Abrasive Ale","Surly Brewing Company","American Double / Imperial IPA","9.00%",4.45,4494,191
100,"Fort Point Pale Ale","Trillium Brewing Company","American Pale Ale (APA)","6.60%",4.45,1787,56
101,"§ucaba","Firestone Walker Brewing Company","English Barleywine","12.50%",4.45,4958,185
102,"Sosus","Toppling Goliath Brewing Company","American Double / Imperial IPA","8.00%",4.45,1283,37
103,"Everett Porter","Hill Farmstead Brewery","American Porter","7.50%",4.45,2573,123
104,"Ten FIDY Bourbon Barrel Aged","Oskar Blues Grill & Brew","Russian Imperial Stout","12.90%",4.45,1013,54
105,"Citraquench'l","Heist Brewery","American IPA","6.70%",4.45,120,117
106,"Todd The Axe Man","Surly Brewing Company","American IPA","7.20%",4.45,2170,118
107,"Drie Fonteinen Oude Geuze Golden Blend","Brouwerij Drie Fonteinen","Gueuze","7.50%",4.45,1006,51
108,"AleSmith Speedway Stout - Bourbon Barrel Aged","AleSmith Brewing Company","American Double / Imperial Stout","12.00%",4.45,2071,114
109,"Congress Street IPA","Trillium Brewing Company","American IPA","7.20%",4.45,1860,74
110,"Mosaic Dry Hopped Fort Point","Trillium Brewing Company","American Pale Ale (APA)","6.60%",4.45,963,18
111,"Bourbon Barrel Champion Ground","Jackie O's Pub & Brewery","American Double / Imperial Stout","11.00%",4.45,449,176
112,"The Broken Truck","de Garde Brewing","Gueuze","5.00%",4.44,154,88
113,"Brew 1000 - Bourbon Barrel Aged","Fremont Brewing Company","English Barleywine","13.10%",4.44,169,110
114,"Keene Idea","Alpine Beer Company","American Double / Imperial IPA","8.88%",4.44,445,158
115,"Trademark Dispute: Hazelnut","Peg's Cantina & Brew Pub","American Double / Imperial Stout","Imperial",4.44,198,104
116,"Last Buffalo In The Park","Funky Buddha Brewery","American Double / Imperial Stout","11.50%",4.44,235,119
117,"Permanent Funeral","Three Floyds Brewing Company","American Double / Imperial IPA","10.50%",4.44,2794,108
118,"Hopslam Ale","Bell's Brewery, Inc.","American Double / Imperial IPA","10.00%",4.44,12777,101
119,"Miami Madness","J. Wakefield Brewing","Berliner Weissbier","5.50%",4.44,292,135
120,"Nectarine Premiere","de Garde Brewing","Saison / Farmhouse Ale","7.10%",4.44,201,93
121,"Stickee Monkee","Firestone Walker Brewing Company","Quadrupel (Quad)","11.60%",4.43,2328,89
122,"Upper Case","Trillium Brewing Company","American Double / Imperial IPA","9.00%",4.43,789,15
123,"Heavy Mettle","Trillium Brewing Company","American Double / Imperial IPA","9.30%",4.43,793,184
124,"Barrel Aged Bomb!","Prairie Artisan Ales","American Double / Imperial Stout","11.20%",4.43,1018,49
125,"Imperial Biscotti Break Bourbon Barrel Aged","Evil Twin Brewing","American Double / Imperial Stout","11.50%",4.43,1549,32
126,"Adam From The Wood","Hair of the Dog Brewing Company / Brewery and Tasting Room","Old Ale","12.00%",4.43,945,46
127,"Imperial Russian Stout - Bourbon Barrel Aged","Stone Brewing","Russian Imperial Stout","13.50%",4.43,1141,45
128,"Juicy","Hill Farmstead Brewery","Saison / Farmhouse Ale","7.40%",4.43,485,178
129,"Bourbon Barrel Aged Dark Star Oatmeal Stout","Fremont Brewing Company","Oatmeal Stout","14.50%",4.43,449,155
130,"A Deal With The Devil","Anchorage Brewing Company","American Barleywine","17.30%",4.43,964,29
131,"Rare Scooop","Peg's Cantina & Brew Pub","American Double / Imperial Stout","Imperial",4.43,106,78
132,"Prairie Apple Brandy Noir","Prairie Artisan Ales","American Double / Imperial Stout","12.00%",4.43,1435,58
133,"Alexander","Brouwerij Rodenbach N.V.","Flanders Red Ale","5.00%",4.42,435,34
134,"Maple Bacon Coffee Porter","Funky Buddha Brewery","American Porter","6.40%",4.42,1722,81
135,"Last Snow","Funky Buddha Brewery","American Porter","6.40%",4.42,1720,80
136,"Drie Fonteinen Framboos","Brouwerij Drie Fonteinen","Lambic - Fruit","5.00%",4.42,650,17
137,"No Rules","Perrin Brewery","American Porter","15.00%",4.42,1016,71
138,"St. Bernardus Abt 12","Brouwerij St. Bernardus NV","Quadrupel (Quad)","10.00%",4.42,9366,64
139,"Coriolis","New England Brewing Company","American Double / Imperial IPA","8.20%",4.42,574,166
140,"Cantillon Lou Pepe - Framboise","Brasserie Cantillon","Lambic - Fruit","5.00%",4.42,1255,97
141,"Saison Bernice","Sante Adairius Rustic Ales","Saison / Farmhouse Ale","6.50%",4.42,840,174
142,"Cantillon Saint Lamvinus","Brasserie Cantillon","Lambic - Fruit","5.00%",4.42,2018,138
143,"Columbus Bodhi DIPA","Columbus Brewing Company","American Double / Imperial IPA","8.50%",4.42,1438,59
144,"Afterimage","Grimm Artisanal Ales","American Double / Imperial IPA","8.00%",4.41,432,172
145,"Pugachev Royale","Hangar 24 Brewery","Russian Imperial Stout","14.80%",4.41,193,91
146,"Temptation","Russian River Brewing Company","American Wild Ale","7.50%",4.41,3633,1
147,"Hop JuJu Imperial IPA","Fat Head's Brewery & Saloon","American Double / Imperial IPA","9.00%",4.41,1975,84
148,"Darkness","Surly Brewing Company","Russian Imperial Stout","10.30%",4.41,3740,183
149,"Triple Shot","Tree House Brewing Company","American Double / Imperial Stout","9.00%",4.41,254,104
150,"Dragon Fruit Passion Fruit Berliner","J. Wakefield Brewing","Berliner Weissbier","3.50%",4.41,291,133
151,"Chocolate Rain","The Bruery","American Double / Imperial Stout","18.50%",4.41,2612,111
152,"Oro Negro","Jackie O's Pub & Brewery","American Double / Imperial Stout","10.50%",4.41,651,17
153,"Peg's G.O.O.D. RareR D.O.S.","Peg's Cantina & Brew Pub","American Double / Imperial Stout","10.00%",4.41,736,17
154,"Bad Boy","Alpine Beer Company","American Double / Imperial IPA","9.00%",4.41,549,30
155,"Abraxas","Perennial Artisan Ales","American Double / Imperial Stout","10.00%",4.41,2406,106
156,"Imperial Eclipse Stout - Elijah Craig (12 Year)","FiftyFifty Brewing Company","American Double / Imperial Stout","11.90%",4.41,1866,98
157,"Rodenbach Caractère Rouge","Brouwerij Rodenbach N.V.","Flanders Red Ale","7.00%",4.41,1378,68
158,"Mother Of All Storms","Pelican Pub & Brewery","English Barleywine","14.00%",4.41,1927,137
159,"Second Fiddle","Fiddlehead Brewing Company","American Double / Imperial IPA","8.20%",4.41,1704,57
160,"Orange Starfish","Aslin Beer Company","American IPA","5.70%",4.4,133,96
161,"Born Yesterday Pale Ale","Lagunitas Brewing Company","American Pale Ale (APA)","7.00%",4.4,2234,130
162,"Softly Spoken Magic Spells","SingleCut Beersmiths","American Double / Imperial IPA","8.60%",4.4,607,35
163,"Consecration","Russian River Brewing Company","American Wild Ale","10.00%",4.4,5206,2
164,"Curiosity Twenty Seven","Tree House Brewing Company","American Double / Imperial IPA","8.00%",4.4,124,75
165,"Westly","Sante Adairius Rustic Ales","American Wild Ale","8.50%",4.4,229,104
166,"Dialed In (w/ Sauvignon Blanc Juice)","Trillium Brewing Company","American Double / Imperial IPA","8.50%",4.4,471,161
167,"Montmorency Vs Balaton","Jester King Brewery","American Wild Ale","6.70%",4.4,695,148
168,"Nut Smasher","Willoughby Brewing","American Double / Imperial Stout","11.00%",4.4,295,155
169,"Mexican Brunch","Kane Brewing Company","American Porter","9.20%",4.4,216,90
170,"Bourbon Barrel Aged Dark Star: Coffee Edition","Fremont Brewing Company","Oatmeal Stout","14.50%",4.4,558,154
171,"Epiphany","Foundation Brewing Company","American Double / Imperial IPA","8.00%",4.4,854,28
172,"Samuel Adams Utopias","Boston Beer Company (Samuel Adams)","American Strong Ale","29.00%",4.4,2487,147
173,"AleSmith Speedway Stout - Vietnamese Coffee","AleSmith Brewing Company","American Double / Imperial Stout","12.00%",4.4,1707,40
174,"Weihenstephaner Hefeweissbier","Bayerische Staatsbrauerei Weihenstephan","Hefeweizen","5.40%",4.4,8168,63
175,"West Ashley","Sante Adairius Rustic Ales","American Wild Ale","7.30%",4.4,943,186
176,"Trademark Dispute: Pallet 1","Peg's Cantina & Brew Pub","American Double / Imperial Stout","10.40%",4.4,300,142
177,"Ground State - 2nd Anniversary Beer","Bottle Logic Brewing","American Double / Imperial Stout","12.50%",4.4,373,157
178,"Double Dry Hopped Sleeper Street","Trillium Brewing Company","American IPA","7.20%",4.39,718,179
179,"Matt","Hair of the Dog Brewing Company / Brewery and Tasting Room","American Strong Ale","11.50%",4.39,831,83
180,"Leche Borracho","Bottle Logic Brewing","American Double / Imperial Stout","11.00%",4.39,269,140
181,"French Vanilla Militia","Three Floyds Brewing Company","Russian Imperial Stout","Imperial",4.39,116,78
182,"Society & Solitude #6","Hill Farmstead Brewery","American Double / Imperial IPA","8.10%",4.39,671,166
183,"Double Dry Hopped Scaled","Trillium Brewing Company","American IPA","7.00%",4.39,566,166
184,"Double Dry Hopped Melcher Street","Trillium Brewing Company","American IPA","7.30%",4.39,779,187
185,"Great","Alpine Beer Company","American Barleywine","14.00%",4.39,653,42
186,"Cascade Sang Noir","Cascade Brewing / Raccoon Lodge & Brewpub","American Wild Ale","9.50%",4.39,1630,72
187,"XHOPS (Gold Label)","Toppling Goliath Brewing Company","American Pale Ale (APA)","5.30%",4.39,432,170
188,"Aaron","Hill Farmstead Brewery","English Barleywine","BreweryEnglish",4.39,340,110
189,"Ghost In The Machine","Parish Brewing Company","American Double / Imperial IPA","8.00%",4.39,542,184
190,"Péché Mortel","Brasserie Dieu du Ciel!","American Double / Imperial Stout","9.50%",4.39,5029,11
191,"Dreadnaught IPA","Three Floyds Brewing Company","American Double / Imperial IPA","9.50%",4.39,5945,10
192,"Saison Du Fermier","Side Project Brewing","Saison / Farmhouse Ale","7.00%",4.39,626,133
193,"Spotted Puffer","Pipeworks Brewing Company","American Double / Imperial IPA","9.50%",4.39,300,133
194,"Stone Enjoy By IPA","Stone Brewing","American Double / Imperial IPA","9.40%",4.39,10556,6
195,"Dragonsaddle","Hoof Hearted Brewing","American Double / Imperial IPA","11.20%",4.39,215,128
196,"Scaled Up","Trillium Brewing Company","American Double / Imperial IPA","8.00%",4.39,618,180
197,"Damon (Bourbon Barrel Aged)","Hill Farmstead Brewery","Russian Imperial Stout","10.50%",4.38,675,193
198,"Vicinity","Trillium Brewing Company","American Double / Imperial IPA","8.00%",4.38,1313,48
199,"Edward","Hill Farmstead Brewery","American Pale Ale (APA)","5.20%",4.38,2577,115
200,"Yellow Rose","The Lone Pint Brewery","American IPA","6.80%",4.38,1607,74
201,"Bourbon Barrel Oro Negro","Jackie O's Pub & Brewery","American Double / Imperial Stout","11.00%",4.38,268,124
202,"Citra Showers","Noble Ale Works","American Double / Imperial IPA","8.80%",4.38,481,164
203,"Sure Bet","Pipeworks Brewing Company","American Double / Imperial IPA","9.50%",4.38,513,157
204,"Tweak","Avery Brewing Company","American Double / Imperial Stout","17.50%",4.38,2182,98
205,"Madagascar","4 Hands Brewing Company","Milk / Sweet Stout","9.30%",4.38,631,163
206,"Dusk Trill Dawn","Trillium Brewing Company","American Double / Imperial Stout","11.50%",4.38,368,155
207,"Barrel-Aged Silhouette","Lift Bridge Brewery","Russian Imperial Stout","10.00%",4.38,351,131
208,"Drie Fonteinen Hommage","Brouwerij Drie Fonteinen","Lambic - Fruit","6.00%",4.37,849,53
209,"Exponential Hoppiness","Alpine Beer Company","American Double / Imperial IPA","11.00%",4.37,1299,127
210,"Peche 'n Brett","Logsdon Farmhouse Ales","Saison / Farmhouse Ale","10.00%",4.37,1255,47
211,"Nelson","Alpine Beer Company","American IPA","7.00%",4.37,4041,177
212,"Trademark Dispute: &+","Peg's Cantina & Brew Pub","American Double / Imperial Stout","10.50%",4.37,262,120
213,"Péché Mortel En Fût De Bourbon Américain","Brasserie Dieu du Ciel!","American Double / Imperial Stout","9.50%",4.37,452,187
214,"Genealogy Of Morals (Bourbon Barrel Aged)","Hill Farmstead Brewery","American Double / Imperial Stout","10.70%",4.37,515,142
215,"Double Shot- Batch 500","Tree House Brewing Company","American Stout","8.60%",4.37,81,67
216,"Cantillon Lou Pepe - Gueuze","Brasserie Cantillon","Gueuze","5.00%",4.37,1115,70
217,"All Green Everything","Other Half Brewing Company","American Double / Imperial IPA","10.50%",4.37,966,23
218,"Trademark Dispute: Nooner 10","Peg's Cantina & Brew Pub","American Double / Imperial Stout","12.00%",4.37,247,122
219,"Winter Ale (5th Anniversary Ale)","Kern River Brewing Company","American Double / Imperial IPA","8.00%",4.37,350,196
220,"Sculpin IPA","Ballast Point Brewing Company","American IPA","7.00%",4.37,13639,62
221,"Mosaic IPA","Other Half Brewing Company","American IPA","7.20%",4.37,362,131
222,"Derivation #6 (Cinnamon, Cocoa Nibs And Ugandan Vanilla)","Side Project Brewing","American Double / Imperial Stout","15.00%",4.37,42,31
223,"Kuhnhenn Raspberry Eisbock","Kuhnhenn Brewing Company","Eisbock","15.50%",4.37,1242,136
224,"AleSmith Speedway Stout","AleSmith Brewing Company","American Double / Imperial Stout","12.00%",4.37,6656,9
225,"Grey Monday","The Bruery","American Double / Imperial Stout","19.50%",4.37,1682,34
226,"Box Set Track #10 - Bat Out Of Hell","The Lost Abbey","American Double / Imperial Stout","13.50%",4.36,995,32
227,"The Pupil","Societe Brewing Company","American IPA","7.80%",4.36,877,190
228,"Callipygian","Avery Brewing Company","American Double / Imperial Stout","17.10%",4.36,393,174
229,"Mind The Hop","Aslin Beer Company","American Double / Imperial IPA","9.50%",4.36,90,91
230,"Tesseract","Grimm Artisanal Ales","American Double / Imperial IPA","8.00%",4.36,470,173
231,"Lumen","Grimm Artisanal Ales","American IPA","6.40%",4.36,257,128
232,"Mexican Cake","Westbrook Brewing Company","American Double / Imperial Stout","10.50%",4.36,2653,109
233,"Lambo Door","Grimm Artisanal Ales","American Double / Imperial IPA","8.00%",4.36,493,193
234,"Breakfast Exorcism","Clown Shoes","American Double / Imperial Stout","11.00%",4.36,326,144
235,"Bourbon Abominable Winter Ale","Fremont Brewing Company","American Strong Ale","14.00%",4.36,1047,52
236,"Stone Enjoy By Unfiltered IPA","Stone Brewing","American Double / Imperial IPA","9.40%",4.36,1303,86
237,"Wisconsin Belgian Red","New Glarus Brewing Company","Fruit / Vegetable Beer","4.00%",4.35,3521,197
238,"Trickery","Hardywood Park Craft Brewery","Milk / Sweet Stout","13.50%",4.35,360,133
239,"Locust Reign","New England Brewing Company","American Double / Imperial IPA","8.50%",4.35,296,122
240,"Hop Venom Double IPA","Boneyard Beer Company","American Double / Imperial IPA","8.90%",4.35,908,22
241,"Serendipity","New Glarus Brewing Company","Fruit / Vegetable Beer","4.00%",4.35,2807,95
242,"Clare's Thirsty Ale","Haymarket Pub & Brewery","American Double / Imperial Stout","12.50%",4.35,182,91
243,"Bourbon Barrel Black Maple","Jackie O's Pub & Brewery","American Porter","11.00%",4.35,912,193
244,"High West-ified Imperial Coffee Stout","Lagunitas Brewing Company","American Double / Imperial Stout","12.20%",4.35,1637,92
245,"Mocha Wednesday","The Bruery","American Double / Imperial Stout","19.20%",4.35,1266,20
246,"Magnetic Compass","Grimm Artisanal Ales","American IPA","6.40%",4.35,240,144
247,"Live Oak HefeWeizen","Live Oak Brewing Company","Hefeweizen","5.20%",4.35,1588,134
248,"Buxton / Omnipollo Yellow Belly","Buxton Brewery","American Double / Imperial Stout","11.00%",4.35,377,165
249,"Birth Of Tragedy","Hill Farmstead Brewery","American Porter","9.00%",4.35,1160,50
250,"Victory At Sea Coffee Vanilla Imperial Porter","Ballast Point Brewing Company","American Porter","10.00%",4.35,6756,5
