"Rank","Beer","Brewery","Style","ABV","Rating","Ratings","Reviews"
1,"Good Morning","Tree House Brewing Company","American Double / Imperial Stout","8.40%",4.72,1009,69
2,"Kentucky Brunch Brand Stout","Toppling Goliath Brewing Company","American Double / Imperial Stout","12.00%",4.72,550,194
3,"ManBearPig","Voodoo Brewing Company","American Double / Imperial Stout","14.10%",4.67,194,151
4,"King Julius","Tree House Brewing Company","American Double / Imperial IPA","8.30%",4.67,730,26
5,"Very Hazy","Tree House Brewing Company","American Double / Imperial IPA","8.60%",4.66,528,181
6,"Pliny The Younger","Russian River Brewing Company","American Double / Imperial IPA","10.25%",4.66,2991,189
7,"Mornin' Delight","Toppling Goliath Brewing Company","American Double / Imperial Stout","12.00%",4.65,1062,55
8,"Hunahpu's Imperial Stout - Double Barrel Aged","Cigar City Brewing","American Double / Imperial Stout","11.00%",4.65,1372,30
9,"Heady Topper","The Alchemist","American Double / Imperial IPA","8.00%",4.65,13034,61
10,"Marshmallow Handjee (Bourbon Barrel Aged Vanilla Bean Dark Lord)","Three Floyds Brewing Company","Russian Imperial Stout","15.00%",4.64,1457,99
11,"King JJJuliusss","Tree House Brewing Company","American Double / Imperial IPA","8.40%",4.64,369,166
12,"Dinner","Maine Beer Company","American Double / Imperial IPA","8.20%",4.63,1893,76
13,"Julius","Tree House Brewing Company","American IPA","6.80%",4.62,3302,141
14,"Founders CBS Imperial Stout","Founders Brewing Company","American Double / Imperial Stout","10.60%",4.62,4283,195
15,"Juice Machine","Tree House Brewing Company","American Double / Imperial IPA","8.20%",4.61,518,14
16,"Barrel-Aged Abraxas","Perennial Artisan Ales","American Double / Imperial Stout","11.00%",4.61,1266,22
17,"Trappist Westvleteren 12 (XII)","Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)","Quadrupel (Quad)","10.20%",4.61,6207,12
18,"Fundamental Observation","Bottle Logic Brewing","American Double / Imperial Stout","14.30%",4.6,724,33
19,"Pliny The Elder","Russian River Brewing Company","American Double / Imperial IPA","8.00%",4.6,14190,102
20,"Very Green","Tree House Brewing Company","American Double / Imperial IPA","8.60%",4.59,566,184
21,"Bourbon County Brand Coffee Stout","Goose Island Beer Company","American Double / Imperial Stout","13.40%",4.57,6944,3
22,"King Sue","Toppling Goliath Brewing Company","American Double / Imperial IPA","8.00%",4.57,1690,73
23,"JJJuliusss","Tree House Brewing Company","American IPA","6.80%",4.57,337,146
24,"Morning Wood","Funky Buddha Brewery","American Porter","12.00%",4.56,693,16
25,"AleSmith Speedway Stout - Vietnamese Coffee (Bourbon Barrel Aged)","AleSmith Brewing Company","American Double / Imperial Stout","12.00%",4.56,648,167
26,"Ann","Hill Farmstead Brewery","Saison / Farmhouse Ale","6.50%",4.56,343,174
27,"Abner","Hill Farmstead Brewery","American Double / Imperial IPA","8.20%",4.56,2529,121
28,"Founders KBS (Kentucky Breakfast Stout)","Founders Brewing Company","American Double / Imperial Stout","12.40%",4.56,12071,100
29,"Sip Of Sunshine","Lawson's Finest Liquids","American Double / Imperial IPA","8.00%",4.55,4364,145
30,"Green","Tree House Brewing Company","American IPA","7.60%",4.55,2120,105
31,"Triple Sunshine IPA","Lawson's Finest Liquids","American Double / Imperial IPA","10.50%",4.55,593,151
32,"Focal Banger","The Alchemist","American IPA","7.00%",4.55,2815,112
33,"Double Dry Hopped Congress Street","Trillium Brewing Company","American IPA","7.20%",4.54,955,19
34,"Citra","Kern River Brewing Company","American Double / Imperial IPA","8.00%",4.54,1723,125
35,"Doppelganger","Tree House Brewing Company","American Double / Imperial IPA","8.20%",4.54,912,27
36,"Alter Ego","Tree House Brewing Company","American IPA","6.80%",4.54,1670,82
37,"Double Sunshine IPA","Lawson's Finest Liquids","American Double / Imperial IPA","8.00%",4.54,2108,113
38,"Parabola","Firestone Walker Brewing Company","Russian Imperial Stout","14.00%",4.53,6280,4
39,"Snowed In - Bourbon Barrel Aged","Funky Buddha Brewery","American Double / Imperial Stout","11.00%",4.53,346,151
40,"Sunday Brunch","Kane Brewing Company","American Porter","9.20%",4.53,501,152
41,"Society & Solitude #4","Hill Farmstead Brewery","American Double / Imperial IPA","8.00%",4.53,1091,36
42,"Zombie Dust","Three Floyds Brewing Company","American Pale Ale (APA)","6.20%",4.52,9880,8
43,"Double Dry Hopped PseudoSue (Citra)","Toppling Goliath Brewing Company","American Pale Ale (APA)","5.80%",4.52,341,156
44,"Double Galaxy","Hill Farmstead Brewery","American Double / Imperial IPA","8.00%",4.52,1307,69
45,"Haze","Tree House Brewing Company","American Double / Imperial IPA","8.20%",4.52,1811,85
46,"Swish","Bissell Brothers Brewing Company","American Double / Imperial IPA","8.00%",4.52,1028,38
47,"Cantillon Fou' Foune","Brasserie Cantillon","Lambic - Fruit","5.00%",4.52,2816,143
48,"Duck Duck Gooze","The Lost Abbey","Gueuze","7.00%",4.51,1733,94
49,"Assassin Imperial Stout","Toppling Goliath Brewing Company","American Double / Imperial Stout","12.00%",4.5,1088,14
50,"Headroom","Trillium Brewing Company","American Double / Imperial IPA","8.00%",4.5,424,159
51,"Master Of Karate","Aslin Beer Company","American Double / Imperial IPA","8.40%",4.5,195,152
52,"In Perpetuity","Tree House Brewing Company","American IPA","6.70%",4.5,457,179
