Rank,Beer,Brewery,Style,ABV,Rating,Ratings,Reviews
1,Good Morning,Tree House Brewing Company,American Double / Imperial Stout,8.40%,4.72,1003,74
2,Kentucky Brunch Brand Stout,Toppling Goliath Brewing Company,American Double / Imperial Stout,12.00%,4.7,529,187
3,King Julius,Tree House Brewing Company,American Double / Imperial IPA,8.30%,4.67,705,27
4,Pliny The Younger,Russian River Brewing Company,American Double / Imperial IPA,10.25%,4.66,2979,189
5,Mornin' Delight,Toppling Goliath Brewing Company,American Double / Imperial Stout,12.00%,4.66,1012,57
6,Very Hazy,Tree House Brewing Company,American Double / Imperial IPA,8.60%,4.66,501,177
7,Hunahpu's Imperial Stout - Double Barrel Aged,Cigar City Brewing,American Double / Imperial Stout,11.00%,4.66,1328,29
8,Heady Topper,The Alchemist,American Double / Imperial IPA,8.00%,4.66,12890,67
9,King JJJuliusss,Tree House Brewing Company,American Double / Imperial IPA,8.40%,4.64,354,166
10,Dinner,Maine Beer Company,American Double / Imperial IPA,8.20%,4.63,1856,82
11,Marshmallow Handjee (Bourbon Barrel Aged Vanilla Bean Dark Lord),Three Floyds Brewing Company,Russian Imperial Stout,15.00%,4.63,1442,100
12,Julius,Tree House Brewing Company,American IPA,6.80%,4.62,3180,141
13,Founders CBS Imperial Stout,Founders Brewing Company,American Double / Imperial Stout,10.60%,4.62,4256,193
14,Juice Machine,Tree House Brewing Company,American Double / Imperial IPA,8.20%,4.61,502,194
15,Trappist Westvleteren 12 (XII),Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Quadrupel (Quad),10.20%,4.61,6157,12
16,Very Green,Tree House Brewing Company,American Double / Imperial IPA,8.60%,4.6,476,165
17,Pliny The Elder,Russian River Brewing Company,American Double / Imperial IPA,8.00%,4.6,14102,103
18,Barrel-Aged Abraxas,Perennial Artisan Ales,American Double / Imperial Stout,11.00%,4.6,1247,23
19,Fundamental Observation,Bottle Logic Brewing,American Double / Imperial Stout,14.30%,4.59,678,33
20,King Sue,Toppling Goliath Brewing Company,American Double / Imperial IPA,8.00%,4.58,1616,63
21,Bourbon County Brand Coffee Stout,Goose Island Beer Company,American Double / Imperial Stout,13.40%,4.57,6881,3
22,JJJuliusss,Tree House Brewing Company,American IPA,6.80%,4.57,331,147
23,Morning Wood,Funky Buddha Brewery,American Porter,12.00%,4.57,557,185
24,Focal Banger,The Alchemist,American IPA,7.00%,4.56,2615,106
25,AleSmith Speedway Stout - Vietnamese Coffee (Bourbon Barrel Aged),AleSmith Brewing Company,American Double / Imperial Stout,12.00%,4.56,593,162
26,Abner,Hill Farmstead Brewery,American Double / Imperial IPA,8.20%,4.56,2515,120
27,Founders KBS (Kentucky Breakfast Stout),Founders Brewing Company,American Double / Imperial Stout,12.40%,4.56,11994,101
28,Ann,Hill Farmstead Brewery,Saison / Farmhouse Ale,6.50%,4.56,334,173
29,Sip Of Sunshine,Lawson's Finest Liquids,American Double / Imperial IPA,8.00%,4.55,4283,142
30,Green,Tree House Brewing Company,American IPA,7.60%,4.55,2016,96
31,Double Dry Hopped Congress Street,Trillium Brewing Company,American IPA,7.20%,4.54,884,16
32,Citra,Kern River Brewing Company,American Double / Imperial IPA,8.00%,4.54,1678,124
33,Doppelganger,Tree House Brewing Company,American Double / Imperial IPA,8.20%,4.54,809,21
34,Double Sunshine IPA,Lawson's Finest Liquids,American Double / Imperial IPA,8.00%,4.54,2105,113
35,Alter Ego,Tree House Brewing Company,American IPA,6.80%,4.53,1571,83
36,Triple Sunshine IPA,Lawson's Finest Liquids,American Double / Imperial IPA,10.50%,4.53,571,147
37,Parabola,Firestone Walker Brewing Company,Russian Imperial Stout,14.00%,4.53,6231,4
38,Zombie Dust,Three Floyds Brewing Company,American Pale Ale (APA),6.20%,4.52,9790,8
39,Society & Solitude #4,Hill Farmstead Brewery,American Double / Imperial IPA,8.00%,4.52,1068,38
40,Double Galaxy,Hill Farmstead Brewery,American Double / Imperial IPA,8.00%,4.52,1289,75
41,Resolute - Coconut,Brothers Craft Brewing,American Double / Imperial Stout,13.50%,4.52,182,140
42,Cantillon Fou' Foune,Brasserie Cantillon,Lambic - Fruit,5.00%,4.52,2785,144
43,Master Of Karate,Aslin Beer Company,American Double / Imperial IPA,8.40%,4.51,161,143
44,Headroom,Trillium Brewing Company,American Double / Imperial IPA,8.00%,4.51,409,160
45,Haze,Tree House Brewing Company,American Double / Imperial IPA,8.20%,4.51,1706,88
46,Sunday Brunch,Kane Brewing Company,American Porter,9.20%,4.5,459,143
47,Swish,Bissell Brothers Brewing Company,American Double / Imperial IPA,8.00%,4.5,954,35
48,Duck Duck Gooze,The Lost Abbey,Gueuze,7.00%,4.5,1705,94
49,Hunahpu's Imperial Stout,Cigar City Brewing,American Double / Imperial Stout,11.00%,4.5,3992,171
50,In Perpetuity,Tree House Brewing Company,American IPA,6.70%,4.5,444,179
51,Bourbon County Brand Stout,Goose Island Beer Company,American Double / Imperial Stout,13.80%,4.5,11909,72
52,Fuzzy,Side Project Brewing,American Wild Ale,8.00%,4.5,677,167
53,Snowed In - Bourbon Barrel Aged,Funky Buddha Brewery,American Double / Imperial Stout,11.00%,4.5,274,128
54,Supplication,Russian River Brewing Company,American Wild Ale,7.00%,4.49,6195,7
55,Double Citra,Hill Farmstead Brewery,American Double / Imperial IPA,8.00%,4.49,1694,75
