Rank,Brewery,Beer,Style,ABV,Rating,Ratings,Reviews
1,Tree House Brewing Company,Good Morning,American Double / Imperial Stout,8.40%,4.72,999,68
2,Toppling Goliath Brewing Company,Kentucky Brunch Brand Stout,American Double / Imperial Stout,12.00%,4.7,526,183
3,Russian River Brewing Company,Pliny The Younger,American Double / Imperial IPA,10.25%,4.66,2974,187
4,Toppling Goliath Brewing Company,Mornin' Delight,American Double / Imperial Stout,12.00%,4.66,995,49
5,The Alchemist,Heady Topper,American Double / Imperial IPA,8.00%,4.66,12804,61
6,Tree House Brewing Company,Very Hazy,American Double / Imperial IPA,8.60%,4.66,462,170
7,Tree House Brewing Company,King Julius,American Double / Imperial IPA,8.30%,4.65,681,25
8,Cigar City Brewing,Hunahpu's Imperial Stout - Double Barrel Aged,American Double / Imperial Stout,11.00%,4.65,1305,25
9,Tree House Brewing Company,King JJJuliusss,American Double / Imperial IPA,8.40%,4.63,339,162
10,Maine Beer Company,Dinner,American Double / Imperial IPA,8.20%,4.63,1826,75
11,Three Floyds Brewing Company,Marshmallow Handjee (Bourbon Barrel Aged Vanilla Bean Dark Lord),Russian Imperial Stout,15.00%,4.63,1431,96
12,Tree House Brewing Company,Julius,American IPA,6.80%,4.62,3112,133
13,Founders Brewing Company,Founders CBS Imperial Stout,American Double / Imperial Stout,10.60%,4.62,4240,190
14,Tree House Brewing Company,Juice Machine,American Double / Imperial IPA,8.20%,4.61,474,188
15,Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Trappist Westvleteren 12 (XII),Quadrupel (Quad),10.20%,4.61,6130,12
16,Bottle Logic Brewing,Fundamental Observation,American Double / Imperial Stout,14.30%,4.6,647,27
17,Russian River Brewing Company,Pliny The Elder,American Double / Imperial IPA,8.00%,4.6,14026,99
18,Perennial Artisan Ales,Barrel-Aged Abraxas,American Double / Imperial Stout,11.00%,4.59,1238,22
19,Toppling Goliath Brewing Company,King Sue,American Double / Imperial IPA,8.00%,4.58,1571,56
20,Goose Island Beer Company,Bourbon County Brand Coffee Stout,American Double / Imperial Stout,13.40%,4.57,6840,3
21,The Alchemist,Focal Banger,American IPA,7.00%,4.57,2485,89
22,Tree House Brewing Company,Green,American IPA,7.60%,4.56,1949,86
23,Tree House Brewing Company,Very Green,American Double / Imperial IPA,8.60%,4.56,385,143
24,Hill Farmstead Brewery,Abner,American Double / Imperial IPA,8.20%,4.56,2483,115
25,Founders Brewing Company,Founders KBS (Kentucky Breakfast Stout),American Double / Imperial Stout,12.40%,4.56,11946,97
26,Tree House Brewing Company,JJJuliusss,American IPA,6.80%,4.56,319,140
27,Lawson's Finest Liquids,Sip Of Sunshine,American Double / Imperial IPA,8.00%,4.55,4223,136
28,Hill Farmstead Brewery,Ann,Saison / Farmhouse Ale,6.50%,4.55,332,169
29,Funky Buddha Brewery,Morning Wood,American Porter,12.00%,4.54,489,166
30,Trillium Brewing Company,Double Dry Hopped Congress Street,American IPA,7.20%,4.54,872,16
31,Kern River Brewing Company,Citra Double IPA,American Double / Imperial IPA,8.00%,4.54,1646,117
32,Lawson's Finest Liquids,Double Sunshine IPA,American Double / Imperial IPA,8.00%,4.54,2097,107
33,Tree House Brewing Company,Alter Ego,American IPA,6.80%,4.53,1524,71
34,Lawson's Finest Liquids,Triple Sunshine IPA,American Double / Imperial IPA,10.50%,4.53,569,143
35,Firestone Walker Brewing Company,Parabola,Russian Imperial Stout,14.00%,4.53,6199,4
36,AleSmith Brewing Company,AleSmith Speedway Stout - Vietnamese Coffee (Bourbon Barrel Aged),American Double / Imperial Stout,12.00%,4.53,556,148
