"Rank","Brewery","Beer","Style","ABV","Rating","Ratings","Reviews"
1,"Tree House Brewing Company","Good Morning","American Double / Imperial Stout","8.40%",4.72,1005,69
2,"Toppling Goliath Brewing Company","Kentucky Brunch Brand Stout","American Double / Imperial Stout","12.00%",4.7,531,181
3,"Tree House Brewing Company","King Julius","American Double / Imperial IPA","8.30%",4.67,708,27
4,"Russian River Brewing Company","Pliny The Younger","American Double / Imperial IPA","10.25%",4.66,2981,184
5,"Tree House Brewing Company","Very Hazy","American Double / Imperial IPA","8.60%",4.66,509,172
6,"Toppling Goliath Brewing Company","Mornin' Delight","American Double / Imperial Stout","12.00%",4.66,1018,55
7,"Cigar City Brewing","Hunahpu's Imperial Stout - Double Barrel Aged","American Double / Imperial Stout","11.00%",4.66,1335,30
8,"The Alchemist","Heady Topper","American Double / Imperial IPA","8.00%",4.65,12913,63
9,"Three Floyds Brewing Company","Marshmallow Handjee (Bourbon Barrel Aged Vanilla Bean Dark Lord)","Russian Imperial Stout","15.00%",4.64,1445,97
10,"Tree House Brewing Company","King JJJuliusss","American Double / Imperial IPA","8.40%",4.64,356,161
11,"Maine Beer Company","Dinner","American Double / Imperial IPA","8.20%",4.63,1861,76
12,"Tree House Brewing Company","Julius","American IPA","6.80%",4.62,3204,138
13,"Founders Brewing Company","Founders CBS Imperial Stout","American Double / Imperial Stout","10.60%",4.62,4259,188
14,"Tree House Brewing Company","Juice Machine","American Double / Imperial IPA","8.20%",4.61,504,14
15,"Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)","Trappist Westvleteren 12 (XII)","Quadrupel (Quad)","10.20%",4.61,6167,12
16,"Bottle Logic Brewing","Fundamental Observation","American Double / Imperial Stout","14.30%",4.6,687,33
17,"Russian River Brewing Company","Pliny The Elder","American Double / Imperial IPA","8.00%",4.6,14109,100
18,"Perennial Artisan Ales","Barrel-Aged Abraxas","American Double / Imperial Stout","11.00%",4.6,1252,23
19,"Tree House Brewing Company","Very Green","American Double / Imperial IPA","8.60%",4.59,493,162
20,"Toppling Goliath Brewing Company","King Sue","American Double / Imperial IPA","8.00%",4.58,1624,60
21,"Tree House Brewing Company","JJJuliusss","American IPA","6.80%",4.57,332,145
22,"The Alchemist","Focal Banger","American IPA","7.00%",4.56,2651,103
23,"Goose Island Beer Company","Bourbon County Brand Coffee Stout","American Double / Imperial Stout","13.40%",4.56,6896,3
24,"AleSmith Brewing Company","AleSmith Speedway Stout - Vietnamese Coffee (Bourbon Barrel Aged)","American Double / Imperial Stout","12.00%",4.56,609,158
25,"Hill Farmstead Brewery","Abner","American Double / Imperial IPA","8.20%",4.56,2517,116
26,"Founders Brewing Company","Founders KBS (Kentucky Breakfast Stout)","American Double / Imperial Stout","12.40%",4.56,12010,98
27,"Hill Farmstead Brewery","Ann","Saison / Farmhouse Ale","6.50%",4.56,337,168
28,"Lawson's Finest Liquids","Sip Of Sunshine","American Double / Imperial IPA","8.00%",4.55,4291,140
29,"Tree House Brewing Company","Green","American IPA","7.60%",4.55,2033,93
30,"Funky Buddha Brewery","Morning Wood","American Porter","12.00%",4.55,588,180
31,"Trillium Brewing Company","Double Dry Hopped Congress Street","American IPA","7.20%",4.54,887,15
32,"Tree House Brewing Company","Doppelganger","American Double / Imperial IPA","8.20%",4.54,828,23
33,"Kern River Brewing Company","Citra","American Double / Imperial IPA","8.00%",4.54,1694,119
34,"Lawson's Finest Liquids","Double Sunshine IPA","American Double / Imperial IPA","8.00%",4.54,2105,109
35,"Tree House Brewing Company","Alter Ego","American IPA","6.80%",4.54,1585,78
36,"Lawson's Finest Liquids","Triple Sunshine IPA","American Double / Imperial IPA","10.50%",4.53,571,145
37,"Firestone Walker Brewing Company","Parabola","Russian Imperial Stout","14.00%",4.53,6242,4
38,"Three Floyds Brewing Company","Zombie Dust","American Pale Ale (APA)","6.20%",4.52,9805,8
39,"Hill Farmstead Brewery","Society & Solitude #4","American Double / Imperial IPA","8.00%",4.52,1069,37
40,"Hill Farmstead Brewery","Double Galaxy","American Double / Imperial IPA","8.00%",4.52,1294,69
