Rank,Brewery,Beer,Style,ABV,Rating,Ratings,Reviews
188,4 Hands Brewing Company,Madagascar,Milk / Sweet Stout,9.30% ABV,4.37,560,149
38,AleSmith Brewing Company,AleSmith Speedway Stout - Vietnamese Coffee (Bourbon Barrel Aged),American Double / Imperial Stout,12.00% ABV,4.52,506,137
93,AleSmith Brewing Company,AleSmith Speedway Stout - Bourbon Barrel Aged,American Double / Imperial Stout,12.00% ABV,4.45,1961,107
165,AleSmith Brewing Company,AleSmith Speedway Stout - Vietnamese Coffee,American Double / Imperial Stout,12.00% ABV,4.39,1435,27
195,AleSmith Brewing Company,AleSmith Speedway Stout,American Double / Imperial Stout,12.00% ABV,4.37,6391,9
105,Alpine Beer Company,Keene Idea,American Double / Imperial IPA,8.88% ABV,4.44,439,152
134,Alpine Beer Company,Bad Boy,American Double / Imperial IPA,9.00% ABV,4.41,535,32
159,Alpine Beer Company,Great,American Barleywine,14.00% ABV,4.39,625,43
187,Alpine Beer Company,Exponential Hoppiness,American Double / Imperial IPA,11.00% ABV,4.37,1278,120
190,Alpine Beer Company,Nelson,American IPA,7.00% ABV,4.37,3958,172
115,Anchorage Brewing Company,A Deal With The Devil,American Barleywine,17.30% ABV,4.42,903,27
44,Aslin Beer Company,Master Of Karate,American Double / Imperial IPA,8.40% ABV,4.5,92,116
215,Aslin Beer Company,Orange Starfish,American IPA,5.70% ABV,4.35,58,55
169,Avery Brewing Company,Tweak,American Double / Imperial Stout,17.81% ABV,4.38,1915,83
229,Avery Brewing Company,Uncle Jacob's Stout,American Double / Imperial Stout,17.10% ABV,4.34,2398,112
181,Ballast Point Brewing Company,Sculpin IPA,American IPA,7.00% ABV,4.38,13233,65
226,Ballast Point Brewing Company,Victory At Sea Coffee Vanilla Imperial Porter,American Porter,10.00% ABV,4.35,6512,5
147,Bayerische Staatsbrauerei Weihenstephan,Weihenstephaner Hefeweissbier,Hefeweizen,5.40% ABV,4.4,7943,66
55,"Bell's Brewery, Inc.",Bell's Black Note Stout,American Double / Imperial Stout,11.40% ABV,4.49,3870,147
