"Rank","Brewery","Beer","Style","ABV","Rating","Ratings","Reviews"
1,"Tree House Brewing Company","Good Morning","American Double / Imperial Stout","8.40%",4.72,1005,63
2,"Toppling Goliath Brewing Company","Kentucky Brunch Brand Stout","American Double / Imperial Stout","12.00%",4.7,531,176
3,"Tree House Brewing Company","King Julius","American Double / Imperial IPA","8.30%",4.67,709,24
4,"Russian River Brewing Company","Pliny The Younger","American Double / Imperial IPA","10.25%",4.66,2982,179
5,"Tree House Brewing Company","Very Hazy","American Double / Imperial IPA","8.60%",4.66,509,167
6,"Toppling Goliath Brewing Company","Mornin' Delight","American Double / Imperial Stout","12.00%",4.66,1019,50
7,"Cigar City Brewing","Hunahpu's Imperial Stout - Double Barrel Aged","American Double / Imperial Stout","11.00%",4.66,1337,27
8,"The Alchemist","Heady Topper","American Double / Imperial IPA","8.00%",4.66,12920,57
9,"Three Floyds Brewing Company","Marshmallow Handjee (Bourbon Barrel Aged Vanilla Bean Dark Lord)","Russian Imperial Stout","15.00%",4.64,1445,91
10,"Tree House Brewing Company","King JJJuliusss","American Double / Imperial IPA","8.40%",4.64,356,156
11,"Maine Beer Company","Dinner","American Double / Imperial IPA","8.20%",4.63,1864,70
12,"Tree House Brewing Company","Julius","American IPA","6.80%",4.62,3214,133
13,"Founders Brewing Company","Founders CBS Imperial Stout","American Double / Imperial Stout","10.60%",4.62,4259,183
14,"Tree House Brewing Company","Juice Machine","American Double / Imperial IPA","8.20%",4.61,504,14
15,"Bottle Logic Brewing","Fundamental Observation","American Double / Imperial Stout","14.30%",4.61,693,30
16,"Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)","Trappist Westvleteren 12 (XII)","Quadrupel (Quad)","10.20%",4.61,6170,12
17,"Russian River Brewing Company","Pliny The Elder","American Double / Imperial IPA","8.00%",4.6,14115,94
18,"Perennial Artisan Ales","Barrel-Aged Abraxas","American Double / Imperial Stout","11.00%",4.6,1252,21
19,"Tree House Brewing Company","Very Green","American Double / Imperial IPA","8.60%",4.6,499,157
20,"Toppling Goliath Brewing Company","King Sue","American Double / Imperial IPA","8.00%",4.58,1630,55
21,"Tree House Brewing Company","JJJuliusss","American IPA","6.80%",4.57,332,140
22,"The Alchemist","Focal Banger","American IPA","7.00%",4.56,2663,97
23,"Goose Island Beer Company","Bourbon County Brand Coffee Stout","American Double / Imperial Stout","13.40%",4.56,6898,3
