Rank,Brewery,Beer,Style,ABV,Rating,Ratings,Reviews
163,4 Hands Brewing Company,Madagascar,Milk / Sweet Stout,9.30% ABV,4.38,510,139
50,AleSmith Brewing Company,AleSmith Speedway Stout - Vietnamese Coffee (Bourbon Barrel Aged),American Double / Imperial Stout,12.00% ABV,4.49,471,129
81,AleSmith Brewing Company,AleSmith Speedway Stout - Bourbon Barrel Aged,American Double / Imperial Stout,12.00% ABV,4.45,1911,108
154,AleSmith Brewing Company,AleSmith Speedway Stout - Vietnamese Coffee,American Double / Imperial Stout,12.00% ABV,4.38,1396,24
177,AleSmith Brewing Company,AleSmith Speedway Stout,American Double / Imperial Stout,12.00% ABV,4.37,6275,9
247,AleSmith Brewing Company,AleSmith Speedway Stout - Kopi Luwak,American Double / Imperial Stout,12.00% ABV,4.32,532,164
211,Allagash Brewing Company,Allagash Cuv?e D'Industrial,American Wild Ale,7.50% ABV,4.34,397,164
96,Alpine Beer Company,Keene Idea,American Double / Imperial IPA,8.88% ABV,4.43,438,150
127,Alpine Beer Company,Bad Boy,American Double / Imperial IPA,9.00% ABV,4.4,513,27
150,Alpine Beer Company,Great,American Barleywine,14.00% ABV,4.39,605,36
165,Alpine Beer Company,Exponential Hoppiness,American Double / Imperial IPA,11.00% ABV,4.37,1272,119
169,Alpine Beer Company,Nelson,American IPA,7.00% ABV,4.37,3906,168
119,Anchorage Brewing Company,A Deal With The Devil,American Barleywine,17.30% ABV,4.41,872,23
158,Avery Brewing Company,Tweak,American Double / Imperial Stout,17.81% ABV,4.38,1775,74
184,Avery Brewing Company,Uncle Jacob's Stout,American Double / Imperial Stout,17.10% ABV,4.36,2261,109
162,Ballast Point Brewing Company,Sculpin IPA,American IPA,7.00% ABV,4.38,13014,61
203,Ballast Point Brewing Company,Victory At Sea Coffee Vanilla Imperial Porter,American Porter,10.00% ABV,4.35,6388,5
134,Bayerische Staatsbrauerei Weihenstephan,Weihenstephaner Hefeweissbier,Hefeweizen,5.40% ABV,4.4,7807,62
53,"Bell's Brewery, Inc.",Bell's Black Note Stout,American Double / Imperial Stout,11.40% ABV,4.49,3837,143
90,"Bell's Brewery, Inc.",Hopslam Ale,American Double / Imperial IPA,10.00% ABV,4.44,12440,98
237,"Bell's Brewery, Inc.",30th Anniversary Ale,American Double / Imperial Stout,11.00% ABV,4.33,1259,85
51,Bissell Brothers Brewing Company,Swish,American Double / Imperial IPA,8.00% ABV,4.49,737,19
75,Boneyard Beer Company,Notorious Triple IPA,American Double / Imperial IPA,12.00% ABV,4.46,601,165
194,Boneyard Beer Company,Hop Venom Double IPA,American Double / Imperial IPA,8.90% ABV,4.35,841,20
135,Boston Beer Company (Samuel Adams),Samuel Adams Utopias,American Strong Ale,29.00% ABV,4.4,2360,138
24,Bottle Logic Brewing,Fundamental Observation,American Double / Imperial Stout,14.30% ABV,4.55,400,175
182,Bottle Logic Brewing,Ground State - 2nd Anniversary Beer,American Double / Imperial Stout,12.50% ABV,4.36,73,95
38,Brasserie Cantillon,Cantillon Fou' Foune,Lambic - Fruit,5.00% ABV,4.5,2627,135
52,Brasserie Cantillon,Cantillon Bl?b?r Lambik,Lambic - Fruit,5.00% ABV,4.49,699,81
72,Brasserie Cantillon,Cantillon Lou Pepe - Kriek,Lambic - Fruit,5.00% ABV,4.46,1615,110
110,Brasserie Cantillon,Cantillon Saint Lamvinus,Lambic - Fruit,5.00% ABV,4.42,1917,130
126,Brasserie Cantillon,Cantillon Lou Pepe - Framboise,Lambic - Fruit,5.00% ABV,4.41,1154,93
189,Brasserie Cantillon,Cantillon Gueuze 100% Lambic,Gueuze,5.00% ABV,4.36,2949,149
190,Brasserie Cantillon,Cantillon Lou Pepe - Gueuze,Gueuze,5.00% ABV,4.36,1016,57
65,Brasserie de Rochefort,Trappistes Rochefort 10,Quadrupel (Quad),11.30% ABV,4.47,8759,67
151,Brasserie Dieu du Ciel!,P?ch? Mortel,American Double / Imperial Stout,9.50% ABV,4.39,4798,11
183,Brasserie Dieu du Ciel!,P?ch? Mortel En F?t De Bourbon Am?ricain,American Double / Imperial Stout,9.50% ABV,4.36,397,169
64,Brothers Craft Brewing,Resolute - Coconut,American Double / Imperial Stout,13.50% ABV,4.47,131,123
82,Brouwerij Drie Fonteinen,Drie Fonteinen Oude Geuze Golden Blend,Gueuze,7.50% ABV,4.45,899,46
88,Brouwerij Drie Fonteinen,Drie Fonteinen Oude Geuze Vintage,Gueuze,6.00% ABV,4.44,639,25
99,Brouwerij Drie Fonteinen,Drie Fonteinen Framboos,Lambic - Fruit,5.00% ABV,4.43,554,186
172,Brouwerij Drie Fonteinen,Drie Fonteinen Hommage,Lambic - Fruit,6.00% ABV,4.37,737,43
228,Brouwerij Drie Fonteinen,Drie Fonteinen Oude Geuze,Gueuze,6.00% ABV,4.33,2567,159
130,Brouwerij Rodenbach N.V.,Rodenbach Caract?re Rouge,Flanders Red Ale,7.00% ABV,4.4,1237,50
106,Brouwerij St. Bernardus NV,St. Bernardus Abt 12,Quadrupel (Quad),10.00% ABV,4.42,9042,66
12,Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Trappist Westvleteren 12 (XII),Quadrupel (Quad),10.20% ABV,4.61,5916,12
61,Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Trappist Westvleteren 8 (VIII),Dubbel,8.00% ABV,4.47,2003,167
153,Cascade Brewing / Raccoon Lodge & Brewpub,Cascade Sang Noir,American Wild Ale,9.50% ABV,4.38,1489,51
77,Central Waters Brewing Company,Black Gold (2015),American Double / Imperial Stout,11.00% ABV,4.45,399,145
8,Cigar City Brewing,Hunahpu's Imperial Stout - Double Barrel Aged,American Double / Imperial Stout,11.00% ABV,4.62,1170,18
42,Cigar City Brewing,Hunahpu's Imperial Stout,American Double / Imperial Stout,11.00% ABV,4.5,3743,161
116,Cigar City Brewing,Caff? Americano,American Double / Imperial Stout,11.00% ABV,4.41,684,160
222,Cigar City Brewing,Zhukov's Final Push,Russian Imperial Stout,11.50% ABV,4.33,134,87
197,Civil Society Brewing,Pulp,American Pale Wheat Ale,6.30% ABV,4.35,79,83
179,Clown Shoes,Breakfast Exorcism,American Double / Imperial Stout,11.00% ABV,4.36,273,131
93,Columbus Brewing Company,Columbus Bodhi DIPA,American Double / Imperial IPA,8.50% ABV,4.44,1275,40
168,Creature Comforts,See The Stars,Russian Imperial Stout,10.90% ABV,4.37,160,127
60,Dark Horse Brewing Company,Dark Horse Bourbon Barrel Aged Plead The 5th,Russian Imperial Stout,12.00% ABV,4.47,2916,122
244,De Struise Brouwers,Pannepot,Quadrupel (Quad),10.00% ABV,4.32,2310,171
54,Deschutes Brewery,The Abyss,American Double / Imperial Stout,12.20% ABV,4.49,6568,14
98,Evil Twin Brewing,Imperial Biscotti Break Bourbon Barrel Aged,American Double / Imperial Stout,11.50% ABV,4.43,1413,26
103,Evil Twin Brewing,Evil Twin Double Barrel Jesus,American Double / Imperial Stout,12.00% ABV,4.43,517,150
120,Fat Head's Brewery & Saloon,Hop JuJu Imperial IPA,American Double / Imperial IPA,9.00% ABV,4.41,1856,78
144,Fiddlehead Brewing Company,Second Fiddle,American Double / Imperial IPA,8.20% ABV,4.39,1528,41
249,Fiddlehead Brewing Company,Mastermind,American Double / Imperial IPA,8.10% ABV,4.32,1066,15
125,FiftyFifty Brewing Company,Imperial Eclipse Stout - Elijah Craig (12 Year),American Double / Imperial Stout,11.90% ABV,4.41,1757,94
28,Firestone Walker Brewing Company,Parabola,Russian Imperial Stout,14.00% ABV,4.53,5915,3
86,Firestone Walker Brewing Company,?ucaba,English Barleywine,12.50% ABV,4.44,4715,174
100,Firestone Walker Brewing Company,Stickee Monkee,Quadrupel (Quad),12.00% ABV,4.43,2084,73
109,Firestone Walker Brewing Company,Parabajava,Russian Imperial Stout,14.00% ABV,4.42,350,132
235,Firestone Walker Brewing Company,Firestone 19 - Anniversary Ale,American Strong Ale,13.80% ABV,4.33,321,146
123,Foundation Brewing Company,Epiphany,American Double / Imperial IPA,8.00% ABV,4.41,668,22
9,Founders Brewing Company,Founders CBS Imperial Stout,American Double / Imperial Stout,10.60% ABV,4.62,4129,183
21,Founders Brewing Company,Founders KBS (Kentucky Breakfast Stout),American Double / Imperial Stout,12.40% ABV,4.56,11288,69
63,Founders Brewing Company,Founders Breakfast Stout,American Double / Imperial Stout,8.30% ABV,4.47,15673,100
236,Founders Brewing Company,Founders Imperial Stout,Russian Imperial Stout,10.50% ABV,4.33,7456,13
69,Fremont Brewing Company,Bourbon Barrel Aged Abominable: Coffee And Cinnamon,American Strong Ale,14.00% ABV,4.46,620,170
148,Fremont Brewing Company,Bourbon Barrel Aged Dark Star: Coffee Edition,Oatmeal Stout,14.50% ABV,4.39,434,127
196,Fremont Brewing Company,Bourbon Abominable Winter Ale,American Strong Ale,14.00% ABV,4.35,951,36
200,Fremont Brewing Company,Brew 1000 - Bourbon Barrel Aged,English Barleywine,13.10% ABV,4.35,115,79
32,Funky Buddha Brewery,Morning Wood,American Porter,12.00% ABV,4.52,395,151
95,Funky Buddha Brewery,Maple Bacon Coffee Porter,American Porter,6.40% ABV,4.44,1536,71
104,Funky Buddha Brewery,Snowed In - Bourbon Barrel Aged,American Double / Imperial Stout,11.00% ABV,4.43,192,101
105,Funky Buddha Brewery,Last Snow,American Porter,6.50% ABV,4.42,1426,57
136,Funky Buddha Brewery,Wide Awake It's Morning,American Double / Imperial Stout,10.50% ABV,4.4,233,142
15,Goose Island Beer Company,Bourbon County Brand Coffee Stout,American Double / Imperial Stout,13.40% ABV,4.58,6681,4
19,Goose Island Beer Company,Rare Bourbon County Brand Stout (2015),American Double / Imperial Stout,14.50% ABV,4.56,622,187
43,Goose Island Beer Company,Bourbon County Brand Stout,American Double / Imperial Stout,13.80% ABV,4.5,11514,68
57,Goose Island Beer Company,Bourbon County Brand Barleywine Ale,English Barleywine,12.10% ABV,4.48,4793,137
124,Grimm Artisanal Ales,Afterimage,American Double / Imperial IPA,8.00% ABV,4.41,266,136
212,Grimm Artisanal Ales,Tesseract,American Double / Imperial IPA,8.00% ABV,4.34,264,127
242,Grimm Artisanal Ales,Lambo Door,American Double / Imperial IPA,8.00% ABV,4.32,328,158
97,Hair of the Dog Brewing Company / Brewery and Tasting Room,Adam From The Wood,Old Ale,12.00% ABV,4.43,884,37
141,Hair of the Dog Brewing Company / Brewery and Tasting Room,Matt,American Strong Ale,11.50% ABV,4.39,798,80
22,Hill Farmstead Brewery,Abner,American Double / Imperial IPA,8.20% ABV,4.56,2388,112
31,Hill Farmstead Brewery,Ann,Saison / Farmhouse Ale,6.50% ABV,4.52,289,157
34,Hill Farmstead Brewery,Double Galaxy,American Double / Imperial IPA,8.00% ABV,4.52,1115,55
36,Hill Farmstead Brewery,Society & Solitude #4,American Double / Imperial IPA,8.00% ABV,4.51,920,28
49,Hill Farmstead Brewery,Double Citra,American Double / Imperial IPA,8.00% ABV,4.49,1568,56
66,Hill Farmstead Brewery,Ephraim,American Double / Imperial IPA,10.00% ABV,4.47,991,77
78,Hill Farmstead Brewery,Everett Porter,American Porter,7.50% ABV,4.45,2413,112
83,Hill Farmstead Brewery,Susan,American IPA,6.20% ABV,4.45,1503,42
89,Hill Farmstead Brewery,Society & Solitude #5,American Double / Imperial IPA,8.10% ABV,4.44,1242,33
118,Hill Farmstead Brewery,Juicy,Saison / Farmhouse Ale,7.40% ABV,4.41,365,157
159,Hill Farmstead Brewery,Edward,American Pale Ale (APA),5.20% ABV,4.38,2348,107
176,Hill Farmstead Brewery,Society & Solitude #6,American Double / Imperial IPA,8.10% ABV,4.37,586,150
204,Hill Farmstead Brewery,Birth Of Tragedy,American Porter,9.00% ABV,4.34,1088,41
205,Hill Farmstead Brewery,Beyond Good And Evil,American Double / Imperial Stout,NA,4.34,512,129
208,Hill Farmstead Brewery,Aaron,English Barleywine,NA,4.34,294,90
213,Hill Farmstead Brewery,What Is Enlightenment?,American Pale Ale (APA),5.40% ABV,4.34,828,16
219,Hill Farmstead Brewery,Flora Plum,Saison / Farmhouse Ale,NA,4.34,147,72
221,Hill Farmstead Brewery,Damon (Bourbon Barrel Aged),Russian Imperial Stout,10.50% ABV,4.34,611,170
234,Hill Farmstead Brewery,Citra Pale Ale,American Pale Ale (APA),5.40% ABV,4.33,944,23
