Rank,Brewery,Beer,Style,ABV,Rating,Ratings,Reviews
1,Tree House Brewing Company,Good Morning,American Double / Imperial Stout,8.40%,4.72,999,67
2,Toppling Goliath Brewing Company,Kentucky Brunch Brand Stout,American Double / Imperial Stout,12.00%,4.7,526,175
3,Toppling Goliath Brewing Company,Mornin' Delight,American Double / Imperial Stout,12.00%,4.67,990,50
4,Russian River Brewing Company,Pliny The Younger,American Double / Imperial IPA,10.25%,4.66,2973,179
5,Voodoo Brewing Company,ManBearPig,American Double / Imperial Stout,14.10%,4.66,168,141
6,The Alchemist,Heady Topper,American Double / Imperial IPA,8.00%,4.66,12782,59
7,Tree House Brewing Company,Very Hazy,American Double / Imperial IPA,8.60%,4.66,456,163
8,Tree House Brewing Company,King Julius,American Double / Imperial IPA,8.30%,4.65,676,27
9,Cigar City Brewing,Hunahpu's Imperial Stout - Double Barrel Aged,American Double / Imperial Stout,11.00%,4.64,1299,26
10,Tree House Brewing Company,King JJJuliusss,American Double / Imperial IPA,8.40%,4.63,335,154
11,Maine Beer Company,Dinner,American Double / Imperial IPA,8.20%,4.63,1823,72
12,Three Floyds Brewing Company,Marshmallow Handjee (Bourbon Barrel Aged Vanilla Bean Dark Lord),Russian Imperial Stout,15.00%,4.63,1430,90
13,Tree House Brewing Company,Julius,American IPA,6.80%,4.62,3086,125
14,Founders Brewing Company,Founders CBS Imperial Stout,American Double / Imperial Stout,10.60%,4.62,4238,182
15,Tree House Brewing Company,Juice Machine,American Double / Imperial IPA,8.20%,4.62,467,180
16,Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Trappist Westvleteren 12 (XII),Quadrupel (Quad),10.20%,4.61,6121,12
17,Bottle Logic Brewing,Fundamental Observation,American Double / Imperial Stout,14.30%,4.6,629,29
18,Russian River Brewing Company,Pliny The Elder,American Double / Imperial IPA,8.00%,4.6,14011,94
19,Perennial Artisan Ales,Barrel-Aged Abraxas,American Double / Imperial Stout,11.00%,4.59,1232,23
20,Goose Island Beer Company,Bourbon County Brand Coffee Stout,American Double / Imperial Stout,13.40%,4.57,6838,3
21,The Alchemist,Focal Banger,American IPA,7.00%,4.57,2449,84
22,Toppling Goliath Brewing Company,King Sue,American Double / Imperial IPA,8.00%,4.56,1556,55
23,Tree House Brewing Company,Green,American IPA,7.60%,4.56,1936,82
24,Tree House Brewing Company,Very Green,American Double / Imperial IPA,8.60%,4.56,384,137
25,Hill Farmstead Brewery,Abner,American Double / Imperial IPA,8.20%,4.56,2478,108
26,Founders Brewing Company,Founders KBS (Kentucky Breakfast Stout),American Double / Imperial Stout,12.40%,4.56,11940,92
27,Tree House Brewing Company,JJJuliusss,American IPA,6.80%,4.56,317,134
28,Lawson's Finest Liquids,Sip Of Sunshine,American Double / Imperial IPA,8.00%,4.55,4212,130
29,Hill Farmstead Brewery,Ann,Saison / Farmhouse Ale,6.50%,4.55,333,162
30,Funky Buddha Brewery,Morning Wood,American Porter,12.00%,4.54,487,159
31,Trillium Brewing Company,Double Dry Hopped Congress Street,American IPA,7.20%,4.54,869,16
32,Kern River Brewing Company,Citra Double IPA,American Double / Imperial IPA,8.00%,4.54,1646,112
33,Lawson's Finest Liquids,Double Sunshine IPA,American Double / Imperial IPA,8.00%,4.54,2097,102
34,Tree House Brewing Company,Alter Ego,American IPA,6.80%,4.53,1516,70
35,Lawson's Finest Liquids,Triple Sunshine IPA,American Double / Imperial IPA,10.50%,4.53,568,137
36,Firestone Walker Brewing Company,Parabola,Russian Imperial Stout,14.00%,4.53,6188,4
37,AleSmith Brewing Company,AleSmith Speedway Stout - Vietnamese Coffee (Bourbon Barrel Aged),American Double / Imperial Stout,12.00%,4.53,552,141
38,Tree House Brewing Company,Doppelganger,American Double / Imperial IPA,8.20%,4.53,723,15
39,Three Floyds Brewing Company,Zombie Dust,American Pale Ale (APA),6.20%,4.52,9730,8
40,Hill Farmstead Brewery,Double Galaxy,American Double / Imperial IPA,8.00%,4.52,1275,67
41,Brothers Craft Brewing,Resolute - Coconut,American Double / Imperial Stout,13.50%,4.52,180,127
