"Rank","Brewery","Beer","Style","ABV","Rating","Ratings","Reviews"
235,"Stone Brewing","Stone Enjoy By Unfiltered IPA","American Double / Imperial IPA","9.40%",4.35,1285,89
236,"Jackie O's Pub & Brewery","Bourbon Barrel Black Maple","American Porter","11.00%",4.35,898,188
237,"New Glarus Brewing Company","Wisconsin Belgian Red","Fruit / Vegetable Beer","4.00%",4.35,3507,196
238,"New Glarus Brewing Company","Serendipity","Fruit / Vegetable Beer","4.00%",4.35,2796,98
239,"Boneyard Beer Company","Hop Venom Double IPA","American Double / Imperial IPA","8.90%",4.35,905,24
240,"New England Brewing Company","Locust Reign","American Double / Imperial IPA","8.50%",4.35,294,125
241,"Live Oak Brewing Company","Live Oak HefeWeizen","Hefeweizen","5.20%",4.35,1578,137
242,"Lagunitas Brewing Company","High West-ified Imperial Coffee Stout","American Double / Imperial Stout","12.20%",4.35,1526,91
243,"Ballast Point Brewing Company","Victory At Sea Coffee Vanilla Imperial Porter","American Porter","10.00%",4.35,6712,5
244,"Hill Farmstead Brewery","Birth Of Tragedy","American Porter","9.00%",4.35,1149,53
245,"Avery Brewing Company","Uncle Jacob's Stout","American Double / Imperial Stout","17.10%",4.34,2570,129
246,"Hill Farmstead Brewery","What Is Enlightenment?","American Pale Ale (APA)","5.40%",4.34,875,19
247,"The Alchemist","Luscious","Russian Imperial Stout","9.20%",4.34,459,171
248,"Brouwerij Rodenbach N.V.","Alexander (2016)","Flanders Red Ale","5.60%",4.34,234,151
249,"La Cumbre Brewing Company","Project Dank","American IPA","7.50%",4.34,791,16
250,"Minneapolis Town Hall Brewery","Masala Mama India Pale Ale","American IPA","6.00%",4.34,1361,163
