Rank,Brewery,Beer,Style,ABV,Rating,Ratings,Reviews
9,Three Floyds Brewing Company,Bourbon Barrel Aged Vanilla Bean Dark Lord,Russian Imperial Stout,15.00% ABV,4.61,1309,93
24,Three Floyds Brewing Company,Zombie Dust,American Pale Ale (APA),6.20% ABV,4.53,9025,6
50,Three Floyds Brewing Company,Bourbon Barrel Aged Dark Lord Imperial Stout,Russian Imperial Stout,15.00% ABV,4.48,697,56
78,Three Floyds Brewing Company,Permanent Funeral,American Double / Imperial IPA,10.50% ABV,4.43,2550,96
115,Three Floyds Brewing Company,Dreadnaught IPA,American Double / Imperial IPA,9.50% ABV,4.4,5705,12
216,4 Hands Brewing Company,Madagascar,Milk / Sweet Stout,9.30% ABV,4.32,373,111
71,AleSmith Brewing Company,AleSmith Speedway Stout - Bourbon Barrel Aged,American Double / Imperial Stout,12.00% ABV,4.45,1795,106
141,AleSmith Brewing Company,AleSmith Speedway Stout - Vietnamese Coffee,American Double / Imperial Stout,12.00% ABV,4.38,1268,19
150,AleSmith Brewing Company,AleSmith Speedway Stout,American Double / Imperial Stout,12.00% ABV,4.37,6036,11
221,AleSmith Brewing Company,AleSmith Speedway Stout - Kopi Luwak,American Double / Imperial Stout,12.00% ABV,4.32,519,170
242,Allagash Brewing Company,Allagash Cuv?e D'Industrial,American Wild Ale,7.50% ABV,4.31,307,160
249,Allagash Brewing Company,Allagash Coolship Red,Lambic - Fruit,5.70% ABV,4.3,465,171
99,Alpine Beer Company,Keene Idea,American Double / Imperial IPA,8.88% ABV,4.41,415,149
109,Alpine Beer Company,Bad Boy,American Double / Imperial IPA,9.00% ABV,4.4,505,32
133,Alpine Beer Company,Nelson,American IPA,7.00% ABV,4.38,3611,169
139,Alpine Beer Company,Great,American Barleywine,14.00% ABV,4.38,577,41
144,Alpine Beer Company,Exponential Hoppiness,American Double / Imperial IPA,11.00% ABV,4.37,1226,126
212,Alpine Beer Company,Pure Hoppiness,American Double / Imperial IPA,8.00% ABV,4.32,2894,172
