"Rank","Brewery","Beer","Style","ABV","Rating","Ratings","Reviews"
1,"Tree House Brewing Company","Good Morning","American Double / Imperial Stout","8.40%",4.72,1006,69
2,"Toppling Goliath Brewing Company","Kentucky Brunch Brand Stout","American Double / Imperial Stout","12.00%",4.7,532,185
3,"Tree House Brewing Company","King Julius","American Double / Imperial IPA","8.30%",4.67,720,27
4,"Tree House Brewing Company","Very Hazy","American Double / Imperial IPA","8.60%",4.66,518,178
5,"Russian River Brewing Company","Pliny The Younger","American Double / Imperial IPA","10.25%",4.66,2987,187
6,"Voodoo Brewing Company","ManBearPig","American Double / Imperial Stout","14.10%",4.66,185,150
7,"Toppling Goliath Brewing Company","Mornin' Delight","American Double / Imperial Stout","12.00%",4.66,1036,54
8,"Cigar City Brewing","Hunahpu's Imperial Stout - Double Barrel Aged","American Double / Imperial Stout","11.00%",4.66,1354,29
9,"The Alchemist","Heady Topper","American Double / Imperial IPA","8.00%",4.65,12975,61
10,"Three Floyds Brewing Company","Marshmallow Handjee (Bourbon Barrel Aged Vanilla Bean Dark Lord)","Russian Imperial Stout","15.00%",4.64,1451,99
11,"Tree House Brewing Company","King JJJuliusss","American Double / Imperial IPA","8.40%",4.64,365,165
12,"Maine Beer Company","Dinner","American Double / Imperial IPA","8.20%",4.63,1880,74
13,"Tree House Brewing Company","Julius","American IPA","6.80%",4.62,3263,139
14,"Founders Brewing Company","Founders CBS Imperial Stout","American Double / Imperial Stout","10.60%",4.62,4271,193
15,"Tree House Brewing Company","Juice Machine","American Double / Imperial IPA","8.20%",4.61,508,14
16,"Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)","Trappist Westvleteren 12 (XII)","Quadrupel (Quad)","10.20%",4.61,6190,12
17,"Bottle Logic Brewing","Fundamental Observation","American Double / Imperial Stout","14.30%",4.6,715,36
18,"Russian River Brewing Company","Pliny The Elder","American Double / Imperial IPA","8.00%",4.6,14152,102
19,"Perennial Artisan Ales","Barrel-Aged Abraxas","American Double / Imperial Stout","11.00%",4.6,1259,22
20,"Tree House Brewing Company","Very Green","American Double / Imperial IPA","8.60%",4.58,538,172
21,"Toppling Goliath Brewing Company","King Sue","American Double / Imperial IPA","8.00%",4.57,1660,70
22,"Tree House Brewing Company","JJJuliusss","American IPA","6.80%",4.57,336,144
23,"Goose Island Beer Company","Bourbon County Brand Coffee Stout","American Double / Imperial Stout","13.40%",4.56,6926,3
24,"Funky Buddha Brewery","Last Buffalo In The Park","American Porter","11.50%",4.56,426,155
25,"Hill Farmstead Brewery","Abner","American Double / Imperial IPA","8.20%",4.56,2522,120
26,"Funky Buddha Brewery","Morning Wood","American Porter","12.00%",4.56,658,194
27,"Hill Farmstead Brewery","Ann","Saison / Farmhouse Ale","6.50%",4.56,338,172
28,"Founders Brewing Company","Founders KBS (Kentucky Breakfast Stout)","American Double / Imperial Stout","12.40%",4.56,12044,100
29,"AleSmith Brewing Company","AleSmith Speedway Stout - Vietnamese Coffee (Bourbon Barrel Aged)","American Double / Imperial Stout","12.00%",4.56,634,164
30,"The Alchemist","Focal Banger","American IPA","7.00%",4.56,2755,109
31,"Lawson's Finest Liquids","Sip Of Sunshine","American Double / Imperial IPA","8.00%",4.55,4333,141
32,"Tree House Brewing Company","Green","American IPA","7.60%",4.55,2087,97
33,"Tree House Brewing Company","Doppelganger","American Double / Imperial IPA","8.20%",4.55,881,26
34,"Kern River Brewing Company","Citra","American Double / Imperial IPA","8.00%",4.54,1715,124
35,"Trillium Brewing Company","Double Dry Hopped Congress Street","American IPA","7.20%",4.54,935,20
36,"Lawson's Finest Liquids","Triple Sunshine IPA","American Double / Imperial IPA","10.50%",4.54,583,148
37,"Lawson's Finest Liquids","Double Sunshine IPA","American Double / Imperial IPA","8.00%",4.54,2107,112
38,"Tree House Brewing Company","Alter Ego","American IPA","6.80%",4.54,1640,78
39,"Firestone Walker Brewing Company","Parabola","Russian Imperial Stout","14.00%",4.53,6266,4
40,"Hill Farmstead Brewery","Society & Solitude #4","American Double / Imperial IPA","8.00%",4.52,1075,38
41,"Three Floyds Brewing Company","Zombie Dust","American Pale Ale (APA)","6.20%",4.52,9848,8
42,"Kane Brewing Company","Sunday Brunch","American Porter","9.20%",4.52,485,150
43,"Hill Farmstead Brewery","Double Galaxy","American Double / Imperial IPA","8.00%",4.52,1303,69
44,"Tree House Brewing Company","Haze","American Double / Imperial IPA","8.20%",4.52,1775,81
45,"Brasserie Cantillon","Cantillon Fou' Foune","Lambic - Fruit","5.00%",4.52,2805,142
46,"Bissell Brothers Brewing Company","Swish","American Double / Imperial IPA","8.00%",4.51,999,38
47,"Toppling Goliath Brewing Company","Double Dry Hopped PseudoSue (Citra)","American Pale Ale (APA)","5.80%",4.5,292,148
48,"The Lost Abbey","Duck Duck Gooze","Gueuze","7.00%",4.5,1728,92
49,"Aslin Beer Company","Master Of Karate","American Double / Imperial IPA","8.40%",4.5,184,146
50,"Trillium Brewing Company","Headroom","American Double / Imperial IPA","8.00%",4.5,422,158
51,"Tree House Brewing Company","In Perpetuity","American IPA","6.70%",4.5,455,177
52,"Cigar City Brewing","Hunahpu's Imperial Stout","American Double / Imperial Stout","11.00%",4.5,4015,170
53,"Side Project Brewing","Fuzzy","American Wild Ale","8.00%",4.5,702,167
54,"Goose Island Beer Company","Bourbon County Brand Stout","American Double / Imperial Stout","13.80%",4.5,12011,66
55,"Russian River Brewing Company","Supplication","American Wild Ale","7.00%",4.49,6219,7
56,"Trillium Brewing Company","Galaxy Dry Hopped Fort Point Pale Ale","American Pale Ale (APA)","6.60%",4.49,1416,44
57,"Hill Farmstead Brewery","Double Citra","American Double / Imperial IPA","8.00%",4.49,1697,69
58,"Tree House Brewing Company","Double Shot","American Stout","7.60%",4.49,801,168
59,"Toppling Goliath Brewing Company","Assassin Imperial Stout","American Double / Imperial Stout","12.00%",4.49,1060,186
60,"Brasserie Cantillon","Cantillon Blåbær Lambik","Lambic - Fruit","5.00%",4.49,770,86
61,"Bell's Brewery, Inc.","Bell's Black Note Stout","American Double / Imperial Stout","11.40%",4.49,4138,157
62,"Toppling Goliath Brewing Company","PseudoSue","American Pale Ale (APA)","5.80%",4.49,4038,151
63,"Trillium Brewing Company","Double Dry Hopped Fort Point Pale Ale","American Pale Ale (APA)","6.60%",4.49,1147,22
64,"Jester King Brewery","Atrial Rubicite","American Wild Ale","5.80%",4.48,1681,42
65,"Three Floyds Brewing Company","Bourbon Barrel Aged Dark Lord Imperial Stout","Russian Imperial Stout","15.00%",4.48,806,59
66,"Kuhnhenn Brewing Company","Kuhnhenn Bourbon Barrel Fourth Dementia","Old Ale","13.50%",4.48,1887,128
67,"Fremont Brewing Company","Bourbon Barrel Aged Abominable: Coffee And Cinnamon","American Strong Ale","14.00%",4.48,734,189
68,"Deschutes Brewery","The Abyss","American Double / Imperial Stout","12.20%",4.48,6892,13
69,"Brouwerij Drie Fonteinen","Drie Fonteinen Zenne Y Frontera","Lambic - Unblended","7.00%",4.48,128,113
70,"Trillium Brewing Company","Scaled Way Up","American Double / Imperial IPA","8.00%",4.47,331,137
71,"Boneyard Beer Company","Notorious Triple IPA","American Double / Imperial IPA","12.00%",4.47,729,186
72,"Prairie Artisan Ales","BOMB!","American Double / Imperial Stout","13.00%",4.47,5669,179
73,"Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)","Trappist Westvleteren 8 (VIII)","Dubbel","8.00%",4.47,2106,175
74,"Trillium Brewing Company","Cutting Tiles","American Double / Imperial IPA","8.50%",4.47,1031,40
75,"Hill Farmstead Brewery","Ephraim","American Double / Imperial IPA","10.00%",4.47,1008,77
76,"Founders Brewing Company","Founders Breakfast Stout","American Double / Imperial Stout","8.30%",4.47,16264,103
77,"Brasserie de Rochefort","Trappistes Rochefort 10","Quadrupel (Quad)","11.30%",4.47,9069,65
78,"New England Brewing Company","Fuzzy Baby Ducks IPA","American IPA","6.20%",4.47,738,182
79,"Goose Island Beer Company","Bourbon County Brand Barleywine Ale","English Barleywine","12.10%",4.47,5020,149
80,"Firestone Walker Brewing Company","Parabajava","Russian Imperial Stout","14.00%",4.47,622,169
81,"Evil Twin Brewing","Evil Twin Double Barrel Jesus","American Double / Imperial Stout","12.00%",4.46,597,167
82,"Dark Horse Brewing Company","Dark Horse Bourbon Barrel Aged Plead The 5th","Russian Imperial Stout","12.00%",4.46,3064,130
83,"Fremont Brewing Company","The Rusty Nail","American Double / Imperial Stout","13.20%",4.46,178,121
84,"Mikkeller ApS","Beer Geek Vanilla Shake (Bourbon Edition)","American Double / Imperial Stout","13.00%",4.46,316,136
85,"Ozark Beer Company","BDCS","American Double / Imperial Stout","10.20%",4.46,307,146
86,"Surly Brewing Company","Todd The Axe Man","American IPA","7.20%",4.46,2151,117
87,"Brasserie Cantillon","Cantillon Lou Pepe - Kriek","Lambic - Fruit","5.00%",4.46,1692,116
88,"The Bruery","Black Tuesday","American Double / Imperial Stout","19.20%",4.46,3796,160
89,"The Lost Abbey","Cable Car","American Wild Ale","7.00%",4.46,964,75
90,"The Alchemist","Crusher","American Double / Imperial IPA","9.60%",4.46,1440,48
91,"Funky Buddha Brewery","Wide Awake It's Morning","American Porter","10.00%",4.46,649,21
92,"Russian River Brewing Company","Beatification","American Wild Ale","5.50%",4.46,2590,147
93,"Hill Farmstead Brewery","Society & Solitude #5","American Double / Imperial IPA","8.10%",4.46,1362,43
94,"Prairie Artisan Ales","Pirate Bomb!","American Double / Imperial Stout","14.00%",4.46,1915,68
95,"Brouwerij Drie Fonteinen","Drie Fonteinen Oude Geuze Vintage","Gueuze","6.00%",4.45,704,28
96,"Surly Brewing Company","Abrasive Ale","American Double / Imperial IPA","9.00%",4.45,4478,188
97,"Hill Farmstead Brewery","Susan","American IPA","6.20%",4.45,1765,57
98,"Firestone Walker Brewing Company","§ucaba","English Barleywine","12.50%",4.45,4944,183
99,"Trillium Brewing Company","Fort Point Pale Ale","American Pale Ale (APA)","6.60%",4.45,1767,55
100,"Hill Farmstead Brewery","Everett Porter","American Porter","7.50%",4.45,2570,122
101,"Toppling Goliath Brewing Company","Sosus","American Double / Imperial IPA","8.00%",4.45,1259,39
102,"Cigar City Brewing","Caffè Americano","American Double / Imperial Stout","11.00%",4.45,965,25
103,"Tree House Brewing Company","Doubleganger","American Double / Imperial IPA","8.20%",4.45,119,90
104,"Brouwerij Drie Fonteinen","Drie Fonteinen Oude Geuze Golden Blend","Gueuze","7.50%",4.45,1004,51
105,"AleSmith Brewing Company","AleSmith Speedway Stout - Bourbon Barrel Aged","American Double / Imperial Stout","12.00%",4.45,2065,114
106,"Cigar City Brewing","Decoherence","American Double / Imperial Stout","12.90%",4.45,174,95
107,"Trillium Brewing Company","Congress Street IPA","American IPA","7.20%",4.45,1844,72
108,"Oskar Blues Grill & Brew","Ten FIDY Bourbon Barrel Aged","Russian Imperial Stout","12.90%",4.45,949,45
109,"Trillium Brewing Company","Mosaic Dry Hopped Fort Point","American Pale Ale (APA)","6.60%",4.45,945,19
110,"Peg's Cantina & Brew Pub","Trademark Dispute: Hazelnut","American Double / Imperial Stout","Imperial",4.44,174,91
111,"de Garde Brewing","The Broken Truck","Gueuze","5.00%",4.44,150,83
112,"Fremont Brewing Company","Brew 1000 - Bourbon Barrel Aged","English Barleywine","13.10%",4.44,166,110
