Rank,Brewery,Beer,Style,ABV,Rating,Ratings,Reviews
1,Tree House Brewing Company,Good Morning,American Double / Imperial Stout,8.40% ABV,4.71,879,52
2,Toppling Goliath Brewing Company,Kentucky Brunch Brand Stout,American Double / Imperial Stout,12.00% ABV,4.69,482,170
3,Toppling Goliath Brewing Company,Mornin' Delight,American Double / Imperial Stout,12.00% ABV,4.68,753,31
4,Russian River Brewing Company,Pliny The Younger,American Double / Imperial IPA,11.00% ABV,4.66,2778,180
5,The Alchemist,Heady Topper,American Double / Imperial IPA,8.00% ABV,4.66,11770,55
6,Maine Beer Company,Dinner,American Double / Imperial IPA,8.20% ABV,4.64,1453,44
7,Founders Brewing Company,Founders CBS Imperial Stout,American Double / Imperial Stout,10.60% ABV,4.62,4013,185
8,3 Floyds Brewing Co.,Bourbon Barrel Aged Vanilla Bean Dark Lord,Russian Imperial Stout,15.00% ABV,4.61,1320,87
9,Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Trappist Westvleteren 12 (XII),Quadrupel (Quad),10.20% ABV,4.6,5790,15
10,Tree House Brewing Company,Julius,American IPA,6.80% ABV,4.6,2221,102
11,Russian River Brewing Company,Pliny The Elder,American Double / Imperial IPA,8.00% ABV,4.6,13274,95
12,Goose Island Beer Co.,Bourbon County Brand Coffee Stout,American Double / Imperial Stout,13.40% ABV,4.59,6526,1
13,Tree House Brewing Company,King Julius,American Double / Imperial IPA,8.30% ABV,4.59,248,138
14,Goose Island Beer Co.,Rare Bourbon County Brand Stout (2015),American Double / Imperial Stout,14.50% ABV,4.56,375,158
15,Perennial Artisan Ales,Barrel-Aged Abraxas,American Double / Imperial Stout,11.00% ABV,4.56,1110,187
16,Bottle Logic Brewing,Fundamental Observation,American Double / Imperial Stout,14.30% ABV,4.56,312,161
17,The Alchemist,Focal Banger,American IPA,7.00% ABV,4.56,1714,41
18,Lawson's Finest Liquids,Sip Of Sunshine,American IPA,8.00% ABV,4.56,3366,113
19,Founders Brewing Company,Founders KBS (Kentucky Breakfast Stout),American Double / Imperial Stout,11.20% ABV,4.56,10965,65
20,Hill Farmstead Brewery,Abner,American Double / Imperial IPA,8.20% ABV,4.56,2345,108
21,Kern River Brewing Company,Citra Double IPA,American Double / Imperial IPA,8.00% ABV,4.55,1564,112
22,Toppling Goliath Brewing Company,King Sue,American Double / Imperial IPA,8.00% ABV,4.55,1184,23
23,Lawson's Finest Liquids,Double Sunshine IPA,American Double / Imperial IPA,8.00% ABV,4.54,1986,101
24,Trillium Brewing Company,Artaic,American Double / Imperial IPA,8.50% ABV,4.54,569,173
25,3 Floyds Brewing Co.,Zombie Dust,American Pale Ale (APA),6.20% ABV,4.53,9087,7
26,Firestone Walker Brewing Co.,Parabola,Russian Imperial Stout,14.00% ABV,4.53,5794,3
27,Tree House Brewing Company,Green,American IPA,7.60% ABV,4.53,1204,42
28,Funky Buddha Brewery,Morning Wood,American Porter,12.00% ABV,4.53,310,141
29,Toppling Goliath Brewing Company,SR-71 Blackbird (2015),American Double / Imperial Stout,14.00% ABV,4.53,359,119
30,Lawson's Finest Liquids,Triple Sunshine IPA,American Double / Imperial IPA,10.50% ABV,4.52,503,131
31,Hill Farmstead Brewery,Ann,Saison / Farmhouse Ale,6.50% ABV,4.51,264,151
32,Toppling Goliath Brewing Company,PseudoSue,American Pale Ale (APA),5.80% ABV,4.51,3239,120
33,Hill Farmstead Brewery,Double Galaxy,American Double / Imperial IPA,8.00% ABV,4.51,1020,47
34,Brasserie Cantillon,Cantillon Fou' Foune,Lambic - Fruit,5.00% ABV,4.5,2538,132
35,Tree House Brewing Company,In Perpetuity,American IPA,6.70% ABV,4.5,270,149
36,The Lost Abbey,Duck Duck Gooze,American Wild Ale,7.00% ABV,4.5,1549,83
37,Cigar City Brewing,Hunahpu's Imperial Stout,American Double / Imperial Stout,11.00% ABV,4.5,3606,162
38,Brothers Craft Brewing,Resolute - Coconut,American Double / Imperial Stout,13.50% ABV,4.5,55,88
39,Goose Island Beer Co.,Bourbon County Brand Stout,American Double / Imperial Stout,13.80% ABV,4.5,11232,64
40,Tree House Brewing Company,Alter Ego,American IPA,6.80% ABV,4.49,796,28
41,Russian River Brewing Company,Supplication,American Wild Ale,7.00% ABV,4.49,5838,8
42,Trillium Brewing Company,Galaxy Dry Hopped Fort Point Pale Ale,American Pale Ale (APA),6.60% ABV,4.49,848,179
43,"Bell's Brewery, Inc.",Bell's Black Note Stout,American Double / Imperial Stout,11.40% ABV,4.49,3770,143
44,Brasserie Cantillon,Cantillon Bl†b‘r Lambik,Lambic - Fruit,5.00% ABV,4.49,677,76
45,Deschutes Brewery,The Abyss,American Double / Imperial Stout,12.20% ABV,4.49,6355,16
