Rank,Brewery,Beer,Style,ABV,Rating,Ratings,Reviews
175,4 Hands Brewing Company,Madagascar,Milk / Sweet Stout,9.30% ABV,4.38,551,150
39,AleSmith Brewing Company,AleSmith Speedway Stout - Vietnamese Coffee (Bourbon Barrel Aged),American Double / Imperial Stout,12.00% ABV,4.51,498,139
91,AleSmith Brewing Company,AleSmith Speedway Stout - Bourbon Barrel Aged,American Double / Imperial Stout,12.00% ABV,4.45,1947,107
163,AleSmith Brewing Company,AleSmith Speedway Stout - Vietnamese Coffee,American Double / Imperial Stout,12.00% ABV,4.39,1429,25
190,AleSmith Brewing Company,AleSmith Speedway Stout,American Double / Imperial Stout,12.00% ABV,4.37,6362,9
108,Alpine Beer Company,Keene Idea,American Double / Imperial IPA,8.88% ABV,4.44,439,153
137,Alpine Beer Company,Bad Boy,American Double / Imperial IPA,9.00% ABV,4.41,517,27
156,Alpine Beer Company,Great,American Barleywine,14.00% ABV,4.39,619,38
182,Alpine Beer Company,Exponential Hoppiness,American Double / Imperial IPA,11.00% ABV,4.37,1278,120
184,Alpine Beer Company,Nelson,American IPA,7.00% ABV,4.37,3950,175
118,Anchorage Brewing Company,A Deal With The Devil,American Barleywine,17.30% ABV,4.42,895,25
105,Aslin Beer Company,Master Of Karate,American Double / Imperial IPA,8.40% ABV,4.44,71,89
167,Avery Brewing Company,Tweak,American Double / Imperial Stout,17.81% ABV,4.38,1895,81
223,Avery Brewing Company,Uncle Jacob's Stout,American Double / Imperial Stout,17.10% ABV,4.34,2375,112
177,Ballast Point Brewing Company,Sculpin IPA,American IPA,7.00% ABV,4.38,13187,64
219,Ballast Point Brewing Company,Victory At Sea Coffee Vanilla Imperial Porter,American Porter,10.00% ABV,4.35,6494,5
145,Bayerische Staatsbrauerei Weihenstephan,Weihenstephaner Hefeweissbier,Hefeweizen,5.40% ABV,4.4,7907,65
54,"Bell's Brewery, Inc.",Bell's Black Note Stout,American Double / Imperial Stout,11.40% ABV,4.49,3866,149
102,"Bell's Brewery, Inc.",Hopslam Ale,American Double / Imperial IPA,10.00% ABV,4.44,12536,96
243,"Bell's Brewery, Inc.",30th Anniversary Ale,American Double / Imperial Stout,11.00% ABV,4.33,1321,84
47,Bissell Brothers Brewing Company,Swish,American Double / Imperial IPA,8.00% ABV,4.5,840,25
89,Boneyard Beer Company,Notorious Triple IPA,American Double / Imperial IPA,12.00% ABV,4.45,621,173
207,Boneyard Beer Company,Hop Venom Double IPA,American Double / Imperial IPA,8.90% ABV,4.35,857,19
146,Boston Beer Company (Samuel Adams),Samuel Adams Utopias,American Strong Ale,29.00% ABV,4.4,2381,143
26,Bottle Logic Brewing,Fundamental Observation,American Double / Imperial Stout,14.30% ABV,4.55,422,178
171,Bottle Logic Brewing,Ground State - 2nd Anniversary Beer,American Double / Imperial Stout,12.50% ABV,4.38,213,123
37,Brasserie Cantillon,Cantillon Fou' Foune,Lambic - Fruit,5.00% ABV,4.51,2678,140
53,Brasserie Cantillon,Cantillon Bl?b?r Lambik,Lambic - Fruit,5.00% ABV,4.49,714,80
78,Brasserie Cantillon,Cantillon Lou Pepe - Kriek,Lambic - Fruit,5.00% ABV,4.46,1632,109
124,Brasserie Cantillon,Cantillon Saint Lamvinus,Lambic - Fruit,5.00% ABV,4.42,1942,135
138,Brasserie Cantillon,Cantillon Lou Pepe - Framboise,Lambic - Fruit,5.00% ABV,4.41,1168,90
195,Brasserie Cantillon,Cantillon Gueuze 100% Lambic,Gueuze,5.00% ABV,4.36,2987,152
199,Brasserie Cantillon,Cantillon Lou Pepe - Gueuze,Gueuze,5.00% ABV,4.36,1032,58
71,Brasserie de Rochefort,Trappistes Rochefort 10,Quadrupel (Quad),11.30% ABV,4.47,8855,70
159,Brasserie Dieu du Ciel!,P?ch? Mortel,American Double / Imperial Stout,9.50% ABV,4.39,4870,11
192,Brasserie Dieu du Ciel!,P?ch? Mortel En F?t De Bourbon Am?ricain,American Double / Imperial Stout,9.50% ABV,4.36,410,180
56,Brothers Craft Brewing,Resolute - Coconut,American Double / Imperial Stout,13.50% ABV,4.48,152,128
90,Brouwerij Drie Fonteinen,Drie Fonteinen Oude Geuze Golden Blend,Gueuze,7.50% ABV,4.45,930,48
98,Brouwerij Drie Fonteinen,Drie Fonteinen Oude Geuze Vintage,Gueuze,6.00% ABV,4.44,647,25
120,Brouwerij Drie Fonteinen,Drie Fonteinen Framboos,Lambic - Fruit,5.00% ABV,4.42,573,190
168,Brouwerij Drie Fonteinen,Drie Fonteinen Hommage,Lambic - Fruit,6.00% ABV,4.38,762,46
234,Brouwerij Drie Fonteinen,Drie Fonteinen Oude Geuze,Gueuze,6.00% ABV,4.33,2604,163
247,Brouwerij Drie Fonteinen,Drie Fonteinen Zenne Y Frontera,Lambic - Unblended,7.00% ABV,4.33,55,45
152,Brouwerij Rodenbach N.V.,Rodenbach Caract?re Rouge,Flanders Red Ale,7.00% ABV,4.39,1263,51
121,Brouwerij St. Bernardus NV,St. Bernardus Abt 12,Quadrupel (Quad),10.00% ABV,4.42,9147,69
13,Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Trappist Westvleteren 12 (XII),Quadrupel (Quad),10.20% ABV,4.61,5991,12
67,Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Trappist Westvleteren 8 (VIII),Dubbel,8.00% ABV,4.47,2028,172
213,Buxton Brewery,Buxton / Omnipollo Yellow Belly,American Double / Imperial Stout,NA,4.35,154,119
164,Cascade Brewing / Raccoon Lodge & Brewpub,Cascade Sang Noir,American Wild Ale,9.50% ABV,4.38,1514,55
76,Central Waters Brewing Company,Black Gold (2015),American Double / Imperial Stout,11.00% ABV,4.46,432,153
7,Cigar City Brewing,Hunahpu's Imperial Stout - Double Barrel Aged,American Double / Imperial Stout,11.00% ABV,4.64,1219,18
45,Cigar City Brewing,Hunahpu's Imperial Stout,American Double / Imperial Stout,11.00% ABV,4.5,3824,167
119,Cigar City Brewing,Caff? Americano,American Double / Imperial Stout,11.00% ABV,4.42,733,170
201,Cigar City Brewing,Zhukov's Final Push,Russian Imperial Stout,11.50% ABV,4.36,139,89
185,Civil Society Brewing,Pulp,American Pale Wheat Ale,6.30% ABV,4.37,115,101
202,Clown Shoes,Breakfast Exorcism,American Double / Imperial Stout,11.00% ABV,4.36,293,141
104,Columbus Brewing Company,Columbus Bodhi DIPA,American Double / Imperial IPA,8.50% ABV,4.44,1297,43
196,Creature Comforts,See The Stars,Russian Imperial Stout,10.90% ABV,4.36,170,132
65,Dark Horse Brewing Company,Dark Horse Bourbon Barrel Aged Plead The 5th,Russian Imperial Stout,12.00% ABV,4.47,2958,124
60,Deschutes Brewery,The Abyss,American Double / Imperial Stout,12.20% ABV,4.48,6669,14
248,Deschutes Brewery,The Abyss (Rye Whiskey Barrel-Aged),American Double / Imperial Stout,13.20% ABV,4.33,217,132
99,Evil Twin Brewing,Evil Twin Double Barrel Jesus,American Double / Imperial Stout,12.00% ABV,4.44,534,155
115,Evil Twin Brewing,Imperial Biscotti Break Bourbon Barrel Aged,American Double / Imperial Stout,11.50% ABV,4.43,1462,29
129,Fat Head's Brewery & Saloon,Hop JuJu Imperial IPA,American Double / Imperial IPA,9.00% ABV,4.41,1920,79
142,Fiddlehead Brewing Company,Second Fiddle,American Double / Imperial IPA,8.20% ABV,4.4,1596,48
123,FiftyFifty Brewing Company,Imperial Eclipse Stout - Elijah Craig (12 Year),American Double / Imperial Stout,11.90% ABV,4.42,1782,94
32,Firestone Walker Brewing Company,Parabola,Russian Imperial Stout,14.00% ABV,4.53,6035,4
84,Firestone Walker Brewing Company,?ucaba,English Barleywine,12.50% ABV,4.45,4801,179
97,Firestone Walker Brewing Company,Parabajava,Russian Imperial Stout,14.00% ABV,4.44,433,151
111,Firestone Walker Brewing Company,Stickee Monkee,Quadrupel (Quad),12.00% ABV,4.43,2106,75
198,Firestone Walker Brewing Company,Firestone 19 - Anniversary Ale,American Strong Ale,13.80% ABV,4.36,421,169
131,Foundation Brewing Company,Epiphany,American Double / Imperial IPA,8.00% ABV,4.41,713,21
10,Founders Brewing Company,Founders CBS Imperial Stout,American Double / Imperial Stout,10.60% ABV,4.62,4176,188
23,Founders Brewing Company,Founders KBS (Kentucky Breakfast Stout),American Double / Imperial Stout,12.40% ABV,4.56,11726,95
69,Founders Brewing Company,Founders Breakfast Stout,American Double / Imperial Stout,8.30% ABV,4.47,15810,98
230,Founders Brewing Company,Founders Imperial Stout,Russian Imperial Stout,10.50% ABV,4.34,7549,13
63,Fremont Brewing Company,Bourbon Barrel Aged Abominable: Coffee And Cinnamon,American Strong Ale,14.00% ABV,4.47,658,182
158,Fremont Brewing Company,Bourbon Barrel Aged Dark Star: Coffee Edition,Oatmeal Stout,14.50% ABV,4.39,459,134
160,Fremont Brewing Company,Brew 1000 - Bourbon Barrel Aged,English Barleywine,13.10% ABV,4.39,133,85
188,Fremont Brewing Company,Bourbon Barrel Aged Dark Star Oatmeal Stout,Oatmeal Stout,14.50% ABV,4.37,286,126
211,Fremont Brewing Company,Bourbon Abominable Winter Ale,American Strong Ale,14.00% ABV,4.35,967,39
31,Funky Buddha Brewery,Morning Wood,American Porter,12.00% ABV,4.53,434,161
103,Funky Buddha Brewery,Snowed In - Bourbon Barrel Aged,American Double / Imperial Stout,11.00% ABV,4.44,214,103
112,Funky Buddha Brewery,Wide Awake It's Morning,American Double / Imperial Stout,10.50% ABV,4.43,375,168
113,Funky Buddha Brewery,Maple Bacon Coffee Porter,American Porter,6.40% ABV,4.43,1596,74
116,Funky Buddha Brewery,Last Snow,American Porter,6.50% ABV,4.43,1512,72
20,Goose Island Beer Company,Rare Bourbon County Brand Stout (2015),American Double / Imperial Stout,14.50% ABV,4.57,710,19
21,Goose Island Beer Company,Bourbon County Brand Coffee Stout,American Double / Imperial Stout,13.40% ABV,4.57,6745,3
46,Goose Island Beer Company,Bourbon County Brand Stout,American Double / Imperial Stout,13.80% ABV,4.5,11663,71
61,Goose Island Beer Company,Bourbon County Brand Barleywine Ale,English Barleywine,12.10% ABV,4.48,4853,143
136,Grimm Artisanal Ales,Afterimage,American Double / Imperial IPA,8.00% ABV,4.41,334,151
200,Grimm Artisanal Ales,Tesseract,American Double / Imperial IPA,8.00% ABV,4.36,365,147
241,Grimm Artisanal Ales,Lambo Door,American Double / Imperial IPA,8.00% ABV,4.33,363,165
107,Hair of the Dog Brewing Company / Brewery and Tasting Room,Adam From The Wood,Old Ale,12.00% ABV,4.44,898,40
153,Hair of the Dog Brewing Company / Brewery and Tasting Room,Matt,American Strong Ale,11.50% ABV,4.39,807,79
24,Hill Farmstead Brewery,Abner,American Double / Imperial IPA,8.20% ABV,4.56,2411,113
30,Hill Farmstead Brewery,Ann,Saison / Farmhouse Ale,6.50% ABV,4.53,301,161
36,Hill Farmstead Brewery,Double Galaxy,American Double / Imperial IPA,8.00% ABV,4.52,1153,59
40,Hill Farmstead Brewery,Society & Solitude #4,American Double / Imperial IPA,8.00% ABV,4.51,965,30
51,Hill Farmstead Brewery,Double Citra,American Double / Imperial IPA,8.00% ABV,4.49,1595,57
70,Hill Farmstead Brewery,Ephraim,American Double / Imperial IPA,10.00% ABV,4.47,997,78
86,Hill Farmstead Brewery,Society & Solitude #5,American Double / Imperial IPA,8.10% ABV,4.45,1266,32
88,Hill Farmstead Brewery,Everett Porter,American Porter,7.50% ABV,4.45,2469,115
92,Hill Farmstead Brewery,Susan,American IPA,6.20% ABV,4.45,1578,43
126,Hill Farmstead Brewery,Juicy,Saison / Farmhouse Ale,7.40% ABV,4.41,399,162
148,Hill Farmstead Brewery,Society & Solitude #6,American Double / Imperial IPA,8.10% ABV,4.4,641,162
172,Hill Farmstead Brewery,Edward,American Pale Ale (APA),5.20% ABV,4.38,2421,105
194,Hill Farmstead Brewery,Flora Plum,Saison / Farmhouse Ale,NA,4.36,188,82
197,Hill Farmstead Brewery,Beyond Good And Evil,American Double / Imperial Stout,NA,4.36,521,137
214,Hill Farmstead Brewery,What Is Enlightenment?,American Pale Ale (APA),5.40% ABV,4.35,833,15
215,Hill Farmstead Brewery,Aaron,English Barleywine,NA,4.35,301,89
218,Hill Farmstead Brewery,Damon (Bourbon Barrel Aged),Russian Imperial Stout,10.50% ABV,4.35,615,178
221,Hill Farmstead Brewery,Birth Of Tragedy,American Porter,9.00% ABV,4.34,1105,44
238,Hill Farmstead Brewery,Citra Pale Ale,American Pale Ale (APA),5.40% ABV,4.33,949,23
249,Hill Farmstead Brewery,Nelson Single Hop,American Pale Ale (APA),5.20% ABV,4.32,418,148
135,J. Wakefield Brewing,Miami Madness,Berliner Weissbier,3.50% ABV,4.41,169,89
181,J. Wakefield Brewing,Dragon Fruit Passion Fruit Berliner,Berliner Weissbier,3.50% ABV,4.37,225,111
93,Jackie O's Pub & Brewery,Bourbon Barrel Champion Ground,American Double / Imperial Stout,11.00% ABV,4.45,258,145
127,Jackie O's Pub & Brewery,Oro Negro,American Double / Imperial Stout,10.00% ABV,4.41,513,182
208,Jackie O's Pub & Brewery,Bourbon Barrel Black Maple,American Porter,11.00% ABV,4.35,812,174
58,Jester King Brewery,Atrial Rubicite,American Wild Ale,5.80% ABV,4.48,1574,31
203,Jester King Brewery,Montmorency Vs Balaton,American Wild Ale,6.70% ABV,4.36,582,123
101,Kane Brewing Company,Sunday Brunch,American Porter,9.20% ABV,4.44,295,101
27,Kern River Brewing Company,Citra Double IPA,American Double / Imperial IPA,8.00% ABV,4.55,1627,118
50,Kuhnhenn Brewing Company,Kuhnhenn Bourbon Barrel Fourth Dementia,Old Ale,13.50% ABV,4.49,1839,122
191,Kuhnhenn Brewing Company,Kuhnhenn Raspberry Eisbock,Eisbock,15.50% ABV,4.37,1195,131
210,La Cumbre Brewing Company,Project Dank,American IPA,7.50% ABV,4.35,748,184
155,Lagunitas Brewing Company,Born Yesterday Pale Ale,American Pale Ale (APA),6.50% ABV,4.39,1734,102
220,Lagunitas Brewing Company,ScareCity #3: High West-ified Imperial Coffee Stout,American Double / Imperial Stout,12.10% ABV,4.34,1254,49
25,Lawson's Finest Liquids,Sip Of Sunshine,American Double / Imperial IPA,8.00% ABV,4.55,3917,133
28,Lawson's Finest Liquids,Double Sunshine IPA,American Double / Imperial IPA,8.00% ABV,4.55,2046,106
33,Lawson's Finest Liquids,Triple Sunshine IPA,American Double / Imperial IPA,10.50% ABV,4.53,559,145
189,Lift Bridge Brewery,Barrel-Aged Silhouette,Russian Imperial Stout,10.00% ABV,4.37,299,111
204,Live Oak Brewing Company,Live Oak HefeWeizen,Hefeweizen,5.20% ABV,4.36,1447,127
174,Logsdon Farmhouse Ales,Peche 'n Brett,Saison / Farmhouse Ale,10.00% ABV,4.38,1188,37
