Rank,Brewery,Beer,Style,ABV,Rating,Ratings,Reviews
1,Tree House Brewing Company,Good Morning,American Double / Imperial Stout,8.40%,4.72,994,68
2,Toppling Goliath Brewing Company,Kentucky Brunch Brand Stout,American Double / Imperial Stout,12.00%,4.7,523,182
3,Toppling Goliath Brewing Company,Mornin' Delight,American Double / Imperial Stout,12.00%,4.66,956,44
4,Russian River Brewing Company,Pliny The Younger,American Double / Imperial IPA,10.25%,4.66,2971,185
5,Voodoo Brewing Company,ManBearPig,American Double / Imperial Stout,14.10%,4.66,160,145
6,The Alchemist,Heady Topper,American Double / Imperial IPA,8.00%,4.66,12738,59
7,Tree House Brewing Company,King Julius,American Double / Imperial IPA,8.30%,4.65,656,24
8,Cigar City Brewing,Hunahpu's Imperial Stout - Double Barrel Aged,American Double / Imperial Stout,11.00%,4.65,1290,23
9,Tree House Brewing Company,Very Hazy,American Double / Imperial IPA,8.60%,4.64,439,168
10,Tree House Brewing Company,King JJJuliusss,American Double / Imperial IPA,8.40%,4.63,327,159
11,Maine Beer Company,Dinner,American Double / Imperial IPA,8.20%,4.63,1817,75
12,Three Floyds Brewing Company,Marshmallow Handjee (Bourbon Barrel Aged Vanilla Bean Dark Lord),Russian Imperial Stout,15.00%,4.63,1425,93
13,Tree House Brewing Company,Juice Machine,American Double / Imperial IPA,8.20%,4.62,436,183
14,Founders Brewing Company,Founders CBS Imperial Stout,American Double / Imperial Stout,10.60%,4.62,4231,189
15,Tree House Brewing Company,Julius,American IPA,6.80%,4.62,3048,130
16,Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Trappist Westvleteren 12 (XII),Quadrupel (Quad),10.20%,4.61,6111,12
17,Russian River Brewing Company,Pliny The Elder,American Double / Imperial IPA,8.00%,4.6,13978,98
18,Bottle Logic Brewing,Fundamental Observation,American Double / Imperial Stout,14.30%,4.6,600,24
19,Perennial Artisan Ales,Barrel-Aged Abraxas,American Double / Imperial Stout,11.00%,4.59,1221,21
20,Toppling Goliath Brewing Company,King Sue,American Double / Imperial IPA,8.00%,4.57,1537,50
21,Goose Island Beer Company,Bourbon County Brand Coffee Stout,American Double / Imperial Stout,13.40%,4.57,6833,3
22,The Alchemist,Focal Banger,American IPA,7.00%,4.57,2373,83
23,Hill Farmstead Brewery,Abner,American Double / Imperial IPA,8.20%,4.56,2470,111
24,Founders Brewing Company,Founders KBS (Kentucky Breakfast Stout),American Double / Imperial Stout,12.40%,4.56,11929,96
25,Tree House Brewing Company,Very Green,American Double / Imperial IPA,8.60%,4.56,377,139
26,Tree House Brewing Company,JJJuliusss,American IPA,6.80%,4.56,311,139
27,Lawson's Finest Liquids,Sip Of Sunshine,American Double / Imperial IPA,8.00%,4.55,4186,135
28,Tree House Brewing Company,Green,American IPA,7.60%,4.55,1912,85
29,Hill Farmstead Brewery,Ann,Saison / Farmhouse Ale,6.50%,4.55,331,170
30,Funky Buddha Brewery,Morning Wood,American Porter,12.00%,4.54,481,165
31,Trillium Brewing Company,Double Dry Hopped Congress Street,American IPA,7.20%,4.54,863,15
32,Kern River Brewing Company,Citra Double IPA,American Double / Imperial IPA,8.00%,4.54,1646,115
33,Lawson's Finest Liquids,Double Sunshine IPA,American Double / Imperial IPA,8.00%,4.54,2094,106
34,Tree House Brewing Company,Doppelganger,American Double / Imperial IPA,8.20%,4.54,691,186
35,Tree House Brewing Company,Alter Ego,American IPA,6.80%,4.53,1501,73
36,Firestone Walker Brewing Company,Parabola,Russian Imperial Stout,14.00%,4.53,6176,4
37,Lawson's Finest Liquids,Triple Sunshine IPA,American Double / Imperial IPA,10.50%,4.53,567,142
38,AleSmith Brewing Company,AleSmith Speedway Stout - Vietnamese Coffee (Bourbon Barrel Aged),American Double / Imperial Stout,12.00%,4.53,542,145
39,Three Floyds Brewing Company,Zombie Dust,American Pale Ale (APA),6.20%,4.52,9700,8
40,Hill Farmstead Brewery,Double Galaxy,American Double / Imperial IPA,8.00%,4.52,1266,68
41,Brasserie Cantillon,Cantillon Fou' Foune,Lambic - Fruit,5.00%,4.52,2754,138
42,Hill Farmstead Brewery,Society & Solitude #4,American Double / Imperial IPA,8.00%,4.51,1045,32
43,Brothers Craft Brewing,Resolute - Coconut,American Double / Imperial Stout,13.50%,4.51,178,131
44,Tree House Brewing Company,In Perpetuity,American IPA,6.70%,4.51,359,163
45,Tree House Brewing Company,Haze,American Double / Imperial IPA,8.20%,4.5,1615,72
46,The Lost Abbey,Duck Duck Gooze,Gueuze,7.00%,4.5,1663,87
47,Cigar City Brewing,Hunahpu's Imperial Stout,American Double / Imperial Stout,11.00%,4.5,3945,167
48,Bissell Brothers Brewing Company,Swish,American Double / Imperial IPA,8.00%,4.5,888,28
49,Side Project Brewing,Fuzzy,American Wild Ale,8.00%,4.5,629,158
50,Aslin Beer Company,Master Of Karate,American Double / Imperial IPA,8.40%,4.5,142,134
51,Trillium Brewing Company,Galaxy Dry Hopped Fort Point Pale Ale,American Pale Ale (APA),6.60%,4.5,1311,35
52,Goose Island Beer Company,Bourbon County Brand Stout,American Double / Imperial Stout,13.80%,4.5,11795,65
53,Toppling Goliath Brewing Company,PseudoSue,American Pale Ale (APA),5.80%,4.5,3909,143
54,Kane Brewing Company,Sunday Brunch,American Porter,9.20%,4.5,407,129
55,Russian River Brewing Company,Supplication,American Wild Ale,7.00%,4.49,6157,7
56,Trillium Brewing Company,Headroom,American Double / Imperial IPA,8.00%,4.49,362,149
57,Trillium Brewing Company,Double Dry Hopped Fort Point Pale Ale,American Pale Ale (APA),6.60%,4.49,1013,190
58,Hill Farmstead Brewery,Double Citra,American Double / Imperial IPA,8.00%,4.49,1689,69
59,Brasserie Cantillon,Cantillon Bl†b‘r Lambik,Lambic - Fruit,5.00%,4.49,750,81
60,Tree House Brewing Company,Double Shot,American Stout,7.60%,4.49,753,164
61,"Bell's Brewery, Inc.",Bell's Black Note Stout,American Double / Imperial Stout,11.40%,4.49,3966,148
62,Kuhnhenn Brewing Company,Kuhnhenn Bourbon Barrel Fourth Dementia,Old Ale,13.50%,4.48,1869,119
63,Three Floyds Brewing Company,Bourbon Barrel Aged Dark Lord Imperial Stout,Russian Imperial Stout,15.00%,4.48,787,55
64,Funky Buddha Brewery,Snowed In - Bourbon Barrel Aged,American Double / Imperial Stout,11.00%,4.48,261,116
65,Toppling Goliath Brewing Company,Assassin Imperial Stout,American Double / Imperial Stout,12.00%,4.48,1041,182
66,Fremont Brewing Company,Bourbon Barrel Aged Abominable: Coffee And Cinnamon,American Strong Ale,14.00%,4.48,696,181
67,Trillium Brewing Company,Cutting Tiles,American Double / Imperial IPA,8.50%,4.48,952,34
