Rank,Brewery,Beer,Style,ABV,Rating,Ratings,Reviews
1,Tree House Brewing Company,Good Morning,American Double / Imperial Stout,8.40%,4.72,990,70
2,Toppling Goliath Brewing Company,Kentucky Brunch Brand Stout,American Double / Imperial Stout,12.00%,4.7,519,177
3,Toppling Goliath Brewing Company,Mornin' Delight,American Double / Imperial Stout,12.00%,4.66,949,45
4,Russian River Brewing Company,Pliny The Younger,American Double / Imperial IPA,10.25%,4.66,2968,182
5,Tree House Brewing Company,King Julius,American Double / Imperial IPA,8.30%,4.66,605,24
6,The Alchemist,Heady Topper,American Double / Imperial IPA,8.00%,4.66,12691,60
7,Voodoo Brewing Company,ManBearPig,American Double / Imperial Stout,14.10%,4.65,149,140
8,Cigar City Brewing,Hunahpu's Imperial Stout - Double Barrel Aged,American Double / Imperial Stout,11.00%,4.65,1280,25
9,Tree House Brewing Company,Very Hazy,American Double / Imperial IPA,8.60%,4.64,424,165
10,Maine Beer Company,Dinner,American Double / Imperial IPA,8.20%,4.63,1797,77
11,Three Floyds Brewing Company,Marshmallow Handjee (Bourbon Barrel Aged Vanilla Bean Dark Lord),Russian Imperial Stout,15.00%,4.63,1418,95
12,Founders Brewing Company,Founders CBS Imperial Stout,American Double / Imperial Stout,10.60%,4.62,4223,185
13,Tree House Brewing Company,Julius,American IPA,6.80%,4.62,3013,132
14,Tree House Brewing Company,King JJJuliusss,American Double / Imperial IPA,8.40%,4.62,320,158
15,Tree House Brewing Company,Juice Machine,American Double / Imperial IPA,8.20%,4.61,346,165
16,Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Trappist Westvleteren 12 (XII),Quadrupel (Quad),10.20%,4.61,6094,12
17,Russian River Brewing Company,Pliny The Elder,American Double / Imperial IPA,8.00%,4.6,13958,99
18,Bottle Logic Brewing,Fundamental Observation,American Double / Imperial Stout,14.30%,4.59,573,24
19,Perennial Artisan Ales,Barrel-Aged Abraxas,American Double / Imperial Stout,11.00%,4.59,1210,23
20,Toppling Goliath Brewing Company,King Sue,American Double / Imperial IPA,8.00%,4.58,1523,49
21,Goose Island Beer Company,Bourbon County Brand Coffee Stout,American Double / Imperial Stout,13.40%,4.57,6821,3
22,The Alchemist,Focal Banger,American IPA,7.00%,4.57,2290,85
23,Hill Farmstead Brewery,Abner,American Double / Imperial IPA,8.20%,4.56,2453,113
24,Founders Brewing Company,Founders KBS (Kentucky Breakfast Stout),American Double / Imperial Stout,12.40%,4.56,11909,97
25,Tree House Brewing Company,JJJuliusss,American IPA,6.80%,4.56,308,141
26,Lawson's Finest Liquids,Sip Of Sunshine,American Double / Imperial IPA,8.00%,4.55,4159,136
27,Funky Buddha Brewery,Morning Wood,American Porter,12.00%,4.55,478,164
28,Tree House Brewing Company,Green,American IPA,7.60%,4.55,1870,86
29,Tree House Brewing Company,Very Green,American Double / Imperial IPA,8.60%,4.55,366,137
30,Hill Farmstead Brewery,Ann,Saison / Farmhouse Ale,6.50%,4.55,327,168
31,Trillium Brewing Company,Double Dry Hopped Congress Street,American IPA,7.20%,4.54,854,15
32,Kern River Brewing Company,Citra Double IPA,American Double / Imperial IPA,8.00%,4.54,1645,119
33,Lawson's Finest Liquids,Double Sunshine IPA,American Double / Imperial IPA,8.00%,4.54,2088,108
34,Tree House Brewing Company,Doppelganger,American Double / Imperial IPA,8.20%,4.53,649,179
35,Firestone Walker Brewing Company,Parabola,Russian Imperial Stout,14.00%,4.53,6156,4
36,Lawson's Finest Liquids,Triple Sunshine IPA,American Double / Imperial IPA,10.50%,4.53,567,144
37,Tree House Brewing Company,Alter Ego,American IPA,6.80%,4.53,1462,75
38,AleSmith Brewing Company,AleSmith Speedway Stout - Vietnamese Coffee (Bourbon Barrel Aged),American Double / Imperial Stout,12.00%,4.53,539,147
39,Three Floyds Brewing Company,Zombie Dust,American Pale Ale (APA),6.20%,4.52,9667,8
40,Hill Farmstead Brewery,Double Galaxy,American Double / Imperial IPA,8.00%,4.52,1261,70
41,Brasserie Cantillon,Cantillon Fou' Foune,Lambic - Fruit,5.00%,4.52,2742,139
42,Hill Farmstead Brewery,Society & Solitude #4,American Double / Imperial IPA,8.00%,4.51,1038,36
43,Brothers Craft Brewing,Resolute - Coconut,American Double / Imperial Stout,13.50%,4.51,175,133
44,Tree House Brewing Company,Haze,American Double / Imperial IPA,8.20%,4.5,1581,72
45,The Lost Abbey,Duck Duck Gooze,Gueuze,7.00%,4.5,1654,89
46,Cigar City Brewing,Hunahpu's Imperial Stout,American Double / Imperial Stout,11.00%,4.5,3933,166
47,Bissell Brothers Brewing Company,Swish,American Double / Imperial IPA,8.00%,4.5,885,31
48,Goose Island Beer Company,Bourbon County Brand Stout,American Double / Imperial Stout,13.80%,4.5,11781,66
49,Trillium Brewing Company,Galaxy Dry Hopped Fort Point Pale Ale,American Pale Ale (APA),6.60%,4.5,1283,38
50,Toppling Goliath Brewing Company,PseudoSue,American Pale Ale (APA),5.80%,4.5,3891,145
51,Aslin Beer Company,Master Of Karate,American Double / Imperial IPA,8.40%,4.5,139,135
52,Side Project Brewing,Fuzzy,American Wild Ale,8.00%,4.5,620,156
53,Russian River Brewing Company,Supplication,American Wild Ale,7.00%,4.49,6145,7
54,Hill Farmstead Brewery,Double Citra,American Double / Imperial IPA,8.00%,4.49,1685,71
55,Trillium Brewing Company,Double Dry Hopped Fort Point Pale Ale,American Pale Ale (APA),6.60%,4.49,972,186
56,Kane Brewing Company,Sunday Brunch,American Porter,9.20%,4.49,390,130
57,Tree House Brewing Company,In Perpetuity,American IPA,6.70%,4.49,300,154
58,Brasserie Cantillon,Cantillon Bl†b‘r Lambik,Lambic - Fruit,5.00%,4.49,744,83
59,Tree House Brewing Company,Double Shot,American Stout,7.60%,4.49,747,164
60,"Bell's Brewery, Inc.",Bell's Black Note Stout,American Double / Imperial Stout,11.40%,4.49,3948,149
61,Kuhnhenn Brewing Company,Kuhnhenn Bourbon Barrel Fourth Dementia,Old Ale,13.50%,4.48,1867,123
62,Three Floyds Brewing Company,Bourbon Barrel Aged Dark Lord Imperial Stout,Russian Imperial Stout,15.00%,4.48,782,57
63,Trillium Brewing Company,Headroom Double IPA,American Double / Imperial IPA,8.00%,4.48,300,141
64,Funky Buddha Brewery,Snowed In - Bourbon Barrel Aged,American Double / Imperial Stout,11.00%,4.48,251,115
65,Fremont Brewing Company,Bourbon Barrel Aged Abominable: Coffee And Cinnamon,American Strong Ale,14.00%,4.48,690,178
66,Goose Island Beer Company,Bourbon County Brand Barleywine Ale,English Barleywine,12.10%,4.48,4897,143
67,Deschutes Brewery,The Abyss,American Double / Imperial Stout,12.20%,4.48,6768,14
68,Trillium Brewing Company,Cutting Tiles,American Double / Imperial IPA,8.50%,4.48,940,37
69,Jester King Brewery,Atrial Rubicite,American Wild Ale,5.80%,4.47,1625,41
70,Prairie Artisan Ales,BOMB!,American Double / Imperial Stout,13.00%,4.47,5500,171
71,Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Trappist Westvleteren 8 (VIII),Dubbel,8.00%,4.47,2065,169
72,Trillium Brewing Company,Scaled Way Up,American Double / Imperial IPA,8.00%,4.47,314,135
73,Founders Brewing Company,Founders Breakfast Stout,American Double / Imperial Stout,8.30%,4.47,15982,100
74,Hill Farmstead Brewery,Ephraim,American Double / Imperial IPA,10.00%,4.47,1003,80
75,Brasserie de Rochefort,Trappistes Rochefort 10,Quadrupel (Quad),11.30%,4.47,8974,65
76,Toppling Goliath Brewing Company,Assassin Imperial Stout,American Double / Imperial Stout,12.00%,4.47,1039,177
77,Boneyard Beer Company,Notorious Triple IPA,American Double / Imperial IPA,12.00%,4.47,668,176
78,Dark Horse Brewing Company,Dark Horse Bourbon Barrel Aged Plead The 5th,Russian Imperial Stout,12.00%,4.46,3014,126
79,Surly Brewing Company,Abrasive Ale,American Double / Imperial IPA,9.00%,4.46,4380,181
80,Ozark Beer Company,BDCS,American Double / Imperial Stout,10.20%,4.46,278,135
81,New England Brewing Company,Fuzzy Baby Ducks IPA,American IPA,6.20%,4.46,702,172
82,Brasserie Cantillon,Cantillon Lou Pepe - Kriek,Lambic - Fruit,5.00%,4.46,1668,111
83,The Bruery,Black Tuesday,American Double / Imperial Stout,19.20%,4.46,3717,157
84,Surly Brewing Company,Todd The Axe Man,American IPA,7.20%,4.46,2001,107
85,The Lost Abbey,Cable Car,American Wild Ale,7.00%,4.46,927,78
86,Russian River Brewing Company,Beatification,American Wild Ale,5.50%,4.46,2550,145
87,Hill Farmstead Brewery,Society & Solitude #5,American Double / Imperial IPA,8.10%,4.45,1324,42
88,Cigar City Brewing,CaffŠ Americano,American Double / Imperial Stout,11.00%,4.45,880,23
89,The Alchemist,Crusher,American Double / Imperial IPA,9.60%,4.45,1089,21
90,Trillium Brewing Company,Congress Street IPA,American IPA,7.20%,4.45,1687,57
91,Prairie Artisan Ales,Prairie Pirate Bomb!,American Double / Imperial Stout,14.00%,4.45,1827,57
92,Firestone Walker Brewing Company,?ucaba,English Barleywine,12.50%,4.45,4875,175
93,Voodoo Brewing Company,Grande Negro Voodoo Papi - Bourbon Barrel Aged,American Double / Imperial Stout,12.50%,4.45,207,122
94,Brouwerij Drie Fonteinen,Drie Fonteinen Oude Geuze Vintage,Gueuze,6.00%,4.45,673,29
95,Hill Farmstead Brewery,Everett Porter,American Porter,7.50%,4.45,2526,117
96,Funky Buddha Brewery,Wide Awake It's Morning,American Double / Imperial Stout,10.00%,4.45,571,16
97,Brouwerij Drie Fonteinen,Drie Fonteinen Oude Geuze Golden Blend,Gueuze,7.50%,4.45,972,51
98,AleSmith Brewing Company,AleSmith Speedway Stout - Bourbon Barrel Aged,American Double / Imperial Stout,12.00%,4.45,2005,110
99,Perrin Brewery,No Rules,American Porter,15.00%,4.45,848,48
100,Trillium Brewing Company,Fort Point Pale Ale,American Pale Ale (APA),6.60%,4.45,1649,47
101,Jackie O's Pub & Brewery,Bourbon Barrel Champion Ground,American Double / Imperial Stout,11.00%,4.45,287,148
102,Evil Twin Brewing,Evil Twin Double Barrel Jesus,American Double / Imperial Stout,12.00%,4.45,563,160
103,Hill Farmstead Brewery,Susan,American IPA,6.20%,4.44,1681,52
104,Firestone Walker Brewing Company,Parabajava,Russian Imperial Stout,14.00%,4.44,503,154
105,Side Project Brewing,Framboise Du Fermier,Saison / Farmhouse Ale,8.00%,4.44,178,92
106,Toppling Goliath Brewing Company,Double Dry Hopped PseudoSue (Citra),American Pale Ale (APA),5.80%,4.44,195,124
107,"Bell's Brewery, Inc.",Hopslam Ale,American Double / Imperial IPA,10.00%,4.44,12607,98
108,Three Floyds Brewing Company,Permanent Funeral,American Double / Imperial IPA,10.50%,4.44,2736,103
109,Hair of the Dog Brewing Company / Brewery and Tasting Room,Adam From The Wood,Old Ale,12.00%,4.44,917,45
110,Alpine Beer Company,Keene Idea,American Double / Imperial IPA,8.88%,4.44,441,151
111,Toppling Goliath Brewing Company,Sosus,American Double / Imperial IPA,8.00%,4.43,1181,31
112,J. Wakefield Brewing,Miami Madness,Berliner Weissbier,3.50%,4.43,201,104
113,Trillium Brewing Company,Upper Case,American Double / Imperial IPA,9.00%,4.43,709,176
114,Trillium Brewing Company,Mosaic Dry Hopped Fort Point,American Pale Ale (APA),6.60%,4.43,849,184
115,Stone Brewing,Imperial Russian Stout - Bourbon Barrel Aged,Russian Imperial Stout,13.50%,4.43,1122,45
116,Evil Twin Brewing,Imperial Biscotti Break Bourbon Barrel Aged,American Double / Imperial Stout,11.50%,4.43,1504,34
117,Fremont Brewing Company,The Rusty Nail,American Double / Imperial Stout,13.20%,4.42,110,92
118,Anchorage Brewing Company,A Deal With The Devil,American Barleywine,17.30%,4.42,929,30
119,Prairie Artisan Ales,Barrel Aged Bomb!,American Double / Imperial Stout,11.20%,4.42,871,39
120,Columbus Brewing Company,Columbus Bodhi DIPA,American Double / Imperial IPA,8.50%,4.42,1362,54
121,Firestone Walker Brewing Company,Stickee Monkee,Quadrupel (Quad),12.00%,4.42,2237,84
122,Trillium Brewing Company,Heavy Mettle,American Double / Imperial IPA,9.30%,4.42,737,167
123,Funky Buddha Brewery,Maple Bacon Coffee Porter,American Porter,6.40%,4.42,1656,79
124,Tree House Brewing Company,Double Shot - Sumatra Mandheling,American Stout,7.80%,4.42,377,125
125,Funky Buddha Brewery,Last Snow,American Porter,6.40%,4.42,1583,74
126,Brouwerij St. Bernardus NV,St. Bernardus Abt 12,Quadrupel (Quad),10.00%,4.42,9228,64
127,FiftyFifty Brewing Company,Imperial Eclipse Stout - Elijah Craig (12 Year),American Double / Imperial Stout,11.90%,4.42,1821,95
128,Brasserie Cantillon,Cantillon Saint Lamvinus,Lambic - Fruit,5.00%,4.42,1981,134
129,Brouwerij Drie Fonteinen,Drie Fonteinen Framboos,Lambic - Fruit,5.00%,4.41,610,17
130,Grimm Artisanal Ales,Afterimage,American Double / Imperial IPA,8.00%,4.41,387,161
131,Russian River Brewing Company,Temptation,American Wild Ale,7.50%,4.41,3581,1
132,Surly Brewing Company,Darkness,Russian Imperial Stout,10.30%,4.41,3609,174
133,Trillium Brewing Company,Dusk Trill Dawn,American Double / Imperial Stout,11.50%,4.41,255,122
134,Fat Head's Brewery & Saloon,Hop JuJu Imperial IPA,American Double / Imperial IPA,9.00%,4.41,1951,81
135,Trillium Brewing Company,Double Dry Hopped Sleeper Street IPA,American IPA,7.20%,4.41,537,151
136,Jackie O's Pub & Brewery,Oro Negro,American Double / Imperial Stout,10.00%,4.41,580,186
137,Aslin Beer Company,Orange Starfish,American IPA,5.70%,4.41,109,88
138,Hill Farmstead Brewery,Juicy,Saison / Farmhouse Ale,7.40%,4.41,439,165
139,The Bruery,Chocolate Rain,American Double / Imperial Stout,18.50%,4.41,2551,105
140,Alpine Beer Company,Bad Boy,American Double / Imperial IPA,9.00%,4.41,547,33
141,Peg's Cantina & Brew Pub,Peg's G.O.O.D. RareR D.O.S.,American Double / Imperial Stout,10.00%,4.41,711,19
142,Brasserie Cantillon,Cantillon Lou Pepe - Framboise,Lambic - Fruit,5.00%,4.41,1208,93
143,Pelican Pub & Brewery,Mother Of All Storms,English Barleywine,14.00%,4.41,1883,129
144,Brouwerij Rodenbach N.V.,Rodenbach CaractŠre Rouge,Flanders Red Ale,7.00%,4.41,1315,58
145,Russian River Brewing Company,Consecration,American Wild Ale,10.00%,4.4,5131,2
146,Trillium Brewing Company,Vicinity,American Double / Imperial IPA,8.00%,4.4,1144,40
147,Fiddlehead Brewing Company,Second Fiddle,American Double / Imperial IPA,8.20%,4.4,1646,55
148,Foundation Brewing Company,Epiphany,American Double / Imperial IPA,8.00%,4.4,788,27
149,Prairie Artisan Ales,Prairie Apple Brandy Noir,American Double / Imperial Stout,12.00%,4.4,1302,44
150,Hill Farmstead Brewery,Flora Plum,Saison / Farmhouse Ale,Farmhouse,4.4,223,106
151,Cigar City Brewing,Decoherence,American Double / Imperial Stout,12.90%,4.4,105,76
152,Parish Brewing Company,Ghost In The Machine,American Double / Imperial IPA,8.00%,4.4,492,170
153,Fremont Brewing Company,Bourbon Barrel Aged Dark Star: Coffee Edition,Oatmeal Stout,14.50%,4.4,490,137
154,Boston Beer Company (Samuel Adams),Samuel Adams Utopias,American Strong Ale,29.00%,4.4,2419,142
155,Bayerische Staatsbrauerei Weihenstephan,Weihenstephaner Hefeweissbier,Hefeweizen,5.40%,4.4,8059,62
156,Hill Farmstead Brewery,Society & Solitude #6,American Double / Imperial IPA,8.10%,4.4,659,162
