"Rank","Brewery","Beer","Style","ABV","Rating","Ratings","Reviews"
1,"Tree House Brewing Company","Good Morning","American Double / Imperial Stout","8.40%",4.72,1003,72
2,"Toppling Goliath Brewing Company","Kentucky Brunch Brand Stout","American Double / Imperial Stout","12.00%",4.7,529,185
3,"Tree House Brewing Company","King Julius","American Double / Imperial IPA","8.30%",4.67,706,26
4,"Russian River Brewing Company","Pliny The Younger","American Double / Imperial IPA","10.25%",4.66,2979,188
5,"Toppling Goliath Brewing Company","Mornin' Delight","American Double / Imperial Stout","12.00%",4.66,1012,55
6,"Tree House Brewing Company","Very Hazy","American Double / Imperial IPA","8.60%",4.66,504,175
7,"Cigar City Brewing","Hunahpu's Imperial Stout - Double Barrel Aged","American Double / Imperial Stout","11.00%",4.66,1330,29
8,"The Alchemist","Heady Topper","American Double / Imperial IPA","8.00%",4.66,12894,65
9,"Tree House Brewing Company","King JJJuliusss","American Double / Imperial IPA","8.40%",4.64,354,164
10,"Maine Beer Company","Dinner","American Double / Imperial IPA","8.20%",4.63,1856,80
11,"Three Floyds Brewing Company","Marshmallow Handjee (Bourbon Barrel Aged Vanilla Bean Dark Lord)","Russian Imperial Stout","15.00%",4.63,1444,98
12,"Tree House Brewing Company","Julius","American IPA","6.80%",4.62,3184,139
13,"Founders Brewing Company","Founders CBS Imperial Stout","American Double / Imperial Stout","10.60%",4.62,4257,192
14,"Tree House Brewing Company","Juice Machine","American Double / Imperial IPA","8.20%",4.61,502,193
15,"Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)","Trappist Westvleteren 12 (XII)","Quadrupel (Quad)","10.20%",4.61,6157,12
16,"Tree House Brewing Company","Very Green","American Double / Imperial IPA","8.60%",4.6,480,163
17,"Russian River Brewing Company","Pliny The Elder","American Double / Imperial IPA","8.00%",4.6,14105,101
18,"Perennial Artisan Ales","Barrel-Aged Abraxas","American Double / Imperial Stout","11.00%",4.6,1247,22
19,"Bottle Logic Brewing","Fundamental Observation","American Double / Imperial Stout","14.30%",4.59,680,32
20,"Toppling Goliath Brewing Company","King Sue","American Double / Imperial IPA","8.00%",4.58,1617,61
21,"Goose Island Beer Company","Bourbon County Brand Coffee Stout","American Double / Imperial Stout","13.40%",4.57,6884,3
22,"Tree House Brewing Company","JJJuliusss","American IPA","6.80%",4.57,332,145
23,"Funky Buddha Brewery","Morning Wood","American Porter","12.00%",4.57,558,183
24,"The Alchemist","Focal Banger","American IPA","7.00%",4.56,2617,104
25,"AleSmith Brewing Company","AleSmith Speedway Stout - Vietnamese Coffee (Bourbon Barrel Aged)","American Double / Imperial Stout","12.00%",4.56,593,160
26,"Hill Farmstead Brewery","Abner","American Double / Imperial IPA","8.20%",4.56,2515,118
27,"Founders Brewing Company","Founders KBS (Kentucky Breakfast Stout)","American Double / Imperial Stout","12.40%",4.56,11995,99
28,"Hill Farmstead Brewery","Ann","Saison / Farmhouse Ale","6.50%",4.56,334,171
29,"Lawson's Finest Liquids","Sip Of Sunshine","American Double / Imperial IPA","8.00%",4.55,4286,140
30,"Tree House Brewing Company","Green","American IPA","7.60%",4.55,2019,94
31,"Trillium Brewing Company","Double Dry Hopped Congress Street","American IPA","7.20%",4.54,886,16
32,"Kern River Brewing Company","Citra","American Double / Imperial IPA","8.00%",4.54,1685,122
33,"Lawson's Finest Liquids","Double Sunshine IPA","American Double / Imperial IPA","8.00%",4.54,2105,111
34,"Tree House Brewing Company","Alter Ego","American IPA","6.80%",4.53,1573,81
35,"Lawson's Finest Liquids","Triple Sunshine IPA","American Double / Imperial IPA","10.50%",4.53,571,145
36,"Firestone Walker Brewing Company","Parabola","Russian Imperial Stout","14.00%",4.53,6233,4
37,"Tree House Brewing Company","Doppelganger","American Double / Imperial IPA","8.20%",4.53,816,21
38,"Three Floyds Brewing Company","Zombie Dust","American Pale Ale (APA)","6.20%",4.52,9793,8
39,"Hill Farmstead Brewery","Society & Solitude #4","American Double / Imperial IPA","8.00%",4.52,1068,37
40,"Hill Farmstead Brewery","Double Galaxy","American Double / Imperial IPA","8.00%",4.52,1290,73
41,"Brothers Craft Brewing","Resolute - Coconut","American Double / Imperial Stout","13.50%",4.52,182,138
42,"Brasserie Cantillon","Cantillon Fou' Foune","Lambic - Fruit","5.00%",4.52,2787,142
43,"Aslin Beer Company","Master Of Karate","American Double / Imperial IPA","8.40%",4.51,162,141
44,"Trillium Brewing Company","Headroom","American Double / Imperial IPA","8.00%",4.51,411,158
45,"Tree House Brewing Company","Haze","American Double / Imperial IPA","8.20%",4.51,1709,86
46,"Kane Brewing Company","Sunday Brunch","American Porter","9.20%",4.5,461,141
47,"Bissell Brothers Brewing Company","Swish","American Double / Imperial IPA","8.00%",4.5,957,34
48,"The Lost Abbey","Duck Duck Gooze","Gueuze","7.00%",4.5,1705,92
49,"Cigar City Brewing","Hunahpu's Imperial Stout","American Double / Imperial Stout","11.00%",4.5,3994,169
50,"Tree House Brewing Company","In Perpetuity","American IPA","6.70%",4.5,444,177
51,"Goose Island Beer Company","Bourbon County Brand Stout","American Double / Imperial Stout","13.80%",4.5,11911,70
52,"Side Project Brewing","Fuzzy","American Wild Ale","8.00%",4.5,678,165
53,"Funky Buddha Brewery","Snowed In - Bourbon Barrel Aged","American Double / Imperial Stout","11.00%",4.5,274,126
54,"Russian River Brewing Company","Supplication","American Wild Ale","7.00%",4.49,6196,7
55,"Hill Farmstead Brewery","Double Citra","American Double / Imperial IPA","8.00%",4.49,1694,73
56,"Trillium Brewing Company","Galaxy Dry Hopped Fort Point Pale Ale","American Pale Ale (APA)","6.60%",4.49,1392,43
57,"Tree House Brewing Company","Double Shot","American Stout","7.60%",4.49,780,167
58,"Toppling Goliath Brewing Company","Assassin Imperial Stout","American Double / Imperial Stout","12.00%",4.49,1055,187
59,"Brasserie Cantillon","Cantillon Blåbær Lambik","Lambic - Fruit","5.00%",4.49,764,88
60,"Bell's Brewery, Inc.","Bell's Black Note Stout","American Double / Imperial Stout","11.40%",4.49,4032,154
61,"Toppling Goliath Brewing Company","PseudoSue","American Pale Ale (APA)","5.80%",4.49,3981,150
62,"Trillium Brewing Company","Double Dry Hopped Fort Point Pale Ale","American Pale Ale (APA)","6.60%",4.48,1101,20
63,"Jester King Brewery","Atrial Rubicite","American Wild Ale","5.80%",4.48,1659,42
64,"Kuhnhenn Brewing Company","Kuhnhenn Bourbon Barrel Fourth Dementia","Old Ale","13.50%",4.48,1879,125
65,"Three Floyds Brewing Company","Bourbon Barrel Aged Dark Lord Imperial Stout","Russian Imperial Stout","15.00%",4.48,799,62
66,"Fremont Brewing Company","Bourbon Barrel Aged Abominable: Coffee And Cinnamon","American Strong Ale","14.00%",4.48,714,187
67,"Voodoo Brewing Company","Grande Negro Voodoo Papi - Bourbon Barrel Aged","American Double / Imperial Stout","12.50%",4.48,232,130
68,"Trillium Brewing Company","Cutting Tiles","American Double / Imperial IPA","8.50%",4.48,985,38
69,"Deschutes Brewery","The Abyss","American Double / Imperial Stout","12.20%",4.48,6845,13
70,"Toppling Goliath Brewing Company","Double Dry Hopped PseudoSue (Citra)","American Pale Ale (APA)","5.80%",4.47,232,135
71,"Trillium Brewing Company","Scaled Way Up","American Double / Imperial IPA","8.00%",4.47,329,138
72,"Prairie Artisan Ales","BOMB!","American Double / Imperial Stout","13.00%",4.47,5613,178
73,"Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)","Trappist Westvleteren 8 (VIII)","Dubbel","8.00%",4.47,2094,173
74,"Boneyard Beer Company","Notorious Triple IPA","American Double / Imperial IPA","12.00%",4.47,713,184
75,"Brouwerij Drie Fonteinen","Drie Fonteinen Zenne Y Frontera","Lambic - Unblended","7.00%",4.47,117,103
76,"Hill Farmstead Brewery","Ephraim","American Double / Imperial IPA","10.00%",4.47,1008,84
77,"Ozark Beer Company","BDCS","American Double / Imperial Stout","10.20%",4.47,303,147
78,"Founders Brewing Company","Founders Breakfast Stout","American Double / Imperial Stout","8.30%",4.47,16176,102
79,"Brasserie de Rochefort","Trappistes Rochefort 10","Quadrupel (Quad)","11.30%",4.47,9042,69
80,"Goose Island Beer Company","Bourbon County Brand Barleywine Ale","English Barleywine","12.10%",4.47,4950,146
81,"Dark Horse Brewing Company","Dark Horse Bourbon Barrel Aged Plead The 5th","Russian Imperial Stout","12.00%",4.46,3048,129
82,"Surly Brewing Company","Abrasive Ale","American Double / Imperial IPA","9.00%",4.46,4438,189
83,"Evil Twin Brewing","Evil Twin Double Barrel Jesus","American Double / Imperial Stout","12.00%",4.46,583,164
84,"Brasserie Cantillon","Cantillon Lou Pepe - Kriek","Lambic - Fruit","5.00%",4.46,1687,116
85,"Surly Brewing Company","Todd The Axe Man","American IPA","7.20%",4.46,2111,114
86,"The Bruery","Black Tuesday","American Double / Imperial Stout","19.20%",4.46,3761,159
87,"The Lost Abbey","Cable Car","American Wild Ale","7.00%",4.46,958,82
88,"Russian River Brewing Company","Beatification","American Wild Ale","5.50%",4.46,2582,148
89,"Funky Buddha Brewery","Wide Awake It's Morning","American Porter","10.00%",4.46,623,21
90,"New England Brewing Company","Fuzzy Baby Ducks IPA","American IPA","6.20%",4.46,725,177
91,"Hill Farmstead Brewery","Society & Solitude #5","American Double / Imperial IPA","8.10%",4.46,1355,45
92,"The Alchemist","Crusher","American Double / Imperial IPA","9.60%",4.45,1362,42
93,"Firestone Walker Brewing Company","Parabajava","Russian Imperial Stout","14.00%",4.45,587,166
94,"Prairie Artisan Ales","Prairie Pirate Bomb!","American Double / Imperial Stout","14.00%",4.45,1869,63
95,"Brouwerij Drie Fonteinen","Drie Fonteinen Oude Geuze Vintage","Gueuze","6.00%",4.45,697,28
96,"Fremont Brewing Company","The Rusty Nail","American Double / Imperial Stout","13.20%",4.45,160,112
97,"Perrin Brewery","No Rules","American Porter","15.00%",4.45,929,59
98,"Firestone Walker Brewing Company","§ucaba","English Barleywine","12.50%",4.45,4923,181
99,"Hill Farmstead Brewery","Susan","American IPA","6.20%",4.45,1746,58
100,"Hill Farmstead Brewery","Everett Porter","American Porter","7.50%",4.45,2562,120
101,"Trillium Brewing Company","Fort Point Pale Ale","American Pale Ale (APA)","6.60%",4.45,1736,56
102,"Cigar City Brewing","Caffè Americano","American Double / Imperial Stout","11.00%",4.45,943,25
103,"Brouwerij Drie Fonteinen","Drie Fonteinen Oude Geuze Golden Blend","Gueuze","7.50%",4.45,997,53
104,"AleSmith Brewing Company","AleSmith Speedway Stout - Bourbon Barrel Aged","American Double / Imperial Stout","12.00%",4.45,2053,113
105,"Trillium Brewing Company","Congress Street IPA","American IPA","7.20%",4.45,1816,77
106,"Cigar City Brewing","Decoherence","American Double / Imperial Stout","12.90%",4.44,164,93
107,"Trillium Brewing Company","Mosaic Dry Hopped Fort Point","American Pale Ale (APA)","6.60%",4.44,891,14
108,"Toppling Goliath Brewing Company","Sosus","American Double / Imperial IPA","8.00%",4.44,1242,36
109,"Alpine Beer Company","Keene Idea","American Double / Imperial IPA","8.88%",4.44,445,156
110,"Mikkeller ApS","Beer Geek Vanilla Shake (Bourbon Edition)","American Double / Imperial Stout","13.00%",4.44,288,130
111,"Hair of the Dog Brewing Company / Brewery and Tasting Room","Adam From The Wood","Old Ale","12.00%",4.44,940,49
112,"Three Floyds Brewing Company","Permanent Funeral","American Double / Imperial IPA","10.50%",4.44,2774,106
113,"Bell's Brewery, Inc.","Hopslam Ale","American Double / Imperial IPA","10.00%",4.44,12640,100
114,"Prairie Artisan Ales","Barrel Aged Bomb!","American Double / Imperial Stout","11.20%",4.44,943,41
115,"Jackie O's Pub & Brewery","Bourbon Barrel Champion Ground","American Double / Imperial Stout","11.00%",4.44,392,165
116,"Oskar Blues Grill & Brew","Ten Fidy Bourbon Barrel Aged","Russian Imperial Stout","12.90%",4.43,615,186
117,"Fremont Brewing Company","Brew 1000 - Bourbon Barrel Aged","English Barleywine","13.10%",4.43,159,107
118,"de Garde Brewing","The Broken Truck","Gueuze","5.00%",4.43,140,83
119,"Evil Twin Brewing","Imperial Biscotti Break Bourbon Barrel Aged","American Double / Imperial Stout","11.50%",4.43,1535,34
120,"Stone Brewing","Imperial Russian Stout - Bourbon Barrel Aged","Russian Imperial Stout","13.50%",4.43,1135,48
121,"Trillium Brewing Company","Upper Case","American Double / Imperial IPA","9.00%",4.43,762,191
122,"de Garde Brewing","Nectarine Premiere","Saison / Farmhouse Ale","7.10%",4.43,182,90
123,"Anchorage Brewing Company","A Deal With The Devil","American Barleywine","17.30%",4.43,945,29
124,"Trillium Brewing Company","Heavy Mettle","American Double / Imperial IPA","9.30%",4.42,764,172
125,"Peg's Cantina & Brew Pub","Trademark Dispute: Hazelnut","American Double / Imperial Stout","Imperial",4.42,128,83
126,"Columbus Brewing Company","Columbus Bodhi DIPA","American Double / Imperial IPA","8.50%",4.42,1401,60
127,"Firestone Walker Brewing Company","Stickee Monkee","Quadrupel (Quad)","12.00%",4.42,2295,89
128,"Fremont Brewing Company","Bourbon Barrel Aged Dark Star Oatmeal Stout","Oatmeal Stout","14.50%",4.42,407,151
129,"Funky Buddha Brewery","Maple Bacon Coffee Porter","American Porter","6.40%",4.42,1691,85
130,"Funky Buddha Brewery","Last Snow","American Porter","6.40%",4.42,1669,82
131,"J. Wakefield Brewing","Miami Madness","Berliner Weissbier","3.50%",4.42,277,128
132,"Brouwerij St. Bernardus NV","St. Bernardus Abt 12","Quadrupel (Quad)","10.00%",4.42,9297,68
133,"FiftyFifty Brewing Company","Imperial Eclipse Stout - Elijah Craig (12 Year)","American Double / Imperial Stout","11.90%",4.42,1843,97
134,"Brasserie Cantillon","Cantillon Lou Pepe - Framboise","Lambic - Fruit","5.00%",4.42,1244,96
135,"Peg's Cantina & Brew Pub","Peg's G.O.O.D. RareR D.O.S.","American Double / Imperial Stout","10.00%",4.42,727,18
136,"Brouwerij Drie Fonteinen","Drie Fonteinen Framboos","Lambic - Fruit","5.00%",4.42,634,17
137,"Brasserie Cantillon","Cantillon Saint Lamvinus","Lambic - Fruit","5.00%",4.42,2007,137
138,"Grimm Artisanal Ales","Afterimage","American Double / Imperial IPA","8.00%",4.41,426,170
139,"Russian River Brewing Company","Temptation","American Wild Ale","7.50%",4.41,3617,1
140,"Hill Farmstead Brewery","Juicy","Saison / Farmhouse Ale","7.40%",4.41,459,168
141,"Prairie Artisan Ales","Prairie Apple Brandy Noir","American Double / Imperial Stout","12.00%",4.41,1381,54
142,"Surly Brewing Company","Darkness","Russian Imperial Stout","10.30%",4.41,3687,180
143,"Fat Head's Brewery & Saloon","Hop JuJu Imperial IPA","American Double / Imperial IPA","9.00%",4.41,1966,87
144,"The Bruery","Chocolate Rain","American Double / Imperial Stout","18.50%",4.41,2584,110
145,"Tree House Brewing Company","Triple Shot","American Double / Imperial Stout","9.00%",4.41,254,103
146,"Alpine Beer Company","Bad Boy","American Double / Imperial IPA","9.00%",4.41,549,30
147,"Perennial Artisan Ales","Abraxas","American Double / Imperial Stout","10.00%",4.41,2326,95
148,"New England Brewing Company","Coriolis","American Double / Imperial IPA","8.20%",4.41,533,158
149,"Brouwerij Rodenbach N.V.","Rodenbach Caractère Rouge","Flanders Red Ale","7.00%",4.41,1350,64
150,"J. Wakefield Brewing","Dragon Fruit Passion Fruit Berliner","Berliner Weissbier","3.50%",4.41,283,130
