"Rank","Brewery","Beer","Style","ABV","Rating","Ratings","Reviews"
1,"Tree House Brewing Company","Good Morning","American Double / Imperial Stout","8.40%",4.72,1009,63
2,"Toppling Goliath Brewing Company","Kentucky Brunch Brand Stout","American Double / Imperial Stout","12.00%",4.72,553,183
3,"Voodoo Brewing Company","ManBearPig","American Double / Imperial Stout","14.10%",4.67,194,141
4,"Tree House Brewing Company","King Julius","American Double / Imperial IPA","8.30%",4.67,730,24
5,"Tree House Brewing Company","Very Hazy","American Double / Imperial IPA","8.60%",4.66,528,169
6,"Russian River Brewing Company","Pliny The Younger","American Double / Imperial IPA","10.25%",4.66,2991,178
7,"Toppling Goliath Brewing Company","Mornin' Delight","American Double / Imperial Stout","12.00%",4.65,1063,51
8,"Cigar City Brewing","Hunahpu's Imperial Stout - Double Barrel Aged","American Double / Imperial Stout","11.00%",4.65,1373,27
9,"The Alchemist","Heady Topper","American Double / Imperial IPA","8.00%",4.65,13036,55
10,"Three Floyds Brewing Company","Marshmallow Handjee (Bourbon Barrel Aged Vanilla Bean Dark Lord)","Russian Imperial Stout","15.00%",4.64,1457,91
11,"Tree House Brewing Company","King JJJuliusss","American Double / Imperial IPA","8.40%",4.64,369,155
12,"Maine Beer Company","Dinner","American Double / Imperial IPA","8.20%",4.63,1894,72
13,"Tree House Brewing Company","Julius","American IPA","6.80%",4.62,3305,131
14,"Founders Brewing Company","Founders CBS Imperial Stout","American Double / Imperial Stout","10.60%",4.62,4283,184
15,"Tree House Brewing Company","Juice Machine","American Double / Imperial IPA","8.20%",4.61,518,14
16,"Perennial Artisan Ales","Barrel-Aged Abraxas","American Double / Imperial Stout","11.00%",4.61,1266,21
17,"Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)","Trappist Westvleteren 12 (XII)","Quadrupel (Quad)","10.20%",4.61,6208,12
18,"Bottle Logic Brewing","Fundamental Observation","American Double / Imperial Stout","14.30%",4.6,725,31
19,"Russian River Brewing Company","Pliny The Elder","American Double / Imperial IPA","8.00%",4.6,14191,94
20,"Tree House Brewing Company","Very Green","American Double / Imperial IPA","8.60%",4.6,571,175
21,"Goose Island Beer Company","Bourbon County Brand Coffee Stout","American Double / Imperial Stout","13.40%",4.57,6945,3
22,"Toppling Goliath Brewing Company","King Sue","American Double / Imperial IPA","8.00%",4.57,1692,68
23,"Tree House Brewing Company","JJJuliusss","American IPA","6.80%",4.57,337,136
24,"Funky Buddha Brewery","Morning Wood","American Porter","12.00%",4.56,695,16
25,"AleSmith Brewing Company","AleSmith Speedway Stout - Vietnamese Coffee (Bourbon Barrel Aged)","American Double / Imperial Stout","12.00%",4.56,649,156
