Rank,Brewery,Beer,Style,ABV,Rating,Ratings,Reviews
1,Tree House Brewing Company,Good Morning,American Double / Imperial Stout,8.40%,4.72,993,71
2,Toppling Goliath Brewing Company,Kentucky Brunch Brand Stout,American Double / Imperial Stout,12.00%,4.7,523,181
3,Toppling Goliath Brewing Company,Mornin' Delight,American Double / Imperial Stout,12.00%,4.66,956,46
4,Russian River Brewing Company,Pliny The Younger,American Double / Imperial IPA,10.25%,4.66,2970,183
5,Voodoo Brewing Company,ManBearPig,American Double / Imperial Stout,14.10%,4.66,159,146
6,The Alchemist,Heady Topper,American Double / Imperial IPA,8.00%,4.66,12732,61
7,Tree House Brewing Company,King Julius,American Double / Imperial IPA,8.30%,4.65,649,26
8,Cigar City Brewing,Hunahpu's Imperial Stout - Double Barrel Aged,American Double / Imperial Stout,11.00%,4.65,1285,23
9,Tree House Brewing Company,Very Hazy,American Double / Imperial IPA,8.60%,4.64,435,167
10,Maine Beer Company,Dinner,American Double / Imperial IPA,8.20%,4.63,1814,77
11,Three Floyds Brewing Company,Marshmallow Handjee (Bourbon Barrel Aged Vanilla Bean Dark Lord),Russian Imperial Stout,15.00%,4.63,1425,95
12,Tree House Brewing Company,King JJJuliusss,American Double / Imperial IPA,8.40%,4.63,323,159
13,Tree House Brewing Company,Juice Machine,American Double / Imperial IPA,8.20%,4.62,420,181
14,Founders Brewing Company,Founders CBS Imperial Stout,American Double / Imperial Stout,10.60%,4.62,4230,187
15,Tree House Brewing Company,Julius,American IPA,6.80%,4.62,3039,132
16,Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Trappist Westvleteren 12 (XII),Quadrupel (Quad),10.20%,4.61,6106,12
17,Russian River Brewing Company,Pliny The Elder,American Double / Imperial IPA,8.00%,4.6,13974,100
18,Bottle Logic Brewing,Fundamental Observation,American Double / Imperial Stout,14.30%,4.6,590,24
19,Perennial Artisan Ales,Barrel-Aged Abraxas,American Double / Imperial Stout,11.00%,4.59,1220,21
20,Toppling Goliath Brewing Company,King Sue,American Double / Imperial IPA,8.00%,4.58,1533,51
21,Goose Island Beer Company,Bourbon County Brand Coffee Stout,American Double / Imperial Stout,13.40%,4.57,6833,3
22,The Alchemist,Focal Banger,American IPA,7.00%,4.56,2356,85
23,Hill Farmstead Brewery,Abner,American Double / Imperial IPA,8.20%,4.56,2469,113
24,Founders Brewing Company,Founders KBS (Kentucky Breakfast Stout),American Double / Imperial Stout,12.40%,4.56,11929,98
25,Tree House Brewing Company,JJJuliusss,American IPA,6.80%,4.56,310,141
26,Lawson's Finest Liquids,Sip Of Sunshine,American Double / Imperial IPA,8.00%,4.55,4183,137
27,Tree House Brewing Company,Very Green,American Double / Imperial IPA,8.60%,4.55,374,139
28,Funky Buddha Brewery,Morning Wood,American Porter,12.00%,4.55,480,164
29,Tree House Brewing Company,Green,American IPA,7.60%,4.55,1900,86
30,Hill Farmstead Brewery,Ann,Saison / Farmhouse Ale,6.50%,4.55,327,169
31,Trillium Brewing Company,Double Dry Hopped Congress Street,American IPA,7.20%,4.54,863,15
32,Kern River Brewing Company,Citra Double IPA,American Double / Imperial IPA,8.00%,4.54,1646,117
33,Lawson's Finest Liquids,Double Sunshine IPA,American Double / Imperial IPA,8.00%,4.54,2094,108
34,Tree House Brewing Company,Doppelganger,American Double / Imperial IPA,8.20%,4.54,686,184
35,Tree House Brewing Company,Alter Ego,American IPA,6.80%,4.53,1495,76
36,Firestone Walker Brewing Company,Parabola,Russian Imperial Stout,14.00%,4.53,6173,4
37,Lawson's Finest Liquids,Triple Sunshine IPA,American Double / Imperial IPA,10.50%,4.53,567,144
38,AleSmith Brewing Company,AleSmith Speedway Stout - Vietnamese Coffee (Bourbon Barrel Aged),American Double / Imperial Stout,12.00%,4.53,542,146
39,Three Floyds Brewing Company,Zombie Dust,American Pale Ale (APA),6.20%,4.52,9695,8
40,Hill Farmstead Brewery,Double Galaxy,American Double / Imperial IPA,8.00%,4.52,1264,71
41,Brasserie Cantillon,Cantillon Fou' Foune,Lambic - Fruit,5.00%,4.52,2750,140
42,Hill Farmstead Brewery,Society & Solitude #4,American Double / Imperial IPA,8.00%,4.51,1043,36
43,Brothers Craft Brewing,Resolute - Coconut,American Double / Imperial Stout,13.50%,4.51,178,133
44,Tree House Brewing Company,Haze,American Double / Imperial IPA,8.20%,4.5,1607,75
45,Tree House Brewing Company,In Perpetuity,American IPA,6.70%,4.5,341,161
46,The Lost Abbey,Duck Duck Gooze,Gueuze,7.00%,4.5,1660,89
47,Trillium Brewing Company,Headroom,American Double / Imperial IPA,8.00%,4.5,349,149
48,Cigar City Brewing,Hunahpu's Imperial Stout,American Double / Imperial Stout,11.00%,4.5,3944,166
49,Bissell Brothers Brewing Company,Swish,American Double / Imperial IPA,8.00%,4.5,888,31
50,Aslin Beer Company,Master Of Karate,American Double / Imperial IPA,8.40%,4.5,141,136
51,Trillium Brewing Company,Galaxy Dry Hopped Fort Point Pale Ale,American Pale Ale (APA),6.60%,4.5,1305,38
52,Goose Island Beer Company,Bourbon County Brand Stout,American Double / Imperial Stout,13.80%,4.5,11793,67
53,Side Project Brewing,Fuzzy,American Wild Ale,8.00%,4.5,628,157
54,Toppling Goliath Brewing Company,PseudoSue,American Pale Ale (APA),5.80%,4.5,3905,145
55,Kane Brewing Company,Sunday Brunch,American Porter,9.20%,4.5,402,131
56,Russian River Brewing Company,Supplication,American Wild Ale,7.00%,4.49,6154,7
57,Trillium Brewing Company,Double Dry Hopped Fort Point Pale Ale,American Pale Ale (APA),6.60%,4.49,1006,188
58,Hill Farmstead Brewery,Double Citra,American Double / Imperial IPA,8.00%,4.49,1689,72
59,Brasserie Cantillon,Cantillon Bl†b‘r Lambik,Lambic - Fruit,5.00%,4.49,747,83
60,Tree House Brewing Company,Double Shot,American Stout,7.60%,4.49,752,164
61,"Bell's Brewery, Inc.",Bell's Black Note Stout,American Double / Imperial Stout,11.40%,4.49,3961,148
62,Kuhnhenn Brewing Company,Kuhnhenn Bourbon Barrel Fourth Dementia,Old Ale,13.50%,4.48,1868,121
63,Three Floyds Brewing Company,Bourbon Barrel Aged Dark Lord Imperial Stout,Russian Imperial Stout,15.00%,4.48,786,57
64,Funky Buddha Brewery,Snowed In - Bourbon Barrel Aged,American Double / Imperial Stout,11.00%,4.48,260,118
65,Toppling Goliath Brewing Company,Assassin Imperial Stout,American Double / Imperial Stout,12.00%,4.48,1041,181
66,Fremont Brewing Company,Bourbon Barrel Aged Abominable: Coffee And Cinnamon,American Strong Ale,14.00%,4.48,696,180
67,Trillium Brewing Company,Cutting Tiles,American Double / Imperial IPA,8.50%,4.48,949,37
68,Goose Island Beer Company,Bourbon County Brand Barleywine Ale,English Barleywine,12.10%,4.48,4903,143
69,Deschutes Brewery,The Abyss,American Double / Imperial Stout,12.20%,4.48,6779,14
70,Jester King Brewery,Atrial Rubicite,American Wild Ale,5.80%,4.47,1627,41
71,Prairie Artisan Ales,BOMB!,American Double / Imperial Stout,13.00%,4.47,5515,173
72,Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Trappist Westvleteren 8 (VIII),Dubbel,8.00%,4.47,2075,170
73,Trillium Brewing Company,Scaled Way Up,American Double / Imperial IPA,8.00%,4.47,318,135
74,Brouwerij Drie Fonteinen,Drie Fonteinen Zenne Y Frontera,Lambic - Unblended,7.00%,4.47,95,88
75,Founders Brewing Company,Founders Breakfast Stout,American Double / Imperial Stout,8.30%,4.47,16015,101
76,Hill Farmstead Brewery,Ephraim,American Double / Imperial IPA,10.00%,4.47,1005,79
77,Brasserie de Rochefort,Trappistes Rochefort 10,Quadrupel (Quad),11.30%,4.47,8987,66
78,Ozark Beer Company,BDCS,American Double / Imperial Stout,10.20%,4.47,284,138
79,Voodoo Brewing Company,Grande Negro Voodoo Papi - Bourbon Barrel Aged,American Double / Imperial Stout,12.50%,4.46,214,122
80,Dark Horse Brewing Company,Dark Horse Bourbon Barrel Aged Plead The 5th,Russian Imperial Stout,12.00%,4.46,3021,124
81,New England Brewing Company,Fuzzy Baby Ducks IPA,American IPA,6.20%,4.46,705,174
82,Surly Brewing Company,Abrasive Ale,American Double / Imperial IPA,9.00%,4.46,4385,182
83,Brasserie Cantillon,Cantillon Lou Pepe - Kriek,Lambic - Fruit,5.00%,4.46,1673,111
84,The Bruery,Black Tuesday,American Double / Imperial Stout,19.20%,4.46,3722,156
85,Boneyard Beer Company,Notorious Triple IPA,American Double / Imperial IPA,12.00%,4.46,687,180
86,Surly Brewing Company,Todd The Axe Man,American IPA,7.20%,4.46,2019,107
87,The Lost Abbey,Cable Car,American Wild Ale,7.00%,4.46,931,78
88,Russian River Brewing Company,Beatification,American Wild Ale,5.50%,4.46,2558,145
89,Cigar City Brewing,CaffŠ Americano,American Double / Imperial Stout,11.00%,4.45,895,22
90,Hill Farmstead Brewery,Society & Solitude #5,American Double / Imperial IPA,8.10%,4.45,1329,42
91,Prairie Artisan Ales,Prairie Pirate Bomb!,American Double / Imperial Stout,14.00%,4.45,1832,57
92,Firestone Walker Brewing Company,?ucaba,English Barleywine,12.50%,4.45,4886,177
93,Brouwerij Drie Fonteinen,Drie Fonteinen Oude Geuze Vintage,Gueuze,6.00%,4.45,680,29
94,Hill Farmstead Brewery,Everett Porter,American Porter,7.50%,4.45,2541,115
95,Funky Buddha Brewery,Wide Awake It's Morning,American Double / Imperial Stout,10.00%,4.45,576,17
96,The Alchemist,Crusher,American Double / Imperial IPA,9.60%,4.45,1151,27
97,Hill Farmstead Brewery,Susan,American IPA,6.20%,4.45,1692,53
98,Brouwerij Drie Fonteinen,Drie Fonteinen Oude Geuze Golden Blend,Gueuze,7.50%,4.45,980,52
99,AleSmith Brewing Company,AleSmith Speedway Stout - Bourbon Barrel Aged,American Double / Imperial Stout,12.00%,4.45,2019,110
100,Trillium Brewing Company,Fort Point Pale Ale,American Pale Ale (APA),6.60%,4.45,1662,49
101,Perrin Brewery,No Rules,American Porter,15.00%,4.45,860,49
102,Jackie O's Pub & Brewery,Bourbon Barrel Champion Ground,American Double / Imperial Stout,11.00%,4.45,288,147
103,J. Wakefield Brewing,Miami Madness,Berliner Weissbier,3.50%,4.45,213,112
104,Evil Twin Brewing,Evil Twin Double Barrel Jesus,American Double / Imperial Stout,12.00%,4.45,565,159
105,Trillium Brewing Company,Congress Street IPA,American IPA,7.20%,4.44,1717,59
106,Side Project Brewing,Framboise Du Fermier,Saison / Farmhouse Ale,8.00%,4.44,179,92
107,Toppling Goliath Brewing Company,Double Dry Hopped PseudoSue (Citra),American Pale Ale (APA),5.80%,4.44,198,122
108,Firestone Walker Brewing Company,Parabajava,Russian Imperial Stout,14.00%,4.44,509,153
109,"Bell's Brewery, Inc.",Hopslam Ale,American Double / Imperial IPA,10.00%,4.44,12612,99
110,Hair of the Dog Brewing Company / Brewery and Tasting Room,Adam From The Wood,Old Ale,12.00%,4.44,922,46
111,Three Floyds Brewing Company,Permanent Funeral,American Double / Imperial IPA,10.50%,4.44,2747,104
112,Alpine Beer Company,Keene Idea,American Double / Imperial IPA,8.88%,4.44,441,151
113,Toppling Goliath Brewing Company,Sosus,American Double / Imperial IPA,8.00%,4.44,1195,32
114,Trillium Brewing Company,Upper Case,American Double / Imperial IPA,9.00%,4.43,717,179
115,Trillium Brewing Company,Mosaic Dry Hopped Fort Point,American Pale Ale (APA),6.60%,4.43,868,186
116,Stone Brewing,Imperial Russian Stout - Bourbon Barrel Aged,Russian Imperial Stout,13.50%,4.43,1124,45
117,Evil Twin Brewing,Imperial Biscotti Break Bourbon Barrel Aged,American Double / Imperial Stout,11.50%,4.43,1506,34
118,Fremont Brewing Company,The Rusty Nail,American Double / Imperial Stout,13.20%,4.42,116,92
119,Anchorage Brewing Company,A Deal With The Devil,American Barleywine,17.30%,4.42,933,30
120,Prairie Artisan Ales,Barrel Aged Bomb!,American Double / Imperial Stout,11.20%,4.42,878,39
121,Trillium Brewing Company,Heavy Mettle,American Double / Imperial IPA,9.30%,4.42,746,168
122,Columbus Brewing Company,Columbus Bodhi DIPA,American Double / Imperial IPA,8.50%,4.42,1368,54
123,Firestone Walker Brewing Company,Stickee Monkee,Quadrupel (Quad),12.00%,4.42,2251,84
124,Tree House Brewing Company,Double Shot - Sumatra Mandheling,American Stout,7.80%,4.42,379,125
125,Funky Buddha Brewery,Maple Bacon Coffee Porter,American Porter,6.40%,4.42,1663,78
126,Funky Buddha Brewery,Last Snow,American Porter,6.40%,4.42,1589,74
127,Brouwerij St. Bernardus NV,St. Bernardus Abt 12,Quadrupel (Quad),10.00%,4.42,9239,65
128,FiftyFifty Brewing Company,Imperial Eclipse Stout - Elijah Craig (12 Year),American Double / Imperial Stout,11.90%,4.42,1825,96
129,Grimm Artisanal Ales,Afterimage,American Double / Imperial IPA,8.00%,4.42,402,162
130,Brasserie Cantillon,Cantillon Saint Lamvinus,Lambic - Fruit,5.00%,4.42,1984,134
131,Brouwerij Drie Fonteinen,Drie Fonteinen Framboos,Lambic - Fruit,5.00%,4.41,614,17
132,Russian River Brewing Company,Temptation,American Wild Ale,7.50%,4.41,3587,1
133,Surly Brewing Company,Darkness,Russian Imperial Stout,10.30%,4.41,3614,176
134,Fat Head's Brewery & Saloon,Hop JuJu Imperial IPA,American Double / Imperial IPA,9.00%,4.41,1953,81
135,Trillium Brewing Company,Double Dry Hopped Sleeper Street,American IPA,7.20%,4.41,550,151
136,Aslin Beer Company,Orange Starfish,American IPA,5.70%,4.41,110,88
137,Jackie O's Pub & Brewery,Oro Negro,American Double / Imperial Stout,10.00%,4.41,587,186
138,Hill Farmstead Brewery,Juicy,Saison / Farmhouse Ale,7.40%,4.41,443,165
139,The Bruery,Chocolate Rain,American Double / Imperial Stout,18.50%,4.41,2555,105
140,Alpine Beer Company,Bad Boy,American Double / Imperial IPA,9.00%,4.41,547,32
