"Rank","Brewery","Beer","Style","ABV","Rating","Ratings","Reviews","Street","Street2","City","State","Zip"
205,"4 Hands Brewing Company","Madagascar","Milk / Sweet Stout","9.30%",4.38,631,163,"1220 S 8th St","","St. Louis","MO","63104"
25,"AleSmith Brewing Company","AleSmith Speedway Stout - Vietnamese Coffee (Bourbon Barrel Aged)","American Double / Imperial Stout","12.00%",4.56,648,167,"9990 AleSmith Ct","","San Diego","CA","92126"
173,"AleSmith Brewing Company","AleSmith Speedway Stout - Vietnamese Coffee","American Double / Imperial Stout","12.00%",4.4,1707,40,"9990 AleSmith Ct","","San Diego","CA","92126"
224,"AleSmith Brewing Company","AleSmith Speedway Stout","American Double / Imperial Stout","12.00%",4.37,6656,9,"9990 AleSmith Ct","","San Diego","CA","92126"
108,"AleSmith Brewing Company","AleSmith Speedway Stout - Bourbon Barrel Aged","American Double / Imperial Stout","12.00%",4.45,2071,114,"9990 AleSmith Ct","","San Diego","CA","92126"
185,"Alpine Beer Company","Great","American Barleywine","14.00%",4.39,653,42,"2363 Alpine Blvd","","Alpine","CA","91901"
209,"Alpine Beer Company","Exponential Hoppiness","American Double / Imperial IPA","11.00%",4.37,1299,127,"2363 Alpine Blvd","","Alpine","CA","91901"
154,"Alpine Beer Company","Bad Boy","American Double / Imperial IPA","9.00%",4.41,549,30,"2363 Alpine Blvd","","Alpine","CA","91901"
211,"Alpine Beer Company","Nelson","American IPA","7.00%",4.37,4041,177,"2363 Alpine Blvd","","Alpine","CA","91901"
114,"Alpine Beer Company","Keene Idea","American Double / Imperial IPA","8.88%",4.44,445,158,"2363 Alpine Blvd","","Alpine","CA","91901"
130,"Anchorage Brewing Company","A Deal With The Devil","American Barleywine","17.30%",4.43,964,29,"148 West 91st Ave?","","Anchorage","AK","99515"
229,"Aslin Beer Company","Mind The Hop","American Double / Imperial IPA","9.50%",4.36,90,91,"1330 N Forest St","","Bellingham","WA","98225"
