"Rank","Beer","Brewery","Style","ABV","Rating","Reviews","Hads"
1,"Good Morning","Tree House Brewing Company","American Double / Imperial Stout","8.40% ABV",4.71,55,847
2,"Kentucky Brunch Brand Stout","Toppling Goliath Brewing Company","American Double / Imperial Stout","12.00% ABV",4.67,171,483
3,"Mornin' Delight","Toppling Goliath Brewing Company","American Double / Imperial Stout","12.00% ABV",4.67,33,734
4,"Pliny The Younger","Russian River Brewing Company","American Double / Imperial IPA","11.00% ABV",4.66,186,2771
5,"Heady Topper","The Alchemist","American Double / Imperial IPA","8.00% ABV",4.66,61,11669
6,"Dinner","Maine Beer Company","American Double / Imperial IPA","8.20% ABV",4.62,44,1394
7,"Founders CBS Imperial Stout","Founders Brewing Company","American Double / Imperial Stout","10.60% ABV",4.62,190,3993
8,"Julius","Tree House Brewing Company","American IPA","6.80% ABV",4.61,103,2132
9,"Bourbon Barrel Aged Vanilla Bean Dark Lord","3 Floyds Brewing Co.","Russian Imperial Stout","15.00% ABV",4.61,93,1309
10,"Trappist Westvleteren 12 (XII)","Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)","Quadrupel (Quad)","10.20% ABV",4.6,14,5744
11,"Pliny The Elder","Russian River Brewing Company","American Double / Imperial IPA","8.00% ABV",4.6,101,13207
12,"Bourbon County Brand Coffee Stout","Goose Island Beer Co.","American Double / Imperial Stout","13.40% ABV",4.59,1,6449
13,"King Julius","Tree House Brewing Company","American Double / Imperial IPA","8.30% ABV",4.57,139,184
14,"Barrel-Aged Abraxas","Perennial Artisan Ales","American Double / Imperial Stout","11.00% ABV",4.56,192,1102
15,"Founders KBS (Kentucky Breakfast Stout)","Founders Brewing Company","American Double / Imperial Stout","11.20% ABV",4.56,71,10905
16,"Sip Of Sunshine","Lawson's Finest Liquids","American IPA","8.00% ABV",4.56,119,3278
17,"Abner","Hill Farmstead Brewery","American Double / Imperial IPA","8.20% ABV",4.56,113,2326
18,"Focal Banger","The Alchemist","American IPA","7.00% ABV",4.55,46,1684
19,"Citra Double IPA","Kern River Brewing Company","American Double / Imperial IPA","8.00% ABV",4.55,121,1555
20,"Double Sunshine IPA","Lawson's Finest Liquids","American Double / Imperial IPA","8.00% ABV",4.54,106,1973
21,"King Sue","Toppling Goliath Brewing Company","American Double / Imperial IPA","8.00% ABV",4.54,21,1128
22,"Fundamental Observation","Bottle Logic Brewing","American Double / Imperial Stout","14.30% ABV",4.54,160,288
23,"Artaic","Trillium Brewing Company","American Double / Imperial IPA","8.50% ABV",4.54,176,554
24,"Zombie Dust","3 Floyds Brewing Co.","American Pale Ale (APA)","6.20% ABV",4.53,6,9025
25,"Parabola","Firestone Walker Brewing Co.","Russian Imperial Stout","14.00% ABV",4.53,2,5750
26,"Morning Wood","Funky Buddha Brewery","American Porter","12.00% ABV",4.53,142,281
27,"Rare Bourbon County Brand Stout (2015)","Goose Island Beer Co.","American Double / Imperial Stout","14.50% ABV",4.52,137,282
28,"Green","Tree House Brewing Company","American IPA","7.60% ABV",4.52,36,1100
29,"Ann","Hill Farmstead Brewery","Saison / Farmhouse Ale","6.50% ABV",4.51,158,256
30,"Triple Sunshine IPA","Lawson's Finest Liquids","American Double / Imperial IPA","10.50% ABV",4.51,139,500
31,"PseudoSue","Toppling Goliath Brewing Company","American Pale Ale (APA)","5.80% ABV",4.51,127,3184
32,"Double Galaxy","Hill Farmstead Brewery","American Double / Imperial IPA","8.00% ABV",4.5,52,1009
33,"Cantillon Fou' Foune","Brasserie Cantillon","Lambic - Fruit","5.00% ABV",4.5,141,2517
34,"SR-71 Blackbird (2015)","Toppling Goliath Brewing Company","American Double / Imperial Stout","14.00% ABV",4.5,122,353
35,"In Perpetuity","Tree House Brewing Company","American IPA","6.70% ABV",4.5,156,263
36,"Duck Duck Gooze","The Lost Abbey","American Wild Ale","7.00% ABV",4.5,88,1542
37,"Hunahpu's Imperial Stout","Cigar City Brewing","American Double / Imperial Stout","11.00% ABV",4.5,167,3583
38,"Alter Ego","Tree House Brewing Company","American IPA","6.80% ABV",4.5,24,723
39,"Bourbon County Brand Stout","Goose Island Beer Co.","American Double / Imperial Stout","13.80% ABV",4.5,69,11076
40,"Supplication","Russian River Brewing Company","American Wild Ale","7.00% ABV",4.49,8,5810
41,"Bell's Black Note Stout","Bell's Brewery, Inc.","American Double / Imperial Stout","11.40% ABV",4.49,152,3757
42,"Cantillon Blåbær Lambik","Brasserie Cantillon","Lambic - Fruit","5.00% ABV",4.49,81,677
43,"The Abyss","Deschutes Brewery","American Double / Imperial Stout","11.00% ABV",4.49,15,6281
44,"Society & Solitude #4","Hill Farmstead Brewery","American Double / Imperial IPA","8.00% ABV",4.48,31,867
45,"Bourbon County Brand Barleywine Ale","Goose Island Beer Co.","English Barleywine","12.10% ABV",4.48,140,4593
46,"Ephraim","Hill Farmstead Brewery","American Double / Imperial IPA","10.50% ABV",4.48,76,873
47,"Kuhnhenn Bourbon Barrel Fourth Dementia","Kuhnhenn Brewing Company","Old Ale","13.50% ABV",4.48,126,1775
48,"BOMB!","Prairie Artisan Ales","American Double / Imperial Stout","13.00% ABV",4.48,161,4722
49,"Double Citra","Hill Farmstead Brewery","American Double / Imperial IPA","8.00% ABV",4.48,56,1512
50,"Bourbon Barrel Aged Dark Lord Imperial Stout","3 Floyds Brewing Co.","Russian Imperial Stout","15.00% ABV",4.48,56,697
51,"Todd The Axe Man","Surly Brewing Company","American IPA","7.20% ABV",4.47,77,1271
52,"Galaxy Dry Hopped Fort Point Pale Ale","Trillium Brewing Company","American Pale Ale (APA)","6.60% ABV",4.47,175,826
53,"Dark Horse Bourbon Barrel Aged Plead The 5th","Dark Horse Brewing Company","Russian Imperial Stout","12.00% ABV",4.47,124,2780
54,"Trappist Westvleteren 8 (VIII)","Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)","Dubbel","8.00% ABV",4.47,174,1956
55,"Black Tuesday","The Bruery","American Double / Imperial Stout","19.20% ABV",4.47,159,3450
56,"Founders Breakfast Stout","Founders Brewing Company","American Double / Imperial Stout","8.30% ABV",4.47,102,15206
57,"Trappistes Rochefort 10","Brasserie de Rochefort","Quadrupel (Quad)","11.30% ABV",4.47,70,8530
58,"Atrial Rubicite","Jester King Brewery","American Wild Ale","5.80% ABV",4.46,34,1504
59,"Haze","Tree House Brewing Company","American Double / Imperial IPA","8.20% ABV",4.46,28,898
60,"Abrasive Ale","Surly Brewing Company","American Double / Imperial IPA","9.00% ABV",4.46,187,4106
61,"Fuzzy Baby Ducks IPA","New England Brewing Co.","American IPA","6.20% ABV",4.46,164,593
62,"Imperial Biscotti Break Bourbon Barrel Aged","Evil Twin Brewing","American Double / Imperial Stout","11.50% ABV",4.46,18,1275
63,"Beatification","Russian River Brewing Company","American Wild Ale","5.50% ABV",4.46,148,2428
64,"Cable Car","The Lost Abbey","American Wild Ale","7.00% ABV",4.46,78,852
65,"Black Gold (2015)","Central Waters Brewing Co.","American Double / Imperial Stout","11.00% ABV",4.45,120,232
66,"Susan","Hill Farmstead Brewery","American IPA","6.20% ABV",4.45,38,1389
67,"Double Dry Hopped Fort Point Pale Ale","Trillium Brewing Company","American Pale Ale (APA)","6.60% ABV",4.45,142,601
68,"Everett Porter","Hill Farmstead Brewery","American Porter","7.50% ABV",4.45,112,2265
69,"Cantillon Lou Pepe - Kriek","Brasserie Cantillon","Lambic - Fruit","5.00% ABV",4.45,110,1567
70,"Hopslam Ale","Bell's Brewery, Inc.","American Double / Imperial IPA","10.00% ABV",4.45,100,11790
71,"AleSmith Speedway Stout - Bourbon Barrel Aged","AleSmith Brewing Company","American Double / Imperial Stout","12.00% ABV",4.45,106,1795
72,"Drie Fonteinen Oude Geuze Golden Blend","Brouwerij Drie Fonteinen","Gueuze","7.50% ABV",4.45,49,823
73,"Curiosity Twenty Two","Tree House Brewing Company","American IPA","7.00% ABV",4.44,107,170
74,"§ucaba","Firestone Walker Brewing Co.","English Barleywine","12.50% ABV",4.44,180,4572
75,"Society & Solitude #5","Hill Farmstead Brewery","American Double / Imperial IPA","8.10% ABV",4.44,35,1211
76,"Drie Fonteinen Oude Geuze Vintage","Brouwerij Drie Fonteinen","Gueuze","6.00% ABV",4.44,30,619
77,"Upper Case","Trillium Brewing Company","American Double / Imperial IPA","9.00% ABV",4.44,133,379
78,"Permanent Funeral","3 Floyds Brewing Co.","American Double / Imperial IPA","10.50% ABV",4.43,96,2550
79,"Sosus","Toppling Goliath Brewing Company","American Double / Imperial IPA","8.00% ABV",4.43,23,1032
80,"Adam From The Wood","Hair of the Dog Brewing Company / Brewery and Tasting Room","Old Ale","12.00% ABV",4.43,42,851
81,"Columbus Bodhi DIPA","Columbus Brewing Company","American Double / Imperial IPA","8.50% ABV",4.43,42,1229
82,"Assassin Imperial Stout","Toppling Goliath Brewing Company","American Double / Imperial Stout","12.00% ABV",4.43,182,967
83,"Bourbon Barrel Aged Abominable: Coffee And Cinnamon","Fremont Brewing Company","American Strong Ale","14.00% ABV",4.43,153,482
84,"Fort Point Pale Ale","Trillium Brewing Company","American Pale Ale (APA)","6.60% ABV",4.43,29,1228
85,"Double Dry Hopped Congress Street","Trillium Brewing Company","American IPA","7.20% ABV",4.43,120,442
86,"No Rules","Perrin Brewery","American Porter","15.00% ABV",4.42,23,483
87,"Maple Bacon Coffee Porter","Funky Buddha Brewery","American Porter","6.40% ABV",4.42,56,1351
88,"Congress Street IPA","Trillium Brewing Company","American IPA","7.20% ABV",4.42,30,1173
89,"Notorious Triple IPA","Boneyard Beer Company","American Double / Imperial IPA","12.00% ABV",4.42,160,526
90,"Headroom Double IPA","Trillium Brewing Company","American Double / Imperial IPA","8.00% ABV",4.42,115,171
91,"St. Bernardus Abt 12","Brouwerij St. Bernardus NV","Quadrupel (Quad)","10.00% ABV",4.42,67,8800
92,"Last Snow","Funky Buddha Brewery","American Porter","6.50% ABV",4.42,47,1203
93,"Cantillon Saint Lamvinus","Brasserie Cantillon","Lambic - Fruit","5.00% ABV",4.41,136,1863
94,"Stickee Monkee","Firestone Walker Brewing Co.","Quadrupel (Quad)","12.00% ABV",4.41,59,1973
95,"Imperial Russian Stout - Bourbon Barrel Aged","Stone Brewing Co.","Russian Imperial Stout","11.50% ABV",4.41,41,1036
96,"Swish","Bissell Brothers Brewing Co.","American Double / Imperial IPA","8.00% ABV",4.41,154,498
97,"Drie Fonteinen Framboos","Brouwerij Drie Fonteinen","Lambic - Fruit","5.00% ABV",4.41,188,492
98,"Darkness","Surly Brewing Company","Russian Imperial Stout","10.30% ABV",4.41,181,3382
99,"Keene Idea","Alpine Beer Company","American Double / Imperial IPA","8.88% ABV",4.41,149,415
100,"Bourbon Barrel Champion Ground","Jackie O's Pub & Brewery","American Double / Imperial Stout","11.00% ABV",4.41,129,179
101,"Double Shot - Sumatra Mandheling","Tree House Brewing Company","American Stout","7.80% ABV",4.41,129,339
102,"Fuzzy","Side Project Brewing","American Wild Ale","8.00% ABV",4.41,118,415
103,"Cantillon Lou Pepe - Framboise","Brasserie Cantillon","Lambic - Fruit","5.00% ABV",4.4,95,1105
104,"Mother Of All Storms","Pelican Pub & Brewery","English Barleywine","14.00% ABV",4.4,132,1758
105,"Imperial Eclipse Stout - Elijah Craig (12 Year)","FiftyFifty Brewing Co.","American Double / Imperial Stout","11.90% ABV",4.4,92,1671
106,"Consecration","Russian River Brewing Company","American Wild Ale","10.00% ABV",4.4,3,4879
107,"Peg's G.O.O.D. RareR D.O.S.","Peg's Cantina & Brew Pub","American Double / Imperial Stout","10.00% ABV",4.4,20,672
108,"Temptation","Russian River Brewing Company","American Wild Ale","7.50% ABV",4.4,193,3402
109,"Bad Boy","Alpine Beer Company","American Double / Imperial IPA","9.00% ABV",4.4,32,505
110,"All Green Everything","Other Half Brewing Co.","American Double / Imperial IPA","10.50% ABV",4.4,184,704
111,"Oro Negro","Jackie O's Pub & Brewery","American Double / Imperial Stout","10.50% ABV",4.4,157,366
112,"Chocolate Rain","The Bruery","American Double / Imperial Stout","18.50% ABV",4.4,103,2372
113,"Weihenstephaner Hefeweissbier","Bayerische Staatsbrauerei Weihenstephan","Hefeweizen","5.40% ABV",4.4,64,7619
