"Rank","Beer","Brewery","Style","ABV","Rating","Reviews","Hads"
114,"Samuel Adams Utopias","Boston Beer Company (Samuel Adams)","American Strong Ale","29.00% ABV",4.4,144,2248
115,"Dreadnaught IPA","3 Floyds Brewing Co.","American Double / Imperial IPA","9.50% ABV",4.4,12,5705
116,"Sunday Brunch","Kane Brewing Company","American Porter","9.20% ABV",4.4,86,224
117,"Wide Awake It's Morning","Funky Buddha Brewery","American Double / Imperial Stout","10.50% ABV",4.4,150,225
118,"Stone Enjoy By IPA","Stone Brewing Co.","American Double / Imperial IPA","9.40% ABV",4.39,5,9940
119,"Pallet 1","Peg's Cantina & Brew Pub","American Double / Imperial Stout",NA,4.39,125,184
120,"Seventeen","Central Waters Brewing Co.","American Double / Imperial Stout","11.50% ABV",4.39,139,613
121,"Coriolis","New England Brewing Co.","American Double / Imperial IPA","8.20% ABV",4.39,137,405
122,"Matt","Hair of the Dog Brewing Company / Brewery and Tasting Room","American Strong Ale","11.50% ABV",4.39,83,785
123,"Evil Twin Double Barrel Jesus","Evil Twin Brewing","American Double / Imperial Stout","12.00% ABV",4.39,146,425
124,"Prairie Pirate Bomb!","Prairie Artisan Ales","American Double / Imperial Stout","14.00% ABV",4.39,26,1455
125,"Rodenbach Caractère Rouge","Brouwerij Rodenbach N.V.","Flanders Red Ale","7.00% ABV",4.39,46,1156
126,"Born Yesterday Pale Ale","Lagunitas Brewing Company","American Pale Ale (APA)","6.50% ABV",4.39,98,1515
127,"Epiphany","Foundation Brewing Company","American Double / Imperial IPA","8.00% ABV",4.39,178,509
128,"Framboise Du Fermier","Side Project Brewing","Saison / Farmhouse Ale","8.00% ABV",4.39,82,135
129,"Péché Mortel","Brasserie Dieu du Ciel!","American Double / Imperial Stout","9.50% ABV",4.39,13,4636
130,"A Deal With The Devil","Anchorage Brewing Company","American Barleywine","17.30% ABV",4.38,19,798
131,"Snowed In - Bourbon Barrel Aged","Funky Buddha Brewery","American Double / Imperial Stout","11.00% ABV",4.38,73,83
132,"Double Shot","Tree House Brewing Company","American Stout","7.60% ABV",4.38,111,497
133,"Nelson","Alpine Beer Company","American IPA","7.00% ABV",4.38,169,3611
134,"Hop JuJu Imperial IPA","Fat Head's Brewery & Saloon","American Double / Imperial IPA","9.00% ABV",4.38,50,1584
135,"See The Stars","Creature Comforts","Russian Imperial Stout","10.90% ABV",4.38,125,112
136,"Citra Showers","Noble Ale Works","American Double / Imperial IPA","8.80% ABV",4.38,154,376
137,"Edward","Hill Farmstead Brewery","American Pale Ale (APA)","5.20% ABV",4.38,104,2244
138,"Sculpin IPA","Ballast Point Brewing Company","American IPA","7.00% ABV",4.38,63,12626
139,"Great","Alpine Beer Company","American Barleywine","14.00% ABV",4.38,41,577
140,"Yellow Rose","The Lone Pint Brewery","American IPA","6.80% ABV",4.38,40,1264
141,"AleSmith Speedway Stout - Vietnamese Coffee","AleSmith Brewing Company","American Double / Imperial Stout","12.00% ABV",4.38,19,1268
142,"Saison Du Fermier","Side Project Brewing","Saison / Farmhouse Ale","7.00% ABV",4.37,128,547
143,"Peche 'n Brett","Logsdon Farmhouse Ales","Saison / Farmhouse Ale","10.00% ABV",4.37,36,1057
144,"Exponential Hoppiness","Alpine Beer Company","American Double / Imperial IPA","11.00% ABV",4.37,126,1226
145,"Second Fiddle","Fiddlehead Brewing Company","American Double / Imperial IPA","8.20% ABV",4.37,35,1379
146,"Cascade Sang Noir","Cascade Brewing / Raccoon Lodge & Brewpub","American Wild Ale","9.50% ABV",4.37,51,1416
147,"Mosaic Dry Hopped Fort Point","Trillium Brewing Company","American Pale Ale (APA)","6.60% ABV",4.37,120,379
148,"Bourbon Barrel Aged Dark Star: Coffee Edition","Fremont Brewing Company","American Double / Imperial Stout","14.50% ABV",4.37,109,334
149,"Drie Fonteinen Hommage","Brouwerij Drie Fonteinen","Lambic - Fruit","6.00% ABV",4.37,43,694
150,"AleSmith Speedway Stout","AleSmith Brewing Company","American Double / Imperial Stout","12.00% ABV",4.37,11,6036
151,"Kuhnhenn Raspberry Eisbock","Kuhnhenn Brewing Company","Eisbock","15.50% ABV",4.37,134,1151
152,"Bourbon Barrel Black Maple","Jackie O's Pub & Brewery","American Porter","11.00% ABV",4.36,164,712
153,"Afterimage","Grimm Artisanal Ales","American Double / Imperial IPA","8.00% ABV",4.36,125,157
154,"Sure Bet","Pipeworks Brewing Company","American Double / Imperial IPA","9.50% ABV",4.36,150,442
155,"Cantillon Gueuze 100% Lambic","Brasserie Cantillon","Gueuze","5.00% ABV",4.36,155,2881
156,"Abraxas","Perennial Artisan Ales","American Double / Imperial Stout","10.00% ABV",4.36,74,1888
157,"The Pupil","Societe Brewing Co.","American IPA","7.80% ABV",4.36,173,783
158,"Vicinity","Trillium Brewing Company","American Double / Imperial IPA","8.00% ABV",4.36,185,745
159,"Cantillon Lou Pepe - Gueuze","Brasserie Cantillon","Gueuze","5.00% ABV",4.35,57,962
160,"Tweak","Avery Brewing Company","American Double / Imperial Stout","17.81% ABV",4.35,54,1568
161,"Wisconsin Belgian Red","New Glarus Brewing Company","Fruit / Vegetable Beer","4.00% ABV",4.35,191,3251
162,"Live Oak HefeWeizen","Live Oak Brewing Company","Hefeweizen","5.20% ABV",4.35,123,1262
163,"Caffè Americano","Cigar City Brewing","American Double / Imperial Stout","11.00% ABV",4.35,142,544
164,"Hop Venom Double IPA","Boneyard Beer Company","American Double / Imperial IPA","8.90% ABV",4.35,20,807
165,"Uncle Jacob's Stout","Avery Brewing Company","American Double / Imperial Stout","16.90% ABV",4.35,99,2088
166,"Grey Monday","The Bruery","American Double / Imperial Stout","19.50% ABV",4.35,33,1501
167,"Montmorency Vs Balaton","Jester King Brewery","American Wild Ale","6.70% ABV",4.35,115,536
168,"Society & Solitude #6","Hill Farmstead Brewery","American Double / Imperial IPA","8.10% ABV",4.35,146,531
169,"Péché Mortel En Fût De Bourbon Américain","Brasserie Dieu du Ciel!","American Double / Imperial Stout","9.50% ABV",4.35,171,356
170,"Project Dank","La Cumbre Brewing Co.","American IPA","7.50% ABV",4.35,171,701
171,"Brew 1000 - Bourbon Barrel Aged","Fremont Brewing Company","English Barleywine","13.10% ABV",4.35,53,53
172,"Nooner Batch 10","Peg's Cantina & Brew Pub","American Double / Imperial Stout",NA,4.35,86,120
173,"Mexican Cake","Westbrook Brewing Co.","American Double / Imperial Stout","10.50% ABV",4.35,91,2289
174,"Victory At Sea Coffee Vanilla Imperial Porter","Ballast Point Brewing Company","American Porter","10.00% ABV",4.34,4,6050
175,"&+","Peg's Cantina & Brew Pub","American Double / Imperial Stout","10.50% ABV",4.34,94,119
176,"Civil Disobedience #15","Hill Farmstead Brewery","Saison / Farmhouse Ale","11.00% ABV",4.34,79,105
177,"ScareCity #3: High West-ified Imperial Coffee Stout","Lagunitas Brewing Company","American Double / Imperial Stout","12.10% ABV",4.34,47,1140
178,"Masala Mama India Pale Ale","Minneapolis Town Hall Brewery","American IPA","6.00% ABV",4.34,163,1319
179,"R&D Vintage 2014","New Glarus Brewing Company","American Wild Ale","6.00% ABV",4.34,135,277
180,"Aaron","Hill Farmstead Brewery","English Barleywine",NA,4.34,90,274
181,"What Is Enlightenment?","Hill Farmstead Brewery","American Pale Ale (APA)","5.40% ABV",4.34,17,816
182,"Stone Imperial Russian Stout","Stone Brewing Co.","Russian Imperial Stout","10.60% ABV",4.34,68,7949
183,"Double Dry Hopped Sleeper Street IPA","Trillium Brewing Company","American IPA","7.10% ABV",4.34,105,272
184,"Bourbon Abominable Winter Ale","Fremont Brewing Company","American Strong Ale","14.00% ABV",4.34,37,865
185,"Breakfast Exorcism","Clown Shoes","American Double / Imperial Stout","11.00% ABV",4.34,111,210
186,"The Event Horizon","Olde Hickory Brewery","American Double / Imperial Stout","8.50% ABV",4.34,89,1539
187,"West Ashley","Sante Adairius Rustic Ales","American Wild Ale","7.30% ABV",4.34,154,731
188,"Last Buffalo In The Park","Funky Buddha Brewery","American Double / Imperial Stout","11.50% ABV",4.33,39,140
189,"Damon (Bourbon Barrel Aged)","Hill Farmstead Brewery","Russian Imperial Stout","10.50% ABV",4.33,182,604
190,"Citra Pale Ale","Hill Farmstead Brewery","American Pale Ale (APA)","5.40% ABV",4.33,25,875
191,"Raspberry Tart","New Glarus Brewing Company","Fruit / Vegetable Beer","4.00% ABV",4.33,189,3537
192,"Omega Point","Olde Hickory Brewery","English Barleywine","10.00% ABV",4.33,142,342
193,"Arctic Devil Barley Wine","Midnight Sun Brewing Co.","English Barleywine","13.20% ABV",4.33,117,1219
194,"Birth Of Tragedy","Hill Farmstead Brewery","American Porter","9.00% ABV",4.33,48,1061
195,"Resolute - Coconut","Brothers Craft Brewing","American Double / Imperial Stout","13.50% ABV",4.33,45,31
196,"Old Stock Cellar Reserve (Aged In Bourbon Barrels)","North Coast Brewing Co.","Old Ale","13.16% ABV",4.33,108,929
197,"Lunch","Maine Beer Company","American IPA","7.00% ABV",4.33,162,4464
198,"Melcher Street IPA","Trillium Brewing Company","American IPA","7.30% ABV",4.33,151,518
199,"Beyond Good And Evil","Hill Farmstead Brewery","American Double / Imperial Stout",NA,4.33,133,505
200,"Tesseract","Grimm Artisanal Ales","American Double / Imperial IPA","8.00% ABV",4.33,129,200
201,"Hipster Brunch Stout","Odd Side Ales","American Double / Imperial Stout","10.00% ABV",4.33,145,366
202,"Ten FIDY","Oskar Blues Grill & Brew","Russian Imperial Stout","10.50% ABV",4.33,66,9176
203,"Tröegs Nugget Nectar","Tröegs Brewing Company","American Amber / Red Ale","7.50% ABV",4.33,65,7903
204,"Ayinger Celebrator Doppelbock","Privatbrauerei Franz Inselkammer KG / Brauerei Aying","Doppelbock","6.70% ABV",4.33,62,6048
205,"Saison Bernice","Sante Adairius Rustic Ales","Saison / Farmhouse Ale","6.50% ABV",4.33,143,654
206,"Evil Twin Imperial Biscotti Break","Evil Twin Brewing","American Double / Imperial Stout","11.50% ABV",4.33,138,3610
207,"Founders Imperial Stout","Founders Brewing Company","Russian Imperial Stout","10.50% ABV",4.33,13,7132
208,"Serendipity","New Glarus Brewing Company","Fruit / Vegetable Beer","4.00% ABV",4.33,87,2517
209,"Melange No. 3","The Bruery","American Strong Ale","15.50% ABV",4.33,85,1735
210,"Elevated IPA","La Cumbre Brewing Co.","American IPA","7.20% ABV",4.32,51,1204
211,"Pannepot","De Struise Brouwers","Quadrupel (Quad)","10.00% ABV",4.32,179,2273
212,"Pure Hoppiness","Alpine Beer Company","American Double / Imperial IPA","8.00% ABV",4.32,172,2894
213,"BDCS","Ozark Beer Co.","American Double / Imperial Stout","10.20% ABV",4.32,39,81
214,"Drie Fonteinen Oude Geuze","Brouwerij Drie Fonteinen","Gueuze","6.00% ABV",4.32,165,2478
215,"Nelson Single Hop","Hill Farmstead Brewery","American Pale Ale (APA)","5.20% ABV",4.32,151,389
216,"Madagascar","4 Hands Brewing Co.","Milk / Sweet Stout","9.30% ABV",4.32,111,373
217,"30th Anniversary Ale","Bell's Brewery, Inc.","American Double / Imperial Stout","11.00% ABV",4.32,75,949
218,"Nut Smasher","Willoughby Brewing","American Double / Imperial Stout","11.00% ABV",4.32,107,174
219,"Monsters Park - Bourbon Barrel Aged With Coconut And Cacao Nibs","Modern Times Beer","American Double / Imperial Stout","13.00% ABV",4.32,45,130
220,"Mastermind","Fiddlehead Brewing Company","American Double / Imperial IPA","8.10% ABV",4.32,16,1037
221,"AleSmith Speedway Stout - Kopi Luwak","AleSmith Brewing Company","American Double / Imperial Stout","12.00% ABV",4.32,170,519
222,"Fat Head's Head Hunter IPA","Fat Head's Brewery & Saloon","American IPA","7.50% ABV",4.32,147,3799
223,"Wulver","Thirsty Dog Brewing Company","Scotch Ale / Wee Heavy","12.00% ABV",4.32,54,1442
224,"Lagunitas Sucks (Brown Shugga Substitute Ale)","Lagunitas Brewing Company","American Double / Imperial IPA","7.85% ABV",4.32,10,9702
225,"Black Damnation V - Double Black","De Struise Brouwers","American Double / Imperial Stout","26.00% ABV",4.32,27,323
226,"Bourbon Barrel Aged Hi-Fi Rye","Flossmoor Station Restaurant & Brewery","American Barleywine","10.90% ABV",4.32,27,323
227,"Blind Pig IPA","Russian River Brewing Company","American IPA","6.10% ABV",4.32,7,5422
228,"Bitter Monk","Anchorage Brewing Company","Belgian IPA","9.00% ABV",4.32,84,939
229,"Great Lakes Barrel-Aged Blackout Stout","Great Lakes Brewing Co.","Russian Imperial Stout","9.50% ABV",4.32,130,1727
230,"Miami Madness","J. Wakefield Brewing","Berliner Weissbier","3.50% ABV",4.31,45,75
231,"Hoppy Birthday","Alpine Beer Company","American Pale Ale (APA)","5.25% ABV",4.31,114,2186
232,"Box Set Track #10 - Bat Out Of Hell","The Lost Abbey","American Double / Imperial Stout","13.50% ABV",4.31,171,637
233,"Older Viscosity","Port Brewing","American Double / Imperial Stout","12.00% ABV",4.31,168,2531
234,"Duet","Alpine Beer Company","American IPA","7.00% ABV",4.31,166,3520
235,"Three Hour Tour","Minneapolis Town Hall Brewery","Milk / Sweet Stout","6.10% ABV",4.31,183,279
236,"Kuhnhenn Bourbon Barrel Barley Wine","Kuhnhenn Brewing Company","English Barleywine","14.50% ABV",4.31,58,668
237,"La Fin Du Monde","Unibroue","Tripel","9.00% ABV",4.31,72,9521
238,"Ghost In The Machine","Parish Brewing Company","American Double / Imperial IPA","8.00% ABV",4.31,131,284
239,"Mosaic IPA","Other Half Brewing Co.","American IPA","7.20% ABV",4.31,105,243
240,"Mocha Wednesday","The Bruery","American Double / Imperial Stout","19.20% ABV",4.31,182,990
241,"Schneider Weisse Tap 6 Unser Aventinus","Weisses Bräuhaus G. Schneider & Sohn GmbH","Weizenbock","8.20% ABV",4.31,60,4219
242,"Allagash Cuvée D'Industrial","Allagash Brewing Company","American Wild Ale","7.50% ABV",4.31,160,307
243,"Furious","Surly Brewing Company","American IPA","6.60% ABV",4.31,9,5155
244,"Luscious","The Alchemist","Russian Imperial Stout","11.10% ABV",4.31,158,404
245,"Heavy Mettle","Trillium Brewing Company","American Double / Imperial IPA","9.30% ABV",4.3,97,385
246,"Grassroots Brother Soigné","Grassroots Brewing","Saison / Farmhouse Ale","5.00% ABV",4.3,22,1069
247,"Stone Xocoveza For The Holidays & The New Year","Stone Brewing Co.","Milk / Sweet Stout","8.10% ABV",4.3,116,2768
248,"Cuvee De Castleton","Captain Lawrence Brewing Co.","American Wild Ale","9.00% ABV",4.3,80,502
249,"Allagash Coolship Red","Allagash Brewing Company","Lambic - Fruit","5.70% ABV",4.3,171,465
250,"Beer Geek Brunch Weasel","Mikkeller ApS","American Double / Imperial Stout","10.90% ABV",4.3,177,2722
