"Rank","Brewery","Beer","Style","ABV","Rating","Ratings","Reviews","Street","Street2","City","State","Zip"
128,"Brasserie Cantillon","Cantillon Saint Lamvinus","Lambic - Fruit","5.00%",4.42,1981,131,"Rue Gheude 56","","Brussels","Belgium","1070"
129,"Brouwerij Drie Fonteinen","Drie Fonteinen Framboos","Lambic - Fruit","5.00%",4.41,610,17,"3 Herman Teirlinckplein","","Beersel","Belgium","1650"
130,"Russian River Brewing Company","Temptation","American Wild Ale","7.50%",4.41,3579,1,"725 4th St","","Santa Rosa","CA","95404"
131,"Grimm Artisanal Ales","Afterimage","American Double / Imperial IPA","8.00%",4.41,385,158,"PO Box 150472","","Brooklyn","NY","11215"
132,"Surly Brewing Company","Darkness","Russian Imperial Stout","10.30%",4.41,3607,172,"4811 Dusharme Dr","","Brooklyn Center","MN","55429"
133,"Trillium Brewing Company","Dusk Trill Dawn","American Double / Imperial Stout","11.50%",4.41,254,119,"369 Congress St","","Boston","MA","02210"
134,"Fat Head's Brewery & Saloon","Hop JuJu Imperial IPA","American Double / Imperial IPA","9.00%",4.41,1950,80,"24581 Lorain Rd.","","North Olmstead","OH","44070"
135,"Trillium Brewing Company","Double Dry Hopped Sleeper Street IPA","American IPA","7.20%",4.41,535,148,"369 Congress St","","Boston","MA","02210"
136,"Aslin Beer Company","Orange Starfish","American IPA","5.70%",4.41,109,87,"1330 N Forest St","","Bellingham","WA","98225"
137,"Jackie O's Pub & Brewery","Oro Negro","American Double / Imperial Stout","10.00%",4.41,579,183,"24 W Union St","","Athens","OH","45701"
138,"Hill Farmstead Brewery","Juicy","Saison / Farmhouse Ale","7.40%",4.41,439,163,"403 Hill Rd","","Greensboro Bend","VT","05842"
139,"The Bruery","Chocolate Rain","American Double / Imperial Stout","18.50%",4.41,2551,103,"715 Dunn Way","","Placentia","CA","92870"
140,"Alpine Beer Company","Bad Boy","American Double / Imperial IPA","9.00%",4.41,547,33,"2363 Alpine Blvd","","Alpine","CA","91901"
141,"Peg's Cantina & Brew Pub","Peg's G.O.O.D. RareR D.O.S.","American Double / Imperial Stout","10.00%",4.41,711,19,"Closed","","","",""
142,"Brasserie Cantillon","Cantillon Lou Pepe - Framboise","Lambic - Fruit","5.00%",4.41,1208,91,"Rue Gheude 56","","Brussels","Belgium","1070"
143,"Pelican Pub & Brewery","Mother Of All Storms","English Barleywine","14.00%",4.41,1883,126,"33180 Cape Kiwanda Dr.","","Pacific City","OR","97135"
144,"Brouwerij Rodenbach N.V.","Rodenbach Caractère Rouge","Flanders Red Ale","7.00%",4.41,1315,58,"Spanjestraat 133-141","","Roeselare","Belgium","8800"
145,"Russian River Brewing Company","Consecration","American Wild Ale","10.00%",4.4,5130,2,"725 4th St","","Santa Rosa","CA","95404"
146,"Trillium Brewing Company","Vicinity","American Double / Imperial IPA","8.00%",4.4,1141,40,"369 Congress St","","Boston","MA","02210"
147,"Fiddlehead Brewing Company","Second Fiddle","American Double / Imperial IPA","8.20%",4.4,1646,55,"6305 Shelburne Rd","","Shelburne","VT","05482"
148,"Foundation Brewing Company","Epiphany","American Double / Imperial IPA","8.00%",4.4,788,27,"1 Industrial Way?","","Portland","ME","04103"
149,"Prairie Artisan Ales","Prairie Apple Brandy Noir","American Double / Imperial Stout","12.00%",4.4,1300,44,"1803 S 49th West Ave","","Tulsa","OK","74107"
150,"Hill Farmstead Brewery","Flora Plum","Saison / Farmhouse Ale","Farmhouse",4.4,223,104,"403 Hill Rd","","Greensboro Bend","VT","05842"
