"Rank","Brewery","Beer","Style","ABV","Rating","Ratings","Reviews","Street","Street2","City","State","Zip"
1,"Tree House Brewing Company","Good Morning","American Double / Imperial Stout","8.40%",4.72,989,69,"160 E Hill Rd","","Monson","MA","01057"
2,"Toppling Goliath Brewing Company","Kentucky Brunch Brand Stout","American Double / Imperial Stout","12.00%",4.7,518,176,"310 College Dr","","Decorah","IO","52101"
3,"Toppling Goliath Brewing Company","Mornin' Delight","American Double / Imperial Stout","12.00%",4.66,948,45,"310 College Dr","","Decorah","IO","52101"
4,"Russian River Brewing Company","Pliny The Younger","American Double / Imperial IPA","10.25%",4.66,2968,181,"725 4th St","","Santa Rosa","CA","95404"
5,"Tree House Brewing Company","King Julius","American Double / Imperial IPA","8.30%",4.66,597,23,"160 E Hill Rd","","Monson","MA","01057"
6,"The Alchemist","Heady Topper","American Double / Imperial IPA","8.00%",4.66,12684,60,"35 Crossroad","","Waterbury","VT","05676"
7,"Voodoo Brewing Company","ManBearPig","American Double / Imperial Stout","14.10%",4.65,149,137,"215 Arch St","","Meadville","PA","16335"
8,"Cigar City Brewing","Hunahpu's Imperial Stout - Double Barrel Aged","American Double / Imperial Stout","11.00%",4.65,1280,25,"3924 W Spruce St","","Tampa","FL","33607"
9,"Tree House Brewing Company","Very Hazy","American Double / Imperial IPA","8.60%",4.64,424,163,"160 E Hill Rd","","Monson","MA","01057"
10,"Maine Beer Company","Dinner","American Double / Imperial IPA","8.20%",4.63,1794,76,"525 US Route 1","","Freeport","ME","04032"
11,"Three Floyds Brewing Company","Marshmallow Handjee (Bourbon Barrel Aged Vanilla Bean Dark Lord)","Russian Imperial Stout","15.00%",4.63,1417,93,"9750 Indiana Pkwy","","Munster","IN","46321"
12,"Founders Brewing Company","Founders CBS Imperial Stout","American Double / Imperial Stout","10.60%",4.62,4223,184,"235 Grandville Ave SW","","Grand Rapids","MI","49503"
13,"Tree House Brewing Company","Julius","American IPA","6.80%",4.62,3009,129,"160 E Hill Rd","","Monson","MA","01057"
14,"Tree House Brewing Company","King JJJuliusss","American Double / Imperial IPA","8.40%",4.62,319,155,"160 E Hill Rd","","Monson","MA","01057"
15,"Tree House Brewing Company","Juice Machine","American Double / Imperial IPA","8.20%",4.61,339,161,"160 E Hill Rd","","Monson","MA","01057"
16,"Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)","Trappist Westvleteren 12 (XII)","Quadrupel (Quad)","10.20%",4.61,6094,12,"Donkerstraat 12","","Westvleteren","Belgium","8640"
17,"Russian River Brewing Company","Pliny The Elder","American Double / Imperial IPA","8.00%",4.6,13955,97,"725 4th St","","Santa Rosa","CA","95404"
18,"Bottle Logic Brewing","Fundamental Observation","American Double / Imperial Stout","14.30%",4.59,572,24,"1072 N Armando St","","Anaheim","CA","92806"
19,"Perennial Artisan Ales","Barrel-Aged Abraxas","American Double / Imperial Stout","11.00%",4.59,1209,22,"8125 Michigan Ave","","Saint Louis","MI","63111"
20,"Toppling Goliath Brewing Company","King Sue","American Double / Imperial IPA","8.00%",4.58,1519,49,"310 College Dr","","Decorah","IO","52101"
21,"Goose Island Beer Company","Bourbon County Brand Coffee Stout","American Double / Imperial Stout","13.40%",4.57,6820,3,"1800 W Fulton St","","Chicago","IL","60612"
22,"The Alchemist","Focal Banger","American IPA","7.00%",4.57,2286,84,"35 Crossroad","","Waterbury","VT","05676"
23,"Hill Farmstead Brewery","Abner","American Double / Imperial IPA","8.20%",4.56,2451,110,"403 Hill Rd","","Greensboro Bend","VT","05842"
24,"Founders Brewing Company","Founders KBS (Kentucky Breakfast Stout)","American Double / Imperial Stout","12.40%",4.56,11907,95,"235 Grandville Ave SW","","Grand Rapids","MI","49503"
25,"Tree House Brewing Company","JJJuliusss","American IPA","6.80%",4.56,308,138,"160 E Hill Rd","","Monson","MA","01057"
26,"Lawson's Finest Liquids","Sip Of Sunshine","American Double / Imperial IPA","8.00%",4.55,4157,133,"Not Open to Public","","Warren","VT","05674"
27,"Funky Buddha Brewery","Morning Wood","American Porter","12.00%",4.55,478,162,"1201 NE 38th St","","Oakland Park","FL","33334"
28,"Tree House Brewing Company","Green","American IPA","7.60%",4.55,1866,85,"160 E Hill Rd","","Monson","MA","01057"
29,"Tree House Brewing Company","Very Green","American Double / Imperial IPA","8.60%",4.55,365,134,"160 E Hill Rd","","Monson","MA","01057"
30,"Hill Farmstead Brewery","Ann","Saison / Farmhouse Ale","6.50%",4.55,327,166,"403 Hill Rd","","Greensboro Bend","VT","05842"
31,"Lawson's Finest Liquids","Double Sunshine IPA","American Double / Imperial IPA","8.00%",4.55,2086,106,"Not Open to Public","","Warren","VT","05674"
32,"Trillium Brewing Company","Double Dry Hopped Congress Street","American IPA","7.20%",4.54,854,15,"369 Congress St","","Boston","MA","02210"
33,"Kern River Brewing Company","Citra Double IPA","American Double / Imperial IPA","8.00%",4.54,1645,116,"13415 Sierra Way","","Kernville","CA","93238"
34,"Tree House Brewing Company","Doppelganger","American Double / Imperial IPA","8.20%",4.53,647,178,"160 E Hill Rd","","Monson","MA","01057"
35,"Firestone Walker Brewing Company","Parabola","Russian Imperial Stout","14.00%",4.53,6156,4,"1400 Ramada Drive","","Paso Robles","CA","93446"
36,"Lawson's Finest Liquids","Triple Sunshine IPA","American Double / Imperial IPA","10.50%",4.53,567,141,"Not Open to Public","","Warren","VT","05674"
37,"Tree House Brewing Company","Alter Ego","American IPA","6.80%",4.53,1460,75,"160 E Hill Rd","","Monson","MA","01057"
38,"AleSmith Brewing Company","AleSmith Speedway Stout - Vietnamese Coffee (Bourbon Barrel Aged)","American Double / Imperial Stout","12.00%",4.53,539,144,"9990 AleSmith Ct","","San Diego","CA","92126"
39,"Three Floyds Brewing Company","Zombie Dust","American Pale Ale (APA)","6.20%",4.52,9665,8,"9750 Indiana Pkwy","","Munster","IN","46321"
40,"Hill Farmstead Brewery","Double Galaxy","American Double / Imperial IPA","8.00%",4.52,1261,70,"403 Hill Rd","","Greensboro Bend","VT","05842"
41,"Brasserie Cantillon","Cantillon Fou' Foune","Lambic - Fruit","5.00%",4.52,2741,136,"Rue Gheude 56","","Brussels","Belgium","1070"
42,"Hill Farmstead Brewery","Society & Solitude #4","American Double / Imperial IPA","8.00%",4.51,1038,36,"403 Hill Rd","","Greensboro Bend","VT","05842"
43,"Brothers Craft Brewing","Resolute - Coconut","American Double / Imperial Stout","13.50%",4.51,175,130,"800 N Main St","","Harrisonburg","VA","22802"
44,"Tree House Brewing Company","Haze","American Double / Imperial IPA","8.20%",4.5,1578,72,"160 E Hill Rd","","Monson","MA","01057"
45,"The Lost Abbey","Duck Duck Gooze","Gueuze","7.00%",4.5,1654,88,"155 Mata Way #104","","San Marcos","CA","92069"
46,"Cigar City Brewing","Hunahpu's Imperial Stout","American Double / Imperial Stout","11.00%",4.5,3933,164,"3924 W Spruce St","","Tampa","FL","33607"
47,"Bissell Brothers Brewing Company","Swish","American Double / Imperial IPA","8.00%",4.5,885,31,"4 THOMPSONS PT","STE 108-109","Portland","ME","04102"
48,"Goose Island Beer Company","Bourbon County Brand Stout","American Double / Imperial Stout","13.80%",4.5,11778,66,"1800 W Fulton St","","Chicago","IL","60612"
49,"Trillium Brewing Company","Galaxy Dry Hopped Fort Point Pale Ale","American Pale Ale (APA)","6.60%",4.5,1283,38,"369 Congress St","","Boston","MA","02210"
50,"Toppling Goliath Brewing Company","PseudoSue","American Pale Ale (APA)","5.80%",4.5,3890,142,"310 College Dr","","Decorah","IO","52101"
51,"Aslin Beer Company","Master Of Karate","American Double / Imperial IPA","8.40%",4.5,139,132,"1330 N Forest St","","Bellingham","WA","98225"
52,"Side Project Brewing","Fuzzy","American Wild Ale","8.00%",4.5,619,153,"7373 Marietta Ave","","Maplewood","MI","63143"
53,"Russian River Brewing Company","Supplication","American Wild Ale","7.00%",4.49,6143,7,"725 4th St","","Santa Rosa","CA","95404"
54,"Hill Farmstead Brewery","Double Citra","American Double / Imperial IPA","8.00%",4.49,1683,71,"403 Hill Rd","","Greensboro Bend","VT","05842"
55,"Trillium Brewing Company","Double Dry Hopped Fort Point Pale Ale","American Pale Ale (APA)","6.60%",4.49,970,185,"369 Congress St","","Boston","MA","02210"
56,"Kane Brewing Company","Sunday Brunch","American Porter","9.20%",4.49,389,127,"1750 Bloomsbury Ave","","Ocean","NJ","07712"
57,"Tree House Brewing Company","In Perpetuity","American IPA","6.70%",4.49,300,151,"160 E Hill Rd","","Monson","MA","01057"
58,"Brasserie Cantillon","Cantillon Blåbær Lambik","Lambic - Fruit","5.00%",4.49,743,82,"Rue Gheude 56","","Brussels","Belgium","1070"
59,"Tree House Brewing Company","Double Shot","American Stout","7.60%",4.49,746,162,"160 E Hill Rd","","Monson","MA","01057"
60,"Bell's Brewery, Inc.","Bell's Black Note Stout","American Double / Imperial Stout","11.40%",4.49,3948,146,"355 E. KALAMAZOOÊAVE.","","Kalamazoo","MI","49007"
61,"Kuhnhenn Brewing Company","Kuhnhenn Bourbon Barrel Fourth Dementia","Old Ale","13.50%",4.48,1867,120,"5919 Chicago Rd","","Warren","MI","48092"
62,"Three Floyds Brewing Company","Bourbon Barrel Aged Dark Lord Imperial Stout","Russian Imperial Stout","15.00%",4.48,782,57,"9750 Indiana Pkwy","","Munster","IN","46321"
63,"Trillium Brewing Company","Headroom Double IPA","American Double / Imperial IPA","8.00%",4.48,298,138,"369 Congress St","","Boston","MA","02210"
64,"Funky Buddha Brewery","Snowed In - Bourbon Barrel Aged","American Double / Imperial Stout","11.00%",4.48,251,112,"1201 NE 38th St","","Oakland Park","FL","33334"
65,"Fremont Brewing Company","Bourbon Barrel Aged Abominable: Coffee And Cinnamon","American Strong Ale","14.00%",4.48,690,177,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
66,"Goose Island Beer Company","Bourbon County Brand Barleywine Ale","English Barleywine","12.10%",4.48,4896,140,"1800 W Fulton St","","Chicago","IL","60612"
67,"Deschutes Brewery","The Abyss","American Double / Imperial Stout","12.20%",4.48,6766,14,"901 SW Simpson Ave","","Bend","OR","97702"
68,"Trillium Brewing Company","Cutting Tiles","American Double / Imperial IPA","8.50%",4.48,940,37,"369 Congress St","","Boston","MA","02210"
69,"Jester King Brewery","Atrial Rubicite","American Wild Ale","5.80%",4.47,1624,41,"13005 Fitzhugh Road","Bld. B","Austin","TX","78736"
70,"Prairie Artisan Ales","BOMB!","American Double / Imperial Stout","13.00%",4.47,5497,169,"1803 S 49th West Ave","","Tulsa","OK","74107"
71,"Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)","Trappist Westvleteren 8 (VIII)","Dubbel","8.00%",4.47,2065,167,"Donkerstraat 12","","Westvleteren","Belgium","8640"
72,"Trillium Brewing Company","Scaled Way Up","American Double / Imperial IPA","8.00%",4.47,314,132,"369 Congress St","","Boston","MA","02210"
73,"Founders Brewing Company","Founders Breakfast Stout","American Double / Imperial Stout","8.30%",4.47,15978,98,"235 Grandville Ave SW","","Grand Rapids","MI","49503"
74,"Hill Farmstead Brewery","Ephraim","American Double / Imperial IPA","10.00%",4.47,1003,79,"403 Hill Rd","","Greensboro Bend","VT","05842"
75,"Brasserie de Rochefort","Trappistes Rochefort 10","Quadrupel (Quad)","11.30%",4.47,8973,65,"Rue de l'Abbaye 8","","Rochefort","Belgium","5580"
76,"Toppling Goliath Brewing Company","Assassin Imperial Stout","American Double / Imperial Stout","12.00%",4.47,1039,176,"310 College Dr","","Decorah","IO","52101"
77,"Boneyard Beer Company","Notorious Triple IPA","American Double / Imperial IPA","12.00%",4.47,668,175,"37 NW Lake Pl, Suite B","","Bend","OR","97701"
78,"Dark Horse Brewing Company","Dark Horse Bourbon Barrel Aged Plead The 5th","Russian Imperial Stout","12.00%",4.46,3014,123,"511 South Kalamazoo Street","","Marshall","MI","49068"
79,"Surly Brewing Company","Abrasive Ale","American Double / Imperial IPA","9.00%",4.46,4380,180,"4811 Dusharme Dr","","Brooklyn Center","MN","55429"
80,"Ozark Beer Company","BDCS","American Double / Imperial Stout","10.20%",4.46,278,132,"1700 S 1st St","","Rogers","AR","72756"
81,"New England Brewing Company","Fuzzy Baby Ducks IPA","American IPA","6.20%",4.46,702,170,"175 Amity Rd","","Woodbridge","CT","06525"
82,"The Alchemist","Crusher","American Double / Imperial IPA","9.60%",4.46,1084,19,"35 Crossroad","","Waterbury","VT","05676"
83,"Brasserie Cantillon","Cantillon Lou Pepe - Kriek","Lambic - Fruit","5.00%",4.46,1668,109,"Rue Gheude 56","","Brussels","Belgium","1070"
84,"The Bruery","Black Tuesday","American Double / Imperial Stout","19.20%",4.46,3717,154,"715 Dunn Way","","Placentia","CA","92870"
85,"Surly Brewing Company","Todd The Axe Man","American IPA","7.20%",4.46,1997,105,"4811 Dusharme Dr","","Brooklyn Center","MN","55429"
86,"The Lost Abbey","Cable Car","American Wild Ale","7.00%",4.46,927,77,"155 Mata Way #104","","San Marcos","CA","92069"
87,"Russian River Brewing Company","Beatification","American Wild Ale","5.50%",4.46,2550,142,"725 4th St","","Santa Rosa","CA","95404"
