"Rank","Beer","Brewery","Style","ABV","Rating","Reviews","Hads"
70,"Hopslam Ale","Bell's Brewery, Inc.","American Double / Imperial IPA","10.00% ABV",4.45,98,11801
71,"Curiosity Twenty Two","Tree House Brewing Company","American IPA","7.00% ABV",4.45,106,176
72,"AleSmith Speedway Stout - Bourbon Barrel Aged","AleSmith Brewing Company","American Double / Imperial Stout","12.00% ABV",4.45,105,1810
73,"Drie Fonteinen Oude Geuze Golden Blend","Brouwerij Drie Fonteinen","Gueuze","7.50% ABV",4.45,49,836
74,"Assassin Imperial Stout","Toppling Goliath Brewing Company","American Double / Imperial Stout","12.00% ABV",4.44,179,972
75,"Sosus","Toppling Goliath Brewing Company","American Double / Imperial IPA","8.00% ABV",4.44,22,1039
76,"§ucaba","Firestone Walker Brewing Co.","English Barleywine","12.50% ABV",4.44,174,4589
77,"Society & Solitude #5","Hill Farmstead Brewery","American Double / Imperial IPA","8.10% ABV",4.44,35,1219
78,"Drie Fonteinen Oude Geuze Vintage","Brouwerij Drie Fonteinen","Gueuze","6.00% ABV",4.44,28,624
79,"Upper Case","Trillium Brewing Company","American Double / Imperial IPA","9.00% ABV",4.44,129,379
80,"Permanent Funeral","3 Floyds Brewing Co.","American Double / Imperial IPA","10.50% ABV",4.43,96,2557
81,"Columbus Bodhi DIPA","Columbus Brewing Company","American Double / Imperial IPA","8.50% ABV",4.43,43,1235
82,"Adam From The Wood","Hair of the Dog Brewing Company / Brewery and Tasting Room","Old Ale","12.00% ABV",4.43,42,856
83,"Notorious Triple IPA","Boneyard Beer Company","American Double / Imperial IPA","12.00% ABV",4.43,159,534
84,"Black Gold (2015)","Central Waters Brewing Co.","American Double / Imperial Stout","11.00% ABV",4.43,131,268
85,"Bourbon Barrel Aged Abominable: Coffee And Cinnamon","Fremont Brewing Company","American Strong Ale","14.00% ABV",4.43,155,503
86,"Fort Point Pale Ale","Trillium Brewing Company","American Pale Ale (APA)","6.60% ABV",4.43,28,1247
87,"No Rules","Perrin Brewery","American Porter","15.00% ABV",4.43,27,508
88,"Double Dry Hopped Congress Street","Trillium Brewing Company","American IPA","7.20% ABV",4.43,113,443
89,"Maple Bacon Coffee Porter","Funky Buddha Brewery","American Porter","6.40% ABV",4.42,56,1352
90,"Swish","Bissell Brothers Brewing Co.","American Double / Imperial IPA","8.00% ABV",4.42,155,517
91,"Congress Street IPA","Trillium Brewing Company","American IPA","7.20% ABV",4.42,28,1183
92,"Headroom Double IPA","Trillium Brewing Company","American Double / Imperial IPA","8.00% ABV",4.42,110,173
93,"Bourbon Barrel Champion Ground","Jackie O's Pub & Brewery","American Double / Imperial Stout","11.00% ABV",4.42,124,186
94,"Last Snow","Funky Buddha Brewery","American Porter","6.50% ABV",4.42,50,1225
95,"St. Bernardus Abt 12","Brouwerij St. Bernardus NV","Quadrupel (Quad)","10.00% ABV",4.42,67,8838
96,"Stickee Monkee","Firestone Walker Brewing Co.","Quadrupel (Quad)","12.00% ABV",4.42,73,1996
97,"Cantillon Saint Lamvinus","Brasserie Cantillon","Lambic - Fruit","5.00% ABV",4.41,133,1872
98,"Imperial Russian Stout - Bourbon Barrel Aged","Stone Brewing Co.","Russian Imperial Stout","11.50% ABV",4.41,40,1044
99,"Drie Fonteinen Framboos","Brouwerij Drie Fonteinen","Lambic - Fruit","5.00% ABV",4.41,186,501
100,"Keene Idea","Alpine Beer Company","American Double / Imperial IPA","8.88% ABV",4.41,145,415
101,"Darkness","Surly Brewing Company","Russian Imperial Stout","10.30% ABV",4.41,177,3408
102,"Double Shot - Sumatra Mandheling","Tree House Brewing Company","American Stout","7.80% ABV",4.41,124,342
103,"Fuzzy","Side Project Brewing","American Wild Ale","8.00% ABV",4.41,112,416
104,"Cantillon Lou Pepe - Framboise","Brasserie Cantillon","Lambic - Fruit","5.00% ABV",4.4,94,1113
105,"Mother Of All Storms","Pelican Pub & Brewery","English Barleywine","14.00% ABV",4.4,128,1777
106,"Imperial Eclipse Stout - Elijah Craig (12 Year)","FiftyFifty Brewing Co.","American Double / Imperial Stout","11.90% ABV",4.4,91,1690
107,"Consecration","Russian River Brewing Company","American Wild Ale","10.00% ABV",4.4,2,4891
108,"Peg's G.O.O.D. RareR D.O.S.","Peg's Cantina & Brew Pub","American Double / Imperial Stout","10.00% ABV",4.4,19,677
109,"Bad Boy","Alpine Beer Company","American Double / Imperial IPA","9.00% ABV",4.4,31,507
110,"Temptation","Russian River Brewing Company","American Wild Ale","7.50% ABV",4.4,191,3411
111,"Epiphany","Foundation Brewing Company","American Double / Imperial IPA","8.00% ABV",4.4,183,530
112,"See The Stars","Creature Comforts","Russian Imperial Stout","10.90% ABV",4.4,122,123
113,"Evil Twin Double Barrel Jesus","Evil Twin Brewing","American Double / Imperial Stout","12.00% ABV",4.4,142,438
114,"Chocolate Rain","The Bruery","American Double / Imperial Stout","18.50% ABV",4.4,102,2391
115,"Weihenstephaner Hefeweissbier","Bayerische Staatsbrauerei Weihenstephan","Hefeweizen","5.40% ABV",4.4,64,7641
116,"Samuel Adams Utopias","Boston Beer Company (Samuel Adams)","American Strong Ale","29.00% ABV",4.4,141,2273
117,"Dreadnaught IPA","3 Floyds Brewing Co.","American Double / Imperial IPA","9.50% ABV",4.4,12,5721
118,"Wide Awake It's Morning","Funky Buddha Brewery","American Double / Imperial Stout","10.50% ABV",4.4,145,226
119,"A Deal With The Devil","Anchorage Brewing Company","American Barleywine","17.30% ABV",4.39,20,806
120,"Stone Enjoy By IPA","Stone Brewing Co.","American Double / Imperial IPA","9.40% ABV",4.39,5,9985
121,"Pallet 1","Peg's Cantina & Brew Pub","American Double / Imperial Stout",NA,4.39,118,189
122,"Oro Negro","Jackie O's Pub & Brewery","American Double / Imperial Stout","10.50% ABV",4.39,153,378
123,"All Green Everything","Other Half Brewing Co.","American Double / Imperial IPA","10.50% ABV",4.39,181,725
124,"Coriolis","New England Brewing Co.","American Double / Imperial IPA","8.20% ABV",4.39,132,405
125,"Double Shot","Tree House Brewing Company","American Stout","7.60% ABV",4.39,112,504
126,"Matt","Hair of the Dog Brewing Company / Brewery and Tasting Room","American Strong Ale","11.50% ABV",4.39,82,787
127,"Sunday Brunch","Kane Brewing Company","American Porter","9.20% ABV",4.39,85,235
128,"Rodenbach Caractère Rouge","Brouwerij Rodenbach N.V.","Flanders Red Ale","7.00% ABV",4.39,48,1174
129,"Born Yesterday Pale Ale","Lagunitas Brewing Company","American Pale Ale (APA)","6.50% ABV",4.39,97,1563
130,"Framboise Du Fermier","Side Project Brewing","Saison / Farmhouse Ale","8.00% ABV",4.39,81,138
131,"Great","Alpine Beer Company","American Barleywine","14.00% ABV",4.39,42,581
132,"Péché Mortel","Brasserie Dieu du Ciel!","American Double / Imperial Stout","9.50% ABV",4.39,14,4660
133,"Yellow Rose","The Lone Pint Brewery","American IPA","6.80% ABV",4.39,41,1278
134,"Bourbon Barrel Aged Dark Star: Coffee Edition","Fremont Brewing Company","American Double / Imperial Stout","14.50% ABV",4.38,112,351
135,"Hop JuJu Imperial IPA","Fat Head's Brewery & Saloon","American Double / Imperial IPA","9.00% ABV",4.38,51,1588
136,"Prairie Pirate Bomb!","Prairie Artisan Ales","American Double / Imperial Stout","14.00% ABV",4.38,25,1464
137,"Abraxas","Perennial Artisan Ales","American Double / Imperial Stout","10.00% ABV",4.38,79,1946
138,"Citra Showers","Noble Ale Works","American Double / Imperial IPA","8.80% ABV",4.38,149,394
139,"Edward","Hill Farmstead Brewery","American Pale Ale (APA)","5.20% ABV",4.38,102,2254
140,"Sculpin IPA","Ballast Point Brewing Company","American IPA","7.00% ABV",4.38,63,12689
141,"AleSmith Speedway Stout - Vietnamese Coffee","AleSmith Brewing Company","American Double / Imperial Stout","12.00% ABV",4.38,20,1294
142,"Second Fiddle","Fiddlehead Brewing Company","American Double / Imperial IPA","8.20% ABV",4.37,37,1403
143,"Peche 'n Brett","Logsdon Farmhouse Ales","Saison / Farmhouse Ale","10.00% ABV",4.37,37,1073
144,"Snowed In - Bourbon Barrel Aged","Funky Buddha Brewery","American Double / Imperial Stout","11.00% ABV",4.37,75,100
145,"Saison Du Fermier","Side Project Brewing","Saison / Farmhouse Ale","7.00% ABV",4.37,122,549
146,"Exponential Hoppiness","Alpine Beer Company","American Double / Imperial IPA","11.00% ABV",4.37,121,1242
147,"Cascade Sang Noir","Cascade Brewing / Raccoon Lodge & Brewpub","American Wild Ale","9.50% ABV",4.37,53,1425
148,"Mosaic Dry Hopped Fort Point","Trillium Brewing Company","American Pale Ale (APA)","6.60% ABV",4.37,113,382
149,"Nelson","Alpine Beer Company","American IPA","7.00% ABV",4.37,168,3673
150,"Drie Fonteinen Hommage","Brouwerij Drie Fonteinen","Lambic - Fruit","6.00% ABV",4.37,44,700
151,"Bourbon Barrel Black Maple","Jackie O's Pub & Brewery","American Porter","11.00% ABV",4.37,163,726
152,"Juicy","Hill Farmstead Brewery","Saison / Farmhouse Ale","7.40% ABV",4.37,136,231
153,"AleSmith Speedway Stout","AleSmith Brewing Company","American Double / Imperial Stout","12.00% ABV",4.37,11,6079
154,"Kuhnhenn Raspberry Eisbock","Kuhnhenn Brewing Company","Eisbock","15.50% ABV",4.37,130,1158
155,"Caffè Americano","Cigar City Brewing","American Double / Imperial Stout","11.00% ABV",4.36,142,569
156,"Afterimage","Grimm Artisanal Ales","American Double / Imperial IPA","8.00% ABV",4.36,118,160
157,"Sure Bet","Pipeworks Brewing Company","American Double / Imperial IPA","9.50% ABV",4.36,144,443
158,"Cantillon Gueuze 100% Lambic","Brasserie Cantillon","Gueuze","5.00% ABV",4.36,150,2887
159,"Uncle Jacob's Stout","Avery Brewing Company","American Double / Imperial Stout","16.90% ABV",4.36,97,2105
160,"Vicinity","Trillium Brewing Company","American Double / Imperial IPA","8.00% ABV",4.36,184,752
161,"The Pupil","Societe Brewing Co.","American IPA","7.80% ABV",4.36,170,787
162,"Cantillon Lou Pepe - Gueuze","Brasserie Cantillon","Gueuze","5.00% ABV",4.36,58,970
163,"Tweak","Avery Brewing Company","American Double / Imperial Stout","17.81% ABV",4.35,55,1578
164,"Wisconsin Belgian Red","New Glarus Brewing Company","Fruit / Vegetable Beer","4.00% ABV",4.35,189,3270
165,"Live Oak HefeWeizen","Live Oak Brewing Company","Hefeweizen","5.20% ABV",4.35,117,1265
166,"Juice Machine","Tree House Brewing Company","American Double / Imperial IPA","8.20% ABV",4.35,93,78
167,"Breakfast Exorcism","Clown Shoes","American Double / Imperial Stout","11.00% ABV",4.35,116,221
168,"R&D Vintage 2014","New Glarus Brewing Company","American Wild Ale","6.00% ABV",4.35,132,283
169,"Hop Venom Double IPA","Boneyard Beer Company","American Double / Imperial IPA","8.90% ABV",4.35,21,813
170,"Project Dank","La Cumbre Brewing Co.","American IPA","7.50% ABV",4.35,170,704
171,"Grey Monday","The Bruery","American Double / Imperial Stout","19.50% ABV",4.35,32,1512
172,"Montmorency Vs Balaton","Jester King Brewery","American Wild Ale","6.70% ABV",4.35,110,541
173,"Society & Solitude #6","Hill Farmstead Brewery","American Double / Imperial IPA","8.10% ABV",4.35,142,532
174,"Péché Mortel En Fût De Bourbon Américain","Brasserie Dieu du Ciel!","American Double / Imperial Stout","9.50% ABV",4.35,169,359
175,"Brew 1000 - Bourbon Barrel Aged","Fremont Brewing Company","English Barleywine","13.10% ABV",4.35,54,63
176,"Nooner Batch 10","Peg's Cantina & Brew Pub","American Double / Imperial Stout",NA,4.35,85,132
177,"Mexican Cake","Westbrook Brewing Co.","American Double / Imperial Stout","10.50% ABV",4.35,90,2305
178,"Victory At Sea Coffee Vanilla Imperial Porter","Ballast Point Brewing Company","American Porter","10.00% ABV",4.34,4,6104
179,"Masala Mama India Pale Ale","Minneapolis Town Hall Brewery","American IPA","6.00% ABV",4.34,160,1322
180,"Spotted Puffer","Pipeworks Brewing Company","American Double / Imperial IPA","9.50% ABV",4.34,101,187
181,"West Ashley","Sante Adairius Rustic Ales","American Wild Ale","7.30% ABV",4.34,152,747
182,"Aaron","Hill Farmstead Brewery","English Barleywine",NA,4.34,88,277
183,"What Is Enlightenment?","Hill Farmstead Brewery","American Pale Ale (APA)","5.40% ABV",4.34,18,821
184,"BDCS","Ozark Beer Co.","American Double / Imperial Stout","10.20% ABV",4.34,45,84
185,"Double Dry Hopped Sleeper Street IPA","Trillium Brewing Company","American IPA","7.10% ABV",4.34,103,273
186,"Stone Imperial Russian Stout","Stone Brewing Co.","Russian Imperial Stout","10.60% ABV",4.34,68,7961
187,"Omega Point","Olde Hickory Brewery","English Barleywine","10.00% ABV",4.34,140,354
188,"Bourbon Abominable Winter Ale","Fremont Brewing Company","American Strong Ale","14.00% ABV",4.34,36,880
189,"&+","Peg's Cantina & Brew Pub","American Double / Imperial Stout","10.50% ABV",4.34,95,132
190,"Madagascar","4 Hands Brewing Co.","Milk / Sweet Stout","9.30% ABV",4.34,112,382
191,"The Event Horizon","Olde Hickory Brewery","American Double / Imperial Stout","8.50% ABV",4.34,89,1550
192,"Serendipity","New Glarus Brewing Company","Fruit / Vegetable Beer","4.00% ABV",4.34,86,2543
193,"Last Buffalo In The Park","Funky Buddha Brewery","American Double / Imperial Stout","11.50% ABV",4.33,39,140
194,"Damon (Bourbon Barrel Aged)","Hill Farmstead Brewery","Russian Imperial Stout","10.50% ABV",4.33,176,605
195,"Citra Pale Ale","Hill Farmstead Brewery","American Pale Ale (APA)","5.40% ABV",4.33,23,876
196,"Raspberry Tart","New Glarus Brewing Company","Fruit / Vegetable Beer","4.00% ABV",4.33,187,3556
197,"Melcher Street IPA","Trillium Brewing Company","American IPA","7.30% ABV",4.33,153,569
198,"Arctic Devil Barley Wine","Midnight Sun Brewing Co.","English Barleywine","13.20% ABV",4.33,111,1225
199,"Tesseract","Grimm Artisanal Ales","American Double / Imperial IPA","8.00% ABV",4.33,126,216
200,"Birth Of Tragedy","Hill Farmstead Brewery","American Porter","9.00% ABV",4.33,47,1067
201,"Old Stock Cellar Reserve (Aged In Bourbon Barrels)","North Coast Brewing Co.","Old Ale","13.16% ABV",4.33,107,943
202,"Drie Fonteinen Oude Geuze","Brouwerij Drie Fonteinen","Gueuze","6.00% ABV",4.33,162,2490
203,"Lunch","Maine Beer Company","American IPA","7.00% ABV",4.33,156,4481
204,"Beyond Good And Evil","Hill Farmstead Brewery","American Double / Imperial Stout",NA,4.33,129,507
205,"Civil Disobedience #15","Hill Farmstead Brewery","Saison / Farmhouse Ale","11.00% ABV",4.33,95,125
206,"Ten FIDY","Oskar Blues Grill & Brew","Russian Imperial Stout","10.50% ABV",4.33,66,9227
207,"Tröegs Nugget Nectar","Tröegs Brewing Company","American Amber / Red Ale","7.50% ABV",4.33,65,7906
208,"Ayinger Celebrator Doppelbock","Privatbrauerei Franz Inselkammer KG / Brauerei Aying","Doppelbock","6.70% ABV",4.33,62,6071
209,"Saison Bernice","Sante Adairius Rustic Ales","Saison / Farmhouse Ale","6.50% ABV",4.33,139,659
210,"Evil Twin Imperial Biscotti Break","Evil Twin Brewing","American Double / Imperial Stout","11.50% ABV",4.33,134,3636
211,"Founders Imperial Stout","Founders Brewing Company","Russian Imperial Stout","10.50% ABV",4.33,13,7159
212,"Melange No. 3","The Bruery","American Strong Ale","15.50% ABV",4.33,84,1743
213,"Hipster Brunch Stout","Odd Side Ales","American Double / Imperial Stout","10.00% ABV",4.32,148,401
214,"Nut Smasher","Willoughby Brewing","American Double / Imperial Stout","11.00% ABV",4.32,106,176
215,"Pannepot","De Struise Brouwers","Quadrupel (Quad)","10.00% ABV",4.32,173,2281
216,"Parabajava","Firestone Walker Brewing Co.","Russian Imperial Stout","14.00% ABV",4.32,78,211
217,"30th Anniversary Ale","Bell's Brewery, Inc.","American Double / Imperial Stout","11.00% ABV",4.32,77,1019
218,"Nelson Single Hop","Hill Farmstead Brewery","American Pale Ale (APA)","5.20% ABV",4.32,146,400
219,"Monsters Park - Bourbon Barrel Aged With Coconut And Cacao Nibs","Modern Times Beer","American Double / Imperial Stout","13.00% ABV",4.32,45,132
220,"Mastermind","Fiddlehead Brewing Company","American Double / Imperial IPA","8.10% ABV",4.32,17,1041
221,"AleSmith Speedway Stout - Kopi Luwak","AleSmith Brewing Company","American Double / Imperial Stout","12.00% ABV",4.32,167,519
222,"Fat Head's Head Hunter IPA","Fat Head's Brewery & Saloon","American IPA","7.50% ABV",4.32,143,3817
223,"Heavy Mettle","Trillium Brewing Company","American Double / Imperial IPA","9.30% ABV",4.32,101,390
224,"Wulver","Thirsty Dog Brewing Company","Scotch Ale / Wee Heavy","12.00% ABV",4.32,56,1460
225,"Black Damnation V - Double Black","De Struise Brouwers","American Double / Imperial Stout","26.00% ABV",4.32,25,326
226,"Bourbon Barrel Aged Hi-Fi Rye","Flossmoor Station Restaurant & Brewery","American Barleywine","10.90% ABV",4.32,25,324
227,"Lagunitas Sucks (Brown Shugga Substitute Ale)","Lagunitas Brewing Company","American Double / Imperial IPA","7.85% ABV",4.32,10,9746
228,"Pipeworks / 4 Hands Square Grouper","Pipeworks Brewing Company","American Double / Imperial IPA",NA,4.32,148,633
229,"Blind Pig IPA","Russian River Brewing Company","American IPA","6.10% ABV",4.32,6,5448
230,"Bitter Monk","Anchorage Brewing Company","Belgian IPA","9.00% ABV",4.32,83,944
231,"Great Lakes Barrel-Aged Blackout Stout","Great Lakes Brewing Co.","Russian Imperial Stout","9.50% ABV",4.32,125,1734
232,"Elevated IPA","La Cumbre Brewing Co.","American IPA","7.20% ABV",4.32,52,1208
233,"Allagash Coolship Red","Allagash Brewing Company","Lambic - Fruit","5.70% ABV",4.31,170,465
234,"Box Set Track #10 - Bat Out Of Hell","The Lost Abbey","American Double / Imperial Stout","13.50% ABV",4.31,170,654
235,"Pure Hoppiness","Alpine Beer Company","American Double / Imperial IPA","8.00% ABV",4.31,175,3050
236,"Older Viscosity","Port Brewing","American Double / Imperial Stout","12.00% ABV",4.31,166,2542
237,"Duet","Alpine Beer Company","American IPA","7.00% ABV",4.31,165,3607
238,"Crank IPA","Peg's Cantina & Brew Pub","American IPA","7.00% ABV",4.31,127,392
239,"Stillwater / Westbrook Gose Gone Wild","Stillwater Artisanal Ales","Gose","4.60% ABV",4.31,139,616
240,"Three Hour Tour","Minneapolis Town Hall Brewery","Milk / Sweet Stout","6.10% ABV",4.31,180,280
241,"Allagash Cuvée D'Industrial","Allagash Brewing Company","American Wild Ale","7.50% ABV",4.31,157,327
242,"Kuhnhenn Bourbon Barrel Barley Wine","Kuhnhenn Brewing Company","English Barleywine","14.50% ABV",4.31,59,672
243,"Mocha Wednesday","The Bruery","American Double / Imperial Stout","19.20% ABV",4.31,178,999
244,"Ghost In The Machine","Parish Brewing Company","American Double / Imperial IPA","8.00% ABV",4.31,126,292
245,"La Fin Du Monde","Unibroue","Tripel","9.00% ABV",4.31,72,9557
246,"Mosaic IPA","Other Half Brewing Co.","American IPA","7.20% ABV",4.31,103,245
247,"Grassroots Brother Soigné","Grassroots Brewing","Saison / Farmhouse Ale","5.00% ABV",4.31,26,1081
248,"Genealogy Of Morals (Bourbon Barrel Aged)","Hill Farmstead Brewery","American Double / Imperial Stout","10.70% ABV",4.31,118,402
249,"Schneider Weisse Tap 6 Unser Aventinus","Weisses Bräuhaus G. Schneider & Sohn GmbH","Weizenbock","8.20% ABV",4.31,60,4231
250,"Furious","Surly Brewing Company","American IPA","6.60% ABV",4.31,9,5181
