"Rank","Beer","Brewery","Style","ABV","Rating","Reviews","Hads"
1,"Good Morning","Tree House Brewing Company","American Double / Imperial Stout","8.40% ABV",4.72,58,871
2,"Kentucky Brunch Brand Stout","Toppling Goliath Brewing Company","American Double / Imperial Stout","12.00% ABV",4.69,170,484
3,"Mornin' Delight","Toppling Goliath Brewing Company","American Double / Imperial Stout","12.00% ABV",4.68,33,748
4,"Pliny The Younger","Russian River Brewing Company","American Double / Imperial IPA","11.00% ABV",4.66,182,2775
5,"Heady Topper","The Alchemist","American Double / Imperial IPA","8.00% ABV",4.66,61,11744
6,"Dinner","Maine Beer Company","American Double / Imperial IPA","8.20% ABV",4.63,49,1434
7,"Founders CBS Imperial Stout","Founders Brewing Company","American Double / Imperial Stout","10.60% ABV",4.62,188,4006
8,"Bourbon Barrel Aged Vanilla Bean Dark Lord","3 Floyds Brewing Co.","Russian Imperial Stout","15.00% ABV",4.61,92,1316
9,"Trappist Westvleteren 12 (XII)","Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)","Quadrupel (Quad)","10.20% ABV",4.6,15,5777
10,"Julius","Tree House Brewing Company","American IPA","6.80% ABV",4.6,105,2199
11,"Pliny The Elder","Russian River Brewing Company","American Double / Imperial IPA","8.00% ABV",4.6,99,13251
12,"Bourbon County Brand Coffee Stout","Goose Island Beer Co.","American Double / Imperial Stout","13.40% ABV",4.59,1,6501
13,"King Julius","Tree House Brewing Company","American Double / Imperial IPA","8.30% ABV",4.57,142,233
14,"Fundamental Observation","Bottle Logic Brewing","American Double / Imperial Stout","14.30% ABV",4.57,163,307
15,"Barrel-Aged Abraxas","Perennial Artisan Ales","American Double / Imperial Stout","11.00% ABV",4.56,190,1108
16,"Sip Of Sunshine","Lawson's Finest Liquids","American IPA","8.00% ABV",4.56,115,3346
17,"Founders KBS (Kentucky Breakfast Stout)","Founders Brewing Company","American Double / Imperial Stout","11.20% ABV",4.56,71,10948
18,"Rare Bourbon County Brand Stout (2015)","Goose Island Beer Co.","American Double / Imperial Stout","14.50% ABV",4.56,152,353
19,"Abner","Hill Farmstead Brewery","American Double / Imperial IPA","8.20% ABV",4.56,109,2340
20,"Focal Banger","The Alchemist","American IPA","7.00% ABV",4.55,46,1706
21,"Citra Double IPA","Kern River Brewing Company","American Double / Imperial IPA","8.00% ABV",4.55,114,1562
22,"King Sue","Toppling Goliath Brewing Company","American Double / Imperial IPA","8.00% ABV",4.54,24,1163
23,"Double Sunshine IPA","Lawson's Finest Liquids","American Double / Imperial IPA","8.00% ABV",4.54,104,1983
24,"Morning Wood","Funky Buddha Brewery","American Porter","12.00% ABV",4.54,142,301
25,"Artaic","Trillium Brewing Company","American Double / Imperial IPA","8.50% ABV",4.54,172,564
26,"Green","Tree House Brewing Company","American IPA","7.60% ABV",4.54,44,1170
27,"Zombie Dust","3 Floyds Brewing Co.","American Pale Ale (APA)","6.20% ABV",4.53,7,9068
28,"Parabola","Firestone Walker Brewing Co.","Russian Imperial Stout","14.00% ABV",4.53,3,5780
29,"Ann","Hill Farmstead Brewery","Saison / Farmhouse Ale","6.50% ABV",4.51,153,261
30,"SR-71 Blackbird (2015)","Toppling Goliath Brewing Company","American Double / Imperial Stout","14.00% ABV",4.51,118,355
31,"PseudoSue","Toppling Goliath Brewing Company","American Pale Ale (APA)","5.80% ABV",4.51,123,3222
32,"Triple Sunshine IPA","Lawson's Finest Liquids","American Double / Imperial IPA","10.50% ABV",4.51,135,501
33,"Double Galaxy","Hill Farmstead Brewery","American Double / Imperial IPA","8.00% ABV",4.51,55,1020
34,"Cantillon Fou' Foune","Brasserie Cantillon","Lambic - Fruit","5.00% ABV",4.5,137,2533
35,"In Perpetuity","Tree House Brewing Company","American IPA","6.70% ABV",4.5,151,269
36,"Duck Duck Gooze","The Lost Abbey","American Wild Ale","7.00% ABV",4.5,87,1547
37,"Hunahpu's Imperial Stout","Cigar City Brewing","American Double / Imperial Stout","11.00% ABV",4.5,164,3597
38,"Bourbon County Brand Stout","Goose Island Beer Co.","American Double / Imperial Stout","13.80% ABV",4.5,70,11200
39,"Alter Ego","Tree House Brewing Company","American IPA","6.80% ABV",4.49,30,779
40,"Supplication","Russian River Brewing Company","American Wild Ale","7.00% ABV",4.49,8,5830
41,"Bell's Black Note Stout","Bell's Brewery, Inc.","American Double / Imperial Stout","11.40% ABV",4.49,147,3768
42,"Cantillon Blåbær Lambik","Brasserie Cantillon","Lambic - Fruit","5.00% ABV",4.49,80,677
43,"The Abyss","Deschutes Brewery","American Double / Imperial Stout","11.00% ABV",4.49,16,6333
44,"Society & Solitude #4","Hill Farmstead Brewery","American Double / Imperial IPA","8.00% ABV",4.49,29,868
45,"Galaxy Dry Hopped Fort Point Pale Ale","Trillium Brewing Company","American Pale Ale (APA)","6.60% ABV",4.48,172,834
46,"Bourbon County Brand Barleywine Ale","Goose Island Beer Co.","English Barleywine","12.10% ABV",4.48,138,4640
47,"Ephraim","Hill Farmstead Brewery","American Double / Imperial IPA","10.50% ABV",4.48,74,877
48,"Kuhnhenn Bourbon Barrel Fourth Dementia","Kuhnhenn Brewing Company","Old Ale","13.50% ABV",4.48,119,1781
49,"Double Citra","Hill Farmstead Brewery","American Double / Imperial IPA","8.00% ABV",4.48,57,1516
50,"Bourbon Barrel Aged Dark Lord Imperial Stout","3 Floyds Brewing Co.","Russian Imperial Stout","15.00% ABV",4.48,56,700
51,"Todd The Axe Man","Surly Brewing Company","American IPA","7.20% ABV",4.47,77,1287
52,"Trappist Westvleteren 8 (VIII)","Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)","Dubbel","8.00% ABV",4.47,171,1964
53,"BOMB!","Prairie Artisan Ales","American Double / Imperial Stout","13.00% ABV",4.47,158,4796
54,"Founders Breakfast Stout","Founders Brewing Company","American Double / Imperial Stout","8.30% ABV",4.47,100,15293
55,"Trappistes Rochefort 10","Brasserie de Rochefort","Quadrupel (Quad)","11.30% ABV",4.47,69,8568
56,"Haze","Tree House Brewing Company","American Double / Imperial IPA","8.20% ABV",4.47,28,938
57,"Atrial Rubicite","Jester King Brewery","American Wild Ale","5.80% ABV",4.47,34,1512
58,"Abrasive Ale","Surly Brewing Company","American Double / Imperial IPA","9.00% ABV",4.46,185,4154
59,"Fuzzy Baby Ducks IPA","New England Brewing Co.","American IPA","6.20% ABV",4.46,161,604
60,"Dark Horse Bourbon Barrel Aged Plead The 5th","Dark Horse Brewing Company","Russian Imperial Stout","12.00% ABV",4.46,120,2806
61,"Resolute - Coconut","Brothers Craft Brewing","American Double / Imperial Stout","13.50% ABV",4.46,85,50
62,"Black Tuesday","The Bruery","American Double / Imperial Stout","19.20% ABV",4.46,154,3478
63,"Double Dry Hopped Fort Point Pale Ale","Trillium Brewing Company","American Pale Ale (APA)","6.60% ABV",4.46,142,617
64,"Beatification","Russian River Brewing Company","American Wild Ale","5.50% ABV",4.46,143,2437
65,"Cable Car","The Lost Abbey","American Wild Ale","7.00% ABV",4.46,76,852
66,"Susan","Hill Farmstead Brewery","American IPA","6.20% ABV",4.45,38,1398
67,"Imperial Biscotti Break Bourbon Barrel Aged","Evil Twin Brewing","American Double / Imperial Stout","11.50% ABV",4.45,20,1299
68,"Everett Porter","Hill Farmstead Brewery","American Porter","7.50% ABV",4.45,108,2280
69,"Cantillon Lou Pepe - Kriek","Brasserie Cantillon","Lambic - Fruit","5.00% ABV",4.45,107,1570
