"Rank","Brewery","Beer","Style","ABV","Rating","Ratings","Reviews","Street","Street2","City","State","Zip"
1,"Toppling Goliath Brewing Company","Kentucky Brunch Brand Stout","American Double / Imperial Stout","12.00%",4.73,563,16,"310 College Dr","","Decorah","IO","52101"
2,"Tree House Brewing Company","Good Morning","American Double / Imperial Stout","8.40%",4.72,1011,68,"160 E Hill Rd","","Monson","MA","1057"
3,"Voodoo Brewing Company","ManBearPig","American Double / Imperial Stout","14.10%",4.67,198,150,"215 Arch St","","Meadville","PA","16335"
4,"Tree House Brewing Company","King Julius","American Double / Imperial IPA","8.30%",4.67,734,26,"160 E Hill Rd","","Monson","MA","1057"
5,"Tree House Brewing Company","Very Hazy","American Double / Imperial IPA","8.60%",4.67,529,178,"160 E Hill Rd","","Monson","MA","1057"
6,"Russian River Brewing Company","Pliny The Younger","American Double / Imperial IPA","10.25%",4.66,3005,186,"725 4th St","","Santa Rosa","CA","95404"
7,"Toppling Goliath Brewing Company","Mornin' Delight","American Double / Imperial Stout","12.00%",4.65,1071,55,"310 College Dr","","Decorah","IO","52101"
8,"Cigar City Brewing","Hunahpu's Imperial Stout - Double Barrel Aged","American Double / Imperial Stout","11.00%",4.65,1382,31,"3924 W Spruce St","","Tampa","FL","33607"
9,"The Alchemist","Heady Topper","American Double / Imperial IPA","8.00%",4.65,13070,61,"35 Crossroad","","Waterbury","VT","5676"
10,"Three Floyds Brewing Company","Marshmallow Handjee (Bourbon Barrel Aged Vanilla Bean Dark Lord)","Russian Imperial Stout","15.00%",4.64,1461,103,"9750 Indiana Pkwy","","Munster","IN","46321"
11,"Tree House Brewing Company","King JJJuliusss","American Double / Imperial IPA","8.40%",4.64,372,165,"160 E Hill Rd","","Monson","MA","1057"
12,"Maine Beer Company","Dinner","American Double / Imperial IPA","8.20%",4.63,1903,77,"525 US Route 1","","Freeport","ME","4032"
13,"Tree House Brewing Company","Julius","American IPA","6.80%",4.62,3328,141,"160 E Hill Rd","","Monson","MA","1057"
14,"Founders Brewing Company","Founders CBS Imperial Stout","American Double / Imperial Stout","10.60%",4.62,4287,192,"235 Grandville Ave SW","","Grand Rapids","MI","49503"
15,"Tree House Brewing Company","Juice Machine","American Double / Imperial IPA","8.20%",4.61,520,14,"160 E Hill Rd","","Monson","MA","1057"
16,"Bottle Logic Brewing","Fundamental Observation","American Double / Imperial Stout","14.30%",4.61,733,34,"1072 N Armando St","","Anaheim","CA","92806"
17,"Perennial Artisan Ales","Barrel-Aged Abraxas","American Double / Imperial Stout","11.00%",4.61,1270,24,"8125 Michigan Ave","","Saint Louis","MI","63111"
18,"Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)","Trappist Westvleteren 12 (XII)","Quadrupel (Quad)","10.20%",4.61,6218,12,"Donkerstraat 12","","Westvleteren","Belgium","8640"
19,"Russian River Brewing Company","Pliny The Elder","American Double / Imperial IPA","8.00%",4.6,14216,100,"725 4th St","","Santa Rosa","CA","95404"
20,"Tree House Brewing Company","Very Green","American Double / Imperial IPA","8.60%",4.6,584,183,"160 E Hill Rd","","Monson","MA","1057"
21,"Goose Island Beer Company","Bourbon County Brand Coffee Stout","American Double / Imperial Stout","13.40%",4.57,6955,3,"1800 W Fulton St","","Chicago","IL","60612"
22,"Toppling Goliath Brewing Company","King Sue","American Double / Imperial IPA","8.00%",4.57,1701,73,"310 College Dr","","Decorah","IO","52101"
23,"AleSmith Brewing Company","AleSmith Speedway Stout - Vietnamese Coffee (Bourbon Barrel Aged)","American Double / Imperial Stout","12.00%",4.57,657,166,"9990 AleSmith Ct","","San Diego","CA","92126"
24,"Tree House Brewing Company","JJJuliusss","American IPA","6.80%",4.57,338,146,"160 E Hill Rd","","Monson","MA","1057"
25,"Funky Buddha Brewery","Morning Wood","American Porter","12.00%",4.56,717,17,"1201 NE 38th St","","Oakland Park","FL","33334"
26,"Hill Farmstead Brewery","Ann","Saison / Farmhouse Ale","6.50%",4.56,344,172,"403 Hill Rd","","Greensboro Bend","VT","5842"
27,"Hill Farmstead Brewery","Abner","American Double / Imperial IPA","8.20%",4.56,2539,119,"403 Hill Rd","","Greensboro Bend","VT","5842"
28,"Founders Brewing Company","Founders KBS (Kentucky Breakfast Stout)","American Double / Imperial Stout","12.40%",4.56,12087,98,"235 Grandville Ave SW","","Grand Rapids","MI","49503"
29,"Tree House Brewing Company","Green","American IPA","7.60%",4.55,2141,104,"160 E Hill Rd","","Monson","MA","1057"
30,"Lawson's Finest Liquids","Triple Sunshine IPA","American Double / Imperial IPA","10.50%",4.55,593,150,"Not Open to Public","","Warren","VT","5674"
31,"The Alchemist","Focal Banger","American IPA","7.00%",4.55,2848,113,"35 Crossroad","","Waterbury","VT","5676"
32,"Lawson's Finest Liquids","Sip Of Sunshine","American Double / Imperial IPA","8.00%",4.55,4397,145,"Not Open to Public","","Warren","VT","5674"
33,"Toppling Goliath Brewing Company","Double Dry Hopped PseudoSue (Citra)","American Pale Ale (APA)","5.80%",4.55,385,162,"310 College Dr","","Decorah","IO","52101"
34,"Funky Buddha Brewery","Snowed In - Bourbon Barrel Aged","American Double / Imperial Stout","11.00%",4.54,358,152,"1201 NE 38th St","","Oakland Park","FL","33334"
35,"Trillium Brewing Company","Double Dry Hopped Congress Street","American IPA","7.20%",4.54,960,21,"369 Congress St","","Boston","MA","2210"
36,"Kern River Brewing Company","Citra","American Double / Imperial IPA","8.00%",4.54,1727,123,"13415 Sierra Way","","Kernville","CA","93238"
37,"Kane Brewing Company","Sunday Brunch","American Porter","9.20%",4.54,516,154,"1750 Bloomsbury Ave","","Ocean","NJ","7712"
38,"Tree House Brewing Company","Doppelganger","American Double / Imperial IPA","8.20%",4.54,928,28,"160 E Hill Rd","","Monson","MA","1057"
39,"Tree House Brewing Company","Alter Ego","American IPA","6.80%",4.54,1686,82,"160 E Hill Rd","","Monson","MA","1057"
40,"Lawson's Finest Liquids","Double Sunshine IPA","American Double / Imperial IPA","8.00%",4.54,2108,111,"Not Open to Public","","Warren","VT","5674"
41,"Firestone Walker Brewing Company","Parabola","Russian Imperial Stout","14.00%",4.53,6289,4,"1400 Ramada Drive","","Paso Robles","CA","93446"
42,"Hill Farmstead Brewery","Society & Solitude #4","American Double / Imperial IPA","8.00%",4.53,1097,37,"403 Hill Rd","","Greensboro Bend","VT","5842"
43,"Three Floyds Brewing Company","Zombie Dust","American Pale Ale (APA)","6.20%",4.52,9898,8,"9750 Indiana Pkwy","","Munster","IN","46321"
44,"Hill Farmstead Brewery","Double Galaxy","American Double / Imperial IPA","8.00%",4.52,1309,69,"403 Hill Rd","","Greensboro Bend","VT","5842"
45,"Tree House Brewing Company","Haze","American Double / Imperial IPA","8.20%",4.52,1830,85,"160 E Hill Rd","","Monson","MA","1057"
46,"Brasserie Cantillon","Cantillon Fou' Foune","Lambic - Fruit","5.00%",4.52,2824,143,"Rue Gheude 56","","Brussels","Belgium","1070"
47,"The Lost Abbey","Duck Duck Gooze","Gueuze","7.00%",4.51,1737,91,"155 Mata Way #104","","San Marcos","CA","92069"
