"Brewery","Rank","Beer","Style","ABV","Rating","Ratings","Reviews","Street","Street2","City","State","Zip"
"4 Hands Brewing Company",200,"Madagascar","Milk / Sweet Stout","9.30%",4.38,622,152,"1220 S 8th St","","St. Louis","MO","63104"
"AleSmith Brewing Company",172,"AleSmith Speedway Stout - Vietnamese Coffee","American Double / Imperial Stout","12.00%",4.4,1666,36,"9990 AleSmith Ct","","San Diego","CA","92126"
"AleSmith Brewing Company",214,"AleSmith Speedway Stout","American Double / Imperial Stout","12.00%",4.37,6613,9,"9990 AleSmith Ct","","San Diego","CA","92126"
"AleSmith Brewing Company",24,"AleSmith Speedway Stout - Vietnamese Coffee (Bourbon Barrel Aged)","American Double / Imperial Stout","12.00%",4.56,612,152,"9990 AleSmith Ct","","San Diego","CA","92126"
"AleSmith Brewing Company",105,"AleSmith Speedway Stout - Bourbon Barrel Aged","American Double / Imperial Stout","12.00%",4.45,2056,105,"9990 AleSmith Ct","","San Diego","CA","92126"
"Alpine Beer Company",147,"Bad Boy","American Double / Imperial IPA","9.00%",4.41,549,28,"2363 Alpine Blvd","","Alpine","CA","91901"
"Alpine Beer Company",201,"Exponential Hoppiness","American Double / Imperial IPA","11.00%",4.37,1296,115,"2363 Alpine Blvd","","Alpine","CA","91901"
"Alpine Beer Company",204,"Nelson","American IPA","7.00%",4.37,4032,166,"2363 Alpine Blvd","","Alpine","CA","91901"
"Alpine Beer Company",111,"Keene Idea","American Double / Imperial IPA","8.88%",4.44,445,150,"2363 Alpine Blvd","","Alpine","CA","91901"
"Alpine Beer Company",182,"Great","American Barleywine","14.00%",4.39,648,39,"2363 Alpine Blvd","","Alpine","CA","91901"
"Anchorage Brewing Company",124,"A Deal With The Devil","American Barleywine","17.30%",4.43,948,26,"148 West 91st AveÊ","","Anchorage","AK","99515"
"Aslin Beer Company",231,"Mind The Hop","American Double / Imperial IPA","9.50%",4.36,86,83,"1330 N Forest St","","Bellingham","WA","98225"
"Aslin Beer Company",45,"Master Of Karate","American Double / Imperial IPA","8.40%",4.51,168,138,"1330 N Forest St","","Bellingham","WA","98225"
"Aslin Beer Company",156,"Orange Starfish","American IPA","5.70%",4.4,129,87,"1330 N Forest St","","Bellingham","WA","98225"
"Avery Brewing Company",184,"Tweak","American Double / Imperial Stout","17.81%",4.39,2103,86,"4910 Nautilus Ct","","Boulder","CO","80301"
"Avery Brewing Company",228,"Callipygian","American Double / Imperial Stout","17.10%",4.36,366,157,"4910 Nautilus Ct","","Boulder","CO","80301"
"Avery Brewing Company",232,"Uncle Jacob's Stout","American Double / Imperial Stout","17.10%",4.35,2552,113,"4910 Nautilus Ct","","Boulder","CO","80301"
"Ballast Point Brewing Company",243,"Victory At Sea Coffee Vanilla Imperial Porter","American Porter","10.00%",4.35,6692,5,"9045 Carroll Way","","San Diego","CA","92121"
"Ballast Point Brewing Company",199,"Sculpin IPA","American IPA","7.00%",4.38,13556,58,"9045 Carroll Way","","San Diego","CA","92121"
"Bayerische Staatsbrauerei Weihenstephan",169,"Weihenstephaner Hefeweissbier","Hefeweizen","5.40%",4.4,8123,59,"Alte Akademie 2","","Freising","Germany","85354"
"Bell's Brewery, Inc.",60,"Bell's Black Note Stout","American Double / Imperial Stout","11.40%",4.49,4063,148,"355 E. KALAMAZOOÊAVE.","","Kalamazoo","MI","49007"
"Bell's Brewery, Inc.",114,"Hopslam Ale","American Double / Imperial IPA","10.00%",4.44,12644,93,"355 E. KALAMAZOOÊAVE.","","Kalamazoo","MI","49007"
"Bissell Brothers Brewing Company",47,"Swish","American Double / Imperial IPA","8.00%",4.5,965,31,"4 THOMPSONS PT","STE 108-109","Portland","ME","4102"
"Boneyard Beer Company",84,"Notorious Triple IPA","American Double / Imperial IPA","12.00%",4.46,717,177,"37 NW Lake Pl, Suite B","","Bend","OR","97701"
"Boneyard Beer Company",240,"Hop Venom Double IPA","American Double / Imperial IPA","8.90%",4.35,903,22,"37 NW Lake Pl, Suite B","","Bend","OR","97701"
"Boston Beer Company (Samuel Adams)",166,"Samuel Adams Utopias","American Strong Ale","29.00%",4.4,2468,139,"30 Germania St","","Jamaica Plain","MA","2130"
"Bottle Logic Brewing",197,"Leche Borracho","American Double / Imperial Stout","11.00%",4.38,252,131,"1072 N Armando St","","Anaheim","CA","92806"
"Bottle Logic Brewing",15,"Fundamental Observation","American Double / Imperial Stout","14.30%",4.61,693,30,"1072 N Armando St","","Anaheim","CA","92806"
"Bottle Logic Brewing",176,"Ground State - 2nd Anniversary Beer","American Double / Imperial Stout","12.50%",4.39,364,147,"1072 N Armando St","","Anaheim","CA","92806"
"Brasserie Cantillon",42,"Cantillon Fou' Foune","Lambic - Fruit","5.00%",4.52,2794,137,"Rue Gheude 56","","Brussels","Belgium","1070"
"Brasserie Cantillon",59,"Cantillon Blåbær Lambik","Lambic - Fruit","5.00%",4.49,765,81,"Rue Gheude 56","","Brussels","Belgium","1070"
"Brasserie Cantillon",134,"Cantillon Lou Pepe - Framboise","Lambic - Fruit","5.00%",4.42,1247,90,"Rue Gheude 56","","Brussels","Belgium","1070"
"Brasserie Cantillon",86,"Cantillon Lou Pepe - Kriek","Lambic - Fruit","5.00%",4.46,1687,108,"Rue Gheude 56","","Brussels","Belgium","1070"
"Brasserie Cantillon",138,"Cantillon Saint Lamvinus","Lambic - Fruit","5.00%",4.42,2008,130,"Rue Gheude 56","","Brussels","Belgium","1070"
"Brasserie Cantillon",226,"Cantillon Lou Pepe - Gueuze","Gueuze","5.00%",4.36,1101,63,"Rue Gheude 56","","Brussels","Belgium","1070"
"Brasserie de Rochefort",78,"Trappistes Rochefort 10","Quadrupel (Quad)","11.30%",4.47,9050,61,"Rue de l'Abbaye 8","","Rochefort","Belgium","5580"
"Brasserie Dieu du Ciel!",207,"Péché Mortel En Fût De Bourbon Américain","American Double / Imperial Stout","9.50%",4.37,442,175,"29 Av Laurier O","","Montreal","QC","H2T 2N2"
"Brasserie Dieu du Ciel!",185,"Péché Mortel","American Double / Imperial Stout","9.50%",4.39,5006,11,"29 Av Laurier O","","Montreal","QC","H2T 2N2"
"Brothers Craft Brewing",41,"Resolute - Coconut","American Double / Imperial Stout","13.50%",4.52,185,132,"800 N Main St","","Harrisonburg","VA","22802"
"Brouwerij Drie Fonteinen",136,"Drie Fonteinen Framboos","Lambic - Fruit","5.00%",4.42,637,17,"3 Herman Teirlinckplein","","Beersel","Belgium","1650"
"Brouwerij Drie Fonteinen",95,"Drie Fonteinen Oude Geuze Vintage","Gueuze","6.00%",4.45,698,25,"3 Herman Teirlinckplein","","Beersel","Belgium","1650"
"Brouwerij Drie Fonteinen",216,"Drie Fonteinen Hommage","Lambic - Fruit","6.00%",4.36,840,48,"3 Herman Teirlinckplein","","Beersel","Belgium","1650"
"Brouwerij Drie Fonteinen",104,"Drie Fonteinen Oude Geuze Golden Blend","Gueuze","7.50%",4.45,999,49,"3 Herman Teirlinckplein","","Beersel","Belgium","1650"
"Brouwerij Drie Fonteinen",62,"Drie Fonteinen Zenne Y Frontera","Lambic - Unblended","7.00%",4.49,121,101,"3 Herman Teirlinckplein","","Beersel","Belgium","1650"
"Brouwerij Rodenbach N.V.",151,"Rodenbach Caractère Rouge","Flanders Red Ale","7.00%",4.41,1352,56,"Spanjestraat 133-141","","Roeselare","Belgium","8800"
"Brouwerij St. Bernardus NV",133,"St. Bernardus Abt 12","Quadrupel (Quad)","10.00%",4.42,9316,60,"Trappistenweg 23","","Watou","Belgium","8978"
"Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)",16,"Trappist Westvleteren 12 (XII)","Quadrupel (Quad)","10.20%",4.61,6170,12,"Donkerstraat 12","","Westvleteren","Belgium","8640"
"Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)",74,"Trappist Westvleteren 8 (VIII)","Dubbel","8.00%",4.47,2099,165,"Donkerstraat 12","","Westvleteren","Belgium","8640"
"Buxton Brewery",229,"Buxton / Omnipollo Yellow Belly","American Double / Imperial Stout","11.00%",4.36,286,147,"Staden Business Park","","Buxton","UK","SK17 9RZ"
"Cascade Brewing / Raccoon Lodge & Brewpub",183,"Cascade Sang Noir","American Wild Ale","9.50%",4.39,1605,64,"7424 SW Beaverton-Hillsdale Hwy","","Portland","OR","97225"
"Cigar City Brewing",110,"Decoherence","American Double / Imperial Stout","12.90%",4.44,168,87,"3924 W Spruce St","","Tampa","FL","33607"
"Cigar City Brewing",7,"Hunahpu's Imperial Stout - Double Barrel Aged","American Double / Imperial Stout","11.00%",4.66,1337,27,"3924 W Spruce St","","Tampa","FL","33607"
"Cigar City Brewing",49,"Hunahpu's Imperial Stout","American Double / Imperial Stout","11.00%",4.5,4002,161,"3924 W Spruce St","","Tampa","FL","33607"
"Cigar City Brewing",102,"Caffè Americano","American Double / Imperial Stout","11.00%",4.45,949,23,"3924 W Spruce St","","Tampa","FL","33607"
"Clown Shoes",222,"Breakfast Exorcism","American Double / Imperial Stout","11.00%",4.36,319,136,"23 Hayward St.","","Ipswich","MA","1938"
"Columbus Brewing Company",127,"Columbus Bodhi DIPA","American Double / Imperial IPA","8.50%",4.42,1410,53,"2555 Harrison Rd","","Columbus","OH","43204"
"Dark Horse Brewing Company",82,"Dark Horse Bourbon Barrel Aged Plead The 5th","Russian Imperial Stout","12.00%",4.46,3053,121,"511 South Kalamazoo Street","","Marshall","MI","49068"
"de Garde Brewing",123,"Nectarine Premiere","Saison / Farmhouse Ale","7.10%",4.43,187,83,"6000 Blimp Blvd","","Tillamook","OR","97141"
"de Garde Brewing",118,"The Broken Truck","Gueuze","5.00%",4.43,140,73,"6000 Blimp Blvd","","Tillamook","OR","97141"
"Deschutes Brewery",71,"The Abyss","American Double / Imperial Stout","12.20%",4.48,6856,13,"901 SW Simpson Ave","","Bend","OR","97702"
"Evil Twin Brewing",121,"Imperial Biscotti Break Bourbon Barrel Aged","American Double / Imperial Stout","11.50%",4.43,1540,31,"446 Kent Ave","Apt 14A","Brooklyn","NY","11249"
"Evil Twin Brewing",85,"Evil Twin Double Barrel Jesus","American Double / Imperial Stout","12.00%",4.46,586,156,"446 Kent Ave","Apt 14A","Brooklyn","NY","11249"
"Fat Head's Brewery & Saloon",144,"Hop JuJu Imperial IPA","American Double / Imperial IPA","9.00%",4.41,1970,79,"24581 Lorain Rd.","","North Olmstead","OH","44070"
"Fiddlehead Brewing Company",160,"Second Fiddle","American Double / Imperial IPA","8.20%",4.4,1676,51,"6305 Shelburne Rd","","Shelburne","VT","5482"
"FiftyFifty Brewing Company",135,"Imperial Eclipse Stout - Elijah Craig (12 Year)","American Double / Imperial Stout","11.90%",4.42,1846,90,"11197 Brockway Rd","","Truckee","CA","96161"
"Firestone Walker Brewing Company",80,"Parabajava","Russian Imperial Stout","14.00%",4.47,597,159,"1400 Ramada Drive","","Paso Robles","CA","93446"
"Firestone Walker Brewing Company",117,"Stickee Monkee","Quadrupel (Quad)","12.00%",4.43,2299,82,"1400 Ramada Drive","","Paso Robles","CA","93446"
"Firestone Walker Brewing Company",99,"§ucaba","English Barleywine","12.50%",4.45,4929,173,"1400 Ramada Drive","","Paso Robles","CA","93446"
"Firestone Walker Brewing Company",37,"Parabola","Russian Imperial Stout","14.00%",4.53,6245,4,"1400 Ramada Drive","","Paso Robles","CA","93446"
"Foundation Brewing Company",168,"Epiphany","American Double / Imperial IPA","8.00%",4.4,835,25,"1 Industrial Way?","","Portland","ME","4103"
"Founders Brewing Company",13,"Founders CBS Imperial Stout","American Double / Imperial Stout","10.60%",4.62,4259,183,"235 Grandville Ave SW","","Grand Rapids","MI","49503"
"Founders Brewing Company",77,"Founders Breakfast Stout","American Double / Imperial Stout","8.30%",4.47,16209,95,"235 Grandville Ave SW","","Grand Rapids","MI","49503"
"Founders Brewing Company",26,"Founders KBS (Kentucky Breakfast Stout)","American Double / Imperial Stout","12.40%",4.56,12010,92,"235 Grandville Ave SW","","Grand Rapids","MI","49503"
"Fremont Brewing Company",97,"The Rusty Nail","American Double / Imperial Stout","13.20%",4.45,163,104,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
