"Brewery","Rank","Beer","Style","ABV","Rating","Ratings","Reviews","Street","Street2","City","State","Zip"
"Bayerische Staatsbrauerei Weihenstephan",169,"Weihenstephaner Hefeweissbier","Hefeweizen","5.40%",4.4,8127,66,"Alte Akademie 2","","Freising","Germany","85354"
"Bell's Brewery, Inc.",60,"Bell's Black Note Stout","American Double / Imperial Stout","11.40%",4.49,4071,156,"355 E. KALAMAZOOÊAVE.","","Kalamazoo","MI","49007"
"Bell's Brewery, Inc.",113,"Hopslam Ale","American Double / Imperial IPA","10.00%",4.44,12644,101,"355 E. KALAMAZOOÊAVE.","","Kalamazoo","MI","49007"
"Bissell Brothers Brewing Company",47,"Swish","American Double / Imperial IPA","8.00%",4.5,972,36,"4 THOMPSONS PT","STE 108-109","Portland","ME","4102"
"Boneyard Beer Company",83,"Notorious Triple IPA","American Double / Imperial IPA","12.00%",4.46,717,184,"37 NW Lake Pl, Suite B","","Bend","OR","97701"
"Boneyard Beer Company",240,"Hop Venom Double IPA","American Double / Imperial IPA","8.90%",4.35,903,25,"37 NW Lake Pl, Suite B","","Bend","OR","97701"
"Boston Beer Company (Samuel Adams)",166,"Samuel Adams Utopias","American Strong Ale","29.00%",4.4,2470,146,"30 Germania St","","Jamaica Plain","MA","2130"
"Bottle Logic Brewing",177,"Ground State - 2nd Anniversary Beer","American Double / Imperial Stout","12.50%",4.39,365,153,"1072 N Armando St","","Anaheim","CA","92806"
"Bottle Logic Brewing",197,"Leche Borracho","American Double / Imperial Stout","11.00%",4.38,252,136,"1072 N Armando St","","Anaheim","CA","92806"
"Bottle Logic Brewing",17,"Fundamental Observation","American Double / Imperial Stout","14.30%",4.6,696,35,"1072 N Armando St","","Anaheim","CA","92806"
"Brasserie Cantillon",225,"Cantillon Lou Pepe - Gueuze","Gueuze","5.00%",4.36,1102,70,"Rue Gheude 56","","Brussels","Belgium","1070"
"Brasserie Cantillon",43,"Cantillon Fou' Foune","Lambic - Fruit","5.00%",4.52,2795,143,"Rue Gheude 56","","Brussels","Belgium","1070"
"Brasserie Cantillon",85,"Cantillon Lou Pepe - Kriek","Lambic - Fruit","5.00%",4.46,1687,115,"Rue Gheude 56","","Brussels","Belgium","1070"
"Brasserie Cantillon",133,"Cantillon Lou Pepe - Framboise","Lambic - Fruit","5.00%",4.42,1248,97,"Rue Gheude 56","","Brussels","Belgium","1070"
"Brasserie Cantillon",59,"Cantillon Blåbær Lambik","Lambic - Fruit","5.00%",4.49,768,88,"Rue Gheude 56","","Brussels","Belgium","1070"
"Brasserie Cantillon",137,"Cantillon Saint Lamvinus","Lambic - Fruit","5.00%",4.42,2009,135,"Rue Gheude 56","","Brussels","Belgium","1070"
"Brasserie de Rochefort",78,"Trappistes Rochefort 10","Quadrupel (Quad)","11.30%",4.47,9053,68,"Rue de l'Abbaye 8","","Rochefort","Belgium","5580"
"Brasserie Dieu du Ciel!",207,"Péché Mortel En Fût De Bourbon Américain","American Double / Imperial Stout","9.50%",4.37,442,182,"29 Av Laurier O","","Montreal","QC","H2T 2N2"
"Brasserie Dieu du Ciel!",184,"Péché Mortel","American Double / Imperial Stout","9.50%",4.39,5009,11,"29 Av Laurier O","","Montreal","QC","H2T 2N2"
"Brothers Craft Brewing",42,"Resolute - Coconut","American Double / Imperial Stout","13.50%",4.52,185,137,"800 N Main St","","Harrisonburg","VA","22802"
"Brouwerij Drie Fonteinen",105,"Drie Fonteinen Oude Geuze Golden Blend","Gueuze","7.50%",4.45,999,55,"3 Herman Teirlinckplein","","Beersel","Belgium","1650"
"Brouwerij Drie Fonteinen",95,"Drie Fonteinen Oude Geuze Vintage","Gueuze","6.00%",4.45,700,30,"3 Herman Teirlinckplein","","Beersel","Belgium","1650"
"Brouwerij Drie Fonteinen",135,"Drie Fonteinen Framboos","Lambic - Fruit","5.00%",4.42,639,19,"3 Herman Teirlinckplein","","Beersel","Belgium","1650"
"Brouwerij Drie Fonteinen",62,"Drie Fonteinen Zenne Y Frontera","Lambic - Unblended","7.00%",4.49,123,109,"3 Herman Teirlinckplein","","Beersel","Belgium","1650"
"Brouwerij Drie Fonteinen",218,"Drie Fonteinen Hommage","Lambic - Fruit","6.00%",4.36,840,54,"3 Herman Teirlinckplein","","Beersel","Belgium","1650"
"Brouwerij Rodenbach N.V.",152,"Rodenbach Caractère Rouge","Flanders Red Ale","7.00%",4.41,1355,62,"Spanjestraat 133-141","","Roeselare","Belgium","8800"
"Brouwerij St. Bernardus NV",132,"St. Bernardus Abt 12","Quadrupel (Quad)","10.00%",4.42,9318,67,"Trappistenweg 23","","Watou","Belgium","8978"
"Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)",15,"Trappist Westvleteren 12 (XII)","Quadrupel (Quad)","10.20%",4.61,6171,12,"Donkerstraat 12","","Westvleteren","Belgium","8640"
"Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)",74,"Trappist Westvleteren 8 (VIII)","Dubbel","8.00%",4.47,2100,172,"Donkerstraat 12","","Westvleteren","Belgium","8640"
"Buxton Brewery",227,"Buxton / Omnipollo Yellow Belly","American Double / Imperial Stout","11.00%",4.36,301,154,"Staden Business Park","","Buxton","UK","SK17 9RZ"
"Cascade Brewing / Raccoon Lodge & Brewpub",182,"Cascade Sang Noir","American Wild Ale","9.50%",4.39,1608,71,"7424 SW Beaverton-Hillsdale Hwy","","Portland","OR","97225"
"Cigar City Brewing",7,"Hunahpu's Imperial Stout - Double Barrel Aged","American Double / Imperial Stout","11.00%",4.66,1341,32,"3924 W Spruce St","","Tampa","FL","33607"
"Cigar City Brewing",50,"Hunahpu's Imperial Stout","American Double / Imperial Stout","11.00%",4.5,4004,168,"3924 W Spruce St","","Tampa","FL","33607"
"Cigar City Brewing",103,"Caffè Americano","American Double / Imperial Stout","11.00%",4.45,954,27,"3924 W Spruce St","","Tampa","FL","33607"
"Cigar City Brewing",110,"Decoherence","American Double / Imperial Stout","12.90%",4.44,169,93,"3924 W Spruce St","","Tampa","FL","33607"
"Clown Shoes",230,"Breakfast Exorcism","American Double / Imperial Stout","11.00%",4.36,320,144,"23 Hayward St.","","Ipswich","MA","1938"
"Columbus Brewing Company",138,"Columbus Bodhi DIPA","American Double / Imperial IPA","8.50%",4.42,1413,60,"2555 Harrison Rd","","Columbus","OH","43204"
"Dark Horse Brewing Company",82,"Dark Horse Bourbon Barrel Aged Plead The 5th","Russian Imperial Stout","12.00%",4.46,3055,128,"511 South Kalamazoo Street","","Marshall","MI","49068"
"de Garde Brewing",119,"The Broken Truck","Gueuze","5.00%",4.43,140,80,"6000 Blimp Blvd","","Tillamook","OR","97141"
"de Garde Brewing",122,"Nectarine Premiere","Saison / Farmhouse Ale","7.10%",4.43,189,90,"6000 Blimp Blvd","","Tillamook","OR","97141"
"Deschutes Brewery",71,"The Abyss","American Double / Imperial Stout","12.20%",4.48,6859,13,"901 SW Simpson Ave","","Bend","OR","97702"
"Evil Twin Brewing",84,"Evil Twin Double Barrel Jesus","American Double / Imperial Stout","12.00%",4.46,586,164,"446 Kent Ave","Apt 14A","Brooklyn","NY","11249"
"Evil Twin Brewing",120,"Imperial Biscotti Break Bourbon Barrel Aged","American Double / Imperial Stout","11.50%",4.43,1541,35,"446 Kent Ave","Apt 14A","Brooklyn","NY","11249"
"Fat Head's Brewery & Saloon",144,"Hop JuJu Imperial IPA","American Double / Imperial IPA","9.00%",4.41,1970,86,"24581 Lorain Rd.","","North Olmstead","OH","44070"
"Fiddlehead Brewing Company",159,"Second Fiddle","American Double / Imperial IPA","8.20%",4.4,1678,58,"6305 Shelburne Rd","","Shelburne","VT","5482"
"Fiddlehead Brewing Company",250,"Mastermind","American Double / Imperial IPA","8.10%",4.34,1319,41,"6305 Shelburne Rd","","Shelburne","VT","5482"
"FiftyFifty Brewing Company",134,"Imperial Eclipse Stout - Elijah Craig (12 Year)","American Double / Imperial Stout","11.90%",4.42,1847,97,"11197 Brockway Rd","","Truckee","CA","96161"
"Firestone Walker Brewing Company",99,"§ucaba","English Barleywine","12.50%",4.45,4932,180,"1400 Ramada Drive","","Paso Robles","CA","93446"
"Firestone Walker Brewing Company",37,"Parabola","Russian Imperial Stout","14.00%",4.53,6246,4,"1400 Ramada Drive","","Paso Robles","CA","93446"
"Firestone Walker Brewing Company",116,"Stickee Monkee","Quadrupel (Quad)","11.60%",4.43,2299,89,"1400 Ramada Drive","","Paso Robles","CA","93446"
"Firestone Walker Brewing Company",80,"Parabajava","Russian Imperial Stout","14.00%",4.47,602,167,"1400 Ramada Drive","","Paso Robles","CA","93446"
"Foundation Brewing Company",168,"Epiphany","American Double / Imperial IPA","8.00%",4.4,838,30,"1 Industrial Way?","","Portland","ME","4103"
"Founders Brewing Company",26,"Founders KBS (Kentucky Breakfast Stout)","American Double / Imperial Stout","12.40%",4.56,12016,100,"235 Grandville Ave SW","","Grand Rapids","MI","49503"
"Founders Brewing Company",13,"Founders CBS Imperial Stout","American Double / Imperial Stout","10.60%",4.62,4262,191,"235 Grandville Ave SW","","Grand Rapids","MI","49503"
"Founders Brewing Company",77,"Founders Breakfast Stout","American Double / Imperial Stout","8.30%",4.47,16218,103,"235 Grandville Ave SW","","Grand Rapids","MI","49503"
"Fremont Brewing Company",68,"Bourbon Barrel Aged Abominable: Coffee And Cinnamon","American Strong Ale","14.00%",4.48,723,188,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
"Fremont Brewing Company",97,"The Rusty Nail","American Double / Imperial Stout","13.20%",4.45,166,112,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
"Fremont Brewing Company",232,"Bourbon Abominable Winter Ale","American Strong Ale","14.00%",4.35,1026,52,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
"Fremont Brewing Company",126,"Bourbon Barrel Aged Dark Star Oatmeal Stout","Oatmeal Stout","14.50%",4.42,417,152,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
"Fremont Brewing Company",115,"Brew 1000 - Bourbon Barrel Aged","English Barleywine","13.10%",4.43,163,107,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
"Fremont Brewing Company",153,"Bourbon Barrel Aged Dark Star: Coffee Edition","Oatmeal Stout","14.50%",4.41,536,152,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
"Funky Buddha Brewery",91,"Wide Awake It's Morning","American Porter","10.00%",4.46,634,22,"1201 NE 38th St","","Oakland Park","FL","33334"
"Funky Buddha Brewery",127,"Maple Bacon Coffee Porter","American Porter","6.40%",4.42,1697,82,"1201 NE 38th St","","Oakland Park","FL","33334"
"Funky Buddha Brewery",31,"Last Buffalo In The Park","American Double / Imperial Stout","11.50%",4.55,385,144,"1201 NE 38th St","","Oakland Park","FL","33334"
"Funky Buddha Brewery",29,"Morning Wood","American Porter","12.00%",4.55,610,185,"1201 NE 38th St","","Oakland Park","FL","33334"
"Funky Buddha Brewery",129,"Last Snow","American Porter","6.40%",4.42,1683,79,"1201 NE 38th St","","Oakland Park","FL","33334"
"Goose Island Beer Company",53,"Bourbon County Brand Stout","American Double / Imperial Stout","13.80%",4.5,11960,69,"1800 W Fulton St","","Chicago","IL","60612"
"Goose Island Beer Company",23,"Bourbon County Brand Coffee Stout","American Double / Imperial Stout","13.40%",4.56,6904,3,"1800 W Fulton St","","Chicago","IL","60612"
"Goose Island Beer Company",79,"Bourbon County Brand Barleywine Ale","English Barleywine","12.10%",4.47,4978,147,"1800 W Fulton St","","Chicago","IL","60612"
"Grimm Artisanal Ales",236,"Magnetic Compass","American IPA","6.40%",4.35,209,136,"PO Box 150472","","Brooklyn","NY","11215"
"Grimm Artisanal Ales",224,"Lumen","American IPA","6.40%",4.36,251,124,"PO Box 150472","","Brooklyn","NY","11215"
"Grimm Artisanal Ales",228,"Lambo Door","American Double / Imperial IPA","8.00%",4.36,487,190,"PO Box 150472","","Brooklyn","NY","11215"
"Grimm Artisanal Ales",222,"Tesseract","American Double / Imperial IPA","8.00%",4.36,467,169,"PO Box 150472","","Brooklyn","NY","11215"
"Grimm Artisanal Ales",140,"Afterimage","American Double / Imperial IPA","8.00%",4.41,426,169,"PO Box 150472","","Brooklyn","NY","11215"
"Hair of the Dog Brewing Company / Brewery and Tasting Room",111,"Adam From The Wood","Old Ale","12.00%",4.44,940,50,"61 SE Yamhill St","","Portland","OR","97214"
"Hair of the Dog Brewing Company / Brewery and Tasting Room",174,"Matt","American Strong Ale","11.50%",4.39,829,85,"61 SE Yamhill St","","Portland","OR","97214"
"Hangar 24 Brewery",209,"Pugachev Royale","Russian Imperial Stout","14.80%",4.37,178,87,"1710 Sessums Drive","","Redlands","CA","92374"
"Heist Brewery",128,"Citraquench'l","American IPA","6.70%",4.42,93,91,"2901 N Davidson St","","Charlotte","NC","28205"
"Hill Farmstead Brewery",247,"What Is Enlightenment?","American Pale Ale (APA)","5.40%",4.34,874,20,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",41,"Double Galaxy","American Double / Imperial IPA","8.00%",4.52,1297,70,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",139,"Juicy","Saison / Farmhouse Ale","7.40%",4.41,460,169,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",76,"Ephraim","American Double / Imperial IPA","10.00%",4.47,1008,81,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",193,"Edward","American Pale Ale (APA)","5.20%",4.38,2561,114,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",55,"Double Citra","American Double / Imperial IPA","8.00%",4.49,1695,70,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",93,"Society & Solitude #5","American Double / Imperial IPA","8.10%",4.46,1359,44,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",246,"Birth Of Tragedy","American Porter","9.00%",4.35,1140,53,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",102,"Everett Porter","American Porter","7.50%",4.45,2566,119,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",206,"Damon (Bourbon Barrel Aged)","Russian Imperial Stout","10.50%",4.37,660,183,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",40,"Society & Solitude #4","American Double / Imperial IPA","8.00%",4.52,1069,38,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",205,"Aaron","English Barleywine","BreweryEnglish",4.37,322,104,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",178,"Society & Solitude #6","American Double / Imperial IPA","8.10%",4.39,668,164,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",27,"Ann","Saison / Farmhouse Ale","6.50%",4.56,337,170,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",238,"Genealogy Of Morals (Bourbon Barrel Aged)","American Double / Imperial Stout","10.70%",4.35,509,139,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",25,"Abner","American Double / Imperial IPA","8.20%",4.56,2518,118,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",98,"Susan","American IPA","6.20%",4.45,1757,59,"403 Hill Rd","","Greensboro Bend","VT","5842"
"J. Wakefield Brewing",150,"Dragon Fruit Passion Fruit Berliner","Berliner Weissbier","3.50%",4.41,287,129,"120 NW 24th St","","Miami","FL","33127"
"J. Wakefield Brewing",130,"Miami Madness","Berliner Weissbier","3.50%",4.42,281,127,"120 NW 24th St","","Miami","FL","33127"
"Jackie O's Pub & Brewery",149,"Oro Negro","American Double / Imperial Stout","10.50%",4.41,626,18,"24 W Union St","","Athens","OH","45701"
"Jackie O's Pub & Brewery",118,"Bourbon Barrel Champion Ground","American Double / Imperial Stout","11.00%",4.43,413,169,"24 W Union St","","Athens","OH","45701"
"Jackie O's Pub & Brewery",233,"Bourbon Barrel Black Maple","American Porter","11.00%",4.35,885,184,"24 W Union St","","Athens","OH","45701"
"Jackie O's Pub & Brewery",211,"Bourbon Barrel Oro Negro","American Double / Imperial Stout","11.00%",4.37,238,116,"24 W Union St","","Athens","OH","45701"
"Jester King Brewery",164,"Montmorency Vs Balaton","American Wild Ale","6.70%",4.4,684,148,"13005 Fitzhugh Road","Bld. B","Austin","TX","78736"
"Jester King Brewery",65,"Atrial Rubicite","American Wild Ale","5.80%",4.48,1672,42,"13005 Fitzhugh Road","Bld. B","Austin","TX","78736"
"Kane Brewing Company",175,"Mexican Brunch","American Porter","9.20%",4.39,182,87,"1750 Bloomsbury Ave","","Ocean","NJ","7712"
"Kane Brewing Company",48,"Sunday Brunch","American Porter","9.20%",4.5,466,142,"1750 Bloomsbury Ave","","Ocean","NJ","7712"
"Kern River Brewing Company",202,"Winter Ale (5th Anniversary Ale)","American Double / Imperial IPA","8.00%",4.37,327,189,"13415 Sierra Way","","Kernville","CA","93238"
"Kern River Brewing Company",33,"Citra","American Double / Imperial IPA","8.00%",4.54,1699,121,"13415 Sierra Way","","Kernville","CA","93238"
"Kuhnhenn Brewing Company",67,"Kuhnhenn Bourbon Barrel Fourth Dementia","Old Ale","13.50%",4.48,1884,125,"5919 Chicago Rd","","Warren","MI","48092"
"Kuhnhenn Brewing Company",214,"Kuhnhenn Raspberry Eisbock","Eisbock","15.50%",4.37,1229,132,"5919 Chicago Rd","","Warren","MI","48092"
"La Cumbre Brewing Company",248,"Project Dank","American IPA","7.50%",4.34,791,16,"3313 Girard Blvd NE","","Albuquerque","NM","87107"
"Lagunitas Brewing Company",237,"High West-ified Imperial Coffee Stout","American Double / Imperial Stout","12.20%",4.35,1451,77,"1280 N McDowell Blvd","","Petaluma","CA","94954"
"Lagunitas Brewing Company",158,"Born Yesterday Pale Ale","American Pale Ale (APA)","7.00%",4.4,2198,126,"1280 N McDowell Blvd","","Petaluma","CA","94954"
"Lawson's Finest Liquids",28,"Sip Of Sunshine","American Double / Imperial IPA","8.00%",4.55,4304,141,"Not Open to Public","","Warren","VT","5674"
"Lawson's Finest Liquids",34,"Double Sunshine IPA","American Double / Imperial IPA","8.00%",4.54,2105,111,"Not Open to Public","","Warren","VT","5674"
"Lawson's Finest Liquids",36,"Triple Sunshine IPA","American Double / Imperial IPA","10.50%",4.53,571,145,"Not Open to Public","","Warren","VT","5674"
"Lift Bridge Brewery",210,"Barrel-Aged Silhouette","Russian Imperial Stout","10.00%",4.37,343,124,"1900 Tower Dr W","","Stillwater","MN","55082"
"Live Oak Brewing Company",243,"Live Oak HefeWeizen","Hefeweizen","5.20%",4.35,1572,131,"1615 Crozier Ln","","Del Valle","TX","78617"
"Logsdon Farmhouse Ales",203,"Peche 'n Brett","Saison / Farmhouse Ale","10.00%",4.37,1247,51,"4785 Booth Hill Rd","","Hood River","OR","97031"
"Maine Beer Company",11,"Dinner","American Double / Imperial IPA","8.20%",4.63,1867,76,"525 US Route 1","","Freeport","ME","4032"
"Minneapolis Town Hall Brewery",249,"Masala Mama India Pale Ale","American IPA","6.00%",4.34,1359,162,"1430 Washington Ave S","","Minneapolis","MN","55454"
"New England Brewing Company",89,"Fuzzy Baby Ducks IPA","American IPA","6.20%",4.46,733,178,"175 Amity Rd","","Woodbridge","CT","6525"
"New England Brewing Company",131,"Coriolis","American Double / Imperial IPA","8.20%",4.42,546,159,"175 Amity Rd","","Woodbridge","CT","6525"
"New England Brewing Company",242,"Locust Reign","American Double / Imperial IPA","8.50%",4.35,294,117,"175 Amity Rd","","Woodbridge","CT","6525"
"New Glarus Brewing Company",235,"Wisconsin Belgian Red","Fruit / Vegetable Beer","4.00%",4.35,3502,192,"2400 Hwy 69","","New Glarus","WA","53574"
"New Glarus Brewing Company",239,"Serendipity","Fruit / Vegetable Beer","4.00%",4.35,2789,95,"2400 Hwy 69","","New Glarus","WA","53574"
"Noble Ale Works",196,"Citra Showers","American Double / Imperial IPA","8.80%",4.38,478,163,"1621 S Sinclair St","","Anaheim","CA","92806"
"Other Half Brewing Company",212,"All Green Everything","American Double / Imperial IPA","10.50%",4.37,953,26,"195 Centre St","","Brooklyn","NY","11231"
"Other Half Brewing Company",216,"Mosaic IPA","American IPA","7.20%",4.37,351,123,"195 Centre St","","Brooklyn","NY","11231"
"Ozark Beer Company",75,"BDCS","American Double / Imperial Stout","10.20%",4.47,305,148,"1700 S 1st St","","Rogers","AR","72756"
"Parish Brewing Company",185,"Ghost In The Machine","American Double / Imperial IPA","8.00%",4.39,532,178,"229 Jared Dr","","Broussard","LA","70518"
"Peg's Cantina & Brew Pub",154,"Rare Scooop","American Double / Imperial Stout","Imperial",4.41,101,73,"Closed","","","",""
"Peg's Cantina & Brew Pub",241,"Trademark Dispute: Nooner 10","American Double / Imperial Stout","12.00%",4.35,221,109,"Closed","","","",""
"Peg's Cantina & Brew Pub",123,"Trademark Dispute: Hazelnut","American Double / Imperial Stout","Imperial",4.43,147,87,"Closed","","","",""
"Peg's Cantina & Brew Pub",136,"Peg's G.O.O.D. RareR D.O.S.","American Double / Imperial Stout","10.00%",4.42,730,19,"Closed","","","",""
"Peg's Cantina & Brew Pub",161,"Trademark Dispute: Pallet 1","American Double / Imperial Stout","10.40%",4.4,273,136,"Closed","","","",""
"Peg's Cantina & Brew Pub",213,"Trademark Dispute: &+","American Double / Imperial Stout","10.50%",4.37,226,112,"Closed","","","",""
"Pelican Pub & Brewery",155,"Mother Of All Storms","English Barleywine","14.00%",4.41,1906,133,"33180 Cape Kiwanda Dr.","","Pacific City","OR","97135"
"Perennial Artisan Ales",148,"Abraxas","American Double / Imperial Stout","10.00%",4.41,2353,98,"8125 Michigan Ave","","Saint Louis","MI","63111"
"Perennial Artisan Ales",18,"Barrel-Aged Abraxas","American Double / Imperial Stout","11.00%",4.6,1256,24,"8125 Michigan Ave","","Saint Louis","MI","63111"
"Perrin Brewery",108,"No Rules","American Porter","15.00%",4.44,956,60,"5910 Comstock Park Dr NW","","Comstock Park","MI","49321"
"Pipeworks Brewing Company",198,"Sure Bet","American Double / Imperial IPA","9.50%",4.38,509,157,"3912 W McLean Ave","","Chicago","IL","60647"
"Pipeworks Brewing Company",189,"Spotted Puffer","American Double / Imperial IPA","9.50%",4.38,294,130,"3912 W McLean Ave","","Chicago","IL","60647"
"Prairie Artisan Ales",73,"BOMB!","American Double / Imperial Stout","13.00%",4.47,5640,177,"1803 S 49th West Ave","","Tulsa","OK","74107"
"Prairie Artisan Ales",142,"Prairie Apple Brandy Noir","American Double / Imperial Stout","12.00%",4.41,1401,57,"1803 S 49th West Ave","","Tulsa","OK","74107"
"Prairie Artisan Ales",94,"Pirate Bomb!","American Double / Imperial Stout","14.00%",4.45,1890,63,"1803 S 49th West Ave","","Tulsa","OK","74107"
"Prairie Artisan Ales",114,"Barrel Aged Bomb!","American Double / Imperial Stout","11.20%",4.44,968,46,"1803 S 49th West Ave","","Tulsa","OK","74107"
"Russian River Brewing Company",54,"Supplication","American Wild Ale","7.00%",4.49,6203,7,"725 4th St","","Santa Rosa","CA","95404"
"Russian River Brewing Company",141,"Temptation","American Wild Ale","7.50%",4.41,3621,1,"725 4th St","","Santa Rosa","CA","95404"
"Russian River Brewing Company",16,"Pliny The Elder","American Double / Imperial IPA","8.00%",4.6,14122,102,"725 4th St","","Santa Rosa","CA","95404"
"Russian River Brewing Company",157,"Consecration","American Wild Ale","10.00%",4.4,5183,2,"725 4th St","","Santa Rosa","CA","95404"
"Russian River Brewing Company",4,"Pliny The Younger","American Double / Imperial IPA","10.25%",4.66,2984,186,"725 4th St","","Santa Rosa","CA","95404"
"Russian River Brewing Company",90,"Beatification","American Wild Ale","5.50%",4.46,2586,149,"725 4th St","","Santa Rosa","CA","95404"
"Sante Adairius Rustic Ales",171,"West Ashley","American Wild Ale","7.30%",4.4,937,181,"103 Kennedy Dr","","Capitola","CA","95010"
"Sante Adairius Rustic Ales",151,"Saison Bernice","Saison / Farmhouse Ale","6.50%",4.41,830,170,"103 Kennedy Dr","","Capitola","CA","95010"
"Sante Adairius Rustic Ales",163,"Westly","American Wild Ale","8.50%",4.4,229,104,"103 Kennedy Dr","","Capitola","CA","95010"
"Side Project Brewing",188,"Saison Du Fermier","Saison / Farmhouse Ale","7.00%",4.38,611,130,"7373 Marietta Ave","","Maplewood","MI","63143"
"Side Project Brewing",219,"Derivation #6 (Cinnamon, Cocoa Nibs And Ugandan Vanilla)","American Double / Imperial Stout","15.00%",4.36,40,34,"7373 Marietta Ave","","Maplewood","MI","63143"
"Side Project Brewing",52,"Fuzzy","American Wild Ale","8.00%",4.5,691,166,"7373 Marietta Ave","","Maplewood","MI","63143"
"SingleCut Beersmiths",167,"Softly Spoken Magic Spells","American Double / Imperial IPA","8.60%",4.4,549,30,"19-33 37th St","","Queens","NY","11105"
"Societe Brewing Company",221,"The Pupil","American IPA","7.80%",4.36,873,185,"8262 Clairemont Mesa Blvd","","San Diego","CA","92111"
