"Brewery","Rank","Beer","Style","ABV","Rating","Ratings","Reviews","Street","Street2","City","State","Zip"
"4 Hands Brewing Company",200,"Madagascar","Milk / Sweet Stout","9.30%",4.38,622,160,"1220 S 8th St","","St. Louis","MO","63104"
"AleSmith Brewing Company",215,"AleSmith Speedway Stout","American Double / Imperial Stout","12.00%",4.37,6618,9,"9990 AleSmith Ct","","San Diego","CA","92126"
"AleSmith Brewing Company",106,"AleSmith Speedway Stout - Bourbon Barrel Aged","American Double / Imperial Stout","12.00%",4.45,2056,113,"9990 AleSmith Ct","","San Diego","CA","92126"
"AleSmith Brewing Company",172,"AleSmith Speedway Stout - Vietnamese Coffee","American Double / Imperial Stout","12.00%",4.4,1671,40,"9990 AleSmith Ct","","San Diego","CA","92126"
"AleSmith Brewing Company",24,"AleSmith Speedway Stout - Vietnamese Coffee (Bourbon Barrel Aged)","American Double / Imperial Stout","12.00%",4.56,616,160,"9990 AleSmith Ct","","San Diego","CA","92126"
"Alpine Beer Company",204,"Nelson","American IPA","7.00%",4.37,4033,173,"2363 Alpine Blvd","","Alpine","CA","91901"
"Alpine Beer Company",201,"Exponential Hoppiness","American Double / Imperial IPA","11.00%",4.37,1297,122,"2363 Alpine Blvd","","Alpine","CA","91901"
"Alpine Beer Company",147,"Bad Boy","American Double / Imperial IPA","9.00%",4.41,549,33,"2363 Alpine Blvd","","Alpine","CA","91901"
"Alpine Beer Company",181,"Great","American Barleywine","14.00%",4.39,649,43,"2363 Alpine Blvd","","Alpine","CA","91901"
"Anchorage Brewing Company",125,"A Deal With The Devil","American Barleywine","17.30%",4.43,949,31,"148 West 91st AveÊ","","Anchorage","AK","99515"
"Aslin Beer Company",46,"Master Of Karate","American Double / Imperial IPA","8.40%",4.51,169,144,"1330 N Forest St","","Bellingham","WA","98225"
"Aslin Beer Company",156,"Orange Starfish","American IPA","5.70%",4.4,129,93,"1330 N Forest St","","Bellingham","WA","98225"
"Aslin Beer Company",229,"Mind The Hop","American Double / Imperial IPA","9.50%",4.36,86,90,"1330 N Forest St","","Bellingham","WA","98225"
"Avery Brewing Company",231,"Uncle Jacob's Stout","American Double / Imperial Stout","17.10%",4.35,2556,120,"4910 Nautilus Ct","","Boulder","CO","80301"
"Avery Brewing Company",226,"Callipygian","American Double / Imperial Stout","17.10%",4.36,368,166,"4910 Nautilus Ct","","Boulder","CO","80301"
"Avery Brewing Company",183,"Tweak","American Double / Imperial Stout","17.50%",4.39,2116,94,"4910 Nautilus Ct","","Boulder","CO","80301"
"Ballast Point Brewing Company",244,"Victory At Sea Coffee Vanilla Imperial Porter","American Porter","10.00%",4.35,6697,5,"9045 Carroll Way","","San Diego","CA","92121"
"Ballast Point Brewing Company",199,"Sculpin IPA","American IPA","7.00%",4.38,13560,65,"9045 Carroll Way","","San Diego","CA","92121"
