"Brewery","Rank","Beer","Style","ABV","Rating","Ratings","Reviews","Street","Street2","City","State","Zip"
"4 Hands Brewing Company",198,"Madagascar","Milk / Sweet Stout","9.30%",4.38,622,153,"1220 S 8th St","","St. Louis","MO","63104"
"AleSmith Brewing Company",103,"AleSmith Speedway Stout - Bourbon Barrel Aged","American Double / Imperial Stout","12.00%",4.45,2055,109,"9990 AleSmith Ct","","San Diego","CA","92126"
"AleSmith Brewing Company",25,"AleSmith Speedway Stout - Vietnamese Coffee (Bourbon Barrel Aged)","American Double / Imperial Stout","12.00%",4.56,600,153,"9990 AleSmith Ct","","San Diego","CA","92126"
"AleSmith Brewing Company",171,"AleSmith Speedway Stout - Vietnamese Coffee","American Double / Imperial Stout","12.00%",4.4,1661,39,"9990 AleSmith Ct","","San Diego","CA","92126"
"AleSmith Brewing Company",214,"AleSmith Speedway Stout","American Double / Imperial Stout","12.00%",4.37,6612,9,"9990 AleSmith Ct","","San Diego","CA","92126"
"Alpine Beer Company",201,"Exponential Hoppiness","American Double / Imperial IPA","11.00%",4.37,1294,118,"2363 Alpine Blvd","","Alpine","CA","91901"
"Alpine Beer Company",206,"Nelson","American IPA","7.00%",4.37,4032,168,"2363 Alpine Blvd","","Alpine","CA","91901"
"Alpine Beer Company",179,"Great","American Barleywine","14.00%",4.39,648,43,"2363 Alpine Blvd","","Alpine","CA","91901"
"Alpine Beer Company",146,"Bad Boy","American Double / Imperial IPA","9.00%",4.41,549,31,"2363 Alpine Blvd","","Alpine","CA","91901"
"Alpine Beer Company",110,"Keene Idea","American Double / Imperial IPA","8.88%",4.44,445,151,"2363 Alpine Blvd","","Alpine","CA","91901"
"Anchorage Brewing Company",123,"A Deal With The Devil","American Barleywine","17.30%",4.43,947,30,"148 West 91st AveÊ","","Anchorage","AK","99515"
"Aslin Beer Company",155,"Orange Starfish","American IPA","5.70%",4.4,128,89,"1330 N Forest St","","Bellingham","WA","98225"
"Aslin Beer Company",240,"Mind The Hop","American Double / Imperial IPA","9.50%",4.35,83,86,"1330 N Forest St","","Bellingham","WA","98225"
"Aslin Beer Company",43,"Master Of Karate","American Double / Imperial IPA","8.40%",4.51,166,137,"1330 N Forest St","","Bellingham","WA","98225"
"Avery Brewing Company",231,"Callipygian","American Double / Imperial Stout","17.10%",4.36,362,157,"4910 Nautilus Ct","","Boulder","CO","80301"
"Avery Brewing Company",182,"Tweak","American Double / Imperial Stout","17.81%",4.39,2082,87,"4910 Nautilus Ct","","Boulder","CO","80301"
"Avery Brewing Company",246,"Uncle Jacob's Stout","American Double / Imperial Stout","17.10%",4.34,2548,116,"4910 Nautilus Ct","","Boulder","CO","80301"
"Ballast Point Brewing Company",242,"Victory At Sea Coffee Vanilla Imperial Porter","American Porter","10.00%",4.35,6682,5,"9045 Carroll Way","","San Diego","CA","92121"
"Ballast Point Brewing Company",196,"Sculpin IPA","American IPA","7.00%",4.38,13539,65,"9045 Carroll Way","","San Diego","CA","92121"
"Bayerische Staatsbrauerei Weihenstephan",169,"Weihenstephaner Hefeweissbier","Hefeweizen","5.40%",4.4,8119,66,"Alte Akademie 2","","Freising","Germany","85354"
"Bell's Brewery, Inc.",61,"Bell's Black Note Stout","American Double / Imperial Stout","11.40%",4.49,4042,149,"355 E. KALAMAZOOÊAVE.","","Kalamazoo","MI","49007"
"Bell's Brewery, Inc.",113,"Hopslam Ale","American Double / Imperial IPA","10.00%",4.44,12643,97,"355 E. KALAMAZOOÊAVE.","","Kalamazoo","MI","49007"
"Bissell Brothers Brewing Company",47,"Swish","American Double / Imperial IPA","8.00%",4.5,960,35,"4 THOMPSONS PT","STE 108-109","Portland","ME","4102"
"Boneyard Beer Company",74,"Notorious Triple IPA","American Double / Imperial IPA","12.00%",4.47,714,177,"37 NW Lake Pl, Suite B","","Bend","OR","97701"
"Boneyard Beer Company",239,"Hop Venom Double IPA","American Double / Imperial IPA","8.90%",4.35,903,26,"37 NW Lake Pl, Suite B","","Bend","OR","97701"
"Boston Beer Company (Samuel Adams)",166,"Samuel Adams Utopias","American Strong Ale","29.00%",4.4,2462,139,"30 Germania St","","Jamaica Plain","MA","2130"
"Bottle Logic Brewing",175,"Ground State - 2nd Anniversary Beer","American Double / Imperial Stout","12.50%",4.39,363,148,"1072 N Armando St","","Anaheim","CA","92806"
"Bottle Logic Brewing",194,"Leche Borracho","American Double / Imperial Stout","11.00%",4.38,249,132,"1072 N Armando St","","Anaheim","CA","92806"
"Bottle Logic Brewing",16,"Fundamental Observation","American Double / Imperial Stout","14.30%",4.6,684,33,"1072 N Armando St","","Anaheim","CA","92806"
"Brasserie Cantillon",59,"Cantillon Blåbær Lambik","Lambic - Fruit","5.00%",4.49,764,84,"Rue Gheude 56","","Brussels","Belgium","1070"
"Brasserie Cantillon",137,"Cantillon Saint Lamvinus","Lambic - Fruit","5.00%",4.42,2007,131,"Rue Gheude 56","","Brussels","Belgium","1070"
"Brasserie Cantillon",42,"Cantillon Fou' Foune","Lambic - Fruit","5.00%",4.52,2788,138,"Rue Gheude 56","","Brussels","Belgium","1070"
