"Rank","Beer","Brewery","Style","ABV","Rating","Reviews","Hads"
59,"Abrasive Ale","Surly Brewing Company","American Double / Imperial IPA","9.00% ABV",4.46,188,4147
60,"Fuzzy Baby Ducks IPA","New England Brewing Co.","American IPA","6.20% ABV",4.46,164,603
61,"Dark Horse Bourbon Barrel Aged Plead The 5th","Dark Horse Brewing Company","Russian Imperial Stout","12.00% ABV",4.46,121,2805
62,"Black Tuesday","The Bruery","American Double / Imperial Stout","19.20% ABV",4.46,157,3476
63,"Beatification","Russian River Brewing Company","American Wild Ale","5.50% ABV",4.46,145,2437
64,"Cable Car","The Lost Abbey","American Wild Ale","7.00% ABV",4.46,75,852
65,"Susan","Hill Farmstead Brewery","American IPA","6.20% ABV",4.45,37,1397
66,"Imperial Biscotti Break Bourbon Barrel Aged","Evil Twin Brewing","American Double / Imperial Stout","11.50% ABV",4.45,19,1299
67,"Everett Porter","Hill Farmstead Brewery","American Porter","7.50% ABV",4.45,110,2279
68,"Cantillon Lou Pepe - Kriek","Brasserie Cantillon","Lambic - Fruit","5.00% ABV",4.45,109,1570
69,"Hopslam Ale","Bell's Brewery, Inc.","American Double / Imperial IPA","10.00% ABV",4.45,98,11798
70,"Curiosity Twenty Two","Tree House Brewing Company","American IPA","7.00% ABV",4.45,108,176
71,"AleSmith Speedway Stout - Bourbon Barrel Aged","AleSmith Brewing Company","American Double / Imperial Stout","12.00% ABV",4.45,107,1810
72,"Drie Fonteinen Oude Geuze Golden Blend","Brouwerij Drie Fonteinen","Gueuze","7.50% ABV",4.45,48,834
73,"Assassin Imperial Stout","Toppling Goliath Brewing Company","American Double / Imperial Stout","12.00% ABV",4.44,182,972
74,"Sosus","Toppling Goliath Brewing Company","American Double / Imperial IPA","8.00% ABV",4.44,21,1039
75,"§ucaba","Firestone Walker Brewing Co.","English Barleywine","12.50% ABV",4.44,178,4587
76,"Society & Solitude #5","Hill Farmstead Brewery","American Double / Imperial IPA","8.10% ABV",4.44,34,1219
77,"Drie Fonteinen Oude Geuze Vintage","Brouwerij Drie Fonteinen","Gueuze","6.00% ABV",4.44,28,624
78,"Upper Case","Trillium Brewing Company","American Double / Imperial IPA","9.00% ABV",4.44,130,379
79,"Permanent Funeral","3 Floyds Brewing Co.","American Double / Imperial IPA","10.50% ABV",4.43,94,2555
80,"Columbus Bodhi DIPA","Columbus Brewing Company","American Double / Imperial IPA","8.50% ABV",4.43,42,1235
81,"Adam From The Wood","Hair of the Dog Brewing Company / Brewery and Tasting Room","Old Ale","12.00% ABV",4.43,41,855
82,"Notorious Triple IPA","Boneyard Beer Company","American Double / Imperial IPA","12.00% ABV",4.43,162,534
