Brewery,Street,Street2,City,State,Zip,Latitude,Longitude
De Proefbrouwerij (bvba Andelot),Doornzelestraat 20,,Lochristi-Hijfte,Belgium,9080,51.1160013,3.8142995
De Struise Brouwers,Kasteelstraat 50,,Oostvleteren,Belgium,8640,50.9318875,2.7354884
Deschutes Brewery,901 SW Simpson Ave,,Bend,OR,97702,44.7801883,-123.117885
Dogfish Head Craft Brewery,6 Village Center Boulevard,,Milton,DE,19968,40.4620769,-79.9643613
Einstök Ölgerð (Einstök Beer Company),18 Furuvellir,,Akureyri,Iceland,,65.6899168,-18.09738
Epic Brewing Company,825 State St,,Salt Lake City,UT,84111,40.1921625,-110.6785417
Equilibrium Brewery,22 Henry St,, Middletown,NY,10940,41.4461406,-74.4220944
Evil Twin Brewing,446 Kent Ave,Apt 14A,Brooklyn,NY,11249,44.04780638,-121.3246184
Exhibit 'A' Brewing Company,81 Morton St,,Framingham,MA,1702,42.2789104,-71.4038604
Fat Head's Brewery & Saloon,24581 Lorain Rd.,,North Olmstead,OH,44070,40.7088389,-73.969435
Fiddlehead Brewing Company,6305 Shelburne Rd,,Shelburne,VT,5482,44.3661445,-73.232595
Fieldwork Brewing Company,1805 Capitol Ave,,Sacramento,CA,95811,38.2263719,-122.4534353
FiftyFifty Brewing Company,11197 Brockway Rd,,Truckee,CA,96161,39.3214307,-120.1630273
Finback Brewery,7801 77th Ave,,Ridgewood,NY,11385,40.7066971,-73.875447
Firestone Walker Brewing Company,1400 Ramada Drive,,Paso Robles,CA,93446,35.59647955,-120.6944042
Flossmoor Station Restaurant & Brewery,1035 Sterling Ave,,Flossmoor,IL,60422,41.543227,-87.6808507
Flying Fish Brewing Company,900 Kennedy Blvd,,Somerdale,NJ,8083,39.8536248,-75.022274
Foam Brewers,112 Lake St,,Burlington,VT,5401,44.4791379,-73.2221856
Fort Hill Brewery,30 Fort Hill Rd,,Easthampton,MA,1027,42.2812571,-72.6423791
Foundation Brewing Company,1 Industrial Way?,,Portland,ME,4103,35.59647955,-120.6944042
Founders Brewing Company,235 Grandville Ave SW,,Grand Rapids,MI,49503,42.958697,-85.673522
Fremont Brewing Company,3409 Woodland Park Avenue North,,Seattle,WA,98103,43.7030253,-70.320296
Frost Beer Works,171 Commerce St,,Hinesburg,VT,5461,44.3354165,-73.111185
Fulton Beer,414 N 6th Ave,,Minneapolis,MN,55401,44.9849296,-93.2813915
Funky Buddha Brewery,1201 NE 38th St,,Oakland Park,FL,33334,26.17417107,-80.13144566
Goose Island Beer Company,1800 W Fulton St,,Chicago,IL,60612,47.64919175,-122.3444366
Grassroots Brewing,403 Hill Rd,,Greensboro Bend,VT,5842,44.6068317,-72.2653128
Great Lakes Brewing Company,2516 Market Ave,,Cleveland,OH,44113,41.4843807,-81.7067074
Great Notion Brewing,2204 NE Alberta St ,#101,"Portland, ",OR ,97211,45.5588904,-122.6426705
Green Man Brewery,27 Buxton Ave,,Asheville ,NC,28801,35.5886669,-82.5523973
Grimm Artisanal Ales,PO Box 150472,,Brooklyn,NY,11215,41.8869818,-87.6724
Hailstorm Brewing Company,8060 186th St,,Tinley Park,IL,60487,41.5535258,-87.817327
Hair of the Dog Brewing Company / Brewery and Tasting Room,61 SE Yamhill St,,Portland,OR,97214,34.0831712,-117.1419134
Half Acre Beer Company,4257 N Lincoln Ave,, Chicago,IL,60618,41.9593369,-87.6841635
Hangar 24 Brewery,1710 Sessums Drive,,Redlands,CA,92374,45.5160413,-122.6655235
Hardywood Park Craft Brewery,2410 Ownby Ln,,Richmond,VA,23220,40.22451332,-105.2676934
Haymarket Pub & Brewery,737 W. Randolph,,Chicago,IL,60661,41.8841279,-87.6494349
Heist Brewery,2901 N Davidson St,,Charlotte,NC,28205,35.245171,-80.809082
Henniker Brewing Company,129 Centervale Rd,,Henniker,NH,3242,43.17737,-71.7826537
Hill Farmstead Brewery,403 Hill Rd,,Greensboro Bend,VT,5842,44.6068317,-72.2653128
Holy Mountain Brewing Company,1421 Elliott Ave W,, Seattle,WA,98119,47.6308025,-122.3767013
Hoof Hearted Brewing,300 County Rd 26,,Marengo,CO,43334,37.5634246,-77.4580699
Hoppin' Frog Brewery,1680 E Waterloo Rd,,Akron,OH,44306,41.0245928,-81.4698994
Industrial Arts Brewing Company,55 W Railroad Ave #25,, Garnerville,NY,10923,41.208345,-73.9933576
Insight Brewing,2821 E Hennepin Ave,,Minneapolis,MN,55413,44.9919216,-93.2151561
Interboro Brewing,942 Grand St,,Brooklyn,NY,11211,40.712586,-73.9391357
Ithaca Beer Company,122 Ithaca Beer Dr,,Ithaca,NY,14850,42.416835,-76.5370487
J. Wakefield Brewing,120 NW 24th St,,Miami,FL,33127,25.7995463,-80.1975284
Jackie O's Pub & Brewery,24 W Union St,,Athens,OH,45701,25.7995463,-80.1975284
Jack's Abby Brewing,100 Clinton St,,Framingham,MA,1702,42.2801844,-71.4133563
Jester King Brewery,13005 Fitzhugh Road,Bld. B,Austin,TX,78736,40.2351985,-74.04515
Kane Brewing Company,1750 Bloomsbury Ave,,Ocean,NJ,7712,39.32764514,-82.10223129
Kern River Brewing Company,13415 Sierra Way,,Kernville,CA,93238,35.7574666,-118.4214856
Kuhnhenn Brewing Company,5919 Chicago Rd,,Warren,MI,48092,42.52771028,-83.04704389
La Cumbre Brewing Company,3313 Girard Blvd NE,,Albuquerque,NM,87107,35.11789781,-106.6138649
Lagunitas Brewing Company,1280 N McDowell Blvd,,Petaluma,CA,94954,38.27264795,-122.6619197
Lawson's Finest Liquids,Not Open to Public,,Warren,VT,5674,44.1143066,-73.1359318
Left Hand Brewing Company,1265 Boston Ave,,Longmont,CO,80501,40.1582861,-105.117212
Les Trois Mousquetaires,3755 Boulevard Matte,Local C,Brossard,QC ,J4Y 2P4,45.4312056,-73.4651899
LIC Beer Project,28 23rd St,,Long Island City,NY,11101,40.7549273,-73.9414153
Lift Bridge Brewery,1900 Tower Dr W,,Stillwater,MN,55082,45.0391054,-92.8317848
Live Oak Brewing Company,1615 Crozier Ln,,Del Valle,TX,78617,45.0391054,-92.8317848
Logsdon Farmhouse Ales,4785 Booth Hill Rd,,Hood River,OR,97031,30.221009,-97.660539
Long Trail Brewing Company,5520 US-4,,Bridgewater Corners,VT,5035,43.588444,-72.6618437
Lost Nation Brewing,87 Old Creamery Rd,, Morristown,VT,5661,44.569689,-72.6052707
Lupulin Brewing,570 Humboldt Drive,#107,Big Lake,MN,55309,45.331729,-93.7418207
Magnify Brewing Company,1275 Bloomfield Ave #40C,,Fairfield,NJ,7004,40.8619728,-74.3208386
Maine Beer Company,525 US Route 1,,Freeport,ME,4032,45.587153,-121.537576
Maplewood Brewery & Distillery,2717 N Maplewood Ave,,Chicago,IL,60647,41.9308614,-87.6934255
Maui Brewing Co - Brewpub,4405 Honoapiilani Highway,,Lahaina,HI,96761,20.8837129,-156.6819818
Melvin Brewing / Thai Me Up,624 Co Rd 101,,Alpine,WY,83128,43.1651305,-111.0404874
Midnight Sun Brewing Company,8111 Dimond Hook Dr,,Anchorage,AK,99507,61.1471249,-149.8445465
Mikkeller ApS,"Humletorvet 27, 3 sal",,Copenhagen,Denmark,0,40.682535,-76.19847
Minneapolis Town Hall Brewery,1430 Washington Ave S,,Minneapolis,MN,55454,44.9733314,-93.247714
Modern Times Beer,3725 Greenwood St,,San Diego,CA,92110,44.9733314,-93.247714
Monhegan Brewing Company,1 Boody Lane,,Monhegan,ME,4852,38.7703944,-75.31012439
