"Brewery","Beer","Rank","Style","ABV","Rating","Ratings","Reviews","Street","Street2","City","State","Zip"
"Side Project Brewing","Fuzzy",52,"American Wild Ale","8.00%",4.5,674,162,"7373 Marietta Ave","","Maplewood","MI","63143"
"SingleCut Beersmiths","Softly Spoken Magic Spells",168,"American Double / Imperial IPA","8.60%",4.4,521,26,"19-33 37th St","","Queens","NY","11105"
"Societe Brewing Company","The Pupil",220,"American IPA","7.80%",4.36,870,183,"8262 Clairemont Mesa Blvd","","San Diego","CA","92111"
"Stone Brewing","Stone Enjoy By Unfiltered IPA",206,"American Double / Imperial IPA","9.40%",4.37,1123,74,"1999 Citracado Parkway","","Escondido","CA","92029"
"Stone Brewing","Stone Enjoy By IPA",184,"American Double / Imperial IPA","9.40%",4.39,10504,6,"1999 Citracado Parkway","","Escondido","CA","92029"
"Stone Brewing","Imperial Russian Stout - Bourbon Barrel Aged",117,"Russian Imperial Stout","13.50%",4.43,1134,49,"1999 Citracado Parkway","","Escondido","CA","92029"
"Surly Brewing Company","Darkness",141,"Russian Imperial Stout","10.30%",4.41,3686,176,"4811 Dusharme Dr","","Brooklyn Center","MN","55429"
"Surly Brewing Company","Abrasive Ale",81,"American Double / Imperial IPA","9.00%",4.46,4435,185,"4811 Dusharme Dr","","Brooklyn Center","MN","55429"
"Surly Brewing Company","Todd The Axe Man",83,"American IPA","7.20%",4.46,2105,112,"4811 Dusharme Dr","","Brooklyn Center","MN","55429"
"The Alchemist","Crusher",92,"American Double / Imperial IPA","9.60%",4.45,1351,42,"35 Crossroad","","Waterbury","VT","5676"
"The Alchemist","Focal Banger",24,"American IPA","7.00%",4.56,2609,102,"35 Crossroad","","Waterbury","VT","5676"
"The Alchemist","Heady Topper",8,"American Double / Imperial IPA","8.00%",4.66,12883,64,"35 Crossroad","","Waterbury","VT","5676"
"The Bruery","Chocolate Rain",143,"American Double / Imperial Stout","18.50%",4.41,2583,108,"715 Dunn Way","","Placentia","CA","92870"
"The Bruery","Grey Monday",218,"American Double / Imperial Stout","19.50%",4.36,1655,36,"715 Dunn Way","","Placentia","CA","92870"
"The Bruery","Mocha Wednesday",247,"American Double / Imperial Stout","19.20%",4.35,1243,20,"715 Dunn Way","","Placentia","CA","92870"
"The Bruery","Black Tuesday",85,"American Double / Imperial Stout","19.20%",4.46,3759,157,"715 Dunn Way","","Placentia","CA","92870"
"The Lone Pint Brewery","Yellow Rose",194,"American IPA","6.80%",4.38,1564,73,"507 Commerce St","","Magnolia","TX","77355"
"The Lost Abbey","Box Set Track #10 - Bat Out Of Hell",222,"American Double / Imperial Stout","13.50%",4.36,965,33,"155 Mata Way #104","","San Marcos","CA","92069"
"The Lost Abbey","Duck Duck Gooze",48,"Gueuze","7.00%",4.5,1704,89,"155 Mata Way #104","","San Marcos","CA","92069"
"The Lost Abbey","Cable Car",86,"American Wild Ale","7.00%",4.46,958,79,"155 Mata Way #104","","San Marcos","CA","92069"
"Three Floyds Brewing Company","French Vanilla Militia",200,"Russian Imperial Stout","Imperial",4.37,107,76,"9750 Indiana Pkwy","","Munster","IN","46321"
"Three Floyds Brewing Company","Marshmallow Handjee (Bourbon Barrel Aged Vanilla Bean Dark Lord)",11,"Russian Imperial Stout","15.00%",4.63,1440,96,"9750 Indiana Pkwy","","Munster","IN","46321"
"Three Floyds Brewing Company","Dreadnaught IPA",167,"American Double / Imperial IPA","9.50%",4.4,5930,10,"9750 Indiana Pkwy","","Munster","IN","46321"
"Three Floyds Brewing Company","Permanent Funeral",113,"American Double / Imperial IPA","10.50%",4.44,2772,104,"9750 Indiana Pkwy","","Munster","IN","46321"
"Three Floyds Brewing Company","Bourbon Barrel Aged Dark Lord Imperial Stout",65,"Russian Imperial Stout","15.00%",4.48,799,62,"9750 Indiana Pkwy","","Munster","IN","46321"
"Three Floyds Brewing Company","Zombie Dust",38,"American Pale Ale (APA)","6.20%",4.52,9786,8,"9750 Indiana Pkwy","","Munster","IN","46321"
"Toppling Goliath Brewing Company","PseudoSue",61,"American Pale Ale (APA)","5.80%",4.49,3973,146,"310 College Dr","","Decorah","IO","52101"
"Toppling Goliath Brewing Company","Double Dry Hopped PseudoSue (Citra)",91,"American Pale Ale (APA)","5.80%",4.45,216,127,"310 College Dr","","Decorah","IO","52101"
"Toppling Goliath Brewing Company","Kentucky Brunch Brand Stout",2,"American Double / Imperial Stout","12.00%",4.7,529,182,"310 College Dr","","Decorah","IO","52101"
"Toppling Goliath Brewing Company","Sosus",108,"American Double / Imperial IPA","8.00%",4.44,1238,37,"310 College Dr","","Decorah","IO","52101"
"Toppling Goliath Brewing Company","King Sue",20,"American Double / Imperial IPA","8.00%",4.58,1613,61,"310 College Dr","","Decorah","IO","52101"
"Toppling Goliath Brewing Company","XHOPS (Gold Label)",190,"American Pale Ale (APA)","5.30%",4.38,383,161,"310 College Dr","","Decorah","IO","52101"
"Toppling Goliath Brewing Company","Mornin' Delight",5,"American Double / Imperial Stout","12.00%",4.66,1010,56,"310 College Dr","","Decorah","IO","52101"
"Toppling Goliath Brewing Company","Assassin Imperial Stout",58,"American Double / Imperial Stout","12.00%",4.49,1054,183,"310 College Dr","","Decorah","IO","52101"
"Tree House Brewing Company","Good Morning",1,"American Double / Imperial Stout","8.40%",4.72,1002,71,"160 E Hill Rd","","Monson","MA","1057"
"Tree House Brewing Company","Very Hazy",6,"American Double / Imperial IPA","8.60%",4.66,499,171,"160 E Hill Rd","","Monson","MA","1057"
"Tree House Brewing Company","Haze",45,"American Double / Imperial IPA","8.20%",4.51,1699,81,"160 E Hill Rd","","Monson","MA","1057"
"Tree House Brewing Company","In Perpetuity",50,"American IPA","6.70%",4.5,441,173,"160 E Hill Rd","","Monson","MA","1057"
"Tree House Brewing Company","King Julius",3,"American Double / Imperial IPA","8.30%",4.67,704,27,"160 E Hill Rd","","Monson","MA","1057"
"Tree House Brewing Company","King JJJuliusss",9,"American Double / Imperial IPA","8.40%",4.64,354,161,"160 E Hill Rd","","Monson","MA","1057"
"Tree House Brewing Company","Juice Machine",14,"American Double / Imperial IPA","8.20%",4.61,501,189,"160 E Hill Rd","","Monson","MA","1057"
"Tree House Brewing Company","Doppelganger",33,"American Double / Imperial IPA","8.20%",4.54,808,21,"160 E Hill Rd","","Monson","MA","1057"
"Tree House Brewing Company","Julius",12,"American IPA","6.80%",4.62,3175,136,"160 E Hill Rd","","Monson","MA","1057"
"Tree House Brewing Company","Very Green",17,"American Double / Imperial IPA","8.60%",4.6,470,159,"160 E Hill Rd","","Monson","MA","1057"
"Tree House Brewing Company","Curiosity Twenty Seven",191,"American Double / Imperial IPA","8.00%",4.38,92,70,"160 E Hill Rd","","Monson","MA","1057"
"Tree House Brewing Company","Double Shot",57,"American Stout","7.60%",4.49,776,163,"160 E Hill Rd","","Monson","MA","1057"
"Tree House Brewing Company","Green",29,"American IPA","7.60%",4.55,2011,92,"160 E Hill Rd","","Monson","MA","1057"
"Tree House Brewing Company","Triple Shot",144,"American Double / Imperial Stout","9.00%",4.41,254,101,"160 E Hill Rd","","Monson","MA","1057"
"Tree House Brewing Company","JJJuliusss",22,"American IPA","6.80%",4.57,331,142,"160 E Hill Rd","","Monson","MA","1057"
"Tree House Brewing Company","Alter Ego",35,"American IPA","6.80%",4.53,1567,78,"160 E Hill Rd","","Monson","MA","1057"
"Trillium Brewing Company","Double Dry Hopped Scaled",176,"American IPA","7.00%",4.39,555,161,"369 Congress St","","Boston","MA","2210"
"Trillium Brewing Company","Heavy Mettle",121,"American Double / Imperial IPA","9.30%",4.42,764,168,"369 Congress St","","Boston","MA","2210"
"Trillium Brewing Company","Cutting Tiles",68,"American Double / Imperial IPA","8.50%",4.48,982,38,"369 Congress St","","Boston","MA","2210"
"Trillium Brewing Company","Fort Point Pale Ale",99,"American Pale Ale (APA)","6.60%",4.45,1732,57,"369 Congress St","","Boston","MA","2210"
"Trillium Brewing Company","Scaled Up",185,"American Double / Imperial IPA","8.00%",4.38,595,175,"369 Congress St","","Boston","MA","2210"
"Trillium Brewing Company","Double Dry Hopped Melcher Street",201,"American IPA","7.30%",4.37,720,170,"369 Congress St","","Boston","MA","2210"
"Trillium Brewing Company","Dusk Trill Dawn",173,"American Double / Imperial Stout","11.50%",4.39,335,144,"369 Congress St","","Boston","MA","2210"
"Trillium Brewing Company","Double Dry Hopped Congress Street",32,"American IPA","7.20%",4.54,883,16,"369 Congress St","","Boston","MA","2210"
"Trillium Brewing Company","Galaxy Dry Hopped Fort Point Pale Ale",56,"American Pale Ale (APA)","6.60%",4.49,1387,44,"369 Congress St","","Boston","MA","2210"
"Trillium Brewing Company","Vicinity",177,"American Double / Imperial IPA","8.00%",4.39,1241,48,"369 Congress St","","Boston","MA","2210"
"Trillium Brewing Company","Scaled Way Up",70,"American Double / Imperial IPA","8.00%",4.47,325,135,"369 Congress St","","Boston","MA","2210"
"Trillium Brewing Company","Mosaic Dry Hopped Fort Point",107,"American Pale Ale (APA)","6.60%",4.44,888,14,"369 Congress St","","Boston","MA","2210"
"Trillium Brewing Company","Congress Street IPA",103,"American IPA","7.20%",4.45,1815,75,"369 Congress St","","Boston","MA","2210"
"Trillium Brewing Company","Double Dry Hopped Fort Point Pale Ale",62,"American Pale Ale (APA)","6.60%",4.48,1095,20,"369 Congress St","","Boston","MA","2210"
"Trillium Brewing Company","Upper Case",118,"American Double / Imperial IPA","9.00%",4.43,758,187,"369 Congress St","","Boston","MA","2210"
"Trillium Brewing Company","Double Dry Hopped Sleeper Street",160,"American IPA","7.20%",4.4,639,162,"369 Congress St","","Boston","MA","2210"
"Trillium Brewing Company","Dialed In (w/ Sauvignon Blanc Juice)",221,"American Double / Imperial IPA","8.50%",4.36,396,140,"369 Congress St","","Boston","MA","2210"
"Trillium Brewing Company","Headroom",44,"American Double / Imperial IPA","8.00%",4.51,408,155,"369 Congress St","","Boston","MA","2210"
"Voodoo Brewing Company","Grande Negro Voodoo Papi - Bourbon Barrel Aged",67,"American Double / Imperial Stout","12.50%",4.48,232,127,"215 Arch St","","Meadville","PA","16335"
"Westbrook Brewing Company","Mexican Cake",226,"American Double / Imperial Stout","10.50%",4.36,2619,105,"510 Ridge Rd","","Mount Pleasant","NC","29464"
"Willoughby Brewing","Nut Smasher",180,"American Double / Imperial Stout","11.00%",4.39,288,148,"4057 Erie Street","","Willoughby","OH","44094"
