"Brewery","Beer","Rank","Style","ABV","Rating","Ratings","Reviews","Street","Street2","City","State","Zip"
"Brothers Craft Brewing","Resolute - Coconut",40,"American Double / Imperial Stout","13.50%",4.52,182,135,"800 N Main St","","Harrisonburg","VA","22802"
"Brouwerij Drie Fonteinen","Drie Fonteinen Hommage",217,"Lambic - Fruit","6.00%",4.36,838,53,"3 Herman Teirlinckplein","","Beersel","Belgium","1650"
"Brouwerij Drie Fonteinen","Drie Fonteinen Oude Geuze Vintage",104,"Gueuze","6.00%",4.44,696,28,"3 Herman Teirlinckplein","","Beersel","Belgium","1650"
"Brouwerij Drie Fonteinen","Drie Fonteinen Zenne Y Frontera",74,"Lambic - Unblended","7.00%",4.47,116,101,"3 Herman Teirlinckplein","","Beersel","Belgium","1650"
"Brouwerij Drie Fonteinen","Drie Fonteinen Framboos",134,"Lambic - Fruit","5.00%",4.42,633,17,"3 Herman Teirlinckplein","","Beersel","Belgium","1650"
"Brouwerij Drie Fonteinen","Drie Fonteinen Oude Geuze Golden Blend",101,"Gueuze","7.50%",4.45,995,54,"3 Herman Teirlinckplein","","Beersel","Belgium","1650"
"Brouwerij Rodenbach N.V.","Rodenbach Caractère Rouge",166,"Flanders Red Ale","7.00%",4.4,1348,63,"Spanjestraat 133-141","","Roeselare","Belgium","8800"
"Brouwerij St. Bernardus NV","St. Bernardus Abt 12",130,"Quadrupel (Quad)","10.00%",4.42,9291,67,"Trappistenweg 23","","Watou","Belgium","8978"
"Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)","Trappist Westvleteren 12 (XII)",15,"Quadrupel (Quad)","10.20%",4.61,6156,12,"Donkerstraat 12","","Westvleteren","Belgium","8640"
"Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)","Trappist Westvleteren 8 (VIII)",72,"Dubbel","8.00%",4.47,2093,169,"Donkerstraat 12","","Westvleteren","Belgium","8640"
"Buxton Brewery","Buxton / Omnipollo Yellow Belly",230,"American Double / Imperial Stout","11.00%",4.36,228,133,"Staden Business Park","","Buxton","UK","SK17 9RZ"
"Cascade Brewing / Raccoon Lodge & Brewpub","Cascade Sang Noir",195,"American Wild Ale","9.50%",4.38,1592,72,"7424 SW Beaverton-Hillsdale Hwy","","Portland","OR","97225"
"Cigar City Brewing","Hunahpu's Imperial Stout - Double Barrel Aged",7,"American Double / Imperial Stout","11.00%",4.66,1326,28,"3924 W Spruce St","","Tampa","FL","33607"
"Cigar City Brewing","Hunahpu's Imperial Stout",49,"American Double / Imperial Stout","11.00%",4.5,3986,165,"3924 W Spruce St","","Tampa","FL","33607"
"Cigar City Brewing","Caffè Americano",100,"American Double / Imperial Stout","11.00%",4.45,940,25,"3924 W Spruce St","","Tampa","FL","33607"
"Cigar City Brewing","Decoherence",106,"American Double / Imperial Stout","12.90%",4.44,158,90,"3924 W Spruce St","","Tampa","FL","33607"
"Clown Shoes","Breakfast Exorcism",224,"American Double / Imperial Stout","11.00%",4.36,319,138,"23 Hayward St.","","Ipswich","MA","1938"
"Columbus Brewing Company","Columbus Bodhi DIPA",124,"American Double / Imperial IPA","8.50%",4.42,1399,60,"2555 Harrison Rd","","Columbus","OH","43204"
"Dark Horse Brewing Company","Dark Horse Bourbon Barrel Aged Plead The 5th",80,"Russian Imperial Stout","12.00%",4.46,3045,126,"511 South Kalamazoo Street","","Marshall","MI","49068"
"de Garde Brewing","Nectarine Premiere",119,"Saison / Farmhouse Ale","7.10%",4.43,180,86,"6000 Blimp Blvd","","Tillamook","OR","97141"
"de Garde Brewing","The Broken Truck",123,"Gueuze","5.00%",4.42,136,80,"6000 Blimp Blvd","","Tillamook","OR","97141"
"Deschutes Brewery","The Abyss",69,"American Double / Imperial Stout","12.20%",4.48,6843,13,"901 SW Simpson Ave","","Bend","OR","97702"
"Evil Twin Brewing","Evil Twin Double Barrel Jesus",84,"American Double / Imperial Stout","12.00%",4.46,579,160,"446 Kent Ave","Apt 14A","Brooklyn","NY","11249"
"Evil Twin Brewing","Imperial Biscotti Break Bourbon Barrel Aged",116,"American Double / Imperial Stout","11.50%",4.43,1535,35,"446 Kent Ave","Apt 14A","Brooklyn","NY","11249"
"Fat Head's Brewery & Saloon","Hop JuJu Imperial IPA",142,"American Double / Imperial IPA","9.00%",4.41,1965,83,"24581 Lorain Rd.","","North Olmstead","OH","44070"
"Fiddlehead Brewing Company","Mastermind",240,"American Double / Imperial IPA","8.10%",4.35,1305,40,"6305 Shelburne Rd","","Shelburne","VT","5482"
"Fiddlehead Brewing Company","Second Fiddle",156,"American Double / Imperial IPA","8.20%",4.4,1667,58,"6305 Shelburne Rd","","Shelburne","VT","5482"
"FiftyFifty Brewing Company","Imperial Eclipse Stout - Elijah Craig (12 Year)",131,"American Double / Imperial Stout","11.90%",4.42,1842,95,"11197 Brockway Rd","","Truckee","CA","96161"
"Firestone Walker Brewing Company","Stickee Monkee",125,"Quadrupel (Quad)","12.00%",4.42,2294,85,"1400 Ramada Drive","","Paso Robles","CA","93446"
"Firestone Walker Brewing Company","Parabajava",94,"Russian Imperial Stout","14.00%",4.45,577,162,"1400 Ramada Drive","","Paso Robles","CA","93446"
"Firestone Walker Brewing Company","Parabola",37,"Russian Imperial Stout","14.00%",4.53,6228,4,"1400 Ramada Drive","","Paso Robles","CA","93446"
"Firestone Walker Brewing Company","§ucaba",96,"English Barleywine","12.50%",4.45,4917,177,"1400 Ramada Drive","","Paso Robles","CA","93446"
"Foundation Brewing Company","Epiphany",164,"American Double / Imperial IPA","8.00%",4.4,828,28,"1 Industrial Way?","","Portland","ME","4103"
