"Brewery","Beer","Rank","Style","ABV","Rating","Ratings","Reviews","Street","Street2","City","State","Zip"
"Brasserie Cantillon","Cantillon Gueuze 100% Lambic",206,"Gueuze","5.00%",4.37,3095,154,"Rue Gheude 56","","Brussels","Belgium","1070"
"Brasserie Cantillon","Cantillon Lou Pepe - Gueuze",228,"Gueuze","5.00%",4.36,1100,71,"Rue Gheude 56","","Brussels","Belgium","1070"
"Brasserie Cantillon","Cantillon Fou' Foune",41,"Lambic - Fruit","5.00%",4.52,2781,139,"Rue Gheude 56","","Brussels","Belgium","1070"
"Brasserie Cantillon","Cantillon Saint Lamvinus",135,"Lambic - Fruit","5.00%",4.42,2005,133,"Rue Gheude 56","","Brussels","Belgium","1070"
"Brasserie Cantillon","Cantillon Lou Pepe - Framboise",132,"Lambic - Fruit","5.00%",4.42,1244,93,"Rue Gheude 56","","Brussels","Belgium","1070"
"Brasserie de Rochefort","Trappistes Rochefort 10",77,"Quadrupel (Quad)","11.30%",4.47,9038,67,"Rue de l'Abbaye 8","","Rochefort","Belgium","5580"
"Brasserie Dieu du Ciel!","Péché Mortel En Fût De Bourbon Américain",208,"American Double / Imperial Stout","9.50%",4.37,441,181,"29 Av Laurier O","","Montreal","QC","H2T 2N2"
"Brasserie Dieu du Ciel!","Péché Mortel",182,"American Double / Imperial Stout","9.50%",4.39,4998,11,"29 Av Laurier O","","Montreal","QC","H2T 2N2"
"Brothers Craft Brewing","Resolute - Coconut",40,"American Double / Imperial Stout","13.50%",4.52,181,134,"800 N Main St","","Harrisonburg","VA","22802"
"Brouwerij Drie Fonteinen","Drie Fonteinen Hommage",217,"Lambic - Fruit","6.00%",4.36,838,52,"3 Herman Teirlinckplein","","Beersel","Belgium","1650"
"Brouwerij Drie Fonteinen","Drie Fonteinen Oude Geuze Vintage",103,"Gueuze","6.00%",4.44,696,28,"3 Herman Teirlinckplein","","Beersel","Belgium","1650"
"Brouwerij Drie Fonteinen","Drie Fonteinen Framboos",134,"Lambic - Fruit","5.00%",4.42,633,17,"3 Herman Teirlinckplein","","Beersel","Belgium","1650"
"Brouwerij Drie Fonteinen","Drie Fonteinen Zenne Y Frontera",74,"Lambic - Unblended","7.00%",4.47,116,100,"3 Herman Teirlinckplein","","Beersel","Belgium","1650"
"Brouwerij Drie Fonteinen","Drie Fonteinen Oude Geuze Golden Blend",100,"Gueuze","7.50%",4.45,994,53,"3 Herman Teirlinckplein","","Beersel","Belgium","1650"
"Brouwerij Rodenbach N.V.","Rodenbach Caractère Rouge",165,"Flanders Red Ale","7.00%",4.4,1348,62,"Spanjestraat 133-141","","Roeselare","Belgium","8800"
"Brouwerij St. Bernardus NV","St. Bernardus Abt 12",130,"Quadrupel (Quad)","10.00%",4.42,9290,66,"Trappistenweg 23","","Watou","Belgium","8978"
"Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)","Trappist Westvleteren 8 (VIII)",72,"Dubbel","8.00%",4.47,2093,170,"Donkerstraat 12","","Westvleteren","Belgium","8640"
"Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)","Trappist Westvleteren 12 (XII)",15,"Quadrupel (Quad)","10.20%",4.61,6157,12,"Donkerstraat 12","","Westvleteren","Belgium","8640"
"Buxton Brewery","Buxton / Omnipollo Yellow Belly",229,"American Double / Imperial Stout","11.00%",4.36,227,132,"Staden Business Park","","Buxton","UK","SK17 9RZ"
"Cascade Brewing / Raccoon Lodge & Brewpub","Cascade Sang Noir",195,"American Wild Ale","9.50%",4.38,1592,71,"7424 SW Beaverton-Hillsdale Hwy","","Portland","OR","97225"
"Cigar City Brewing","Hunahpu's Imperial Stout - Double Barrel Aged",8,"American Double / Imperial Stout","11.00%",4.66,1325,27,"3924 W Spruce St","","Tampa","FL","33607"
"Cigar City Brewing","Hunahpu's Imperial Stout",49,"American Double / Imperial Stout","11.00%",4.5,3986,166,"3924 W Spruce St","","Tampa","FL","33607"
"Cigar City Brewing","Caffè Americano",99,"American Double / Imperial Stout","11.00%",4.45,939,25,"3924 W Spruce St","","Tampa","FL","33607"
"Cigar City Brewing","Decoherence",113,"American Double / Imperial Stout","12.90%",4.43,157,87,"3924 W Spruce St","","Tampa","FL","33607"
"Clown Shoes","Breakfast Exorcism",223,"American Double / Imperial Stout","11.00%",4.36,319,138,"23 Hayward St.","","Ipswich","MA","1938"
"Columbus Brewing Company","Columbus Bodhi DIPA",124,"American Double / Imperial IPA","8.50%",4.42,1398,59,"2555 Harrison Rd","","Columbus","OH","43204"
"Dark Horse Brewing Company","Dark Horse Bourbon Barrel Aged Plead The 5th",80,"Russian Imperial Stout","12.00%",4.46,3045,125,"511 South Kalamazoo Street","","Marshall","MI","49068"
"de Garde Brewing","Nectarine Premiere",119,"Saison / Farmhouse Ale","7.10%",4.43,180,85,"6000 Blimp Blvd","","Tillamook","OR","97141"
"de Garde Brewing","The Broken Truck",123,"Gueuze","5.00%",4.42,136,79,"6000 Blimp Blvd","","Tillamook","OR","97141"
"Deschutes Brewery","The Abyss",69,"American Double / Imperial Stout","12.20%",4.48,6843,13,"901 SW Simpson Ave","","Bend","OR","97702"
"Evil Twin Brewing","Evil Twin Double Barrel Jesus",85,"American Double / Imperial Stout","12.00%",4.46,579,161,"446 Kent Ave","Apt 14A","Brooklyn","NY","11249"
"Evil Twin Brewing","Imperial Biscotti Break Bourbon Barrel Aged",116,"American Double / Imperial Stout","11.50%",4.43,1535,34,"446 Kent Ave","Apt 14A","Brooklyn","NY","11249"
"Fat Head's Brewery & Saloon","Hop JuJu Imperial IPA",142,"American Double / Imperial IPA","9.00%",4.41,1965,82,"24581 Lorain Rd.","","North Olmstead","OH","44070"
"Fiddlehead Brewing Company","Second Fiddle",157,"American Double / Imperial IPA","8.20%",4.4,1667,57,"6305 Shelburne Rd","","Shelburne","VT","5482"
"Fiddlehead Brewing Company","Mastermind",239,"American Double / Imperial IPA","8.10%",4.35,1304,39,"6305 Shelburne Rd","","Shelburne","VT","5482"
"FiftyFifty Brewing Company","Imperial Eclipse Stout - Elijah Craig (12 Year)",131,"American Double / Imperial Stout","11.90%",4.42,1842,94,"11197 Brockway Rd","","Truckee","CA","96161"
"Firestone Walker Brewing Company","§ucaba",95,"English Barleywine","12.50%",4.45,4917,178,"1400 Ramada Drive","","Paso Robles","CA","93446"
"Firestone Walker Brewing Company","Parabajava",93,"Russian Imperial Stout","14.00%",4.45,575,163,"1400 Ramada Drive","","Paso Robles","CA","93446"
"Firestone Walker Brewing Company","Parabola",37,"Russian Imperial Stout","14.00%",4.53,6226,4,"1400 Ramada Drive","","Paso Robles","CA","93446"
"Firestone Walker Brewing Company","Stickee Monkee",125,"Quadrupel (Quad)","12.00%",4.42,2294,84,"1400 Ramada Drive","","Paso Robles","CA","93446"
"Foundation Brewing Company","Epiphany",163,"American Double / Imperial IPA","8.00%",4.4,828,28,"1 Industrial Way?","","Portland","ME","4103"
"Founders Brewing Company","Founders CBS Imperial Stout",13,"American Double / Imperial Stout","10.60%",4.62,4256,189,"235 Grandville Ave SW","","Grand Rapids","MI","49503"
"Founders Brewing Company","Founders KBS (Kentucky Breakfast Stout)",26,"American Double / Imperial Stout","12.40%",4.56,11991,96,"235 Grandville Ave SW","","Grand Rapids","MI","49503"
"Founders Brewing Company","Founders Breakfast Stout",76,"American Double / Imperial Stout","8.30%",4.47,16166,99,"235 Grandville Ave SW","","Grand Rapids","MI","49503"
"Fremont Brewing Company","Bourbon Barrel Aged Dark Star: Coffee Edition",164,"Oatmeal Stout","14.50%",4.4,520,140,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
"Fremont Brewing Company","Brew 1000 - Bourbon Barrel Aged",114,"English Barleywine","13.10%",4.43,157,105,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
"Fremont Brewing Company","The Rusty Nail",94,"American Double / Imperial Stout","13.20%",4.45,158,109,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
"Fremont Brewing Company","Bourbon Barrel Aged Dark Star Oatmeal Stout",126,"Oatmeal Stout","14.50%",4.42,404,147,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
"Fremont Brewing Company","Bourbon Abominable Winter Ale",236,"American Strong Ale","14.00%",4.35,1017,50,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
"Fremont Brewing Company","Bourbon Barrel Aged Abominable: Coffee And Cinnamon",66,"American Strong Ale","14.00%",4.48,713,184,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
"Funky Buddha Brewery","Snowed In - Bourbon Barrel Aged",53,"American Double / Imperial Stout","11.00%",4.5,274,122,"1201 NE 38th St","","Oakland Park","FL","33334"
"Funky Buddha Brewery","Last Buffalo In The Park",231,"American Double / Imperial Stout","11.50%",4.36,141,46,"1201 NE 38th St","","Oakland Park","FL","33334"
"Funky Buddha Brewery","Wide Awake It's Morning",88,"American Double / Imperial Stout","10.00%",4.46,616,20,"1201 NE 38th St","","Oakland Park","FL","33334"
"Funky Buddha Brewery","Maple Bacon Coffee Porter",127,"American Porter","6.40%",4.42,1689,81,"1201 NE 38th St","","Oakland Park","FL","33334"
"Funky Buddha Brewery","Last Snow",128,"American Porter","6.40%",4.42,1664,77,"1201 NE 38th St","","Oakland Park","FL","33334"
"Funky Buddha Brewery","Morning Wood",23,"American Porter","12.00%",4.57,547,179,"1201 NE 38th St","","Oakland Park","FL","33334"
"Goose Island Beer Company","Bourbon County Brand Stout",51,"American Double / Imperial Stout","13.80%",4.5,11894,68,"1800 W Fulton St","","Chicago","IL","60612"
"Goose Island Beer Company","Bourbon County Brand Barleywine Ale",78,"English Barleywine","12.10%",4.47,4941,143,"1800 W Fulton St","","Chicago","IL","60612"
"Goose Island Beer Company","Bourbon County Brand Coffee Stout",21,"American Double / Imperial Stout","13.40%",4.57,6878,3,"1800 W Fulton St","","Chicago","IL","60612"
"Grimm Artisanal Ales","Afterimage",137,"American Double / Imperial IPA","8.00%",4.41,425,167,"PO Box 150472","","Brooklyn","NY","11215"
"Grimm Artisanal Ales","Lumen",215,"American IPA","6.40%",4.36,248,120,"PO Box 150472","","Brooklyn","NY","11215"
"Grimm Artisanal Ales","Lambo Door",233,"American Double / Imperial IPA","8.00%",4.36,481,187,"PO Box 150472","","Brooklyn","NY","11215"
"Grimm Artisanal Ales","Tesseract",227,"American Double / Imperial IPA","8.00%",4.36,458,165,"PO Box 150472","","Brooklyn","NY","11215"
"Grimm Artisanal Ales","Magnetic Compass",237,"American IPA","6.40%",4.35,153,102,"PO Box 150472","","Brooklyn","NY","11215"
"Hair of the Dog Brewing Company / Brewery and Tasting Room","Matt",172,"American Strong Ale","11.50%",4.39,826,82,"61 SE Yamhill St","","Portland","OR","97214"
"Hair of the Dog Brewing Company / Brewery and Tasting Room","Adam From The Wood",110,"Old Ale","12.00%",4.44,939,49,"61 SE Yamhill St","","Portland","OR","97214"
"Hangar 24 Brewery","Pugachev Royale",209,"Russian Imperial Stout","14.80%",4.37,169,79,"1710 Sessums Drive","","Redlands","CA","92374"
"Heist Brewery","Citraquench'l",149,"American IPA","6.70%",4.41,90,85,"2901 N Davidson St","","Charlotte","NC","28205"
"Hill Farmstead Brewery","Abner",25,"American Double / Imperial IPA","8.20%",4.56,2515,115,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery","Double Citra",55,"American Double / Imperial IPA","8.00%",4.49,1694,71,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery","What Is Enlightenment?",249,"American Pale Ale (APA)","5.40%",4.34,872,19,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery","Aaron",204,"English Barleywine","BreweryEnglish",4.37,319,100,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery","Juicy",139,"Saison / Farmhouse Ale","7.40%",4.41,455,165,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery","Edward",189,"American Pale Ale (APA)","5.20%",4.38,2550,112,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery","Damon (Bourbon Barrel Aged)",205,"Russian Imperial Stout","10.50%",4.37,655,182,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery","Double Galaxy",39,"American Double / Imperial IPA","8.00%",4.52,1287,71,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery","Everett Porter",97,"American Porter","7.50%",4.45,2561,117,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery","Birth Of Tragedy",234,"American Porter","9.00%",4.35,1129,51,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery","Society & Solitude #6",175,"American Double / Imperial IPA","8.10%",4.39,668,162,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery","Susan",96,"American IPA","6.20%",4.45,1742,58,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery","Society & Solitude #4",42,"American Double / Imperial IPA","8.00%",4.51,1067,36,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery","Genealogy Of Morals (Bourbon Barrel Aged)",232,"American Double / Imperial Stout","10.70%",4.36,499,135,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery","Society & Solitude #5",90,"American Double / Imperial IPA","8.10%",4.46,1353,45,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery","Ephraim",75,"American Double / Imperial IPA","10.00%",4.47,1008,80,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery","Ann",31,"Saison / Farmhouse Ale","6.50%",4.55,333,168,"403 Hill Rd","","Greensboro Bend","VT","5842"
"J. Wakefield Brewing","Dragon Fruit Passion Fruit Berliner",148,"Berliner Weissbier","3.50%",4.41,282,126,"120 NW 24th St","","Miami","FL","33127"
"J. Wakefield Brewing","Miami Madness",129,"Berliner Weissbier","3.50%",4.42,275,124,"120 NW 24th St","","Miami","FL","33127"
"Jackie O's Pub & Brewery","Bourbon Barrel Black Maple",224,"American Porter","11.00%",4.36,871,181,"24 W Union St","","Athens","OH","45701"
"Jackie O's Pub & Brewery","Bourbon Barrel Champion Ground",115,"American Double / Imperial Stout","11.00%",4.43,380,162,"24 W Union St","","Athens","OH","45701"
"Jackie O's Pub & Brewery","Oro Negro",153,"American Double / Imperial Stout","10.00%",4.4,610,15,"24 W Union St","","Athens","OH","45701"
"Jackie O's Pub & Brewery","Bourbon Barrel Oro Negro",222,"American Double / Imperial Stout","11.00%",4.36,211,106,"24 W Union St","","Athens","OH","45701"
"Jester King Brewery","Montmorency Vs Balaton",160,"American Wild Ale","6.70%",4.4,674,142,"13005 Fitzhugh Road","Bld. B","Austin","TX","78736"
"Jester King Brewery","Atrial Rubicite",63,"American Wild Ale","5.80%",4.48,1657,42,"13005 Fitzhugh Road","Bld. B","Austin","TX","78736"
"Kane Brewing Company","Sunday Brunch",46,"American Porter","9.20%",4.5,456,138,"1750 Bloomsbury Ave","","Ocean","NJ","7712"
"Kane Brewing Company","Mexican Brunch",192,"American Porter","9.20%",4.38,165,69,"1750 Bloomsbury Ave","","Ocean","NJ","7712"
"Kern River Brewing Company","Winter Ale / 5th Anniversary Ale",193,"American Double / Imperial IPA","8.00%",4.38,272,182,"13415 Sierra Way","","Kernville","CA","93238"
"Kern River Brewing Company","Citra",30,"American Double / Imperial IPA","8.00%",4.55,1671,118,"13415 Sierra Way","","Kernville","CA","93238"
"Kuhnhenn Brewing Company","Kuhnhenn Raspberry Eisbock",212,"Eisbock","15.50%",4.37,1225,130,"5919 Chicago Rd","","Warren","MI","48092"
"Kuhnhenn Brewing Company","Kuhnhenn Bourbon Barrel Fourth Dementia",64,"Old Ale","13.50%",4.48,1879,121,"5919 Chicago Rd","","Warren","MI","48092"
"Lagunitas Brewing Company","Born Yesterday Pale Ale",156,"American Pale Ale (APA)","7.00%",4.4,2156,123,"1280 N McDowell Blvd","","Petaluma","CA","94954"
"Lagunitas Brewing Company","ScareCity #3: High West-ified Imperial Coffee Stout",230,"American Double / Imperial Stout","12.10%",4.36,1327,59,"1280 N McDowell Blvd","","Petaluma","CA","94954"
"Lawson's Finest Liquids","Double Sunshine IPA",34,"American Double / Imperial IPA","8.00%",4.54,2105,108,"Not Open to Public","","Warren","VT","5674"
"Lawson's Finest Liquids","Triple Sunshine IPA",36,"American Double / Imperial IPA","10.50%",4.53,571,142,"Not Open to Public","","Warren","VT","5674"
"Lawson's Finest Liquids","Sip Of Sunshine",28,"American Double / Imperial IPA","8.00%",4.55,4279,137,"Not Open to Public","","Warren","VT","5674"
"Lift Bridge Brewery","Barrel-Aged Silhouette",214,"Russian Imperial Stout","10.00%",4.36,338,120,"1900 Tower Dr W","","Stillwater","MN","55082"
"Live Oak Brewing Company","Live Oak HefeWeizen",243,"Hefeweizen","5.20%",4.35,1561,128,"1615 Crozier Ln","","Del Valle","TX","78617"
"Logsdon Farmhouse Ales","Peche 'n Brett",202,"Saison / Farmhouse Ale","10.00%",4.37,1239,49,"4785 Booth Hill Rd","","Hood River","OR","97031"
"Maine Beer Company","Dinner",10,"American Double / Imperial IPA","8.20%",4.63,1854,76,"525 US Route 1","","Freeport","ME","4032"
"Minneapolis Town Hall Brewery","Masala Mama India Pale Ale",250,"American IPA","6.00%",4.34,1359,159,"1430 Washington Ave S","","Minneapolis","MN","55454"
"New England Brewing Company","Fuzzy Baby Ducks IPA",89,"American IPA","6.20%",4.46,724,174,"175 Amity Rd","","Woodbridge","CT","6525"
"New England Brewing Company","Locust Reign",238,"American Double / Imperial IPA","8.50%",4.35,284,114,"175 Amity Rd","","Woodbridge","CT","6525"
"New England Brewing Company","Coriolis",152,"American Double / Imperial IPA","8.20%",4.41,530,153,"175 Amity Rd","","Woodbridge","CT","6525"
"New Glarus Brewing Company","Wisconsin Belgian Red",235,"Fruit / Vegetable Beer","4.00%",4.35,3496,191,"2400 Hwy 69","","New Glarus","WA","53574"
"New Glarus Brewing Company","Serendipity",240,"Fruit / Vegetable Beer","4.00%",4.35,2779,92,"2400 Hwy 69","","New Glarus","WA","53574"
"Noble Ale Works","Citra Showers",181,"American Double / Imperial IPA","8.80%",4.39,477,160,"1621 S Sinclair St","","Anaheim","CA","92806"
"Other Half Brewing Company","Mosaic IPA",216,"American IPA","7.20%",4.36,341,120,"195 Centre St","","Brooklyn","NY","11231"
"Other Half Brewing Company","All Green Everything",210,"American Double / Imperial IPA","10.50%",4.37,946,23,"195 Centre St","","Brooklyn","NY","11231"
"Ozark Beer Company","BDCS",79,"American Double / Imperial Stout","10.20%",4.47,301,142,"1700 S 1st St","","Rogers","AR","72756"
"Parish Brewing Company","Ghost In The Machine",171,"American Double / Imperial IPA","8.00%",4.39,519,174,"229 Jared Dr","","Broussard","LA","70518"
"Peg's Cantina & Brew Pub","Rare Scooop",170,"American Double / Imperial Stout","Imperial",4.39,93,69,"Closed","","","",""
"Peg's Cantina & Brew Pub","Trademark Dispute: Pallet 1",187,"American Double / Imperial Stout","10.40%",4.38,258,127,"Closed","","","",""
"Peg's Cantina & Brew Pub","Peg's G.O.O.D. RareR D.O.S.",133,"American Double / Imperial Stout","10.00%",4.42,725,18,"Closed","","","",""
"Peg's Cantina & Brew Pub","Trademark Dispute: Nooner 10",247,"American Double / Imperial Stout","12.00%",4.35,204,89,"Closed","","","",""
"Peg's Cantina & Brew Pub","Trademark Dispute: Hazelnut",136,"American Double / Imperial Stout","Imperial",4.42,124,75,"Closed","","","",""
"Peg's Cantina & Brew Pub","Trademark Dispute: &+",244,"American Double / Imperial Stout","10.50%",4.35,213,102,"Closed","","","",""
"Pelican Pub & Brewery","Mother Of All Storms",150,"English Barleywine","14.00%",4.41,1901,129,"33180 Cape Kiwanda Dr.","","Pacific City","OR","97135"
"Perennial Artisan Ales","Barrel-Aged Abraxas",17,"American Double / Imperial Stout","11.00%",4.6,1247,22,"8125 Michigan Ave","","Saint Louis","MI","63111"
"Perennial Artisan Ales","Abraxas",147,"American Double / Imperial Stout","10.00%",4.41,2314,90,"8125 Michigan Ave","","Saint Louis","MI","63111"
"Perrin Brewery","No Rules",104,"American Porter","15.00%",4.44,915,56,"5910 Comstock Park Dr NW","","Comstock Park","MI","49321"
"Pipeworks Brewing Company","Spotted Puffer",188,"American Double / Imperial IPA","9.50%",4.38,292,127,"3912 W McLean Ave","","Chicago","IL","60647"
"Pipeworks Brewing Company","Sure Bet",196,"American Double / Imperial IPA","9.50%",4.38,507,152,"3912 W McLean Ave","","Chicago","IL","60647"
"Prairie Artisan Ales","Prairie Pirate Bomb!",92,"American Double / Imperial Stout","14.00%",4.45,1866,62,"1803 S 49th West Ave","","Tulsa","OK","74107"
"Prairie Artisan Ales","Prairie Apple Brandy Noir",140,"American Double / Imperial Stout","12.00%",4.41,1377,54,"1803 S 49th West Ave","","Tulsa","OK","74107"
"Prairie Artisan Ales","Barrel Aged Bomb!",121,"American Double / Imperial Stout","11.20%",4.42,920,40,"1803 S 49th West Ave","","Tulsa","OK","74107"
"Prairie Artisan Ales","BOMB!",71,"American Double / Imperial Stout","13.00%",4.47,5605,175,"1803 S 49th West Ave","","Tulsa","OK","74107"
"Russian River Brewing Company","Supplication",54,"American Wild Ale","7.00%",4.49,6193,7,"725 4th St","","Santa Rosa","CA","95404"
"Russian River Brewing Company","Beatification",87,"American Wild Ale","5.50%",4.46,2581,145,"725 4th St","","Santa Rosa","CA","95404"
"Russian River Brewing Company","Pliny The Younger",4,"American Double / Imperial IPA","10.25%",4.66,2978,185,"725 4th St","","Santa Rosa","CA","95404"
"Russian River Brewing Company","Temptation",138,"American Wild Ale","7.50%",4.41,3615,1,"725 4th St","","Santa Rosa","CA","95404"
"Russian River Brewing Company","Pliny The Elder",16,"American Double / Imperial IPA","8.00%",4.6,14096,98,"725 4th St","","Santa Rosa","CA","95404"
"Russian River Brewing Company","Consecration",155,"American Wild Ale","10.00%",4.4,5170,2,"725 4th St","","Santa Rosa","CA","95404"
"Sante Adairius Rustic Ales","Saison Bernice",154,"Saison / Farmhouse Ale","6.50%",4.4,823,165,"103 Kennedy Dr","","Capitola","CA","95010"
"Sante Adairius Rustic Ales","West Ashley",168,"American Wild Ale","7.30%",4.4,931,180,"103 Kennedy Dr","","Capitola","CA","95010"
"Sante Adairius Rustic Ales","Westly",158,"American Wild Ale","8.50%",4.4,226,100,"103 Kennedy Dr","","Capitola","CA","95010"
"Side Project Brewing","Fuzzy",52,"American Wild Ale","8.00%",4.5,674,163,"7373 Marietta Ave","","Maplewood","MI","63143"
"Side Project Brewing","Saison Du Fermier",186,"Saison / Farmhouse Ale","7.00%",4.38,611,127,"7373 Marietta Ave","","Maplewood","MI","63143"
