"","Brewery","Beer","Street","Street2","City","State","Zip","Latitude","Longitude"
"50","Brasserie Cantillon","Cantillon Lou Pepe - Kriek","Rue Gheude 56","","Brussels","Belgium","1070","33.84913581",-117.8598915
"51","Brasserie Cantillon","Cantillon Lou Pepe - Framboise","Rue Gheude 56","","Brussels","Belgium","1070","33.84913581",-117.8598915
"52","Brasserie Cantillon","Cantillon Gueuze 100% Lambic","Rue Gheude 56","","Brussels","Belgium","1070","33.84913581",-117.8598915
"53","Brasserie Cantillon","Cantillon Lou Pepe - Gueuze","Rue Gheude 56","","Brussels","Belgium","1070","33.84913581",-117.8598915
"54","Brasserie Cantillon","Cantillon Blåbær Lambik","Rue Gheude 56","","Brussels","Belgium","1070","33.84913581",-117.8598915
"55","Brasserie de Rochefort","Trappistes Rochefort 10","Rue de l'Abbaye 8","","Rochefort","Belgium","5580","50.1782881,",5.2174297
"56","Brasserie Dieu du Ciel!","Péché Mortel","29 Av Laurier O","","Montreal","QC","H2T 2N2","45.5227334,",-73.5956284
"57","Brasserie Dieu du Ciel!","Péché Mortel En Fût De Bourbon Américain","29 Av Laurier O","","Montreal","QC","H2T 2N2","45.5227334,",-73.5956284
"58","Brothers Craft Brewing","Resolute - Coconut","800 N Main St","","Harrisonburg","VA","22802","38.45757",-78.861099
"59","Brouwerij 3 Fonteinen","Drie Fonteinen Oude Geuze Golden Blend","3 Herman Teirlinckplein","","Beersel","Belgium","1650","50.7648754,",4.2734747
"60","Brouwerij 3 Fonteinen","Drie Fonteinen Oude Geuze","3 Herman Teirlinckplein","","Beersel","Belgium","1650","50.7648754,",4.2734747
"61","Brouwerij 3 Fonteinen","Drie Fonteinen Zenne Y Frontera","3 Herman Teirlinckplein","","Beersel","Belgium","1650","50.7648754,",4.2734747
"62","Brouwerij 3 Fonteinen","Drie Fonteinen Hommage","3 Herman Teirlinckplein","","Beersel","Belgium","1650","50.7648754,",4.2734747
"63","Brouwerij 3 Fonteinen","Drie Fonteinen Framboos","3 Herman Teirlinckplein","","Beersel","Belgium","1650","50.7648754,",4.2734747
"64","Brouwerij 3 Fonteinen","Drie Fonteinen Oude Geuze Vintage","3 Herman Teirlinckplein","","Beersel","Belgium","1650","50.7648754,",4.2734747
