"Rank","Beer","Brewery","Style","ABV","Rating","Reviews","Hads"
1,"Good Morning","Tree House Brewing Company","American Double / Imperial Stout","8.40% ABV",4.71,52,879
2,"Kentucky Brunch Brand Stout","Toppling Goliath Brewing Company","American Double / Imperial Stout","12.00% ABV",4.69,170,482
3,"Mornin' Delight","Toppling Goliath Brewing Company","American Double / Imperial Stout","12.00% ABV",4.68,31,753
4,"Pliny The Younger","Russian River Brewing Company","American Double / Imperial IPA","11.00% ABV",4.66,180,2778
5,"Heady Topper","The Alchemist","American Double / Imperial IPA","8.00% ABV",4.66,55,11770
6,"Dinner","Maine Beer Company","American Double / Imperial IPA","8.20% ABV",4.64,44,1453
7,"Founders CBS Imperial Stout","Founders Brewing Company","American Double / Imperial Stout","10.60% ABV",4.62,185,4013
8,"Bourbon Barrel Aged Vanilla Bean Dark Lord","3 Floyds Brewing Co.","Russian Imperial Stout","15.00% ABV",4.61,87,1320
9,"Trappist Westvleteren 12 (XII)","Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)","Quadrupel (Quad)","10.20% ABV",4.6,15,5790
10,"Julius","Tree House Brewing Company","American IPA","6.80% ABV",4.6,102,2221
11,"Pliny The Elder","Russian River Brewing Company","American Double / Imperial IPA","8.00% ABV",4.6,95,13274
12,"Bourbon County Brand Coffee Stout","Goose Island Beer Co.","American Double / Imperial Stout","13.40% ABV",4.59,1,6526
13,"King Julius","Tree House Brewing Company","American Double / Imperial IPA","8.30% ABV",4.59,138,248
14,"Rare Bourbon County Brand Stout (2015)","Goose Island Beer Co.","American Double / Imperial Stout","14.50% ABV",4.56,158,375
15,"Barrel-Aged Abraxas","Perennial Artisan Ales","American Double / Imperial Stout","11.00% ABV",4.56,187,1110
16,"Fundamental Observation","Bottle Logic Brewing","American Double / Imperial Stout","14.30% ABV",4.56,161,312
17,"Focal Banger","The Alchemist","American IPA","7.00% ABV",4.56,41,1714
18,"Sip Of Sunshine","Lawson's Finest Liquids","American IPA","8.00% ABV",4.56,113,3366
19,"Founders KBS (Kentucky Breakfast Stout)","Founders Brewing Company","American Double / Imperial Stout","11.20% ABV",4.56,65,10965
20,"Abner","Hill Farmstead Brewery","American Double / Imperial IPA","8.20% ABV",4.56,108,2345
21,"Citra Double IPA","Kern River Brewing Company","American Double / Imperial IPA","8.00% ABV",4.55,112,1564
22,"King Sue","Toppling Goliath Brewing Company","American Double / Imperial IPA","8.00% ABV",4.55,23,1184
23,"Double Sunshine IPA","Lawson's Finest Liquids","American Double / Imperial IPA","8.00% ABV",4.54,101,1986
24,"Artaic","Trillium Brewing Company","American Double / Imperial IPA","8.50% ABV",4.54,173,569
25,"Zombie Dust","3 Floyds Brewing Co.","American Pale Ale (APA)","6.20% ABV",4.53,7,9087
26,"Parabola","Firestone Walker Brewing Co.","Russian Imperial Stout","14.00% ABV",4.53,3,5794
27,"Green","Tree House Brewing Company","American IPA","7.60% ABV",4.53,42,1204
28,"Morning Wood","Funky Buddha Brewery","American Porter","12.00% ABV",4.53,141,310
29,"SR-71 Blackbird (2015)","Toppling Goliath Brewing Company","American Double / Imperial Stout","14.00% ABV",4.53,119,359
30,"Triple Sunshine IPA","Lawson's Finest Liquids","American Double / Imperial IPA","10.50% ABV",4.52,131,503
31,"Ann","Hill Farmstead Brewery","Saison / Farmhouse Ale","6.50% ABV",4.51,151,264
32,"PseudoSue","Toppling Goliath Brewing Company","American Pale Ale (APA)","5.80% ABV",4.51,120,3239
33,"Double Galaxy","Hill Farmstead Brewery","American Double / Imperial IPA","8.00% ABV",4.51,47,1020
34,"Cantillon Fou' Foune","Brasserie Cantillon","Lambic - Fruit","5.00% ABV",4.5,132,2538
35,"In Perpetuity","Tree House Brewing Company","American IPA","6.70% ABV",4.5,149,270
36,"Duck Duck Gooze","The Lost Abbey","American Wild Ale","7.00% ABV",4.5,83,1549
37,"Hunahpu's Imperial Stout","Cigar City Brewing","American Double / Imperial Stout","11.00% ABV",4.5,162,3606
38,"Resolute - Coconut","Brothers Craft Brewing","American Double / Imperial Stout","13.50% ABV",4.5,88,55
39,"Bourbon County Brand Stout","Goose Island Beer Co.","American Double / Imperial Stout","13.80% ABV",4.5,64,11232
40,"Alter Ego","Tree House Brewing Company","American IPA","6.80% ABV",4.49,28,796
41,"Supplication","Russian River Brewing Company","American Wild Ale","7.00% ABV",4.49,8,5838
42,"Galaxy Dry Hopped Fort Point Pale Ale","Trillium Brewing Company","American Pale Ale (APA)","6.60% ABV",4.49,179,848
43,"Bell's Black Note Stout","Bell's Brewery, Inc.","American Double / Imperial Stout","11.40% ABV",4.49,143,3770
44,"Cantillon Blåbær Lambik","Brasserie Cantillon","Lambic - Fruit","5.00% ABV",4.49,76,677
45,"The Abyss","Deschutes Brewery","American Double / Imperial Stout","12.20% ABV",4.49,16,6355
46,"Society & Solitude #4","Hill Farmstead Brewery","American Double / Imperial IPA","8.00% ABV",4.48,27,869
47,"Bourbon County Brand Barleywine Ale","Goose Island Beer Co.","English Barleywine","12.10% ABV",4.48,134,4658
48,"Ephraim","Hill Farmstead Brewery","American Double / Imperial IPA","10.50% ABV",4.48,69,878
49,"Kuhnhenn Bourbon Barrel Fourth Dementia","Kuhnhenn Brewing Company","Old Ale","13.50% ABV",4.48,117,1784
50,"Double Citra","Hill Farmstead Brewery","American Double / Imperial IPA","8.00% ABV",4.48,49,1516
51,"Bourbon Barrel Aged Dark Lord Imperial Stout","3 Floyds Brewing Co.","Russian Imperial Stout","15.00% ABV",4.48,48,701
52,"Todd The Axe Man","Surly Brewing Company","American IPA","7.20% ABV",4.48,72,1292
53,"Trappist Westvleteren 8 (VIII)","Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)","Dubbel","8.00% ABV",4.47,169,1964
54,"BOMB!","Prairie Artisan Ales","American Double / Imperial Stout","13.00% ABV",4.47,157,4816
55,"Founders Breakfast Stout","Founders Brewing Company","American Double / Imperial Stout","8.30% ABV",4.47,96,15334
56,"Trappistes Rochefort 10","Brasserie de Rochefort","Quadrupel (Quad)","11.30% ABV",4.47,63,8584
57,"Haze","Tree House Brewing Company","American Double / Imperial IPA","8.20% ABV",4.47,27,947
