Rank,Beer,Brewery,Style,ABV,Rating,Reviews,Hads
224,Mastermind,Fiddlehead Brewing Company,American Double / Imperial IPA,8.10% ABV,4.32,16,1051
225,Fat Head's Head Hunter IPA,Fat Head's Brewery & Saloon,American IPA,7.50% ABV,4.32,141,3845
226,Heavy Mettle,Trillium Brewing Company,American Double / Imperial IPA,9.30% ABV,4.32,99,395
227,Wulver,Thirsty Dog Brewing Company,Scotch Ale / Wee Heavy,12.00% ABV,4.32,55,1482
228,Bourbon Barrel Aged Hi-Fi Rye,Flossmoor Station Restaurant & Brewery,American Barleywine,10.90% ABV,4.32,23,324
229,Lagunitas Sucks (Brown Shugga Substitute Ale),Lagunitas Brewing Company,American Double / Imperial IPA,7.85% ABV,4.32,9,9785
230,Pipeworks / 4 Hands Square Grouper,Pipeworks Brewing Company,American Double / Imperial IPA,NA,4.32,147,636
231,Crank IPA,Peg's Cantina & Brew Pub,American IPA,7.00% ABV,4.32,129,407
232,Bitter Monk,Anchorage Brewing Company,Belgian IPA,9.00% ABV,4.32,83,951
233,Blind Pig IPA,Russian River Brewing Company,American IPA,6.10% ABV,4.32,6,5465
234,Elevated IPA,La Cumbre Brewing Co.,American IPA,7.20% ABV,4.32,51,1217
235,Great Lakes Barrel-Aged Blackout Stout,Great Lakes Brewing Co.,Russian Imperial Stout,9.50% ABV,4.32,124,1742
236,Civil Disobedience #15,Hill Farmstead Brewery,Saison / Farmhouse Ale,11.00% ABV,4.32,102,149
237,Box Set Track #10 - Bat Out Of Hell,The Lost Abbey,American Double / Imperial Stout,13.50% ABV,4.31,173,671
238,Allagash Coolship Red,Allagash Brewing Company,Lambic - Fruit,5.70% ABV,4.31,172,469
239,Pure Hoppiness,Alpine Beer Company,American Double / Imperial IPA,8.00% ABV,4.31,178,3150
240,Older Viscosity,Port Brewing,American Double / Imperial Stout,12.00% ABV,4.31,166,2552
241,Ghost In The Machine,Parish Brewing Company,American Double / Imperial IPA,8.00% ABV,4.31,125,301
242,Kuhnhenn Bourbon Barrel Barley Wine,Kuhnhenn Brewing Company,English Barleywine,14.50% ABV,4.31,58,684
243,Mocha Wednesday,The Bruery,American Double / Imperial Stout,19.20% ABV,4.31,180,1018
244,Three Hour Tour,Minneapolis Town Hall Brewery,Milk / Sweet Stout,6.10% ABV,4.31,180,282
245,Sloth - Belgian-Style Imperial Stout,Midnight Sun Brewing Co.,Russian Imperial Stout,10.20% ABV,4.31,134,76
246,Grassroots Brother Soigné,Grassroots Brewing,Saison / Farmhouse Ale,5.00% ABV,4.31,25,1089
247,La Fin Du Monde,Unibroue,Tripel,9.00% ABV,4.31,71,9586
248,Mosaic IPA,Other Half Brewing Co.,American IPA,7.20% ABV,4.31,102,252
249,Genealogy Of Morals (Bourbon Barrel Aged),Hill Farmstead Brewery,American Double / Imperial Stout,10.70% ABV,4.31,119,405
250,Schneider Weisse Tap 6 Unser Aventinus,Weisses Bräuhaus G. Schneider & Sohn GmbH,Weizenbock,8.20% ABV,4.31,59,4249
