"Rank","Brewery","Beer","Style","ABV","Rating","Ratings","Reviews","Street","Street2","City","State","Zip"
38,"Toppling Goliath Brewing Company","Double Dry Hopped PseudoSue (Citra)","American Pale Ale (APA)","5.80%",4.53,345,146,"310 College Dr","","Decorah","IO","52101"
39,"Firestone Walker Brewing Company","Parabola","Russian Imperial Stout","14.00%",4.53,6281,4,"1400 Ramada Drive","","Paso Robles","CA","93446"
40,"Funky Buddha Brewery","Snowed In - Bourbon Barrel Aged","American Double / Imperial Stout","11.00%",4.53,346,141,"1201 NE 38th St","","Oakland Park","FL","33334"
41,"Hill Farmstead Brewery","Society & Solitude #4","American Double / Imperial IPA","8.00%",4.53,1092,34,"403 Hill Rd","","Greensboro Bend","VT","5842"
42,"Kane Brewing Company","Sunday Brunch","American Porter","9.20%",4.53,502,142,"1750 Bloomsbury Ave","","Ocean","NJ","7712"
43,"Three Floyds Brewing Company","Zombie Dust","American Pale Ale (APA)","6.20%",4.52,9885,8,"9750 Indiana Pkwy","","Munster","IN","46321"
44,"Hill Farmstead Brewery","Double Galaxy","American Double / Imperial IPA","8.00%",4.52,1307,63,"403 Hill Rd","","Greensboro Bend","VT","5842"
45,"Tree House Brewing Company","Haze","American Double / Imperial IPA","8.20%",4.52,1814,80,"160 E Hill Rd","","Monson","MA","1057"
46,"Bissell Brothers Brewing Company","Swish","American Double / Imperial IPA","8.00%",4.52,1029,35,"4 THOMPSONS PT","STE 108-109","Portland","ME","4102"
47,"Brasserie Cantillon","Cantillon Fou' Foune","Lambic - Fruit","5.00%",4.52,2817,133,"Rue Gheude 56","","Brussels","Belgium","1070"
48,"The Lost Abbey","Duck Duck Gooze","Gueuze","7.00%",4.51,1733,86,"155 Mata Way #104","","San Marcos","CA","92069"
49,"Toppling Goliath Brewing Company","Assassin Imperial Stout","American Double / Imperial Stout","12.00%",4.5,1093,14,"310 College Dr","","Decorah","IO","52101"
50,"Trillium Brewing Company","Headroom","American Double / Imperial IPA","8.00%",4.5,424,148,"369 Congress St","","Boston","MA","2210"
51,"Aslin Beer Company","Master Of Karate","American Double / Imperial IPA","8.40%",4.5,196,142,"1330 N Forest St","","Bellingham","WA","98225"
52,"Tree House Brewing Company","In Perpetuity","American IPA","6.70%",4.5,457,167,"160 E Hill Rd","","Monson","MA","1057"
53,"Cigar City Brewing","Hunahpu's Imperial Stout","American Double / Imperial Stout","11.00%",4.5,4032,159,"3924 W Spruce St","","Tampa","FL","33607"
54,"Goose Island Beer Company","Bourbon County Brand Stout","American Double / Imperial Stout","13.80%",4.5,12042,60,"1800 W Fulton St","","Chicago","IL","60612"
55,"Trillium Brewing Company","Galaxy Dry Hopped Fort Point Pale Ale","American Pale Ale (APA)","6.60%",4.49,1442,41,"369 Congress St","","Boston","MA","2210"
56,"Russian River Brewing Company","Supplication","American Wild Ale","7.00%",4.49,6234,7,"725 4th St","","Santa Rosa","CA","95404"
57,"Hill Farmstead Brewery","Double Citra","American Double / Imperial IPA","8.00%",4.49,1698,63,"403 Hill Rd","","Greensboro Bend","VT","5842"
58,"Tree House Brewing Company","Double Shot","American Stout","7.60%",4.49,809,158,"160 E Hill Rd","","Monson","MA","1057"
59,"Side Project Brewing","Fuzzy","American Wild Ale","8.00%",4.49,708,158,"7373 Marietta Ave","","Maplewood","MI","63143"
60,"Tree House Brewing Company","Doubleganger","American Double / Imperial IPA","8.20%",4.49,154,99,"160 E Hill Rd","","Monson","MA","1057"
61,"Brasserie Cantillon","Cantillon Blåbær Lambik","Lambic - Fruit","5.00%",4.49,774,81,"Rue Gheude 56","","Brussels","Belgium","1070"
62,"Trillium Brewing Company","Double Dry Hopped Fort Point Pale Ale","American Pale Ale (APA)","6.60%",4.49,1182,23,"369 Congress St","","Boston","MA","2210"
63,"Brouwerij Drie Fonteinen","Drie Fonteinen Zenne Y Frontera","Lambic - Unblended","7.00%",4.49,131,109,"3 Herman Teirlinckplein","","Beersel","Belgium","1650"
64,"Bell's Brewery, Inc.","Bell's Black Note Stout","American Double / Imperial Stout","11.40%",4.49,4186,149,"355 E. KALAMAZOO?AVE.","","Kalamazoo","MI","49007"
65,"Toppling Goliath Brewing Company","PseudoSue","American Pale Ale (APA)","5.80%",4.49,4072,143,"310 College Dr","","Decorah","IO","52101"
66,"Jester King Brewery","Atrial Rubicite","American Wild Ale","5.80%",4.48,1684,38,"13005 Fitzhugh Road","Bld. B","Austin","TX","78736"
67,"Fremont Brewing Company","Bourbon Barrel Aged Abominable: Coffee And Cinnamon","American Strong Ale","14.00%",4.48,747,181,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
68,"Three Floyds Brewing Company","Bourbon Barrel Aged Dark Lord Imperial Stout","Russian Imperial Stout","15.00%",4.48,808,54,"9750 Indiana Pkwy","","Munster","IN","46321"
69,"Kuhnhenn Brewing Company","Kuhnhenn Bourbon Barrel Fourth Dementia","Old Ale","13.50%",4.48,1890,119,"5919 Chicago Rd","","Warren","MI","48092"
70,"Fremont Brewing Company","The Rusty Nail","American Double / Imperial Stout","13.20%",4.48,182,116,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
71,"Deschutes Brewery","The Abyss","American Double / Imperial Stout","12.20%",4.48,6923,13,"901 SW Simpson Ave","","Bend","OR","97702"
72,"Trillium Brewing Company","Scaled Way Up","American Double / Imperial IPA","8.00%",4.47,331,129,"369 Congress St","","Boston","MA","2210"
73,"Trillium Brewing Company","Cutting Tiles (Mosaic)","American Double / Imperial IPA","8.50%",4.47,1062,36,"369 Congress St","","Boston","MA","2210"
74,"Boneyard Beer Company","Notorious Triple IPA","American Double / Imperial IPA","12.00%",4.47,736,177,"37 NW Lake Pl, Suite B","","Bend","OR","97701"
75,"Prairie Artisan Ales","BOMB!","American Double / Imperial Stout","13.00%",4.47,5708,170,"1803 S 49th West Ave","","Tulsa","OK","74107"
