"Brewery","Rank","Beer","Style","ABV","Rating","Ratings","Reviews","Street","Street2","City","State","Zip"
"4 Hands Brewing Company",195,"Madagascar","Milk / Sweet Stout","9.30%",4.38,619,160,"1220 S 8th St","","St. Louis","MO","63104"
"AleSmith Brewing Company",25,"AleSmith Speedway Stout - Vietnamese Coffee (Bourbon Barrel Aged)","American Double / Imperial Stout","12.00%",4.56,593,160,"9990 AleSmith Ct","","San Diego","CA","92126"
"AleSmith Brewing Company",212,"AleSmith Speedway Stout","American Double / Imperial Stout","12.00%",4.37,6607,9,"9990 AleSmith Ct","","San Diego","CA","92126"
"AleSmith Brewing Company",169,"AleSmith Speedway Stout - Vietnamese Coffee","American Double / Imperial Stout","12.00%",4.4,1656,39,"9990 AleSmith Ct","","San Diego","CA","92126"
"AleSmith Brewing Company",104,"AleSmith Speedway Stout - Bourbon Barrel Aged","American Double / Imperial Stout","12.00%",4.45,2053,113,"9990 AleSmith Ct","","San Diego","CA","92126"
"Alpine Beer Company",146,"Bad Boy","American Double / Imperial IPA","9.00%",4.41,549,30,"2363 Alpine Blvd","","Alpine","CA","91901"
"Alpine Beer Company",178,"Great","American Barleywine","14.00%",4.39,648,44,"2363 Alpine Blvd","","Alpine","CA","91901"
"Alpine Beer Company",204,"Nelson","American IPA","7.00%",4.37,4032,176,"2363 Alpine Blvd","","Alpine","CA","91901"
"Alpine Beer Company",199,"Exponential Hoppiness","American Double / Imperial IPA","11.00%",4.37,1292,123,"2363 Alpine Blvd","","Alpine","CA","91901"
"Alpine Beer Company",109,"Keene Idea","American Double / Imperial IPA","8.88%",4.44,445,156,"2363 Alpine Blvd","","Alpine","CA","91901"
"Anchorage Brewing Company",123,"A Deal With The Devil","American Barleywine","17.30%",4.43,945,29,"148 West 91st AveÊ","","Anchorage","AK","99515"
"Aslin Beer Company",155,"Orange Starfish","American IPA","5.70%",4.4,126,94,"1330 N Forest St","","Bellingham","WA","98225"
"Aslin Beer Company",242,"Mind The Hop","American Double / Imperial IPA","9.50%",4.35,83,91,"1330 N Forest St","","Bellingham","WA","98225"
"Aslin Beer Company",43,"Master Of Karate","American Double / Imperial IPA","8.40%",4.51,162,141,"1330 N Forest St","","Bellingham","WA","98225"
"Avery Brewing Company",249,"Uncle Jacob's Stout","American Double / Imperial Stout","17.10%",4.34,2545,121,"4910 Nautilus Ct","","Boulder","CO","80301"
"Avery Brewing Company",182,"Tweak","American Double / Imperial Stout","17.81%",4.39,2075,92,"4910 Nautilus Ct","","Boulder","CO","80301"
"Avery Brewing Company",226,"Callipygian","American Double / Imperial Stout","17.10%",4.36,355,162,"4910 Nautilus Ct","","Boulder","CO","80301"
"Ballast Point Brewing Company",193,"Sculpin IPA","American IPA","7.00%",4.38,13526,67,"9045 Carroll Way","","San Diego","CA","92121"
"Ballast Point Brewing Company",245,"Victory At Sea Coffee Vanilla Imperial Porter","American Porter","10.00%",4.35,6673,5,"9045 Carroll Way","","San Diego","CA","92121"
"Bayerische Staatsbrauerei Weihenstephan",166,"Weihenstephaner Hefeweissbier","Hefeweizen","5.40%",4.4,8114,68,"Alte Akademie 2","","Freising","Germany","85354"
"Bell's Brewery, Inc.",113,"Hopslam Ale","American Double / Imperial IPA","10.00%",4.44,12640,100,"355 E. KALAMAZOOÊAVE.","","Kalamazoo","MI","49007"
"Bell's Brewery, Inc.",60,"Bell's Black Note Stout","American Double / Imperial Stout","11.40%",4.49,4029,154,"355 E. KALAMAZOOÊAVE.","","Kalamazoo","MI","49007"
"Bissell Brothers Brewing Company",47,"Swish","American Double / Imperial IPA","8.00%",4.5,955,34,"4 THOMPSONS PT","STE 108-109","Portland","ME","4102"
"Boneyard Beer Company",74,"Notorious Triple IPA","American Double / Imperial IPA","12.00%",4.47,713,184,"37 NW Lake Pl, Suite B","","Bend","OR","97701"
"Boneyard Beer Company",240,"Hop Venom Double IPA","American Double / Imperial IPA","8.90%",4.35,901,24,"37 NW Lake Pl, Suite B","","Bend","OR","97701"
