"Brewery","Rank","Beer","Style","ABV","Rating","Ratings","Reviews","Street","Street2","City","State","Zip"
"Boston Beer Company (Samuel Adams)",164,"Samuel Adams Utopias","American Strong Ale","29.00%",4.4,2460,144,"30 Germania St","","Jamaica Plain","MA","2130"
"Bottle Logic Brewing",196,"Leche Borracho","American Double / Imperial Stout","11.00%",4.38,245,136,"1072 N Armando St","","Anaheim","CA","92806"
"Bottle Logic Brewing",174,"Ground State - 2nd Anniversary Beer","American Double / Imperial Stout","12.50%",4.39,362,153,"1072 N Armando St","","Anaheim","CA","92806"
"Bottle Logic Brewing",19,"Fundamental Observation","American Double / Imperial Stout","14.30%",4.59,678,32,"1072 N Armando St","","Anaheim","CA","92806"
"Brasserie Cantillon",84,"Cantillon Lou Pepe - Kriek","Lambic - Fruit","5.00%",4.46,1686,116,"Rue Gheude 56","","Brussels","Belgium","1070"
"Brasserie Cantillon",42,"Cantillon Fou' Foune","Lambic - Fruit","5.00%",4.52,2785,142,"Rue Gheude 56","","Brussels","Belgium","1070"
"Brasserie Cantillon",59,"Cantillon Blåbær Lambik","Lambic - Fruit","5.00%",4.49,764,89,"Rue Gheude 56","","Brussels","Belgium","1070"
"Brasserie Cantillon",137,"Cantillon Saint Lamvinus","Lambic - Fruit","5.00%",4.42,2007,137,"Rue Gheude 56","","Brussels","Belgium","1070"
"Brasserie Cantillon",229,"Cantillon Lou Pepe - Gueuze","Gueuze","5.00%",4.36,1100,74,"Rue Gheude 56","","Brussels","Belgium","1070"
"Brasserie Cantillon",134,"Cantillon Lou Pepe - Framboise","Lambic - Fruit","5.00%",4.42,1244,96,"Rue Gheude 56","","Brussels","Belgium","1070"
"Brasserie Cantillon",208,"Cantillon Gueuze 100% Lambic","Gueuze","5.00%",4.37,3096,157,"Rue Gheude 56","","Brussels","Belgium","1070"
"Brasserie de Rochefort",79,"Trappistes Rochefort 10","Quadrupel (Quad)","11.30%",4.47,9041,70,"Rue de l'Abbaye 8","","Rochefort","Belgium","5580"
"Brasserie Dieu du Ciel!",181,"Péché Mortel","American Double / Imperial Stout","9.50%",4.39,5001,11,"29 Av Laurier O","","Montreal","QC","H2T 2N2"
"Brasserie Dieu du Ciel!",206,"Péché Mortel En Fût De Bourbon Américain","American Double / Imperial Stout","9.50%",4.37,442,184,"29 Av Laurier O","","Montreal","QC","H2T 2N2"
"Brothers Craft Brewing",41,"Resolute - Coconut","American Double / Imperial Stout","13.50%",4.52,182,138,"800 N Main St","","Harrisonburg","VA","22802"
"Brouwerij Drie Fonteinen",215,"Drie Fonteinen Hommage","Lambic - Fruit","6.00%",4.36,838,52,"3 Herman Teirlinckplein","","Beersel","Belgium","1650"
"Brouwerij Drie Fonteinen",136,"Drie Fonteinen Framboos","Lambic - Fruit","5.00%",4.42,634,17,"3 Herman Teirlinckplein","","Beersel","Belgium","1650"
"Brouwerij Drie Fonteinen",95,"Drie Fonteinen Oude Geuze Vintage","Gueuze","6.00%",4.45,697,28,"3 Herman Teirlinckplein","","Beersel","Belgium","1650"
"Brouwerij Drie Fonteinen",103,"Drie Fonteinen Oude Geuze Golden Blend","Gueuze","7.50%",4.45,997,53,"3 Herman Teirlinckplein","","Beersel","Belgium","1650"
"Brouwerij Drie Fonteinen",75,"Drie Fonteinen Zenne Y Frontera","Lambic - Unblended","7.00%",4.47,117,103,"3 Herman Teirlinckplein","","Beersel","Belgium","1650"
"Brouwerij Rodenbach N.V.",148,"Rodenbach Caractère Rouge","Flanders Red Ale","7.00%",4.41,1350,65,"Spanjestraat 133-141","","Roeselare","Belgium","8800"
"Brouwerij St. Bernardus NV",132,"St. Bernardus Abt 12","Quadrupel (Quad)","10.00%",4.42,9297,69,"Trappistenweg 23","","Watou","Belgium","8978"
"Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)",73,"Trappist Westvleteren 8 (VIII)","Dubbel","8.00%",4.47,2094,173,"Donkerstraat 12","","Westvleteren","Belgium","8640"
"Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)",15,"Trappist Westvleteren 12 (XII)","Quadrupel (Quad)","10.20%",4.61,6157,12,"Donkerstraat 12","","Westvleteren","Belgium","8640"
"Buxton Brewery",230,"Buxton / Omnipollo Yellow Belly","American Double / Imperial Stout","11.00%",4.36,237,136,"Staden Business Park","","Buxton","UK","SK17 9RZ"
"Cascade Brewing / Raccoon Lodge & Brewpub",191,"Cascade Sang Noir","American Wild Ale","9.50%",4.38,1597,75,"7424 SW Beaverton-Hillsdale Hwy","","Portland","OR","97225"
"Cigar City Brewing",106,"Decoherence","American Double / Imperial Stout","12.90%",4.44,163,94,"3924 W Spruce St","","Tampa","FL","33607"
"Cigar City Brewing",7,"Hunahpu's Imperial Stout - Double Barrel Aged","American Double / Imperial Stout","11.00%",4.66,1328,28,"3924 W Spruce St","","Tampa","FL","33607"
"Cigar City Brewing",102,"Caffè Americano","American Double / Imperial Stout","11.00%",4.45,942,25,"3924 W Spruce St","","Tampa","FL","33607"
"Cigar City Brewing",49,"Hunahpu's Imperial Stout","American Double / Imperial Stout","11.00%",4.5,3992,169,"3924 W Spruce St","","Tampa","FL","33607"
"Clown Shoes",223,"Breakfast Exorcism","American Double / Imperial Stout","11.00%",4.36,319,141,"23 Hayward St.","","Ipswich","MA","1938"
"Columbus Brewing Company",126,"Columbus Bodhi DIPA","American Double / Imperial IPA","8.50%",4.42,1401,60,"2555 Harrison Rd","","Columbus","OH","43204"
"Dark Horse Brewing Company",81,"Dark Horse Bourbon Barrel Aged Plead The 5th","Russian Imperial Stout","12.00%",4.46,3048,129,"511 South Kalamazoo Street","","Marshall","MI","49068"
"de Garde Brewing",118,"The Broken Truck","Gueuze","5.00%",4.43,139,84,"6000 Blimp Blvd","","Tillamook","OR","97141"
"de Garde Brewing",122,"Nectarine Premiere","Saison / Farmhouse Ale","7.10%",4.43,182,91,"6000 Blimp Blvd","","Tillamook","OR","97141"
"Deschutes Brewery",69,"The Abyss","American Double / Imperial Stout","12.20%",4.48,6845,13,"901 SW Simpson Ave","","Bend","OR","97702"
"Evil Twin Brewing",119,"Imperial Biscotti Break Bourbon Barrel Aged","American Double / Imperial Stout","11.50%",4.43,1535,34,"446 Kent Ave","Apt 14A","Brooklyn","NY","11249"
"Evil Twin Brewing",83,"Evil Twin Double Barrel Jesus","American Double / Imperial Stout","12.00%",4.46,583,164,"446 Kent Ave","Apt 14A","Brooklyn","NY","11249"
"Fat Head's Brewery & Saloon",143,"Hop JuJu Imperial IPA","American Double / Imperial IPA","9.00%",4.41,1966,88,"24581 Lorain Rd.","","North Olmstead","OH","44070"
"Fiddlehead Brewing Company",158,"Second Fiddle","American Double / Imperial IPA","8.20%",4.4,1669,57,"6305 Shelburne Rd","","Shelburne","VT","5482"
"Fiddlehead Brewing Company",238,"Mastermind","American Double / Imperial IPA","8.10%",4.35,1307,40,"6305 Shelburne Rd","","Shelburne","VT","5482"
"FiftyFifty Brewing Company",133,"Imperial Eclipse Stout - Elijah Craig (12 Year)","American Double / Imperial Stout","11.90%",4.42,1843,97,"11197 Brockway Rd","","Truckee","CA","96161"
"Firestone Walker Brewing Company",98,"§ucaba","English Barleywine","12.50%",4.45,4922,181,"1400 Ramada Drive","","Paso Robles","CA","93446"
"Firestone Walker Brewing Company",93,"Parabajava","Russian Imperial Stout","14.00%",4.45,585,166,"1400 Ramada Drive","","Paso Robles","CA","93446"
"Firestone Walker Brewing Company",36,"Parabola","Russian Imperial Stout","14.00%",4.53,6231,4,"1400 Ramada Drive","","Paso Robles","CA","93446"
"Firestone Walker Brewing Company",127,"Stickee Monkee","Quadrupel (Quad)","12.00%",4.42,2295,90,"1400 Ramada Drive","","Paso Robles","CA","93446"
"Foundation Brewing Company",167,"Epiphany","American Double / Imperial IPA","8.00%",4.4,830,27,"1 Industrial Way?","","Portland","ME","4103"
"Founders Brewing Company",78,"Founders Breakfast Stout","American Double / Imperial Stout","8.30%",4.47,16173,102,"235 Grandville Ave SW","","Grand Rapids","MI","49503"
"Founders Brewing Company",13,"Founders CBS Imperial Stout","American Double / Imperial Stout","10.60%",4.62,4256,191,"235 Grandville Ave SW","","Grand Rapids","MI","49503"
"Founders Brewing Company",27,"Founders KBS (Kentucky Breakfast Stout)","American Double / Imperial Stout","12.40%",4.56,11994,99,"235 Grandville Ave SW","","Grand Rapids","MI","49503"
"Fremont Brewing Company",66,"Bourbon Barrel Aged Abominable: Coffee And Cinnamon","American Strong Ale","14.00%",4.48,714,186,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
"Fremont Brewing Company",235,"Bourbon Abominable Winter Ale","American Strong Ale","14.00%",4.35,1019,50,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
"Fremont Brewing Company",97,"The Rusty Nail","American Double / Imperial Stout","13.20%",4.45,160,112,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
"Fremont Brewing Company",116,"Brew 1000 - Bourbon Barrel Aged","English Barleywine","13.10%",4.43,158,107,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
"Fremont Brewing Company",128,"Bourbon Barrel Aged Dark Star Oatmeal Stout","Oatmeal Stout","14.50%",4.42,406,151,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
"Fremont Brewing Company",163,"Bourbon Barrel Aged Dark Star: Coffee Edition","Oatmeal Stout","14.50%",4.4,526,145,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
"Funky Buddha Brewery",23,"Morning Wood","American Porter","12.00%",4.57,558,183,"1201 NE 38th St","","Oakland Park","FL","33334"
"Funky Buddha Brewery",89,"Wide Awake It's Morning","American Porter","10.00%",4.46,623,21,"1201 NE 38th St","","Oakland Park","FL","33334"
"Funky Buddha Brewery",129,"Maple Bacon Coffee Porter","American Porter","6.40%",4.42,1691,86,"1201 NE 38th St","","Oakland Park","FL","33334"
"Funky Buddha Brewery",231,"Last Buffalo In The Park","American Double / Imperial Stout","11.50%",4.36,142,46,"1201 NE 38th St","","Oakland Park","FL","33334"
"Funky Buddha Brewery",53,"Snowed In - Bourbon Barrel Aged","American Double / Imperial Stout","11.00%",4.5,274,126,"1201 NE 38th St","","Oakland Park","FL","33334"
"Funky Buddha Brewery",130,"Last Snow","American Porter","6.40%",4.42,1669,83,"1201 NE 38th St","","Oakland Park","FL","33334"
"Goose Island Beer Company",80,"Bourbon County Brand Barleywine Ale","English Barleywine","12.10%",4.47,4948,146,"1800 W Fulton St","","Chicago","IL","60612"
"Goose Island Beer Company",21,"Bourbon County Brand Coffee Stout","American Double / Imperial Stout","13.40%",4.57,6883,3,"1800 W Fulton St","","Chicago","IL","60612"
"Goose Island Beer Company",51,"Bourbon County Brand Stout","American Double / Imperial Stout","13.80%",4.5,11909,71,"1800 W Fulton St","","Chicago","IL","60612"
"Grimm Artisanal Ales",227,"Tesseract","American Double / Imperial IPA","8.00%",4.36,460,168,"PO Box 150472","","Brooklyn","NY","11215"
"Grimm Artisanal Ales",233,"Lambo Door","American Double / Imperial IPA","8.00%",4.36,481,189,"PO Box 150472","","Brooklyn","NY","11215"
"Grimm Artisanal Ales",138,"Afterimage","American Double / Imperial IPA","8.00%",4.41,426,170,"PO Box 150472","","Brooklyn","NY","11215"
"Grimm Artisanal Ales",228,"Lumen","American IPA","6.40%",4.36,249,126,"PO Box 150472","","Brooklyn","NY","11215"
"Hair of the Dog Brewing Company / Brewery and Tasting Room",111,"Adam From The Wood","Old Ale","12.00%",4.44,940,49,"61 SE Yamhill St","","Portland","OR","97214"
"Hair of the Dog Brewing Company / Brewery and Tasting Room",172,"Matt","American Strong Ale","11.50%",4.39,826,88,"61 SE Yamhill St","","Portland","OR","97214"
"Hangar 24 Brewery",209,"Pugachev Royale","Russian Imperial Stout","14.80%",4.37,173,84,"1710 Sessums Drive","","Redlands","CA","92374"
"Heist Brewery",150,"Citraquench'l","American IPA","6.70%",4.41,90,91,"2901 N Davidson St","","Charlotte","NC","28205"
"Hill Farmstead Brewery",188,"Edward","American Pale Ale (APA)","5.20%",4.38,2550,115,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",234,"Birth Of Tragedy","American Porter","9.00%",4.35,1130,51,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",100,"Everett Porter","American Porter","7.50%",4.45,2562,120,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",99,"Susan","American IPA","6.20%",4.45,1746,58,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",176,"Society & Solitude #6","American Double / Imperial IPA","8.10%",4.39,668,164,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",28,"Ann","Saison / Farmhouse Ale","6.50%",4.56,334,171,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",40,"Double Galaxy","American Double / Imperial IPA","8.00%",4.52,1289,74,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",140,"Juicy","Saison / Farmhouse Ale","7.40%",4.41,458,168,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",207,"Damon (Bourbon Barrel Aged)","Russian Imperial Stout","10.50%",4.37,657,184,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",205,"Aaron","English Barleywine","BreweryEnglish",4.37,319,103,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",248,"What Is Enlightenment?","American Pale Ale (APA)","5.40%",4.34,872,19,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",55,"Double Citra","American Double / Imperial IPA","8.00%",4.49,1694,74,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",39,"Society & Solitude #4","American Double / Imperial IPA","8.00%",4.52,1068,37,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",26,"Abner","American Double / Imperial IPA","8.20%",4.56,2515,118,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",232,"Genealogy Of Morals (Bourbon Barrel Aged)","American Double / Imperial Stout","10.70%",4.36,500,138,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",76,"Ephraim","American Double / Imperial IPA","10.00%",4.47,1008,85,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery",91,"Society & Solitude #5","American Double / Imperial IPA","8.10%",4.46,1354,45,"403 Hill Rd","","Greensboro Bend","VT","5842"
"J. Wakefield Brewing",149,"Dragon Fruit Passion Fruit Berliner","Berliner Weissbier","3.50%",4.41,283,130,"120 NW 24th St","","Miami","FL","33127"
"J. Wakefield Brewing",131,"Miami Madness","Berliner Weissbier","3.50%",4.42,277,128,"120 NW 24th St","","Miami","FL","33127"
"Jackie O's Pub & Brewery",224,"Bourbon Barrel Black Maple","American Porter","11.00%",4.36,872,183,"24 W Union St","","Athens","OH","45701"
"Jackie O's Pub & Brewery",154,"Oro Negro","American Double / Imperial Stout","10.00%",4.4,612,15,"24 W Union St","","Athens","OH","45701"
"Jackie O's Pub & Brewery",115,"Bourbon Barrel Champion Ground","American Double / Imperial Stout","11.00%",4.44,388,165,"24 W Union St","","Athens","OH","45701"
"Jackie O's Pub & Brewery",221,"Bourbon Barrel Oro Negro","American Double / Imperial Stout","11.00%",4.36,219,109,"24 W Union St","","Athens","OH","45701"
"Jester King Brewery",162,"Montmorency Vs Balaton","American Wild Ale","6.70%",4.4,676,145,"13005 Fitzhugh Road","Bld. B","Austin","TX","78736"
"Jester King Brewery",63,"Atrial Rubicite","American Wild Ale","5.80%",4.48,1659,42,"13005 Fitzhugh Road","Bld. B","Austin","TX","78736"
"Kane Brewing Company",197,"Mexican Brunch","American Porter","9.20%",4.37,170,72,"1750 Bloomsbury Ave","","Ocean","NJ","7712"
"Kane Brewing Company",46,"Sunday Brunch","American Porter","9.20%",4.5,459,141,"1750 Bloomsbury Ave","","Ocean","NJ","7712"
"Kern River Brewing Company",201,"Winter Ale (5th Anniversary Ale)","American Double / Imperial IPA","8.00%",4.37,314,186,"13415 Sierra Way","","Kernville","CA","93238"
"Kern River Brewing Company",32,"Citra","American Double / Imperial IPA","8.00%",4.54,1680,122,"13415 Sierra Way","","Kernville","CA","93238"
"Kuhnhenn Brewing Company",211,"Kuhnhenn Raspberry Eisbock","Eisbock","15.50%",4.37,1225,134,"5919 Chicago Rd","","Warren","MI","48092"
"Kuhnhenn Brewing Company",64,"Kuhnhenn Bourbon Barrel Fourth Dementia","Old Ale","13.50%",4.48,1879,125,"5919 Chicago Rd","","Warren","MI","48092"
"Lagunitas Brewing Company",241,"ScareCity #3: High West-ified Imperial Coffee Stout","American Double / Imperial Stout","12.10%",4.35,1345,61,"1280 N McDowell Blvd","","Petaluma","CA","94954"
"Lagunitas Brewing Company",157,"Born Yesterday Pale Ale","American Pale Ale (APA)","7.00%",4.4,2164,127,"1280 N McDowell Blvd","","Petaluma","CA","94954"
"Lawson's Finest Liquids",33,"Double Sunshine IPA","American Double / Imperial IPA","8.00%",4.54,2105,111,"Not Open to Public","","Warren","VT","5674"
"Lawson's Finest Liquids",35,"Triple Sunshine IPA","American Double / Imperial IPA","10.50%",4.53,571,145,"Not Open to Public","","Warren","VT","5674"
"Lawson's Finest Liquids",29,"Sip Of Sunshine","American Double / Imperial IPA","8.00%",4.55,4284,140,"Not Open to Public","","Warren","VT","5674"
"Lift Bridge Brewery",213,"Barrel-Aged Silhouette","Russian Imperial Stout","10.00%",4.36,339,124,"1900 Tower Dr W","","Stillwater","MN","55082"
"Live Oak Brewing Company",243,"Live Oak HefeWeizen","Hefeweizen","5.20%",4.35,1563,132,"1615 Crozier Ln","","Del Valle","TX","78617"
"Logsdon Farmhouse Ales",203,"Peche 'n Brett","Saison / Farmhouse Ale","10.00%",4.37,1242,49,"4785 Booth Hill Rd","","Hood River","OR","97031"
"Maine Beer Company",10,"Dinner","American Double / Imperial IPA","8.20%",4.63,1856,81,"525 US Route 1","","Freeport","ME","4032"
"Minneapolis Town Hall Brewery",250,"Masala Mama India Pale Ale","American IPA","6.00%",4.34,1359,161,"1430 Washington Ave S","","Minneapolis","MN","55454"
"New England Brewing Company",90,"Fuzzy Baby Ducks IPA","American IPA","6.20%",4.46,725,177,"175 Amity Rd","","Woodbridge","CT","6525"
"New England Brewing Company",237,"Locust Reign","American Double / Imperial IPA","8.50%",4.35,286,117,"175 Amity Rd","","Woodbridge","CT","6525"
"New England Brewing Company",153,"Coriolis","American Double / Imperial IPA","8.20%",4.41,532,156,"175 Amity Rd","","Woodbridge","CT","6525"
"New Glarus Brewing Company",239,"Serendipity","Fruit / Vegetable Beer","4.00%",4.35,2780,95,"2400 Hwy 69","","New Glarus","WA","53574"
"New Glarus Brewing Company",236,"Wisconsin Belgian Red","Fruit / Vegetable Beer","4.00%",4.35,3498,193,"2400 Hwy 69","","New Glarus","WA","53574"
"Noble Ale Works",180,"Citra Showers","American Double / Imperial IPA","8.80%",4.39,477,162,"1621 S Sinclair St","","Anaheim","CA","92806"
"Other Half Brewing Company",210,"All Green Everything","American Double / Imperial IPA","10.50%",4.37,946,23,"195 Centre St","","Brooklyn","NY","11231"
"Other Half Brewing Company",214,"Mosaic IPA","American IPA","7.20%",4.36,346,124,"195 Centre St","","Brooklyn","NY","11231"
"Ozark Beer Company",77,"BDCS","American Double / Imperial Stout","10.20%",4.47,303,147,"1700 S 1st St","","Rogers","AR","72756"
"Parish Brewing Company",159,"Ghost In The Machine","American Double / Imperial IPA","8.00%",4.4,525,177,"229 Jared Dr","","Broussard","LA","70518"
"Peg's Cantina & Brew Pub",125,"Trademark Dispute: Hazelnut","American Double / Imperial Stout","Imperial",4.42,128,84,"Closed","","","",""
"Peg's Cantina & Brew Pub",246,"Trademark Dispute: Nooner 10","American Double / Imperial Stout","12.00%",4.35,205,94,"Closed","","","",""
"Peg's Cantina & Brew Pub",173,"Trademark Dispute: Pallet 1","American Double / Imperial Stout","10.40%",4.39,260,131,"Closed","","","",""
"Peg's Cantina & Brew Pub",171,"Rare Scooop","American Double / Imperial Stout","Imperial",4.39,95,72,"Closed","","","",""
"Peg's Cantina & Brew Pub",135,"Peg's G.O.O.D. RareR D.O.S.","American Double / Imperial Stout","10.00%",4.42,727,18,"Closed","","","",""
"Peg's Cantina & Brew Pub",244,"Trademark Dispute: &+","American Double / Imperial Stout","10.50%",4.35,215,105,"Closed","","","",""
"Pelican Pub & Brewery",151,"Mother Of All Storms","English Barleywine","14.00%",4.41,1901,133,"33180 Cape Kiwanda Dr.","","Pacific City","OR","97135"
"Perennial Artisan Ales",18,"Barrel-Aged Abraxas","American Double / Imperial Stout","11.00%",4.6,1247,22,"8125 Michigan Ave","","Saint Louis","MI","63111"
"Perennial Artisan Ales",147,"Abraxas","American Double / Imperial Stout","10.00%",4.41,2321,95,"8125 Michigan Ave","","Saint Louis","MI","63111"
"Perrin Brewery",96,"No Rules","American Porter","15.00%",4.45,928,59,"5910 Comstock Park Dr NW","","Comstock Park","MI","49321"
"Pipeworks Brewing Company",187,"Spotted Puffer","American Double / Imperial IPA","9.50%",4.38,292,131,"3912 W McLean Ave","","Chicago","IL","60647"
"Pipeworks Brewing Company",192,"Sure Bet","American Double / Imperial IPA","9.50%",4.38,508,155,"3912 W McLean Ave","","Chicago","IL","60647"
"Prairie Artisan Ales",94,"Prairie Pirate Bomb!","American Double / Imperial Stout","14.00%",4.45,1867,64,"1803 S 49th West Ave","","Tulsa","OK","74107"
"Prairie Artisan Ales",141,"Prairie Apple Brandy Noir","American Double / Imperial Stout","12.00%",4.41,1380,54,"1803 S 49th West Ave","","Tulsa","OK","74107"
"Prairie Artisan Ales",72,"BOMB!","American Double / Imperial Stout","13.00%",4.47,5610,178,"1803 S 49th West Ave","","Tulsa","OK","74107"
"Prairie Artisan Ales",114,"Barrel Aged Bomb!","American Double / Imperial Stout","11.20%",4.44,942,41,"1803 S 49th West Ave","","Tulsa","OK","74107"
"Russian River Brewing Company",54,"Supplication","American Wild Ale","7.00%",4.49,6195,7,"725 4th St","","Santa Rosa","CA","95404"
"Russian River Brewing Company",139,"Temptation","American Wild Ale","7.50%",4.41,3617,1,"725 4th St","","Santa Rosa","CA","95404"
"Russian River Brewing Company",4,"Pliny The Younger","American Double / Imperial IPA","10.25%",4.66,2979,187,"725 4th St","","Santa Rosa","CA","95404"
"Russian River Brewing Company",156,"Consecration","American Wild Ale","10.00%",4.4,5174,2,"725 4th St","","Santa Rosa","CA","95404"
"Russian River Brewing Company",17,"Pliny The Elder","American Double / Imperial IPA","8.00%",4.6,14102,101,"725 4th St","","Santa Rosa","CA","95404"
"Russian River Brewing Company",88,"Beatification","American Wild Ale","5.50%",4.46,2582,148,"725 4th St","","Santa Rosa","CA","95404"
"Sante Adairius Rustic Ales",160,"Westly","American Wild Ale","8.50%",4.4,229,103,"103 Kennedy Dr","","Capitola","CA","95010"
"Sante Adairius Rustic Ales",170,"West Ashley","American Wild Ale","7.30%",4.4,932,182,"103 Kennedy Dr","","Capitola","CA","95010"
"Sante Adairius Rustic Ales",152,"Saison Bernice","Saison / Farmhouse Ale","6.50%",4.41,823,170,"103 Kennedy Dr","","Capitola","CA","95010"
"Side Project Brewing",186,"Saison Du Fermier","Saison / Farmhouse Ale","7.00%",4.38,611,131,"7373 Marietta Ave","","Maplewood","MI","63143"
"Side Project Brewing",217,"Derivation #6 (Cinnamon, Cocoa Nibs And Ugandan Vanilla)","American Double / Imperial Stout","15.00%",4.36,39,31,"7373 Marietta Ave","","Maplewood","MI","63143"
"Side Project Brewing",52,"Fuzzy","American Wild Ale","8.00%",4.5,677,165,"7373 Marietta Ave","","Maplewood","MI","63143"
