"Brewery","Beer","Rank","Style","ABV","Rating","Ratings","Reviews","Street","Street2","City","State","Zip"
"4 Hands Brewing Company","Madagascar",196,"Milk / Sweet Stout","9.30%",4.38,619,162,"1220 S 8th St","","St. Louis","MO","63104"
"AleSmith Brewing Company","AleSmith Speedway Stout",212,"American Double / Imperial Stout","12.00%",4.37,6607,9,"9990 AleSmith Ct","","San Diego","CA","92126"
"AleSmith Brewing Company","AleSmith Speedway Stout - Vietnamese Coffee",169,"American Double / Imperial Stout","12.00%",4.4,1655,40,"9990 AleSmith Ct","","San Diego","CA","92126"
"AleSmith Brewing Company","AleSmith Speedway Stout - Bourbon Barrel Aged",104,"American Double / Imperial Stout","12.00%",4.45,2053,115,"9990 AleSmith Ct","","San Diego","CA","92126"
"AleSmith Brewing Company","AleSmith Speedway Stout - Vietnamese Coffee (Bourbon Barrel Aged)",25,"American Double / Imperial Stout","12.00%",4.56,593,162,"9990 AleSmith Ct","","San Diego","CA","92126"
"Alpine Beer Company","Nelson",204,"American IPA","7.00%",4.37,4032,178,"2363 Alpine Blvd","","Alpine","CA","91901"
"Alpine Beer Company","Bad Boy",146,"American Double / Imperial IPA","9.00%",4.41,549,31,"2363 Alpine Blvd","","Alpine","CA","91901"
"Alpine Beer Company","Keene Idea",109,"American Double / Imperial IPA","8.88%",4.44,445,158,"2363 Alpine Blvd","","Alpine","CA","91901"
"Alpine Beer Company","Great",178,"American Barleywine","14.00%",4.39,648,46,"2363 Alpine Blvd","","Alpine","CA","91901"
"Alpine Beer Company","Exponential Hoppiness",200,"American Double / Imperial IPA","11.00%",4.37,1292,125,"2363 Alpine Blvd","","Alpine","CA","91901"
"Anchorage Brewing Company","A Deal With The Devil",123,"American Barleywine","17.30%",4.43,945,30,"148 West 91st AveÊ","","Anchorage","AK","99515"
"Aslin Beer Company","Mind The Hop",242,"American Double / Imperial IPA","9.50%",4.35,83,92,"1330 N Forest St","","Bellingham","WA","98225"
"Aslin Beer Company","Orange Starfish",155,"American IPA","5.70%",4.4,126,95,"1330 N Forest St","","Bellingham","WA","98225"
"Aslin Beer Company","Master Of Karate",43,"American Double / Imperial IPA","8.40%",4.51,161,143,"1330 N Forest St","","Bellingham","WA","98225"
"Avery Brewing Company","Tweak",182,"American Double / Imperial Stout","17.81%",4.39,2075,93,"4910 Nautilus Ct","","Boulder","CO","80301"
"Avery Brewing Company","Uncle Jacob's Stout",249,"American Double / Imperial Stout","17.10%",4.34,2545,123,"4910 Nautilus Ct","","Boulder","CO","80301"
"Avery Brewing Company","Callipygian",226,"American Double / Imperial Stout","17.10%",4.36,355,164,"4910 Nautilus Ct","","Boulder","CO","80301"
"Ballast Point Brewing Company","Sculpin IPA",195,"American IPA","7.00%",4.38,13526,68,"9045 Carroll Way","","San Diego","CA","92121"
"Ballast Point Brewing Company","Victory At Sea Coffee Vanilla Imperial Porter",245,"American Porter","10.00%",4.35,6673,5,"9045 Carroll Way","","San Diego","CA","92121"
"Bayerische Staatsbrauerei Weihenstephan","Weihenstephaner Hefeweissbier",166,"Hefeweizen","5.40%",4.4,8113,69,"Alte Akademie 2","","Freising","Germany","85354"
"Bell's Brewery, Inc.","Bell's Black Note Stout",60,"American Double / Imperial Stout","11.40%",4.49,4029,156,"355 E. KALAMAZOOÊAVE.","","Kalamazoo","MI","49007"
"Bell's Brewery, Inc.","Hopslam Ale",113,"American Double / Imperial IPA","10.00%",4.44,12640,102,"355 E. KALAMAZOOÊAVE.","","Kalamazoo","MI","49007"
"Bissell Brothers Brewing Company","Swish",47,"American Double / Imperial IPA","8.00%",4.5,954,35,"4 THOMPSONS PT","STE 108-109","Portland","ME","4102"
"Boneyard Beer Company","Notorious Triple IPA",73,"American Double / Imperial IPA","12.00%",4.47,713,186,"37 NW Lake Pl, Suite B","","Bend","OR","97701"
"Boneyard Beer Company","Hop Venom Double IPA",240,"American Double / Imperial IPA","8.90%",4.35,901,25,"37 NW Lake Pl, Suite B","","Bend","OR","97701"
"Boston Beer Company (Samuel Adams)","Samuel Adams Utopias",164,"American Strong Ale","29.00%",4.4,2460,146,"30 Germania St","","Jamaica Plain","MA","2130"
"Bottle Logic Brewing","Leche Borracho",197,"American Double / Imperial Stout","11.00%",4.38,244,138,"1072 N Armando St","","Anaheim","CA","92806"
"Bottle Logic Brewing","Fundamental Observation",19,"American Double / Imperial Stout","14.30%",4.59,678,33,"1072 N Armando St","","Anaheim","CA","92806"
"Bottle Logic Brewing","Ground State - 2nd Anniversary Beer",174,"American Double / Imperial Stout","12.50%",4.39,361,155,"1072 N Armando St","","Anaheim","CA","92806"
"Brasserie Cantillon","Cantillon Blåbær Lambik",59,"Lambic - Fruit","5.00%",4.49,764,90,"Rue Gheude 56","","Brussels","Belgium","1070"
"Brasserie Cantillon","Cantillon Lou Pepe - Gueuze",229,"Gueuze","5.00%",4.36,1100,75,"Rue Gheude 56","","Brussels","Belgium","1070"
"Brasserie Cantillon","Cantillon Gueuze 100% Lambic",208,"Gueuze","5.00%",4.37,3096,159,"Rue Gheude 56","","Brussels","Belgium","1070"
"Brasserie Cantillon","Cantillon Saint Lamvinus",136,"Lambic - Fruit","5.00%",4.42,2007,139,"Rue Gheude 56","","Brussels","Belgium","1070"
"Brasserie Cantillon","Cantillon Fou' Foune",42,"Lambic - Fruit","5.00%",4.52,2785,144,"Rue Gheude 56","","Brussels","Belgium","1070"
"Brasserie Cantillon","Cantillon Lou Pepe - Framboise",133,"Lambic - Fruit","5.00%",4.42,1244,98,"Rue Gheude 56","","Brussels","Belgium","1070"
"Brasserie Cantillon","Cantillon Lou Pepe - Kriek",84,"Lambic - Fruit","5.00%",4.46,1686,118,"Rue Gheude 56","","Brussels","Belgium","1070"
"Brasserie de Rochefort","Trappistes Rochefort 10",79,"Quadrupel (Quad)","11.30%",4.47,9041,71,"Rue de l'Abbaye 8","","Rochefort","Belgium","5580"
"Brasserie Dieu du Ciel!","Péché Mortel",181,"American Double / Imperial Stout","9.50%",4.39,5001,11,"29 Av Laurier O","","Montreal","QC","H2T 2N2"
