"Brewery","Beer","Rank","Style","ABV","Rating","Ratings","Reviews","Street","Street2","City","State","Zip"
"Brasserie Dieu du Ciel!","Péché Mortel En Fût De Bourbon Américain",206,"American Double / Imperial Stout","9.50%",4.37,442,186,"29 Av Laurier O","","Montreal","QC","H2T 2N2"
"Brothers Craft Brewing","Resolute - Coconut",41,"American Double / Imperial Stout","13.50%",4.52,182,140,"800 N Main St","","Harrisonburg","VA","22802"
"Brouwerij Drie Fonteinen","Drie Fonteinen Oude Geuze Vintage",95,"Gueuze","6.00%",4.45,697,29,"3 Herman Teirlinckplein","","Beersel","Belgium","1650"
"Brouwerij Drie Fonteinen","Drie Fonteinen Oude Geuze Golden Blend",103,"Gueuze","7.50%",4.45,997,55,"3 Herman Teirlinckplein","","Beersel","Belgium","1650"
"Brouwerij Drie Fonteinen","Drie Fonteinen Zenne Y Frontera",75,"Lambic - Unblended","7.00%",4.47,116,105,"3 Herman Teirlinckplein","","Beersel","Belgium","1650"
"Brouwerij Drie Fonteinen","Drie Fonteinen Framboos",135,"Lambic - Fruit","5.00%",4.42,634,17,"3 Herman Teirlinckplein","","Beersel","Belgium","1650"
"Brouwerij Drie Fonteinen","Drie Fonteinen Hommage",215,"Lambic - Fruit","6.00%",4.36,838,54,"3 Herman Teirlinckplein","","Beersel","Belgium","1650"
"Brouwerij Rodenbach N.V.","Rodenbach Caractère Rouge",148,"Flanders Red Ale","7.00%",4.41,1350,66,"Spanjestraat 133-141","","Roeselare","Belgium","8800"
"Brouwerij St. Bernardus NV","St. Bernardus Abt 12",131,"Quadrupel (Quad)","10.00%",4.42,9297,70,"Trappistenweg 23","","Watou","Belgium","8978"
"Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)","Trappist Westvleteren 8 (VIII)",72,"Dubbel","8.00%",4.47,2094,175,"Donkerstraat 12","","Westvleteren","Belgium","8640"
"Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)","Trappist Westvleteren 12 (XII)",15,"Quadrupel (Quad)","10.20%",4.61,6157,12,"Donkerstraat 12","","Westvleteren","Belgium","8640"
"Buxton Brewery","Buxton / Omnipollo Yellow Belly",230,"American Double / Imperial Stout","11.00%",4.36,237,138,"Staden Business Park","","Buxton","UK","SK17 9RZ"
"Cascade Brewing / Raccoon Lodge & Brewpub","Cascade Sang Noir",193,"American Wild Ale","9.50%",4.38,1597,76,"7424 SW Beaverton-Hillsdale Hwy","","Portland","OR","97225"
"Cigar City Brewing","Hunahpu's Imperial Stout - Double Barrel Aged",7,"American Double / Imperial Stout","11.00%",4.66,1328,29,"3924 W Spruce St","","Tampa","FL","33607"
"Cigar City Brewing","Decoherence",106,"American Double / Imperial Stout","12.90%",4.44,162,95,"3924 W Spruce St","","Tampa","FL","33607"
"Cigar City Brewing","Hunahpu's Imperial Stout",49,"American Double / Imperial Stout","11.00%",4.5,3992,171,"3924 W Spruce St","","Tampa","FL","33607"
"Cigar City Brewing","Caffè Americano",102,"American Double / Imperial Stout","11.00%",4.45,941,26,"3924 W Spruce St","","Tampa","FL","33607"
"Clown Shoes","Breakfast Exorcism",223,"American Double / Imperial Stout","11.00%",4.36,319,143,"23 Hayward St.","","Ipswich","MA","1938"
"Columbus Brewing Company","Columbus Bodhi DIPA",125,"American Double / Imperial IPA","8.50%",4.42,1401,61,"2555 Harrison Rd","","Columbus","OH","43204"
"Dark Horse Brewing Company","Dark Horse Bourbon Barrel Aged Plead The 5th",81,"Russian Imperial Stout","12.00%",4.46,3048,131,"511 South Kalamazoo Street","","Marshall","MI","49068"
"de Garde Brewing","Nectarine Premiere",122,"Saison / Farmhouse Ale","7.10%",4.43,182,92,"6000 Blimp Blvd","","Tillamook","OR","97141"
"de Garde Brewing","The Broken Truck",118,"Gueuze","5.00%",4.43,138,85,"6000 Blimp Blvd","","Tillamook","OR","97141"
"Deschutes Brewery","The Abyss",69,"American Double / Imperial Stout","12.20%",4.48,6844,13,"901 SW Simpson Ave","","Bend","OR","97702"
"Evil Twin Brewing","Imperial Biscotti Break Bourbon Barrel Aged",119,"American Double / Imperial Stout","11.50%",4.43,1535,35,"446 Kent Ave","Apt 14A","Brooklyn","NY","11249"
"Evil Twin Brewing","Evil Twin Double Barrel Jesus",83,"American Double / Imperial Stout","12.00%",4.46,583,166,"446 Kent Ave","Apt 14A","Brooklyn","NY","11249"
"Fat Head's Brewery & Saloon","Hop JuJu Imperial IPA",143,"American Double / Imperial IPA","9.00%",4.41,1966,89,"24581 Lorain Rd.","","North Olmstead","OH","44070"
"Fiddlehead Brewing Company","Second Fiddle",158,"American Double / Imperial IPA","8.20%",4.4,1669,59,"6305 Shelburne Rd","","Shelburne","VT","5482"
"Fiddlehead Brewing Company","Mastermind",238,"American Double / Imperial IPA","8.10%",4.35,1307,41,"6305 Shelburne Rd","","Shelburne","VT","5482"
"FiftyFifty Brewing Company","Imperial Eclipse Stout - Elijah Craig (12 Year)",132,"American Double / Imperial Stout","11.90%",4.42,1843,99,"11197 Brockway Rd","","Truckee","CA","96161"
"Firestone Walker Brewing Company","Parabajava",92,"Russian Imperial Stout","14.00%",4.45,584,168,"1400 Ramada Drive","","Paso Robles","CA","93446"
"Firestone Walker Brewing Company","§ucaba",97,"English Barleywine","12.50%",4.45,4920,183,"1400 Ramada Drive","","Paso Robles","CA","93446"
"Firestone Walker Brewing Company","Parabola",37,"Russian Imperial Stout","14.00%",4.53,6231,4,"1400 Ramada Drive","","Paso Robles","CA","93446"
"Firestone Walker Brewing Company","Stickee Monkee",126,"Quadrupel (Quad)","12.00%",4.42,2295,91,"1400 Ramada Drive","","Paso Robles","CA","93446"
"Foundation Brewing Company","Epiphany",167,"American Double / Imperial IPA","8.00%",4.4,829,28,"1 Industrial Way?","","Portland","ME","4103"
"Founders Brewing Company","Founders CBS Imperial Stout",13,"American Double / Imperial Stout","10.60%",4.62,4256,193,"235 Grandville Ave SW","","Grand Rapids","MI","49503"
"Founders Brewing Company","Founders KBS (Kentucky Breakfast Stout)",27,"American Double / Imperial Stout","12.40%",4.56,11994,101,"235 Grandville Ave SW","","Grand Rapids","MI","49503"
"Founders Brewing Company","Founders Breakfast Stout",78,"American Double / Imperial Stout","8.30%",4.47,16171,104,"235 Grandville Ave SW","","Grand Rapids","MI","49503"
"Fremont Brewing Company","Bourbon Abominable Winter Ale",235,"American Strong Ale","14.00%",4.35,1019,52,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
"Fremont Brewing Company","Bourbon Barrel Aged Dark Star: Coffee Edition",163,"Oatmeal Stout","14.50%",4.4,524,147,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
"Fremont Brewing Company","Bourbon Barrel Aged Abominable: Coffee And Cinnamon",66,"American Strong Ale","14.00%",4.48,714,188,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
"Fremont Brewing Company","Brew 1000 - Bourbon Barrel Aged",115,"English Barleywine","13.10%",4.43,158,109,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
"Fremont Brewing Company","The Rusty Nail",96,"American Double / Imperial Stout","13.20%",4.45,160,114,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
"Fremont Brewing Company","Bourbon Barrel Aged Dark Star Oatmeal Stout",127,"Oatmeal Stout","14.50%",4.42,405,153,"3409 Woodland Park Avenue North","","Seattle","WA","98103"
"Funky Buddha Brewery","Wide Awake It's Morning",89,"American Double / Imperial Stout","10.00%",4.46,620,22,"1201 NE 38th St","","Oakland Park","FL","33334"
"Funky Buddha Brewery","Maple Bacon Coffee Porter",128,"American Porter","6.40%",4.42,1690,87,"1201 NE 38th St","","Oakland Park","FL","33334"
"Funky Buddha Brewery","Morning Wood",23,"American Porter","12.00%",4.57,557,185,"1201 NE 38th St","","Oakland Park","FL","33334"
"Funky Buddha Brewery","Snowed In - Bourbon Barrel Aged",53,"American Double / Imperial Stout","11.00%",4.5,274,128,"1201 NE 38th St","","Oakland Park","FL","33334"
"Funky Buddha Brewery","Last Buffalo In The Park",231,"American Double / Imperial Stout","11.50%",4.36,142,48,"1201 NE 38th St","","Oakland Park","FL","33334"
"Funky Buddha Brewery","Last Snow",129,"American Porter","6.40%",4.42,1668,84,"1201 NE 38th St","","Oakland Park","FL","33334"
"Goose Island Beer Company","Bourbon County Brand Stout",51,"American Double / Imperial Stout","13.80%",4.5,11909,72,"1800 W Fulton St","","Chicago","IL","60612"
"Goose Island Beer Company","Bourbon County Brand Coffee Stout",21,"American Double / Imperial Stout","13.40%",4.57,6881,3,"1800 W Fulton St","","Chicago","IL","60612"
"Goose Island Beer Company","Bourbon County Brand Barleywine Ale",80,"English Barleywine","12.10%",4.47,4946,148,"1800 W Fulton St","","Chicago","IL","60612"
"Grimm Artisanal Ales","Lambo Door",233,"American Double / Imperial IPA","8.00%",4.36,481,191,"PO Box 150472","","Brooklyn","NY","11215"
"Grimm Artisanal Ales","Tesseract",227,"American Double / Imperial IPA","8.00%",4.36,460,170,"PO Box 150472","","Brooklyn","NY","11215"
"Grimm Artisanal Ales","Lumen",228,"American IPA","6.40%",4.36,249,128,"PO Box 150472","","Brooklyn","NY","11215"
"Grimm Artisanal Ales","Afterimage",138,"American Double / Imperial IPA","8.00%",4.41,425,172,"PO Box 150472","","Brooklyn","NY","11215"
"Hair of the Dog Brewing Company / Brewery and Tasting Room","Adam From The Wood",111,"Old Ale","12.00%",4.44,940,51,"61 SE Yamhill St","","Portland","OR","97214"
"Hair of the Dog Brewing Company / Brewery and Tasting Room","Matt",172,"American Strong Ale","11.50%",4.39,826,89,"61 SE Yamhill St","","Portland","OR","97214"
"Hangar 24 Brewery","Pugachev Royale",209,"Russian Imperial Stout","14.80%",4.37,171,85,"1710 Sessums Drive","","Redlands","CA","92374"
"Heist Brewery","Citraquench'l",150,"American IPA","6.70%",4.41,90,92,"2901 N Davidson St","","Charlotte","NC","28205"
"Hill Farmstead Brewery","Everett Porter",100,"American Porter","7.50%",4.45,2562,122,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery","Society & Solitude #6",176,"American Double / Imperial IPA","8.10%",4.39,668,166,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery","Ann",28,"Saison / Farmhouse Ale","6.50%",4.56,334,173,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery","Edward",189,"American Pale Ale (APA)","5.20%",4.38,2550,117,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery","Damon (Bourbon Barrel Aged)",207,"Russian Imperial Stout","10.50%",4.37,657,186,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery","Aaron",205,"English Barleywine","BreweryEnglish",4.37,319,105,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery","Susan",99,"American IPA","6.20%",4.45,1746,60,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery","Birth Of Tragedy",234,"American Porter","9.00%",4.35,1130,53,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery","Double Citra",55,"American Double / Imperial IPA","8.00%",4.49,1694,75,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery","Society & Solitude #4",39,"American Double / Imperial IPA","8.00%",4.52,1068,38,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery","Ephraim",76,"American Double / Imperial IPA","10.00%",4.47,1008,86,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery","Genealogy Of Morals (Bourbon Barrel Aged)",232,"American Double / Imperial Stout","10.70%",4.36,500,140,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery","Abner",26,"American Double / Imperial IPA","8.20%",4.56,2515,120,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery","Society & Solitude #5",91,"American Double / Imperial IPA","8.10%",4.46,1354,47,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery","Double Galaxy",40,"American Double / Imperial IPA","8.00%",4.52,1289,75,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery","Juicy",140,"Saison / Farmhouse Ale","7.40%",4.41,456,170,"403 Hill Rd","","Greensboro Bend","VT","5842"
"Hill Farmstead Brewery","What Is Enlightenment?",248,"American Pale Ale (APA)","5.40%",4.34,872,19,"403 Hill Rd","","Greensboro Bend","VT","5842"
"J. Wakefield Brewing","Miami Madness",130,"Berliner Weissbier","3.50%",4.42,277,130,"120 NW 24th St","","Miami","FL","33127"
"J. Wakefield Brewing","Dragon Fruit Passion Fruit Berliner",149,"Berliner Weissbier","3.50%",4.41,282,132,"120 NW 24th St","","Miami","FL","33127"
"Jackie O's Pub & Brewery","Bourbon Barrel Black Maple",224,"American Porter","11.00%",4.36,872,185,"24 W Union St","","Athens","OH","45701"
"Jackie O's Pub & Brewery","Oro Negro",154,"American Double / Imperial Stout","10.00%",4.4,612,15,"24 W Union St","","Athens","OH","45701"
"Jackie O's Pub & Brewery","Bourbon Barrel Champion Ground",116,"American Double / Imperial Stout","11.00%",4.43,386,166,"24 W Union St","","Athens","OH","45701"
"Jackie O's Pub & Brewery","Bourbon Barrel Oro Negro",221,"American Double / Imperial Stout","11.00%",4.36,217,111,"24 W Union St","","Athens","OH","45701"
"Jester King Brewery","Montmorency Vs Balaton",162,"American Wild Ale","6.70%",4.4,676,147,"13005 Fitzhugh Road","Bld. B","Austin","TX","78736"
"Jester King Brewery","Atrial Rubicite",63,"American Wild Ale","5.80%",4.48,1659,44,"13005 Fitzhugh Road","Bld. B","Austin","TX","78736"
"Kane Brewing Company","Mexican Brunch",198,"American Porter","9.20%",4.37,170,73,"1750 Bloomsbury Ave","","Ocean","NJ","7712"
"Kane Brewing Company","Sunday Brunch",46,"American Porter","9.20%",4.5,459,143,"1750 Bloomsbury Ave","","Ocean","NJ","7712"
"Kern River Brewing Company","Citra",32,"American Double / Imperial IPA","8.00%",4.54,1678,124,"13415 Sierra Way","","Kernville","CA","93238"
"Kern River Brewing Company","Winter Ale / 5th Anniversary Ale",191,"American Double / Imperial IPA","8.00%",4.38,274,186,"13415 Sierra Way","","Kernville","CA","93238"
"Kuhnhenn Brewing Company","Kuhnhenn Bourbon Barrel Fourth Dementia",64,"Old Ale","13.50%",4.48,1879,127,"5919 Chicago Rd","","Warren","MI","48092"
"Kuhnhenn Brewing Company","Kuhnhenn Raspberry Eisbock",211,"Eisbock","15.50%",4.37,1225,137,"5919 Chicago Rd","","Warren","MI","48092"
"Lagunitas Brewing Company","Born Yesterday Pale Ale",157,"American Pale Ale (APA)","7.00%",4.4,2163,129,"1280 N McDowell Blvd","","Petaluma","CA","94954"
"Lagunitas Brewing Company","ScareCity #3: High West-ified Imperial Coffee Stout",241,"American Double / Imperial Stout","12.10%",4.35,1343,62,"1280 N McDowell Blvd","","Petaluma","CA","94954"
"Lawson's Finest Liquids","Sip Of Sunshine",29,"American Double / Imperial IPA","8.00%",4.55,4283,142,"Not Open to Public","","Warren","VT","5674"
"Lawson's Finest Liquids","Double Sunshine IPA",34,"American Double / Imperial IPA","8.00%",4.54,2105,113,"Not Open to Public","","Warren","VT","5674"
"Lawson's Finest Liquids","Triple Sunshine IPA",36,"American Double / Imperial IPA","10.50%",4.53,571,147,"Not Open to Public","","Warren","VT","5674"
"Lift Bridge Brewery","Barrel-Aged Silhouette",213,"Russian Imperial Stout","10.00%",4.36,338,126,"1900 Tower Dr W","","Stillwater","MN","55082"
"Live Oak Brewing Company","Live Oak HefeWeizen",243,"Hefeweizen","5.20%",4.35,1562,134,"1615 Crozier Ln","","Del Valle","TX","78617"
"Logsdon Farmhouse Ales","Peche 'n Brett",203,"Saison / Farmhouse Ale","10.00%",4.37,1242,51,"4785 Booth Hill Rd","","Hood River","OR","97031"
"Maine Beer Company","Dinner",10,"American Double / Imperial IPA","8.20%",4.63,1856,82,"525 US Route 1","","Freeport","ME","4032"
"Minneapolis Town Hall Brewery","Masala Mama India Pale Ale",250,"American IPA","6.00%",4.34,1359,163,"1430 Washington Ave S","","Minneapolis","MN","55454"
"New England Brewing Company","Locust Reign",237,"American Double / Imperial IPA","8.50%",4.35,285,119,"175 Amity Rd","","Woodbridge","CT","6525"
"New England Brewing Company","Fuzzy Baby Ducks IPA",90,"American IPA","6.20%",4.46,725,179,"175 Amity Rd","","Woodbridge","CT","6525"
"New England Brewing Company","Coriolis",153,"American Double / Imperial IPA","8.20%",4.41,532,158,"175 Amity Rd","","Woodbridge","CT","6525"
"New Glarus Brewing Company","Serendipity",239,"Fruit / Vegetable Beer","4.00%",4.35,2780,97,"2400 Hwy 69","","New Glarus","WA","53574"
"New Glarus Brewing Company","Wisconsin Belgian Red",236,"Fruit / Vegetable Beer","4.00%",4.35,3497,195,"2400 Hwy 69","","New Glarus","WA","53574"
"Noble Ale Works","Citra Showers",180,"American Double / Imperial IPA","8.80%",4.39,477,164,"1621 S Sinclair St","","Anaheim","CA","92806"
"Other Half Brewing Company","All Green Everything",210,"American Double / Imperial IPA","10.50%",4.37,946,24,"195 Centre St","","Brooklyn","NY","11231"
"Other Half Brewing Company","Mosaic IPA",214,"American IPA","7.20%",4.36,346,126,"195 Centre St","","Brooklyn","NY","11231"
"Ozark Beer Company","BDCS",77,"American Double / Imperial Stout","10.20%",4.47,303,149,"1700 S 1st St","","Rogers","AR","72756"
"Parish Brewing Company","Ghost In The Machine",159,"American Double / Imperial IPA","8.00%",4.4,525,179,"229 Jared Dr","","Broussard","LA","70518"
"Peg's Cantina & Brew Pub","Trademark Dispute: Nooner 10",246,"American Double / Imperial Stout","12.00%",4.35,205,95,"Closed","","","",""
"Peg's Cantina & Brew Pub","Peg's G.O.O.D. RareR D.O.S.",134,"American Double / Imperial Stout","10.00%",4.42,727,18,"Closed","","","",""
"Peg's Cantina & Brew Pub","Trademark Dispute: Hazelnut",137,"American Double / Imperial Stout","Imperial",4.42,126,81,"Closed","","","",""
"Peg's Cantina & Brew Pub","Trademark Dispute: &+",244,"American Double / Imperial Stout","10.50%",4.35,215,107,"Closed","","","",""
"Peg's Cantina & Brew Pub","Trademark Dispute: Pallet 1",173,"American Double / Imperial Stout","10.40%",4.39,260,133,"Closed","","","",""
"Peg's Cantina & Brew Pub","Rare Scooop",171,"American Double / Imperial Stout","Imperial",4.39,93,73,"Closed","","","",""
"Pelican Pub & Brewery","Mother Of All Storms",151,"English Barleywine","14.00%",4.41,1901,136,"33180 Cape Kiwanda Dr.","","Pacific City","OR","97135"
"Perennial Artisan Ales","Abraxas",147,"American Double / Imperial Stout","10.00%",4.41,2321,97,"8125 Michigan Ave","","Saint Louis","MI","63111"
"Perennial Artisan Ales","Barrel-Aged Abraxas",18,"American Double / Imperial Stout","11.00%",4.6,1247,23,"8125 Michigan Ave","","Saint Louis","MI","63111"
"Perrin Brewery","No Rules",98,"American Porter","15.00%",4.45,926,60,"5910 Comstock Park Dr NW","","Comstock Park","MI","49321"
"Pipeworks Brewing Company","Sure Bet",194,"American Double / Imperial IPA","9.50%",4.38,507,157,"3912 W McLean Ave","","Chicago","IL","60647"
"Pipeworks Brewing Company","Spotted Puffer",188,"American Double / Imperial IPA","9.50%",4.38,292,133,"3912 W McLean Ave","","Chicago","IL","60647"
"Prairie Artisan Ales","Prairie Pirate Bomb!",94,"American Double / Imperial Stout","14.00%",4.45,1867,65,"1803 S 49th West Ave","","Tulsa","OK","74107"
"Prairie Artisan Ales","Prairie Apple Brandy Noir",141,"American Double / Imperial Stout","12.00%",4.41,1380,56,"1803 S 49th West Ave","","Tulsa","OK","74107"
"Prairie Artisan Ales","Barrel Aged Bomb!",114,"American Double / Imperial Stout","11.20%",4.44,942,43,"1803 S 49th West Ave","","Tulsa","OK","74107"
"Prairie Artisan Ales","BOMB!",71,"American Double / Imperial Stout","13.00%",4.47,5608,180,"1803 S 49th West Ave","","Tulsa","OK","74107"
"Russian River Brewing Company","Supplication",54,"American Wild Ale","7.00%",4.49,6195,7,"725 4th St","","Santa Rosa","CA","95404"
"Russian River Brewing Company","Temptation",139,"American Wild Ale","7.50%",4.41,3617,1,"725 4th St","","Santa Rosa","CA","95404"
"Russian River Brewing Company","Pliny The Younger",4,"American Double / Imperial IPA","10.25%",4.66,2979,189,"725 4th St","","Santa Rosa","CA","95404"
"Russian River Brewing Company","Consecration",156,"American Wild Ale","10.00%",4.4,5172,2,"725 4th St","","Santa Rosa","CA","95404"
"Russian River Brewing Company","Pliny The Elder",17,"American Double / Imperial IPA","8.00%",4.6,14102,103,"725 4th St","","Santa Rosa","CA","95404"
"Russian River Brewing Company","Beatification",88,"American Wild Ale","5.50%",4.46,2582,150,"725 4th St","","Santa Rosa","CA","95404"
"Sante Adairius Rustic Ales","West Ashley",170,"American Wild Ale","7.30%",4.4,932,184,"103 Kennedy Dr","","Capitola","CA","95010"
"Sante Adairius Rustic Ales","Saison Bernice",152,"Saison / Farmhouse Ale","6.50%",4.41,823,172,"103 Kennedy Dr","","Capitola","CA","95010"
"Sante Adairius Rustic Ales","Westly",160,"American Wild Ale","8.50%",4.4,229,105,"103 Kennedy Dr","","Capitola","CA","95010"
"Side Project Brewing","Derivation #6 (Cinnamon, Cocoa Nibs And Ugandan Vanilla)",217,"American Double / Imperial Stout","15.00%",4.36,39,32,"7373 Marietta Ave","","Maplewood","MI","63143"
"Side Project Brewing","Fuzzy",52,"American Wild Ale","8.00%",4.5,677,167,"7373 Marietta Ave","","Maplewood","MI","63143"
"Side Project Brewing","Saison Du Fermier",187,"Saison / Farmhouse Ale","7.00%",4.38,611,133,"7373 Marietta Ave","","Maplewood","MI","63143"
