"Brewery","Rank","Beer","Style","ABV","Rating","Ratings","Reviews","Street","Street2","City","State","Zip"
"4 Hands Brewing Company",200,"Madagascar","Milk / Sweet Stout","9.30%",4.38,622,158,"1220 S 8th St","","St. Louis","MO","63104"
"AleSmith Brewing Company",214,"AleSmith Speedway Stout","American Double / Imperial Stout","12.00%",4.37,6612,9,"9990 AleSmith Ct","","San Diego","CA","92126"
"AleSmith Brewing Company",105,"AleSmith Speedway Stout - Bourbon Barrel Aged","American Double / Imperial Stout","12.00%",4.45,2055,111,"9990 AleSmith Ct","","San Diego","CA","92126"
"AleSmith Brewing Company",24,"AleSmith Speedway Stout - Vietnamese Coffee (Bourbon Barrel Aged)","American Double / Imperial Stout","12.00%",4.56,609,158,"9990 AleSmith Ct","","San Diego","CA","92126"
"AleSmith Brewing Company",172,"AleSmith Speedway Stout - Vietnamese Coffee","American Double / Imperial Stout","12.00%",4.4,1663,40,"9990 AleSmith Ct","","San Diego","CA","92126"
"Alpine Beer Company",146,"Bad Boy","American Double / Imperial IPA","9.00%",4.41,549,31,"2363 Alpine Blvd","","Alpine","CA","91901"
"Alpine Beer Company",111,"Keene Idea","American Double / Imperial IPA","8.88%",4.44,445,156,"2363 Alpine Blvd","","Alpine","CA","91901"
"Alpine Beer Company",179,"Great","American Barleywine","14.00%",4.39,648,43,"2363 Alpine Blvd","","Alpine","CA","91901"
"Alpine Beer Company",202,"Exponential Hoppiness","American Double / Imperial IPA","11.00%",4.37,1295,120,"2363 Alpine Blvd","","Alpine","CA","91901"
"Alpine Beer Company",205,"Nelson","American IPA","7.00%",4.37,4032,171,"2363 Alpine Blvd","","Alpine","CA","91901"
"Anchorage Brewing Company",122,"A Deal With The Devil","American Barleywine","17.30%",4.43,948,29,"148 West 91st AveÊ","","Anchorage","AK","99515"
"Aslin Beer Company",240,"Mind The Hop","American Double / Imperial IPA","9.50%",4.35,84,88,"1330 N Forest St","","Bellingham","WA","98225"
"Aslin Beer Company",45,"Master Of Karate","American Double / Imperial IPA","8.40%",4.51,168,143,"1330 N Forest St","","Bellingham","WA","98225"
"Aslin Beer Company",156,"Orange Starfish","American IPA","5.70%",4.4,128,91,"1330 N Forest St","","Bellingham","WA","98225"
"Avery Brewing Company",183,"Tweak","American Double / Imperial Stout","17.81%",4.39,2092,89,"4910 Nautilus Ct","","Boulder","CO","80301"
"Avery Brewing Company",247,"Uncle Jacob's Stout","American Double / Imperial Stout","17.10%",4.34,2549,118,"4910 Nautilus Ct","","Boulder","CO","80301"
"Avery Brewing Company",230,"Callipygian","American Double / Imperial Stout","17.10%",4.36,365,162,"4910 Nautilus Ct","","Boulder","CO","80301"
"Ballast Point Brewing Company",199,"Sculpin IPA","American IPA","7.00%",4.38,13547,64,"9045 Carroll Way","","San Diego","CA","92121"
"Ballast Point Brewing Company",243,"Victory At Sea Coffee Vanilla Imperial Porter","American Porter","10.00%",4.35,6687,5,"9045 Carroll Way","","San Diego","CA","92121"
"Bayerische Staatsbrauerei Weihenstephan",169,"Weihenstephaner Hefeweissbier","Hefeweizen","5.40%",4.4,8120,65,"Alte Akademie 2","","Freising","Germany","85354"
"Bell's Brewery, Inc.",114,"Hopslam Ale","American Double / Imperial IPA","10.00%",4.44,12644,99,"355 E. KALAMAZOOÊAVE.","","Kalamazoo","MI","49007"
"Bell's Brewery, Inc.",60,"Bell's Black Note Stout","American Double / Imperial Stout","11.40%",4.49,4052,154,"355 E. KALAMAZOOÊAVE.","","Kalamazoo","MI","49007"
"Bissell Brothers Brewing Company",47,"Swish","American Double / Imperial IPA","8.00%",4.5,963,35,"4 THOMPSONS PT","STE 108-109","Portland","ME","4102"
"Boneyard Beer Company",83,"Notorious Triple IPA","American Double / Imperial IPA","12.00%",4.46,717,182,"37 NW Lake Pl, Suite B","","Bend","OR","97701"
"Boneyard Beer Company",239,"Hop Venom Double IPA","American Double / Imperial IPA","8.90%",4.35,903,25,"37 NW Lake Pl, Suite B","","Bend","OR","97701"
"Boston Beer Company (Samuel Adams)",166,"Samuel Adams Utopias","American Strong Ale","29.00%",4.4,2465,144,"30 Germania St","","Jamaica Plain","MA","2130"
